page_url,ranking
amzn1.account.AES5NAO462XTXWN6J664A7HTNQUA,2342144
amzn1.account.AFVPW6M76IWAGUT5DDAQU2K56ODA,86567
amzn1.account.AEBQUJXC5EXNRV5EH46EXWKETMHQ,100082
amzn1.account.AGASPLV4U24E6HU4DVGXCGS2GUTQ,283919
amzn1.account.AECTIJLUQPTJQC7NZ43WTNJYVCOQ,928099
amzn1.account.AFKKKGCSWQR5TKJPAFPLHF7VT26Q,1150
amzn1.account.AF424ONPCT2OI7O6GMJTZZW3ADMQ,132151
amzn1.account.AGMWACNMAG74AXBF7IJ22IOZSZPA,75
amzn1.account.AEUOBRWFCJYUD3UIKI6NU2DMQVNA,2205102
amzn1.account.AH37VQNAACN5DLEV5T47WWAUM55A,2028648
amzn1.account.AES5NAO462XTXWN6J664A7HTNQUA,2342144
amzn1.account.AFVPW6M76IWAGUT5DDAQU2K56ODA,86567
amzn1.account.AEBQUJXC5EXNRV5EH46EXWKETMHQ,100082
amzn1.account.AGASPLV4U24E6HU4DVGXCGS2GUTQ,283919
amzn1.account.AECTIJLUQPTJQC7NZ43WTNJYVCOQ,928099
amzn1.account.AFKKKGCSWQR5TKJPAFPLHF7VT26Q,1150
amzn1.account.AF424ONPCT2OI7O6GMJTZZW3ADMQ,132151
amzn1.account.AGMWACNMAG74AXBF7IJ22IOZSZPA,75
amzn1.account.AEUOBRWFCJYUD3UIKI6NU2DMQVNA,2205102
amzn1.account.AH37VQNAACN5DLEV5T47WWAUM55A,2028648
amzn1.account.AHPC7VAB2MLFJ7WR5JSAANKCKD4A,1907269
amzn1.account.AHDIUM4X2Y3K6N6B3GUXNSVMU4WQ,37298
amzn1.account.AFS3KC2OAPYC5X6KS7YHRWB6AHUQ,2307892
amzn1.account.AEW7JU3UQ6DELPFSENJXOECAQXJQ,588705
amzn1.account.AG2FM7PROY2MUWNQLLNUXF3HG3IA,828857
amzn1.account.AE6TC2MXI22BH2AJH7XC6C4TFMMA,427765
amzn1.account.AGSNA7RFIM7EDLSUE5VN6CKP4AXQ,116887
amzn1.account.AEUZOJ3HFWCOZNO2CF5SF3L2LCRQ,815966
amzn1.account.AETB6WOKWQDYHMGXOP2IWER5DCYA,312376
amzn1.account.AEZMRYLFLXZ7G3RBCEW6Q55PJTPQ,590668
amzn1.account.AEX4E4BRUYD2SBQIC7O6SAWCEGYQ,6716415
amzn1.account.AF75NXI623Y5FATLQWA2PIZ3G4PA,1726636
amzn1.account.AER4HDSTG274UDZW44JA5ST2ACTA,1447294
amzn1.account.AHSBDGQ263ZF3GN7W4CHBHJSKDFQ,2524695
amzn1.account.AFWUONFHILCG4EV3JLPW5TTKXLFA,3396736
amzn1.account.AEPX2KTJ3PTFHQYQAFKQX3BRSNUQ,6253401
amzn1.account.AH3GVLBM7RTI7PQFIGTX3IVEUOFA,293695
amzn1.account.AHUZEOYAK333TDBI5JCQSSNCYR2A,193914
amzn1.account.AEZ6RO6RSK3GUOAH7F3KLQKUJ2OA,1008018
amzn1.account.AGALKYN44G7LOOKRGRWVKWA44HFA,194951
amzn1.account.AGY2DIQ3NLYS3N3OU5JZKPVBBEEQ,7742667
amzn1.account.AHKEONDLAYQBCTFYPXEJD2ODXNLA,12535732
amzn1.account.AHV66EF3NN7N24ASZBOXIGD2K2YQ,2488010
amzn1.account.AFAC62MWYWWUR222UTHXRMGAA6AQ,1588442
amzn1.account.AGLDTHSD6HOKQRPVUR75AUNT4VJQ,1130653
amzn1.account.AG7ABCERID3SESYXPD3UMTATKC6A,3254224
amzn1.account.AED2NWUYMPDOGTCFFVWZJ2FWTO2Q,897330
amzn1.account.AHKJHUDI6UTMHOOHGIUAC3JAQ3EQ,4376757
amzn1.account.AGTRWHKJA6HHVFZ2KRKE4NOGVOJQ,919632
amzn1.account.AGO3YW2P4TT5LX4IQBGKYNHB3VPQ,4537184
amzn1.account.AFZDN4YI4G2QBQUOFI4AYGJBHNAQ,2177041
amzn1.account.AFFN2F2HKUOY4MZQ6X6T5TFSWPAQ,7015788
amzn1.account.AF46VMDWGU2TZ33RJ2XQ3EWXNAJQ,4481708
amzn1.account.AGXMXRDQNAF6FU3UJL77OUYSU6XA,2288122
amzn1.account.AFBJLXGXIULWBO2XKRXORR7CVX6A,1374209
amzn1.account.AEDVWOED2U3EWJRYXGJHHYGN2Z6Q,219284
amzn1.account.AEBTXSUFLRBUQXLA4RPUU7DJ7WPQ,75958
amzn1.account.AEBUQAT3HN3N7F5EDEPC3ETBJAXQ,1678324
amzn1.account.AHSSHPP7VQRWVDRV2SX3DGX5MELA,480352
amzn1.account.AHF66IDRKHAMH4PUR2C2EWY42UMA,7635
amzn1.account.AELVGJWFUUUCTZEDAER5HHNBLFBQ,2507355
amzn1.account.AHQLPOE5SQRXWR3XN2BZFZMYQ5SQ,1490235
amzn1.account.AFL35QHHN2FRBWWZIUYVEUQYHW4A,383439
amzn1.account.AG6BRGUCJXNH55U7UYNOMFTMWOGQ,24765
amzn1.account.AF2GBJFUQD5RKUMGBPLOBLOBCAEA,12258049
amzn1.account.AHGSLXHSI2QM36AEUPEGTU25V2QA,8892
amzn1.account.AFLUA6CQHLKDIPWEQUHC7CZY3Y4Q,646753
amzn1.account.AGNKKY4VGHYLL6PKBYGKQYHOBNTA,84581
amzn1.account.AFBHXRE3W2663U5P4HEXIUWVJROQ,105180
amzn1.account.AHDNJGWN26E7B3HAL552EESX4ZFQ,1474721
amzn1.account.AH4JTJCJDYL3C33NV3RTNSI4ZN5A,1349777
amzn1.account.AFOSWLZPJ6UGD3C5L4ECUYZBC6TQ,86727651
amzn1.account.AHEY2WT6YUBNI3PKU45H5HKHYLCA,144
amzn1.account.AERTWT3GCC6L4JNIC3NVBIIYZ3KQ,507430
amzn1.account.AHFWBY2IEEHCOM3O6V32QQIQCB6Q,2460242
,
amzn1.account.AH7B4NIOE5YHIJMNAJ5W4H57VGJQ,2439
amzn1.account.AHHKPXAZHNJMVA52W57OGQVU643Q,3124676
amzn1.account.AGGWRQMHNSRUU7VUBGOTRXRAR3GA,166476
amzn1.account.AFRY27GPRRTESTN746JGSGNPGW5Q,1341
