page_url,ranking
https://www.amazon.com/profilewidget/bio/amzn1.account.AEWFGX23CDYYGUJ4RT53BBC62K6A?view=visitor,3293414
https://www.amazon.com/profilewidget/bio/amzn1.account.AEMLC5R66KL2UW2EIWEQILQSXHKQ?view=visitor,3274035
https://www.amazon.com/profilewidget/bio/amzn1.account.AFMY3ZEJH3Q7LUWACDTWOXJPQJ5Q?view=visitor,2897858
https://www.amazon.com/profilewidget/bio/amzn1.account.AGQDQXSHMMTVQXFXA3T2AOEZFOWA?view=visitor,4680921
https://www.amazon.com/profilewidget/bio/amzn1.account.AGC7EQILXXGFQQXN2NGTCJEYEECA?view=visitor,4033330
https://www.amazon.com/profilewidget/bio/amzn1.account.AGC7EQILXXGFQQXN2NGTCJEYEECA?view=visitor,4033330
https://www.amazon.com/profilewidget/bio/amzn1.account.AFIZAPQID2CDKQH2V5DONFVHGBAA?view=visitor,386078
https://www.amazon.com/profilewidget/bio/amzn1.account.AENYQV4HZCPRJLSBYPZTT75E26WQ?view=visitor,43552
https://www.amazon.com/profilewidget/bio/amzn1.account.AFIZAPQID2CDKQH2V5DONFVHGBAA?view=visitor,386078
https://www.amazon.com/profilewidget/bio/amzn1.account.AHYLZ66PDSDPLPV6HMT3PAOAKJHA?view=visitor,99163
https://www.amazon.com/profilewidget/bio/amzn1.account.AFBCI643WDLYTCWTTTBHWOEBLX3Q?view=visitor,478515
https://www.amazon.com/profilewidget/bio/amzn1.account.AENYQV4HZCPRJLSBYPZTT75E26WQ?view=visitor,43552
https://www.amazon.com/profilewidget/bio/amzn1.account.AGKXHT3BDPHAPJKB6AQZSKA6UKIQ?view=visitor,1074407
https://www.amazon.com/profilewidget/bio/amzn1.account.AGG5DSBLS4ZRDFZKHXBLW5OEODGA?view=visitor,3652978
https://www.amazon.com/profilewidget/bio/amzn1.account.AFMY3ZEJH3Q7LUWACDTWOXJPQJ5Q?view=visitor,2897858
https://www.amazon.com/profilewidget/bio/amzn1.account.AEWFGX23CDYYGUJ4RT53BBC62K6A?view=visitor,3293414
https://www.amazon.com/profilewidget/bio/amzn1.account.AEMLC5R66KL2UW2EIWEQILQSXHKQ?view=visitor,3274035
https://www.amazon.com/profilewidget/bio/amzn1.account.AHJACQ7JD4G5QS2TKKH7VHR74FKA?view=visitor,2368849
https://www.amazon.com/profilewidget/bio/amzn1.account.AFZGNUSOISWHEJFP7Y5RODTS423Q?view=visitor,951064
https://www.amazon.com/profilewidget/bio/amzn1.account.AFBCI643WDLYTCWTTTBHWOEBLX3Q?view=visitor,478515
https://www.amazon.com/profilewidget/bio/amzn1.account.AHPR6ZQ6GJ4CFOJN6VBNHO673Z6A?view=visitor,3614862
https://www.amazon.com/profilewidget/bio/amzn1.account.AFJZ4KASLPOWMDE5RCPNXWRCD7TA?view=visitor,2739203
https://www.amazon.com/profilewidget/bio/amzn1.account.AFW26SX7NGETOZDAVW7FLS64B2GQ?view=visitor,1718164
https://www.amazon.com/profilewidget/bio/amzn1.account.AF2KYWOFEMFMEEF76HIHCM6OWL7A?view=visitor,21709
https://www.amazon.com/profilewidget/bio/amzn1.account.AFCRLKYHCCAYZHZNAIHRPO5OL3KQ?view=visitor,460658
https://www.amazon.com/profilewidget/bio/amzn1.account.AHQ7WTLHL7DQAGDW3W4PZY3EQBGQ?view=visitor,12949
https://www.amazon.com/profilewidget/bio/amzn1.account.AEB2XY567BUH4AOEPTZLVUKXQSHQ?view=visitor,1348920
https://www.amazon.com/profilewidget/bio/amzn1.account.AHJ2MO6IFVBQF6YDK5B5GUGL2IMA?view=visitor,517165
https://www.amazon.com/profilewidget/bio/amzn1.account.AHZVVBVUMJHJZZNYXJIK3LW6NCVQ?view=visitor,1050645
https://www.amazon.com/profilewidget/bio/amzn1.account.AF2KYWOFEMFMEEF76HIHCM6OWL7A?view=visitor,21709
https://www.amazon.com/profilewidget/bio/amzn1.account.AHJACQ7JD4G5QS2TKKH7VHR74FKA?view=visitor,2368849
https://www.amazon.com/profilewidget/bio/amzn1.account.AEB2XY567BUH4AOEPTZLVUKXQSHQ?view=visitor,1348920
https://www.amazon.com/profilewidget/bio/amzn1.account.AELLWRQ6G2PDNUMQ6CYKHFCFJI3A?view=visitor,569186
https://www.amazon.com/profilewidget/bio/amzn1.account.AFLICN5QFNWK455W2W2C63DGU4KQ?view=visitor,14730
https://www.amazon.com/profilewidget/bio/amzn1.account.AHB4LCE3BBHIZGTVMT5FIRTHQ2HA?view=visitor,3034006
https://www.amazon.com/profilewidget/bio/amzn1.account.AERNFP2GTFSSRXUK7GOMIYSFK5ZA?view=visitor,148450
https://www.amazon.com/profilewidget/bio/amzn1.account.AHZZSZREMJDFLOOOFH4ZA2VBXOZA?view=visitor,17777
https://www.amazon.com/profilewidget/bio/amzn1.account.AFK4ZU4XD6IHPR3WUXDLXVIX7AQQ?view=visitor,1273606
https://www.amazon.com/profilewidget/bio/amzn1.account.AFZFFSM5DPBFUSMSQUGW4YEFJTMQ?view=visitor,4131682
https://www.amazon.com/profilewidget/bio/amzn1.account.AFRNR3DUCC55GGGYPX7BSYDADWXA?view=visitor,3021986
https://www.amazon.com/profilewidget/bio/amzn1.account.AE4YLUIS7HUEXYJZUHVRNXFIIZAQ?view=visitor,728460
https://www.amazon.com/profilewidget/bio/amzn1.account.AGB3RSGTO2EZ6VMVGWMJ5WACRI3Q?view=visitor,80748
https://www.amazon.com/profilewidget/bio/amzn1.account.AF7PJRCEBJLFYWUKYXP5SHHI2BQA?view=visitor,2446850
