page_url,ranking
amzn1.account.AHPUNNPYLLQZSV56MUEOGSHANASQ,210
amzn1.account.AHPUNNPYLLQZSV56MUEOGSHANASQ,210
amzn1.account.AHIZUEL6Q2UDRH7BI4GDJALZISKA,67784
amzn1.account.AHNAL2NIEXPOAS2GWWO2JTYYXDWQ,1736166
amzn1.account.AFN6YE3RQU643TXCEFSNL5HZYWPQ,57195
amzn1.account.AHAH6QS4JUXDJL6QEFGUNLSYOAEQ,579070
amzn1.account.AHBVCGRGK7HPCOIT4SGA4AQ2JCRQ,341809
amzn1.account.AFFV7YZQN5XLV3JSWDEAXIBUKIJQ,10046471
amzn1.account.AFZCWLQVAKGIOUGM4H6UCCOFYN7Q,1063773
amzn1.account.AEIFYYRMR5FYVXQ45D5X23YBXYQA,2027926
amzn1.account.AF5D7YYJWNZDY4SQLOTWO7R4WFKA,1906260
amzn1.account.AHIZUEL6Q2UDRH7BI4GDJALZISKA,67784
amzn1.account.AHNAL2NIEXPOAS2GWWO2JTYYXDWQ,1736166
amzn1.account.AFN6YE3RQU643TXCEFSNL5HZYWPQ,57195
amzn1.account.AHAH6QS4JUXDJL6QEFGUNLSYOAEQ,579070
amzn1.account.AHBVCGRGK7HPCOIT4SGA4AQ2JCRQ,341809
amzn1.account.AFFV7YZQN5XLV3JSWDEAXIBUKIJQ,10046471
amzn1.account.AFZCWLQVAKGIOUGM4H6UCCOFYN7Q,1063773
amzn1.account.AEIFYYRMR5FYVXQ45D5X23YBXYQA,2027926
amzn1.account.AF5D7YYJWNZDY4SQLOTWO7R4WFKA,1906260
amzn1.account.AG7AHVJGYEPUQLP4WAMWDIXB5ERQ,448711
amzn1.account.AE7UG2GT4XRV5TUUQV4E6G4426IQ,4106410
amzn1.account.AEZVFFNX2JSTTJ5QK34GRI7EZINA,2005680
amzn1.account.AHL523CRO6OZUTB66EH45YLPVBEQ,1580222
amzn1.account.AF7MLW3IJHVYC74ML2U3O4QJZ7ZA,5396539
amzn1.account.AGVWNB4VIBAHGKDMU6SRNFHWEGLQ,9222
amzn1.account.AHBBLBLDO5NIYTUAHGOVJKMCJRAA,78523
amzn1.account.AGRZL4M4AOGOAZQFBMVPPUSG7YAQ,10016
amzn1.account.AFECCUK6A6NILW4PJA4LVSRTT7NQ,598832
amzn1.account.AF5EMSXZZLDOU7YDXQTQQZ3IFCMA,3021253
amzn1.account.AE6MBPPQ4A4MV4B2HRE65J3FNIRQ,6044923
amzn1.account.AGEP7KG7AOT6JI4V4VCHHC2SYO4Q,352950
amzn1.account.AHRJP2IR3MIIC533SZOZH7GNQ5NQ,2153121
amzn1.account.AEWLPS2ABERKQH4DZ6G7YQJRAQ6Q,20937536
amzn1.account.AGZFP3LBFTCS4SR6ND3U6R5UJXQA,37285
amzn1.account.AECEZYB3IV45U3WVTTTKWC2LLSUQ,535354
amzn1.account.AHZ7PFMVNLXPB2Z7XNJIEUW6UEFQ,511762
amzn1.account.AEUMI6M7DSUIPENNAJNCZP4NVUNA,5336
amzn1.account.AE354GLV6HVMRXPUOGP5XGOFZUPA,86764269
amzn1.account.AH3WIKRQ2YYBG6MCNE3THLINLOHA,5582
amzn1.account.AG5RKWFAX4VZZIVKDXBM5HFTZVVA,152470
amzn1.account.AGFOE7D3B5LAZPAR7RO7W367F36A,259045
amzn1.account.AGOBQL5G5K5T3XIVDUEUCLC2LJ4A,5557555
amzn1.account.AHF3Z32KDMJ2IBKKB5DJXPMQ2LLQ,2028503
amzn1.account.AE3O4JMVUEWURYLO6BCCKKQB2TSQ,600666
amzn1.account.AEJEPPTLRUTDPIP75N5T5ZVY5OYQ,2151376
amzn1.account.AFQABL4BNIDBDVZ3NJ3TYJBX2J4Q,86762583
amzn1.account.AG7SYSIPIAKHLXGKVXXYVQTPROKA,3921387
amzn1.account.AEVH3XBLB3O5PNKFBFE4CXIDT4PA,657469
amzn1.account.AFUCZBFDOGU4VCRVLQIVEYUW7QPA,45928
amzn1.account.AH6I7N2IOLILVJZS5W3JJXQPNK4A,1875638
amzn1.account.AHVDN3GYUSU7VEIETCLGL5A6RUEQ,2919719
amzn1.account.AE5VM4SMMLTGX7JT5QUAEGQKCORA,2270544
amzn1.account.AHNCS3767VNQMCUGATMHONUR2BDA,2043876
amzn1.account.AFV3RYHEYNM6GZKLWTVTFOXA7JKA,113607
amzn1.account.AFOFUTO2CGWH4F6LBRTJXHM2E66Q,1321721
amzn1.account.AGR2IZ5LCXSA7B63MCIDYESREIHQ,116938
amzn1.account.AFVHGKVRNULMCAFOKTRLHJU4ZQTQ,3838931
amzn1.account.AHEIRTAOY5S5WLSK27TL3XSTT7SA,325006
amzn1.account.AHS7DXUMCXWRQXORXAF4HLS4KVNQ,1695401
amzn1.account.AGGJDYDAPLH4AJZ7Q5YN3DAVJNYA,543265
amzn1.account.AGOADODPSN4QHL76P5ANLYGCK76Q,274617
amzn1.account.AERMGZRNKQ33HR7XLR77VEE3NQZQ,785441
amzn1.account.AHBWKASTU4ZF5TKB6HBJFIB4IOWQ,554819
amzn1.account.AHJ3HKUIJQBYWVW6WJBTAUY6OI7A,181288
amzn1.account.AHPADDCQLXBOSKWIFLUXZN6FEPSA,1170291
amzn1.account.AEEYI3UERQRFGV7RNBCBTES6FINQ,55758
amzn1.account.AEPEFGRDA5NWBSYVPQ2RPN652V3Q,332360
amzn1.account.AGRKQYEUBD624OCE6W3BWD7EI77Q,4546602
amzn1.account.AGI7W3B5JIMHGQHXA2BXB3JVU4CQ,5037476
