helpful_votes,page_url,total_review,visibility_status
"1,378",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFQRAIK3LX6M4QK3HFT6BAQP54HQ,3,Public
"9,039",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFP33S7JOLTWY4WO3HHRVGPYBSLQ,136,Public
"4,924",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEZQNZXMMXM2Y6VGFGTLSA3BLGZA,116,Public
876,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AESBDNQXD4PNNKFFNJPMJ4OJQFWA,49,Public
456,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF5OK6UXMBZAKDMARGYI3BSTLI7Q,4,Public
481,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFAESMIGY5YEWQIWCJTZPTFIJ4EA,15,Public
331,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEOICC6O66IG6P2V4DNDMVCD342Q,3,Public
"1,918",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHBXW7ZW4REV67MM4ZC6JW54KPAQ,603,Public
193,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH5NPEJGF6SI6YVKCG5FCTRYRDBQ,6,Public
703,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE6VLAOWC3UO67TDNTGKTSVK2P6Q,54,Public
"1,378",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFQRAIK3LX6M4QK3HFT6BAQP54HQ,3,Public
"9,039",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFP33S7JOLTWY4WO3HHRVGPYBSLQ,136,Public
"4,924",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEZQNZXMMXM2Y6VGFGTLSA3BLGZA,116,Public
876,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AESBDNQXD4PNNKFFNJPMJ4OJQFWA,49,Public
456,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF5OK6UXMBZAKDMARGYI3BSTLI7Q,4,Public
481,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFAESMIGY5YEWQIWCJTZPTFIJ4EA,15,Public
331,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEOICC6O66IG6P2V4DNDMVCD342Q,3,Public
"1,918",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHBXW7ZW4REV67MM4ZC6JW54KPAQ,603,Public
193,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH5NPEJGF6SI6YVKCG5FCTRYRDBQ,6,Public
703,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE6VLAOWC3UO67TDNTGKTSVK2P6Q,54,Public
411,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHYQ3ZTRJKCP2M4O3RXMFH4P5LSQ,126,Public
29,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AENHA7KIDQE5I27AZPGUHRM34JYQ,1,Public
30,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEGWXVBG3CU4N6N46STUJPLJZHHA,4,Public
19,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH6MSSTY7DXXJNGHULL6CH4SSZKQ,19,Public
109,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEUJJMVSNGLPDVO37IA65MHGGUAA,69,Public
227,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFYBW46NY4KIZFET7Z5GT7R4R65Q,200,Public
133,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEKRGK67234XAYJWITBQJ6S7ZG6Q,23,Public
71,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHQ5PSOMWGSFKHAASDTR6WGFRV3A,2,Public
16,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEXUPNG4B6TPN7VEZKYCSOJLLA7Q,24,Public
97,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEHOTQOBNH3HXFQJY6GYRE7SPSEA,75,Public
9,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHB6UJV5UKCES62OZXWLREIQX3WQ,2,Public
68,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG635Q4BLYQN5O23HGSCCBIIKWBA,18,Public
20,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHE6C6KTRXHRJNBF2NIJJOGIRPWA,24,Public
152,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG3JUWQWV4NOHH2JBZLTQ76OFCPQ,54,Public
129,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEX7OFHTWQ2ML7VA5E7S3WYCSMAA,81,Public
277,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF2MGZT36HPGMSNHVVKWXDHHODZA,84,Public
218,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHQTNTMZ36PLNBCGAVJIKOMMH73Q,66,Public
89,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGIUEOMBWH2R3DWI743VKVX67O6A,25,Public
92,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHOWRYTUGYHA2LMBGKCEN7XYNUNQ,81,Public
146,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGSPIBU3A5HLR2O4DEQKEGJQR4AQ,33,Public
324,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE3MOPD6P5SFGJJU7DCOVHIGWO7A,55,Public
517,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG7JHBCCRFAKYW4QMEVM3B3U6YPA,6,Public
382,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGZVRK5GWBZSSASZFCAQG3Z7VCUQ,20,Public
626,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFY7KHCJAJCXKSRJKVXN3SCTJZ4Q,258,Public
131,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE3GZQHGKN5NQIFH6FPTOJB2IAMA,14,Public
