helpful_votes,page_url,total_review,visibility_status
"1,442",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AENMUTH2J2DMSOGPL5FTBYUJ7FXA,14,Public
"1,406",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEE5PJKCAX3O5YAFA6UOWS4IPE2A,1,Public
904,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEP5J4OTGDGABLZ3AZPM4WD4CXNQ,17,Public
451,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AETBXD2HNNXPRO6KQCQRZ6QUHJWQ,3,Public
29,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFE4GWCIBMKTKEJ4KM2HRRJ4KRSA,22,Public
356,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEM5LP347OLGB36TI77NRXTRWN4A,670,Public
82,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG357V33STHEJ3MC25ILZIRTVQVA,113,Public
43,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AECS2JNVMMVY7OPZWG6SVTKYYJBQ,21,Public
140,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHDLUQ5PWAD4P6QEK75DXJASZDPQ,219,Public
20,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEWSFGCMKOZYCE3S2SA7RCWK4K6Q,10,Public
3,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE5GYKXQX3MLFXNED4CON2GRECPA,13,Public
460,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG6STYRY746A5IWV5VUNESZ2C4XA,11,Public
340,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGEC6S7LCVZIBDHAVFBA6CZA64OQ,19,Public
224,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFIOGJ2B4O2QS6DWRUWZ5Y6PU7ZA,4,Public
718,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHA6SFD3VN6LTLESSDZOBTQRHE6Q,148,Public
201,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE7D77SEX7DAJTNC63ZF7OGGTBDQ,26,Public
400,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AESGRMODDFNYZWUPGQEVOOLFIMMQ,23,Public
441,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGHDULSD7BPWZTFRANGFK3BJFSGQ,59,Public
80,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHCNWLUH7TCPWTC6H46MFMUIEVXA,53,Public
7,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF34PZEQEAOBJJ35RGKD2QG64P4A,20,Public
5,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGAOZCEZ3PFKR4IQOX2WA7ZDKJPQ,31,Public
4,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF3GX3HPAP7AGM556BQA2PIN54GA,8,Public
16,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGEZEIGKQBWUGSLPUUM54JLUFFUA,16,Public
86,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEBMUPVURBXZVGVIRFMZ4LPW2MBA,39,Public
286,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFMBG6M63IWHE2LIC7MQPRRTQDFA,83,Public
94,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF5HB2JVABDQRZZ57GI5S2L6G34A,90,Public
11,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEYF2EO3KCHGSVPBKD2TWZZ32A2Q,33,Public
24,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGV34ZFCXKOPQQZY4Q3DS7TNJT7A,45,Public
197,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFVHVW53SVBJZI4MFUDYE5PUYUGQ,84,Public
330,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHON7CFDL56UBQJTPEDWDTUJCPYA,45,Public
684,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHFTYBHGNC73WDJB56YJ33OPDFKQ,347,Public
18,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGNTVVAP5RQIIIVC6JYDPNBJCN2Q,26,Public
1,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHJVPKJVPRXIVIDKJ55CMFORCAZQ,7,Public
213,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGF6GJEIQEWSOGDQCPDRLV74CU2A,409,Public
96,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG6EWTTXMHL54PPXHR5ZIH35BZ6A,71,Public
130,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHK5NA3FT3RCZUDBA35ZYBS7P6AA,45,Public
2,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEOBNVC4UPEHT6R5ILMZTKCGLPXA,11,Public
