helpful_votes,page_url,total_review,visibility_status
436,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG4DZFWSJF3B5H33UPG5UICJPVOA,15,Public
378,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHZKHJ2OM3ZMNUNVEMPZNO65ZNCQ,27,Public
359,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFJLZYBX26XAJOOOBNATGQ7FUTRQ,22,Public
"10,943",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AELEQ2KCIH7LLI32UKH4B447HQKA,"1,131",Public
19,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHX55EZ6EG7F4EB5RACD3OHVL5FQ,48,Public
68,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGZOF3Z7FRG7OCLDSPIPBHBRNKLQ,46,Public
102,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF5VPNY6T6MXC7VNEP6SCBAAKQDA,38,Public
566,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGV74NQHJMSO3FOH5LPDREQKUPPA,274,Public
"19,692",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHRGTIMQO47C2VLJILIDU53BQKSA,"2,464",Public
657,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF4PF6RXE4M5VEVDB4IFCD4JEADQ,276,Public
104,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFFP55YBQ4JUQMQCA2ZO6XRAEOBQ,55,Public
"4,817",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHOIWYJVHGFNVD6K4Y43CGL56IAQ,98,Public
47,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHXYWUODXIEFTJWOXXL4QWR7VHPQ,27,Public
38,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFIG557OQQSCF5VO3WLMIPJFCEUA,37,Public
"1,366",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEDAEWPOGCQQE73XTUGQGFQY2TRQ,401,Public
204,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF2N2LO6GQTFUSMP4XZLD2Y44HFA,144,Public
7,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGLCJWPZT7NWTD2JMEEPK63RP4AQ,26,Public
11,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFKVMEGOUZVXEZGH2AKIF7ZQ4SRA,44,Public
10,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFR7TDOL5MIRZLRE7YWFJKV4RI2Q,34,Public
221,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEQFPJRDBJ5CWHZX6MY4CUX5APGQ,174,Public
175,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGB5GJWLF7Z2YHHB4T4OXESUCF4Q,161,Public
16,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFLF3LGNJYZEDI4ZNIBSWVLPYU7A,30,Public
95,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGWFDBSZBXOHSJIW5BF6T3MODF7Q,66,Public
105,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF564BIH3KCVLMZ4R7YPKFOPHZFA,58,Public
165,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHN7RX6YD2YASOBBME67MFFITKFA,291,Public
"1,108",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG4HDXHHL6V5LTCR7JC75E2VW5JA,184,Public
13,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFLDZKJF43Y2DIKR3RZ2GPDJBX4A,53,Public
15,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEVN3Q5HEVSNYA56N7ZEO4UK356A,12,Public
10,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEPCG3UNIIVEIPQOGOOEM5YEWJDQ,45,Public
"4,480",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFWGGMU4FU4DLIGSXWVCUIWU747A,100,Public
100,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHWGMXPIOQHJYE7E3K5ASQPEPJFA,49,Public
29,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHENSE7F7BZYCTINLD232DKMDI6Q,74,Public
20,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFQEIYGXQNZFJOK3RXGCE4KLFR3Q,15,Public
2,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE4KVJS4KHW43AXYWWY2PLZDWDKA,6,Public
49,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE4KRD2MFVXCAW5TBPX7YUKHC5VQ,37,Public
43,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGW3J3UTDZJXRSZG73JBUIRHV7UA,34,Public
8,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFTY3KXZDFYXHBFPU6E4BC6DO6MA,14,Public
18,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHTFBT5FMLTF7A2NN6MJVPNPWL3Q,48,Public
311,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE42BIGITHR4IIAO2OS45PQVVDHQ,308,Public
541,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFEK4RL5WHLUQMGVZOLRITOLXF4A,194,Public
0,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGNHYKJAYDA7QLTUEUE6ULRAUF2Q,4,Public
73,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGIMRJGXTQP6F6Q4TO2FPV2TKNUA,80,Public
842,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF2AWMH2KNDRJNSRN3DKAVTXBFIA,143,Public
408,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFR4UPJEK6BA6RFNTW2CBLVRNZ3Q,64,Public
56,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH444FU4AA22UOFOCHWTX23VMD2A,51,Public
22,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH5DWMJDXBY4BMERX52SZ33NZTNA,26,Public
23,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH44DNW3V2VLNSYU5JKV7AKS2JUQ,39,Public
92,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGJWCCMVFXWV4QSGEOWDMFTIFVQQ,50,Public
211,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AETY3WUIF5LI2NKSHNKNERTHMD4Q,63,Public
111,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGRAKBXZFLNJDQZMTAOWVW6RKMMQ,141,Public
38,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEIXPKJWOGB56B6Q4RACWU3PUQDQ,41,Public
10,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHKAFGCOCMKHBSTUCFHF7ML3W56A,49,Public
415,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AESQWR3I7OO2F5LQSFJ3IRLN4PBA,421,Public
138,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFFU4PRGBYRK3CKYC4A2TLNTW7WA,84,Public
424,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFTCL55NHWUTWSCBXQ545HVXHXHA,57,Public
8,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFVGWZOKLZUVMW7ELF7P2YID2PRA,10,Public
117,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFF4554XUZVTBOJ54N455FQ4BULA,84,Public
169,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFZLRCHMN4LGZRZUN4GWEPA6BTTA,69,Public
707,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG3UJG6KQC366UBH5Y62NHUAEZPA,440,Public
660,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHLGOL2GXKN7YI7VI5M3KTAGYJUQ,208,Public
76,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE34VPQB4DF3EVUP44VSPAKI6VBQ,88,Public
55,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF6GL45XZMJBI6MAHBGELOBEVTSQ,77,Public
161,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGXIKBJMDQ4UWZDPPH2XM7GPPVIQ,70,Public
27,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEPORES2ZSXKVTC5JNQOYFMTOV2Q,80,Public
0,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGIO6IIDQQQE6DVPFQYIMFV5UFFA,8,Public
13,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGBLMWZZFFXM4LOEMFXYPVQZFCVQ,58,Public
109,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGUBNPMXDHSYD7XSDHRSNGEBB2SQ,27,Public
15,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH4A6OLX43YNHMGZDLL6FAWDTZIQ,38,Public
143,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFZMVHDMK3K7UC66EUSHVPGSDPFQ,131,Public
148,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AESSIHIR5CUFH3WVYBG56QRTXBMQ,116,Public
350,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHYX6TKKCV6RWNFTL5U6IQMMBKBQ,248,Public
8,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFMMDH7Y674QKA5RLMBORAJYEWIQ,28,Public
307,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHPFJSJ7ZDHXLUSEV3ZOIVETNRYA,133,Public
9,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGWNB4K644TMY762INE7VXH7BYRQ,20,Public
186,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHBA5HGSZZ2L652VQUFU5UNNHJLA,38,Public
129,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE6PTKQ3DN6S67KCBIEAVCUN3BYQ,263,Public
199,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEFVEWWOQV2FHBKVI5VCJ4DREYYA,100,Public
507,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH22VTA3NINMJWH6RBIKEBIQS4FA,278,Public
502,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE6YFTNUUOXQ5TOPE46DIQ3HECGA,74,Public
4,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG75N6VAZDQSTRFYLOBSKB7GEOGA,16,Public
157,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGRYHOXXDJTMLS45VOURV55R4I5Q,31,Public
167,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEVSAYOKWBAL43BKHMJHMTOANTZQ,106,Public
184,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEQGZSYFUMDNH5HLN2CQDEWF5NLQ,93,Public
35,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFSJ7J2BN2DN2QJRRLSR4WGBO2OQ,94,Public
157,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF2SV4AUZC4W6QNR7J6UYE3NY22Q,60,Public
9,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFBCZU35DKP6RYI6MIC46GBZGKLA,22,Public
151,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFMBBEW723Y6NN4CTTNCSV74O6UA,64,Public
69,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHRR7KDN5HZEOVAXIITOLGFU2FJQ,75,Public
639,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGKYDKM7HRZZPJHRXONWF3LJOQJA,140,Public
346,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHIA4PD7UTGYWM7EMZPAVOUAJMEA,201,Public
56,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHI2XFXITAXZAQ2CSYS6S33TI2AQ,27,Public
436,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG4DZFWSJF3B5H33UPG5UICJPVOA,15,Public
378,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHZKHJ2OM3ZMNUNVEMPZNO65ZNCQ,27,Public
359,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFJLZYBX26XAJOOOBNATGQ7FUTRQ,22,Public
"10,943",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AELEQ2KCIH7LLI32UKH4B447HQKA,"1,131",Public
566,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGV74NQHJMSO3FOH5LPDREQKUPPA,274,Public
"19,692",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHRGTIMQO47C2VLJILIDU53BQKSA,"2,464",Public
657,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF4PF6RXE4M5VEVDB4IFCD4JEADQ,276,Public
104,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFFP55YBQ4JUQMQCA2ZO6XRAEOBQ,55,Public
"4,817",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHOIWYJVHGFNVD6K4Y43CGL56IAQ,98,Public
"4,480",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFWGGMU4FU4DLIGSXWVCUIWU747A,100,Public
63,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGUWEZCM6QBOUBH7ZSYB7UHOFHSQ,139,Public
524,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AESZTN3SOR4BQGYGH43WGKZXEJYA,194,Public
57,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFA7IEZMXYV6PCJ5UB7Y7GYSPNYQ,34,Public
76,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGVGKK76S4MR4ONTDCJY6RSSYYVQ,119,Public
31,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGFZVLFGTOHKZ7WZTDWK45ETY5CA,28,Public
180,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFCQRF4XRYEGYUUPCXI4OWZLOH3Q,84,Public
18,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHD6LPNKWK4MNY4QCKIY5VSUPIUQ,43,Public
90,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFLYBASEKN27C7GCYL5FDQQR7CIQ,98,Public
18,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEY54BZXTWYQFNKNDQ4YB5OE6OWQ,33,Public
286,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFNT6M43757RTRBZQ4SKYYYT6KCA,110,Public
158,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE47BAQ7AVULD6PU7H6A4YR3OH4A,141,Public
697,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFBABSFJD7B2OXMCW7FHMTRIJYLQ,249,Public
6,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEKL6SKGPSZUUBDT3DO4DDNUDF3Q,37,Public
0,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGWF6UQPASFIFQUGMDTXBYPQEGKQ,2,Public
90,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEXSVGPGY475VQ4QDUL6V2RZSKWA,59,Public
10,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGBW3Z7ZMFR2Y3YVZDYTL623MKMQ,49,Public
