page_url,ranking
https://www.amazon.com/profilewidget/bio/amzn1.account.AG4DZFWSJF3B5H33UPG5UICJPVOA?view=visitor,589882
https://www.amazon.com/profilewidget/bio/amzn1.account.AHZKHJ2OM3ZMNUNVEMPZNO65ZNCQ?view=visitor,252916
https://www.amazon.com/profilewidget/bio/amzn1.account.AFJLZYBX26XAJOOOBNATGQ7FUTRQ?view=visitor,655856
https://www.amazon.com/profilewidget/bio/amzn1.account.AELEQ2KCIH7LLI32UKH4B447HQKA?view=visitor,196
https://www.amazon.com/profilewidget/bio/amzn1.account.AHX55EZ6EG7F4EB5RACD3OHVL5FQ?view=visitor,1109331
https://www.amazon.com/profilewidget/bio/amzn1.account.AGZOF3Z7FRG7OCLDSPIPBHBRNKLQ?view=visitor,1443296
https://www.amazon.com/profilewidget/bio/amzn1.account.AF5VPNY6T6MXC7VNEP6SCBAAKQDA?view=visitor,298771
https://www.amazon.com/profilewidget/bio/amzn1.account.AGV74NQHJMSO3FOH5LPDREQKUPPA?view=visitor,20249
https://www.amazon.com/profilewidget/bio/amzn1.account.AHRGTIMQO47C2VLJILIDU53BQKSA?view=visitor,393
https://www.amazon.com/profilewidget/bio/amzn1.account.AF4PF6RXE4M5VEVDB4IFCD4JEADQ?view=visitor,121918
https://www.amazon.com/profilewidget/bio/amzn1.account.AFFP55YBQ4JUQMQCA2ZO6XRAEOBQ?view=visitor,1468309
https://www.amazon.com/profilewidget/bio/amzn1.account.AHOIWYJVHGFNVD6K4Y43CGL56IAQ?view=visitor,5479
https://www.amazon.com/profilewidget/bio/amzn1.account.AHXYWUODXIEFTJWOXXL4QWR7VHPQ?view=visitor,1649647
https://www.amazon.com/profilewidget/bio/amzn1.account.AFIG557OQQSCF5VO3WLMIPJFCEUA?view=visitor,1222168
https://www.amazon.com/profilewidget/bio/amzn1.account.AEDAEWPOGCQQE73XTUGQGFQY2TRQ?view=visitor,9076
https://www.amazon.com/profilewidget/bio/amzn1.account.AF2N2LO6GQTFUSMP4XZLD2Y44HFA?view=visitor,141523
