page_url,ranking
amzn1.account.AEJOWTKNTUBFMO5DGOS5KMDFEDOQ,254625
amzn1.account.AEJOWTKNTUBFMO5DGOS5KMDFEDOQ,254625
amzn1.account.AGL4JWGXXWZ3XZMCSFAFFN5PEZLQ,33407
amzn1.account.AFRZ7UOO3KZ2WDB7477WZB5NNDPQ,2237062
amzn1.account.AFMMI23U2LQAVOCJTVJ2FF27GFQQ,2307201
amzn1.account.AFQSND7QTGK36SHUNO7ZCROYF53Q,728845
amzn1.account.AFGIJIG55TWV2AVFAWCZLN2TAOPQ,1665260
amzn1.account.AGK52TZVBCETOPKHOANIY2O4OJGQ,16618
amzn1.account.AHDIHVSGTMGTAVWY7UABWZGJNAKA,541
amzn1.account.AEAJD7EFNYHFCVQXLVWQCHQLHFDQ,4967299
amzn1.account.AFQBGQZTQSTM4VC45G3BY4Q576CQ,5106412
amzn1.account.AGL4JWGXXWZ3XZMCSFAFFN5PEZLQ,33407
amzn1.account.AFRZ7UOO3KZ2WDB7477WZB5NNDPQ,2237062
amzn1.account.AFMMI23U2LQAVOCJTVJ2FF27GFQQ,2307201
amzn1.account.AFQSND7QTGK36SHUNO7ZCROYF53Q,728845
amzn1.account.AFGIJIG55TWV2AVFAWCZLN2TAOPQ,1665260
amzn1.account.AGK52TZVBCETOPKHOANIY2O4OJGQ,16618
amzn1.account.AHDIHVSGTMGTAVWY7UABWZGJNAKA,541
amzn1.account.AEAJD7EFNYHFCVQXLVWQCHQLHFDQ,4967299
amzn1.account.AFQBGQZTQSTM4VC45G3BY4Q576CQ,5106412
amzn1.account.AGQ22LX6AG4JXHRO6KQZ7X5LVBZA,40197
amzn1.account.AELWBK5XE7QVFFYMSAXMGLZPJ72A,9557414
amzn1.account.AG2EDY7EBX4G662ZXMIWZYTNBKXA,400249
amzn1.account.AFM4WUKU5FBYBTR4QAFLRQRANLYA,583855
amzn1.account.AFXFJVZ5DH2KFRW6C5N3LJT4G3SA,28557
amzn1.account.AGBANIKPWZFES6OPGUTST5337KKA,1324606
amzn1.account.AEH6AVQEXN2JECX45ZBPOV3ELI3A,1697233
amzn1.account.AF3IML6WXQJTV4TVK2ZCS45K6XVQ,1029691
amzn1.account.AERD6AA4XR4TKW74B7HNC7HMSHYQ,3753522
amzn1.account.AGLQYGXNHZJEJSK7F4JBJ46A5FMQ,8567959
amzn1.account.AELT6KELZ4GGA2XPAXQJWIOXF7ZA,186256
amzn1.account.AEPJUS3TWW6RC2SDRLM5BKUO5JZQ,5028214
amzn1.account.AG5RSQCTJCR5DKRQM5EMCSYCVGOA,232764
amzn1.account.AFWIFR52JF53ZRHOS6E5TJUJ5LRQ,159301
amzn1.account.AGBPTLEQQYYRAO2MXWLXKVKARVOA,400241
amzn1.account.AGQQFHJR6A4U53733T3ANOM4KKPA,56520961
amzn1.account.AHBM4FURUC2J2MB3GJ3KL2Q7HE3A,1409080
amzn1.account.AGXKHSTBBIZGKQIHPMJREG3X4A7Q,955934
amzn1.account.AHIG35ABED75LP235KT4BZDOP75Q,7568339
amzn1.account.AFMALUH5DASNVZRLHUHIIM5KHE3Q,3742971
amzn1.account.AF4HVYQ7SXBLJA7FDBBY6FCMJQCA,1483086
amzn1.account.AHDXJ5X523WY3HTYZVHNVL65TX3Q,17740278
amzn1.account.AENYC6G7H5F7BNMCVNXYP2YAR5YA,2453830
amzn1.account.AHSA43OR5XG2YJOOIIDVZAXDWTFQ,3367176
amzn1.account.AFVBQVRAT37QY2JU7PCPOY3V4D3Q,799230
amzn1.account.AGMIKAEKLP4DZBZOF2DWXCNX7STA,97754
amzn1.account.AGSJGVXSTIE6YS4OIGQ7AZKBTORQ,287297
amzn1.account.AHFG5B2ICQCYBPKN2R52N67M7SCQ,4995118
amzn1.account.AG7Z2D4GS2BXY3HSPEAR6NFSNMPQ,1576573
amzn1.account.AHFYDE2OKQWDVJXG3XPWZOHOQU2Q,11351403
amzn1.account.AFIO4GK26WR563ATQF557JSIDCSQ,15558967
amzn1.account.AEC4IDG5HE5BQXGNUR6ULLM3Q6NA,28684306
amzn1.account.AGGI47QLBOUUZHIWMDYFSQ3GE3HQ,6690903
amzn1.account.AHKNVWQ5WYJC4WZKFD4HBG23EKTA,606832
amzn1.account.AFIFMKWL6JSYS54REVEQF3L4BARQ,5488668
amzn1.account.AHA5JYGP5ZWMBSMIC4GQQA6ZQ7WQ,159607
amzn1.account.AHDB5BDY4BZYCQNKTCQ37OPHJKGA,11663802
amzn1.account.AHYJ7U2PTK77NFI5MAJGDGFNG5FQ,2275933
amzn1.account.AFFQ5UA4MVCLAXEECDQ7YNPUQLWQ,71548
amzn1.account.AHXKFFGH2C6NFEVYTEZ5ID5X5ARA,833694
amzn1.account.AE4G2AT3L6REQHKEDOKLRA6SQUHA,301463
amzn1.account.AEAY4UOGXYHTEAUAMHLAE2QIIE6Q,9701361
amzn1.account.AGD5BQHWFECUEGFGYJVOCBUPNMTA,7959160
amzn1.account.AHBKGINEUBZZD34ZKUSNZXF324KQ,9060151
amzn1.account.AEW4J74QJTQHNXDQZ3RWZJX6L3KA,1971818
amzn1.account.AFEEBYRVUWSZSJ5XYHYWB4LLGIWA,2310009
amzn1.account.AGHEY462GMUF5FVWPXA4N4LM5I4A,3658804
amzn1.account.AEI5D6PUEEEYHY7CYLMTMCEIGKSA,948890
amzn1.account.AE56SDQ2BCQX6FIYVFUKX3I6BBKA,36835
amzn1.account.AG3X35V7QYJYGW2WWD2AIXZQJJMQ,5628700
amzn1.account.AGTL4ZWPMKNMJAU6FM5H6HWD662A,2973571
amzn1.account.AHATPJF247ONX4MJAGNSBPHQRPIQ,1387467
amzn1.account.AHIVNHG2LLQTNE4EFH2TIEE7QPUA,1813934
amzn1.account.AFQ3COKS5FSTR2ZGL43D4EGIW4TQ,665387
amzn1.account.AH335WL2P6ZYBEY4MNLXZ2MZQVOQ,3558137
amzn1.account.AFBTVWAUFOCJPP7UCF4PMLBFTBWQ,86745341
amzn1.account.AE4TGPSYGQLOY7D2VTSZJUKKLVRQ,17609424
amzn1.account.AEIYY7E7HL2JT2EWZJ4U7VFCVYOA,1895991
amzn1.account.AFS56RZECOBFWOVJC2DKZCTTVBQA,402796
amzn1.account.AHVVHQSVYP3BAIIBLZO2MF7ZIAMQ,1401764
amzn1.account.AGIUKYU5KMXHXS5LVXVRGN6WQ2UQ,1502308
amzn1.account.AETBLJS7KLJPSWDECIZ4B7OKLXAQ,13381418
amzn1.account.AGF7M5JCW5I72HZZYFKZ7XJA7V7A,325911
amzn1.account.AGW2RD23NT7SCZOUBH4O5QNCMXGA,27931
amzn1.account.AFFXE56PNFDOENNVB3YJV2MH6LEQ,6075689
amzn1.account.AGDQUAXJ4HS2AQZRBR32QIOH2H5A,185017
amzn1.account.AH6Z4ZX7QFUKSMG3K6NYWOA3BHXA,1551720
amzn1.account.AG6IEGWK2WC5KGK5T4QHYRYKRXNA,1887156
amzn1.account.AFCXOPAJ5ZNDVLS36PUYLIFNOBRQ,7588903
amzn1.account.AFW5HGGIRJ62PWAQT6VFQQW5SU4A,2506980
amzn1.account.AHZKJAAY75JYIHKTMC2MQQRVMRZQ,3014835
amzn1.account.AGTHP35I5ZW423KKJPENHR2GSUPQ,1834323
amzn1.account.AGMTREMCEKSKGMA2FECLDCKNGAHQ,548961
amzn1.account.AH2PGOIQVON5B6ZXGB7KDS5GP5HA,841389
amzn1.account.AH6SU2LFHHRCOJFXABOBMSYSWUVQ,3182512
amzn1.account.AGZCSND44WTAFLZYZ7OCO6SF747Q,3672605
amzn1.account.AGSM4VYTYUDCBKK7A2X64ZCCHNHA,2006185
amzn1.account.AGOJX45SZZOO24LU2REHGQXHICSQ,3750002
amzn1.account.AG5QWYLKXMQZJMVXSSAYX23MKX3Q,3437542
amzn1.account.AEBQIJ3ZLBQOM3GDYK7YG47YE75Q,678424
amzn1.account.AFBMK6FSL2WLESPUK7QFTL6NZ7FQ,548422
amzn1.account.AGDR7B63TUMVZXMEMWY6KOWWMKQQ,6909966
amzn1.account.AEFS7LPV5I7K4D35MU3Z3YBVUWQA,3670530
amzn1.account.AHRJFXYIBW2R7Z7GN6IBIQDGLUYQ,10387376
amzn1.account.AF3E7DQYKJJCDGI5E6TUBVHSUKNQ,859314
amzn1.account.AGK4DTQB36ISUO2KB6VB4UHZ6XEA,3674340
amzn1.account.AFPRHK53NV7AHKF3S6RF5TXKFOGA,1750440
amzn1.account.AE2JFROZH333ULDDQJUE4O2XSI3A,4163898
amzn1.account.AEIHSRN3YWWURMP7U2OCT3RRYR2A,892383
amzn1.account.AHOSZ4SL4EVETUP7V3D4SOKN667Q,5339199
amzn1.account.AHLIDCZVYQV4OCHBAT2RI5J67ZBQ,4109395
amzn1.account.AGBQ4FLJZIOX4I3TKPCKBQAHP5CQ,2430186
amzn1.account.AEXBCVH5KLFR36RPNDMP3EEGDF3A,2888751
amzn1.account.AGEDH2XNECB3NMEBOJRNX22GJ2OQ,2799364
amzn1.account.AHYMTI2HHZBTEDRGXEXWWAVP4GPQ,2997038
amzn1.account.AEAX7VDF3DE2Y5RCIH2QUTA44FYQ,4713298
amzn1.account.AFTE4CC7MEVB2ELSF3AU2ZGMRMQA,3720442
amzn1.account.AG5MDHR7VXSEQKENQFUIGIFCGAHQ,6115788
amzn1.account.AHNGSSS5UGE4AS5I5H4YPAE6MG5Q,267065
amzn1.account.AEM6DFZM7VMVYJ5NABPT55K52WGA,18615160
amzn1.account.AEYM63JBZVXDKEZTPSKGMZAS7GTA,1297965
amzn1.account.AH7O3MOPA4D55AXEEJNJFH6G5JUA,3795861
amzn1.account.AE4ZTEUEVRXFUOJAMVCOTWAFXHNQ,4546541
amzn1.account.AFFHJ5FKCTKBNN7QDK3SV63C5KNQ,7109952
amzn1.account.AEZPH3NBHFKWE2BSTDKNHTSVNNIQ,9479063
amzn1.account.AH4K5TKEA7652TPL7EICCRROMO5Q,86739377
amzn1.account.AEZSUKCCEIHZTRPABAD7DEDXP7ZQ,2941084
amzn1.account.AEMKFADHSODUCOBWK2TLHEOLYVLA,650747
