page_url,ranking
amzn1.account.AFKJ5FOOPDXWBF63SJMN3FZZRN6A,367622
amzn1.account.AHW5MKIJZMGIK2JIEIXXGD5J3KCA,41036
amzn1.account.AEPSUN6ZXEMOGNN7D444XUX3K2JA,2049
amzn1.account.AFNXCHRHXRTOQQUUJUMPS2H3HNXQ,1708594
amzn1.account.AFJRMWEEQFQBBN5RHNKA5QWVJ7TA,125975
amzn1.account.AFXNO3AY56VNOWHE6AUGXAYY6EOQ,1146138
amzn1.account.AFWTIVXSGHDJ6WKY5VJCRXH6LXCQ,777512
amzn1.account.AHBT464PJVYNXTSJL7EIBVVBUJCQ,9330
amzn1.account.AELXPQFOVJVTP2H3MSSIW6HQJKNA,266332
amzn1.account.AH5A2Q7RZRYWMFC4JUIW7VM6BMMQ,795240
amzn1.account.AFKJ5FOOPDXWBF63SJMN3FZZRN6A,367622
amzn1.account.AHW5MKIJZMGIK2JIEIXXGD5J3KCA,41036
amzn1.account.AEPSUN6ZXEMOGNN7D444XUX3K2JA,2049
amzn1.account.AFNXCHRHXRTOQQUUJUMPS2H3HNXQ,1708594
amzn1.account.AFJRMWEEQFQBBN5RHNKA5QWVJ7TA,125975
amzn1.account.AFXNO3AY56VNOWHE6AUGXAYY6EOQ,1146138
amzn1.account.AFWTIVXSGHDJ6WKY5VJCRXH6LXCQ,777512
,
amzn1.account.AELXPQFOVJVTP2H3MSSIW6HQJKNA,266332
amzn1.account.AH5A2Q7RZRYWMFC4JUIW7VM6BMMQ,795240
amzn1.account.AG4XZVKXT3XUVPT4BYTTKPMHV6EQ,1226507
amzn1.account.AGS5QRF5ACVS3MLSRRCBC24OZH2A,49393
amzn1.account.AGRXUXZW3U6JVFG4XXZR4252RFZQ,610049
amzn1.account.AGTNHOKLGNVKBLFE2E55AZJEMENQ,157132
amzn1.account.AHQLYJSGZZLUJUQMJ4Q4VNUO7LKQ,287692
amzn1.account.AG5BGGYNONVWWRTYZCBXIGCDFHQQ,8512138
amzn1.account.AEOPLZYBL6WTQH6WXIIVPISHYE3Q,1736933
amzn1.account.AFLDEZTAIRHOMN6APTGFKFEGJG3Q,4593748
amzn1.account.AFOOG77KSXNYF6HDDYY2FVLTPM2Q,2180816
amzn1.account.AGU6MYQWHG64B2UZA6WL7WCLONAQ,3920105
amzn1.account.AFFB52JJOQ7N7QWGA5Y75S7GGZOA,5773530
amzn1.account.AHQCMAA2MKRCC46DKVESZ33B4ZBQ,1384408
amzn1.account.AHB7VEK2CNJNSJBXVW3YMS4ZTJ5A,4932216
amzn1.account.AHDJ6QAWBJGFNP3GX4EZPWBEOWEQ,6342465
amzn1.account.AHCKYEEE2YXAWH7PANMRYQN4LMCA,80287
amzn1.account.AHBBPKNS3FJUTR57BVLPUYNB22JA,31698698
amzn1.account.AF2WDTK5XJHIDHKDG656EV5UVU7A,439507
amzn1.account.AEXHR4UOKXDR7DERGISNEJHZSZWA,10885181
amzn1.account.AF7Z4LURCHHFCVL7GZP6G4SUT5FQ,2200203
amzn1.account.AEAZ6YYSQKQYI2KHEZQUYO7GCA5A,98646
amzn1.account.AF3Q4ZVMJ3HJQNUV5SHQPLVX2GWA,3155389
amzn1.account.AGVVG64BUZCRDAOQ23UWUFQS6Y4A,5028987
amzn1.account.AFEQPH3LKDLOPAXKND2P2EX6IBWQ,4089278
amzn1.account.AE75SHHDT4TFXR7Z4YPY2YJQT6HA,226864
amzn1.account.AEHQILYLFLHZ2OONHOQCIHHYL2QA,562
amzn1.account.AGL7P37B37BRN33M3VSNWLD4NHSQ,3646753
amzn1.account.AGKC2JCDIM2SYEW3PLT2WHZIMAJQ,1200122
amzn1.account.AEAFWJHDBBFU7C6SVTGN5NB4B54Q,1315903
amzn1.account.AGLNSMSVEB7MKS4L3ERJSSHWMR5A,733112
amzn1.account.AHVIKXYM5ICT6KW5FI5UDNF7LUYQ,52137
amzn1.account.AFVBFZPBAG7WHJSI7FCSSYKN2EQA,1933535
amzn1.account.AEICPLNEKOIQYCB24JO33JCXRIVQ,14547441
amzn1.account.AG7FJZE5AX6ESELOMYHZPK5IHZNQ,2810
amzn1.account.AFFNUPZ6NWYOO7L4KIJPTWLCIKVQ,987378
amzn1.account.AGKBFG5VF5ZBTL5BUYVVZ2PCB5GA,86728156
