page_url,ranking
amzn1.account.AEBP4CQ2C4UDXF3XYTCZ32ZYCTTA,3280796
amzn1.account.AFJ6SZXKWQDKLUYSWWB2Q6BYJJMQ,29067
amzn1.account.AFJRFKJHFOVHDPAWXPSWMMDTC2YA,172217
amzn1.account.AF4IYNRPBCDH6HWHHSVIRQAHR6QQ,54508
amzn1.account.AF3PVHF5I7ICW2FQ73ON6IDR5TZA,366085
amzn1.account.AFI5KY265IULCA5ZQPBGHFDZY2YA,782189
amzn1.account.AEI3Z5IWHSN7OMYXJ63ZT25XUAOA,50400
amzn1.account.AGNS4HCS42XLJCJ5XADQ2IEY5QQQ,150720
amzn1.account.AHMC5N6R3X4667NJ6IMXKSRARI6Q,3970136
amzn1.account.AFRFGAAKLLP56RRVRV5OOSJ57RZQ,740716
amzn1.account.AEBP4CQ2C4UDXF3XYTCZ32ZYCTTA,3280796
amzn1.account.AFJ6SZXKWQDKLUYSWWB2Q6BYJJMQ,29067
amzn1.account.AFJRFKJHFOVHDPAWXPSWMMDTC2YA,172217
amzn1.account.AF4IYNRPBCDH6HWHHSVIRQAHR6QQ,54508
amzn1.account.AF3PVHF5I7ICW2FQ73ON6IDR5TZA,366085
amzn1.account.AFI5KY265IULCA5ZQPBGHFDZY2YA,782189
amzn1.account.AEI3Z5IWHSN7OMYXJ63ZT25XUAOA,50400
amzn1.account.AGNS4HCS42XLJCJ5XADQ2IEY5QQQ,150720
amzn1.account.AHMC5N6R3X4667NJ6IMXKSRARI6Q,3970136
amzn1.account.AFRFGAAKLLP56RRVRV5OOSJ57RZQ,740716
amzn1.account.AFWKVSTZVATJOBA4GRFAPEXKTXRQ,125311
amzn1.account.AELD7IBRETODQAOAQODCVUDQDPHA,2904601
amzn1.account.AG4YTR5YPXQQ5MCO7FG2N6AVQBTQ,368829
amzn1.account.AFM4NJQUSGDG2HS7A7VRGWB5UP2A,1965400
amzn1.account.AE6KQKWIKAP264V3WLSSXUS45QDQ,823282
amzn1.account.AERGTEECT2UYHGVBPGZGN6QMM5NA,7613090
amzn1.account.AEE4BE5WAD67Q7MG6J7YJLMOIWSQ,326661
amzn1.account.AHQTYEVMBVO6ZHZHJIODTWDHTR2A,3042293
amzn1.account.AF7C7ZXRFE4O6M2C74WXO3AKGYQA,3465695
amzn1.account.AFE4UOEKOJYVWAZVZUAOTDKVSTRA,3126981
amzn1.account.AEBZQLZCEOGQ7XVR56FRIYYVKRDA,1173096
amzn1.account.AFSHWSFU7WSBFKFB7ZGSWBVRTKCQ,833956
amzn1.account.AEECTP27REDHQQRRGNUIIWW5BSNQ,246169
amzn1.account.AE6AWTMATJHQRHGZOERRXQZDGZEA,468094
amzn1.account.AF722OOLL5NLNT6TC2BZHWMW5EPA,11085612
amzn1.account.AFUIO44BTAJHAVYOX5Z5RW66XC5Q,13159915
amzn1.account.AGH4O3GXLYHPXYVCOXEPLHPPZQSA,7234025
amzn1.account.AH5F2HMU6SU3O7OMEWESLCPVHVUA,3631802
amzn1.account.AE7UBJACACZJXVUOREMBOEDELNFQ,2137768
amzn1.account.AFPOUCECT742R2EN3EWORB6KEPZA,12150454
amzn1.account.AHH37GRYYRMOVDTUG2BUC3GLFA4Q,2838003
amzn1.account.AEHACUZ75TEHA6YJJQEAQ3EO56VQ,3175325
amzn1.account.AGSSYAXFV4MKEPTT3XK2XBZN4QOA,4157363
amzn1.account.AHTJUOXU6IIY54ZWRBQRK3VY4YOA,2476643
amzn1.account.AG6YQNIZQXZFNGTVL7I2WWSGBZLA,17271310
amzn1.account.AFXQKXI3WAQDA2Y6S3L7CTGIGYEA,1106403
amzn1.account.AHZWB6BXKX7QTMUZGDERRV337PNQ,18711682
amzn1.account.AFJ24R4HRLDJ3U4MNBF5R4FA6MBQ,8854864
amzn1.account.AHNP35CCIIITSMLS2POTHKKPSXHA,4274415
amzn1.account.AHIFY4ACDTNU4OPFX64POMJCQOKA,17269011
amzn1.account.AH7GXNHCGFK4EY6VZXX4DIZW74BA,94545
amzn1.account.AGDJ55ERDDLNZL7EWBFVLSZEPP2A,1670491
amzn1.account.AEB52G7NDBM4I3GEGWDQPHFZST4Q,2993533
amzn1.account.AF2NBV2YJZHYAV6QNALZZBTKFYKA,1715400
amzn1.account.AGVYKWWLIC52L6LH4TVHBSMKBKAA,1474369
amzn1.account.AHOSNDIZW25LLLADLZUEF3RLPT5Q,1338254
amzn1.account.AHYTGR6OZ63NXWGY3DNMQBTBNEYQ,451967
amzn1.account.AH7VT47MD3476XAQCRSJT6ULVA2Q,8335009
amzn1.account.AEKK6TPABREB2WK55XJZ7WMRGRAQ,348005
amzn1.account.AG2NBZG2YVDBXHB3E6QMLWW2TRQQ,7595401
amzn1.account.AENOGNMBJERT7B2CR2RZE47D346Q,2653724
amzn1.account.AHDHBFE7Z3MBAD5S7Z6CRJKCWPSA,266342
amzn1.account.AF6D4OTJMQYFGXGCSURKSZGO5FPA,6851127
amzn1.account.AEBWWR4STBWFJCLUCKLB4HNNXBQA,4056917
amzn1.account.AGP6XDE75XQZOSYVMK5X5AS6SY4Q,1892865
