helpful_votes,page_url,total_review,visibility_status
"37,910",amzn1.account.AGMWACNMAG74AXBF7IJ22IOZSZPA,"2,543",Public
"37,910",amzn1.account.AGMWACNMAG74AXBF7IJ22IOZSZPA,"2,543",Public
852,amzn1.account.AG5CZXGJ27YZPFBVLZJFB44NC5UQ,15,Public
231,amzn1.account.AFOXJN43LGORKJWMOCQEPJBFH3GA,46,Public
852,amzn1.account.AG5CZXGJ27YZPFBVLZJFB44NC5UQ,15,Public
14,amzn1.account.AFKQKU3NIT5FX4B5EDDB2PL2T7FA,36,Public
"1,701",amzn1.account.AEIWXTSDO2IBBOLL3R6XKQ5TVH7A,125,Public
168,amzn1.account.AGQ3ULCTFELIVKXVYCTKKCORYKBQ,94,Public
8,amzn1.account.AFRAJ4AE7TKRTG5JPWKPGCB42QYA,24,Public
533,amzn1.account.AFTCBASIQBNYH5FWKRK2M3SUWLRA,148,Public
533,amzn1.account.AFTCBASIQBNYH5FWKRK2M3SUWLRA,148,Public
297,amzn1.account.AH3UU7E535Y3ITEOQC3WSNFAP6AA,72,Public
231,amzn1.account.AFOXJN43LGORKJWMOCQEPJBFH3GA,46,Public
12,amzn1.account.AH36EVGMHKXJOG5U6WRBAQ3K76GA,29,Public
"6,086",amzn1.account.AHNM5TRS66Y25IPXQK432ERWCEPA,376,Public
4,amzn1.account.AFJZWEW56YX3IENQPEOIRVVF4FLQ,6,Public
25,amzn1.account.AHS2DNTVIRQNH5Y6NJWVFMZWWKBA,42,Public
6,amzn1.account.AFRJMANK7IRMMLVF4IDQRKQLCLZQ,19,Public
11,amzn1.account.AHXBKRADH7G2RKBW36JODGV7P5TA,20,Public
28,amzn1.account.AFMN47PHJ3KMDESUSM37TN2I7T5Q,28,Public
110,amzn1.account.AHZ6LMHPUICGJ4JUQERRAQVQYD7A,35,Public
121,amzn1.account.AFINWM32FBLHINLEWKGGC77SFCPA,26,Public
53,amzn1.account.AFDRR3JUWJWTXJIMLI2UL74LXHZQ,36,Public
69,amzn1.account.AHO2IMF3KZ6EFQQVZLKYYB5GC5FA,37,Public
37,amzn1.account.AE5YSL6JWFSWFYMAMVO5Q33WSQZQ,14,Public
49,amzn1.account.AEL7QWUCD4TNGTWABDSULD3JANBA,53,Public
29,amzn1.account.AHMRXTUEEFD3SAM2DKRLJ2VCWT6A,4,Public
67,amzn1.account.AFNZCGBRF3XA55B3DAJ63Q7RBLBA,19,Public
36,amzn1.account.AF5OE2YYJJJDGS3E272ZUASJPOQA,126,Public
640,amzn1.account.AHUOHTLD6BBZKHRAIH5JTLQKVOSA,29,Public
297,amzn1.account.AH3UU7E535Y3ITEOQC3WSNFAP6AA,72,Public
49,amzn1.account.AEL7QWUCD4TNGTWABDSULD3JANBA,53,Public
"9,481",amzn1.account.AGG6F76CPNHTUAFW3PYLPAYQL7PA,"4,386",Public
38,amzn1.account.AGD4HY2SKMEXFZJN6NTE35KOXDBQ,39,Public
89,amzn1.account.AGIVJOLOZOUCZOADDN5YNIJP6TAQ,45,Public
181,amzn1.account.AHTAX7FYD5RKS3ID7VLKLS4GA4UA,84,Public
102,amzn1.account.AH2BBGXT4RRTRINELWQDEWFLJDRA,45,Public
31,amzn1.account.AGTP2SZHAH6FZU7KEKZ6SEDUDQLQ,32,Public
0,amzn1.account.AEZL56HSS736AV2ZKDJHJFJWK6BA,16,Public
387,amzn1.account.AFMX376U2QCSWPI4G44FHUPPD3CQ,75,Public
3,amzn1.account.AEJ45QF7SZYJI6ZNXOVTSHTD22DQ,5,Public
114,amzn1.account.AHUMLOML37DYSHDROS66YZSVQ35Q,42,Public
32,amzn1.account.AH2TEZ3BPL6TJMS42PGMU7UZHB2A,76,Public
30,amzn1.account.AEJ7D4XBCWTCK6HSWALCTQDSPT6A,67,Public
3,amzn1.account.AFV6X72XFVH7M55VNBVCYJMWT7KQ,3,Public
356,amzn1.account.AHTBBASAHXHHOXKLSSZG2IPUDDFA,326,Public
48,amzn1.account.AFBWQN72AVJEH6TZ7R4YO2NGM2ZA,28,Public
