helpful_votes,page_url,total_review,visibility_status
301,amzn1.account.AGZA2L5CDUI4C74TVS4YQLU2OWAQ,33,Public
147,amzn1.account.AEMUCWL7NGKCA2HMADYFQQRALWZA,14,Public
98,amzn1.account.AGBKFYXP46JDLZWRJORRRGXRR6JQ,12,Public
198,amzn1.account.AFAP6KW76QP7K5NYFCKPC3LKHCVA,139,Public
"1,643",amzn1.account.AH2BMH3EZPF5TVLTHB75MCGK2GPQ,"1,629",Public
76,amzn1.account.AEZLJ6NGTX7ATIWEV4QD24C3F5HQ,7,Public
44,amzn1.account.AEBCKXVJ52RJRX2NHS35N65I44QQ,13,Public
208,amzn1.account.AFY5ADZUDA4CNROC73AGBCMEFCEQ,177,Public
339,amzn1.account.AFKR7XD4ZD3HWXOMIZK3LLYUZCRA,42,Public
13,amzn1.account.AFYAJ34NKGJLPH2NHHETKFHTSAGQ,3,Public
301,amzn1.account.AGZA2L5CDUI4C74TVS4YQLU2OWAQ,33,Public
147,amzn1.account.AEMUCWL7NGKCA2HMADYFQQRALWZA,14,Public
198,amzn1.account.AFAP6KW76QP7K5NYFCKPC3LKHCVA,139,Public
98,amzn1.account.AGBKFYXP46JDLZWRJORRRGXRR6JQ,12,Public
"1,643",amzn1.account.AH2BMH3EZPF5TVLTHB75MCGK2GPQ,"1,629",Public
76,amzn1.account.AEZLJ6NGTX7ATIWEV4QD24C3F5HQ,7,Public
44,amzn1.account.AEBCKXVJ52RJRX2NHS35N65I44QQ,13,Public
208,amzn1.account.AFY5ADZUDA4CNROC73AGBCMEFCEQ,177,Public
339,amzn1.account.AFKR7XD4ZD3HWXOMIZK3LLYUZCRA,42,Public
13,amzn1.account.AFYAJ34NKGJLPH2NHHETKFHTSAGQ,3,Public
42,amzn1.account.AH5V2SSRVA7R7YE6N42YDZAVDCEA,24,Public
24,amzn1.account.AEQ4ECW4EWWZAZ3RHESDQPJDOG6Q,13,Public
94,amzn1.account.AEU2CAAIMP3GGPP4QMMBQ55AXMJA,26,Public
67,amzn1.account.AEUU7HXUSJIGSWUWXS3ZOWXD5KIQ,39,Public
89,amzn1.account.AEVOUYTBACACNTRWLBU22CKF4DAA,53,Public
8,amzn1.account.AEQS6ZGDDGUWGVS6XZSLZY7GXGXQ,12,Public
140,amzn1.account.AHUUPW6XWZMOZWHKI65C55K3774A,43,Public
117,amzn1.account.AH44QUMRUCURP4TY5JODPL7C22WQ,80,Public
12,amzn1.account.AFH4AT6OZD362F5EDBWH45O4HZLA,9,Public
16,amzn1.account.AHWWMP7BBVGJO6IEWCSJF4P3R3CQ,9,Public
24,amzn1.account.AHE5MH7UJZWEYI252GZJ7BULLS4Q,22,Public
"27,564",amzn1.account.AGU5HKZBX4S2G3H2WGIC62DEPKOQ,"2,439",Public
35,amzn1.account.AH2QXRNWBKRAAP55G5ESYENKB7RA,15,Public
570,amzn1.account.AGFHEKNBTOYVFOOTTAUCLYHLOIBA,405,Public
194,amzn1.account.AGPQSVWOJQAFFK3TPWPYKACRWDTA,37,Public
"1,243",amzn1.account.AE2POVBPO5VRVN6LDHUVE2VTH33A,177,Public
86,amzn1.account.AG2NXFP47DITI4TBTBOQEI2QI43A,214,Public
12,amzn1.account.AE4Z3AWUNIAIVEFOAMJEPBE2PUFA,22,Public
76,amzn1.account.AGA5CFG6GGV2MGSWLC2ZLXY3V6SA,178,Public
"7,561",amzn1.account.AEHXO3GIKOSWRT5GNNGXYGEOGWUQ,62,Public
360,amzn1.account.AGQJP2ME5BROWBCPZBIAPKRA2XYQ,140,Public
6,amzn1.account.AFZBITXNHQPIPYCMKQDPTOSLPCMQ,9,Public
2,amzn1.account.AHJ7FM7Y6CPPBDBPFVS55QQX4CDQ,3,Public
288,amzn1.account.AGXOBQFS3LA55XRCMYZU7FNSWYRQ,52,Public
64,amzn1.account.AHEB6PULAF4CU6D7JRHE7VQMSPWQ,34,Public
34,amzn1.account.AFFEHFGOXMMDE3GYHXR6XPENADCQ,34,Public
6,amzn1.account.AF7B3PTDDKHDXJEK7ZL5KSQVJA6A,14,Public
11,amzn1.account.AGIF4NVIYOIGBZIDCBEXFDMEMUSQ,3,Public
40,amzn1.account.AHVJQOWZ4ZAB3F5VH3C4NYLY3EHQ,31,Public
