page_url,ranking
amzn1.account.AGPRDMJCYGJ5AL22P5FUXLQ5QNYQ,1128345
amzn1.account.AF3R2U6Z7AOSQYJJSHC5HQACKT4Q,1616775
amzn1.account.AHJZETWQOI5KYW4I7NU2O22RZSHA,2793475
amzn1.account.AHSQQ7FWZFFDAHUHAL6GCIB47FTQ,1244659
amzn1.account.AGPRNQKEQFXM3OHXVXCXBQ35PXKQ,45282
amzn1.account.AHWUOS544XUGWOUPZMUE6KLC5JQQ,1047067
amzn1.account.AGPRDMJCYGJ5AL22P5FUXLQ5QNYQ,1128345
amzn1.account.AGV2PQE3M3BKF7BQE3DA7W52BRBQ,2598487
amzn1.account.AGFVAGGZVYPTQATANGLAL64OFKZA,180132
amzn1.account.AFALJU4CEVZHYQ3LBWLYGGKRT4YQ,7894140
amzn1.account.AHFYDV3P752ECMH2LRNACR43SWCQ,76801
amzn1.account.AFBCULZYFRC7WD7SDJJ7VAMV7IPA,1448670
amzn1.account.AGFSE663TQKEHQXB5KYTRZF32B3A,48027
amzn1.account.AEMXA3LGVMPPKIQVOX7KD4YSTRPQ,677665
amzn1.account.AGOCDV4P2ENT4CLJ37EYACUXBJKA,1511063
amzn1.account.AETA4YY5UUZLNBVXTH6WEJBS2U6Q,853655
amzn1.account.AF3R2U6Z7AOSQYJJSHC5HQACKT4Q,1616775
amzn1.account.AHJZETWQOI5KYW4I7NU2O22RZSHA,2793475
amzn1.account.AHSQQ7FWZFFDAHUHAL6GCIB47FTQ,1244659
amzn1.account.AGPRNQKEQFXM3OHXVXCXBQ35PXKQ,45282
amzn1.account.AHWUOS544XUGWOUPZMUE6KLC5JQQ,1047067
amzn1.account.AGFSE663TQKEHQXB5KYTRZF32B3A,48027
amzn1.account.AGUVBTPUZD7TQYESY64ESSKEMJSA,281361
amzn1.account.AGTNIGYPVH7XU3MBQHVS3TSZGP5A,154066
amzn1.account.AFARJWRSO5KAPFWM4OCONZNLLL5Q,794332
amzn1.account.AE3EYDD6W37V46MHPJJCVXSJCFCA,1510509
amzn1.account.AE6QZOGWJOI4XI3VLTKFNBOBNPWQ,761774
amzn1.account.AEMXA3LGVMPPKIQVOX7KD4YSTRPQ,677665
amzn1.account.AGOCDV4P2ENT4CLJ37EYACUXBJKA,1511063
amzn1.account.AETA4YY5UUZLNBVXTH6WEJBS2U6Q,853655
amzn1.account.AFJPF553T46OLE4WSTAE5BGTDN5A,3779268
amzn1.account.AGIN7MF5VDYIQ5AFUFPCFHXOJOZQ,2074433
amzn1.account.AH7DLZCX3INL7KJIENNNUOXNS2JA,5834237
amzn1.account.AFCUCW4REK64QSP2XSYTKU6RFXNQ,987707
amzn1.account.AH7UFGOA7LQHCQTXL2IMQV6UOPDA,3466634
amzn1.account.AFU4ZYZQTBH7AZX3ROAMPWZ7JASQ,18572075
amzn1.account.AEML34E3UERLC5CIAVTUOKJ5NU6Q,17015
amzn1.account.AHJWVMHAUJTJPMVCPFPAAE44ULWQ,14918441
amzn1.account.AEC36CVEEPSCNJHI3AF75UPWCQFA,249399
amzn1.account.AGGG6QLKYMNRZ7CF2MTA3VGS7OTQ,10010170
amzn1.account.AGYPOA5S42YXV7EME6JQR6NP6YAQ,419649
amzn1.account.AF3WHEZKJAH27ZUTNSXDWKB2N5WQ,90959
amzn1.account.AEQVMKKZOIJEWB2GB6S6NXHVHOFA,448454
amzn1.account.AEMNBQVGO7MDYYZLQUBL4SZ557IQ,69359
amzn1.account.AEHKXWQ5ORXAWZPWAUGDB3SQCTUA,2069151
amzn1.account.AEGUC3C7P3N2QSHSX2EEFOA266TA,1281228
amzn1.account.AGJ7RCF3C4MA3MVVJFZCE7AU5IHA,8692796
amzn1.account.AE2RZUWHT7KWTGAYCLDEQERQ5BTA,5058323
amzn1.account.AELUJUNEWJU7ZW3UB2SXV72ZVUBQ,9240
amzn1.account.AGC3K4N4IMCO3F3XYDQWYG7GW5OA,3725059
amzn1.account.AGOBFJXBGFMT6SSAX74KO7TAJD6A,2892528
amzn1.account.AFQKDC46BMC2FMJOYA3VM4FNF7WA,7092595
amzn1.account.AGJVSKOBOC6ZODIZ3JFGG2ENVO2Q,597767
amzn1.account.AFKHDJOJ6GV3G75FWRF72QWHKPBA,331532
amzn1.account.AHCOYD65APVGTSZTEPKCUUD2N7IQ,5312630
amzn1.account.AGWWRYWPYCWEQIL3RVSHIX6LPWSA,8739876
amzn1.account.AGJMELHC6WF5KUH3PZDI4QQKGR2Q,2209470
amzn1.account.AGZNQHLTVNHSCTOBYW27Z756MBNA,13608960
amzn1.account.AEXC6XAUJR3BCIEIFKOBV2OHPFGQ,240583
amzn1.account.AEO2QA4LY74ADMXQQRQHRK6FJ7CA,4265629
amzn1.account.AHQEKXEKPLEW6CTUNXG52C2BMM6A,462684
amzn1.account.AEZZKU6WAX2IWBM4QRJQD7B35XZA,8133107
amzn1.account.AHWSLRJU3VXO4YFPLCK2QCBSKADQ,3838151
amzn1.account.AGEFRTI3H3S2YE4GHLZGZPHOUTPQ,3642415
amzn1.account.AH7DHUDYV5WXMWIVSOXB5TKIERYA,3473209
amzn1.account.AHCRGH36QOY2SNN3RDZOSJARPHNQ,6039941
amzn1.account.AEEPRM3SPDB3KPJCULJ3GNJKYKHQ,308576
amzn1.account.AEJDZJ4TVNGFKG7Q3KYOMAFDXSWA,773482
amzn1.account.AELAE4YJQFJNDQW6WRD4ENVXGKZA,822329
amzn1.account.AF4FWGN6ONLTATE6EDXGXFEQIELA,4341194
amzn1.account.AGQQHHPQFNOFYTWONYZSKKH52R4A,75870
amzn1.account.AGXRULQPGF7YX4PAOSPLTWTPM6GA,161061
amzn1.account.AE4KFZT3GQ7JNSVAOMUNCLST54KA,4871320
amzn1.account.AEM5N2T3W22QE3SENZQKCVKKADLA,317576
amzn1.account.AENR3ZKGMHN53OPEXZ5GAVB4LPKQ,138967
amzn1.account.AEOKH6BRXBBQIW7R5FYNW7IBGFAQ,50732
amzn1.account.AGD4PW6PLOSTBRPBRN6A37DYD2EQ,20928
amzn1.account.AGTDCDT2366WHNZDPQJMJ2I2E46A,187901
amzn1.account.AH2LRRBF2PBPDG55HCHTTYUI3MCQ,6224969
amzn1.account.AETFHXWBNVRUPAIJ77MBVWNOFKBQ,7416013
amzn1.account.AH76QLFZEUHF2XO4KSPMGYQBAFIA,372931
amzn1.account.AGJ7SJ53HFY2VFDP3IO6LCL2P6XA,26421893
amzn1.account.AFMMES75AXBB2LHHZE4RMGKG2U6A,4583210
