helpful_votes,page_url,total_review,visibility_status
"1,089",amzn1.account.AE4OZEZEQ2MSC4RSL5EEDGXX572A,1,Public
389,amzn1.account.AFIV3BKQKF6QLVS7Z3P76BQYNLIQ,11,Public
469,amzn1.account.AFMPOBP26UDU56SWTVDFRJN73HQQ,3,Public
211,amzn1.account.AEZ5FPDGDXBJZZYQQRTIG7KUTGNQ,13,Public
230,amzn1.account.AFTD6QKNAAD723UTYOTF3QCYOABA,1,Public
205,amzn1.account.AF2GDXMBA7CLZINX5L7DVRLQHSKQ,12,Public
317,amzn1.account.AHZOOVF2QGFWHYCGJGWSTRRBPGEQ,152,Public
"1,897",amzn1.account.AFCTA7ADJVBKAOXVHUHMRZEEEE4Q,168,Public
591,amzn1.account.AEY3HMFSFTDWZOVGZ5PUHSLBJKTA,2,Public
88,amzn1.account.AGU35RTIKCA3ETXR7KBMUCQCRGRA,59,Public
"1,089",amzn1.account.AE4OZEZEQ2MSC4RSL5EEDGXX572A,1,Public
389,amzn1.account.AFIV3BKQKF6QLVS7Z3P76BQYNLIQ,11,Public
469,amzn1.account.AFMPOBP26UDU56SWTVDFRJN73HQQ,3,Public
211,amzn1.account.AEZ5FPDGDXBJZZYQQRTIG7KUTGNQ,13,Public
230,amzn1.account.AFTD6QKNAAD723UTYOTF3QCYOABA,1,Public
205,amzn1.account.AF2GDXMBA7CLZINX5L7DVRLQHSKQ,12,Public
317,amzn1.account.AHZOOVF2QGFWHYCGJGWSTRRBPGEQ,152,Public
"1,897",amzn1.account.AFCTA7ADJVBKAOXVHUHMRZEEEE4Q,168,Public
591,amzn1.account.AEY3HMFSFTDWZOVGZ5PUHSLBJKTA,2,Public
88,amzn1.account.AGU35RTIKCA3ETXR7KBMUCQCRGRA,59,Public
171,amzn1.account.AGHOS6IKH3YMV5J5QJXAFUUZ4EMQ,119,Public
42,amzn1.account.AGM3USY4I3G4V2VMHSOFLTG4NLZQ,13,Public
42,amzn1.account.AEMFQ7OQXOWXWWK63FU25WOFHWDQ,51,Public
88,amzn1.account.AHXZ6RNH3PJE4K5SYU23CUOFNK2A,41,Public
13,amzn1.account.AFLJOVAMXROHHMZG7SL6XIUPJTYA,4,Public
23,amzn1.account.AG4FDFVR2CNO2GZBZWOKSGPVP3AQ,75,Public
20,amzn1.account.AE4HGX6FWXTBXB725G6KHTH7CX2Q,24,Public
98,amzn1.account.AH5ZGXRWTHC5LTSDMBGOZUW6DNBQ,81,Public
19,amzn1.account.AF7DCBPTLZK6UUJGOVOBGZWLNGPQ,10,Public
549,amzn1.account.AEGDAAGPFNXUYI6PWYK42URNCITQ,169,Public
377,amzn1.account.AFNV5GG4YENVN6RH3NQV6XKFY2HQ,55,Public
285,amzn1.account.AHNODCQLFOF27VUS4N6FANDGX4CA,146,Public
27,amzn1.account.AE2HJAUQM5USGXMELW7LH6MVQF7A,31,Public
11,amzn1.account.AELLGQXLKIT2HZZPMFVKZFUVYUQQ,3,Public
"1,525",amzn1.account.AEST6NIVUZVEIK3QTRKV2VRWYMKQ,"1,248",Public
431,amzn1.account.AFJ3HSDTD2O6JUEN6AFJEXP2BTYQ,197,Public
20,amzn1.account.AEHZ6LFYG36LEXBGJY4SGHEXXFCA,32,Public
58,amzn1.account.AFLLH7T6T5UQR4LPLMODNQSIFF3Q,58,Public
87,amzn1.account.AGGMRYNLPLHIQZYHDRWMBLV6CXNA,212,Public
8,amzn1.account.AHOJ74MXO3BQ45UAWEXFOJP2CXSQ,8,Public
7,amzn1.account.AFAFNRTXSMU63SUSYK7HQSQWCJ2Q,14,Public
5,amzn1.account.AFUDLCY7N5XSDHWPQGGLVC55JBHA,3,Public
18,amzn1.account.AEC2N5BWSZNPW65C5ETT76FDKSXA,24,Public
54,amzn1.account.AFE3LWP3KX5UBUF7COQHNMHHAZLA,44,Public
5,amzn1.account.AGOYFGLGKYXHQPSWTOQGQGZGGURA,2,Public
3,amzn1.account.AEEUESORR7A3UPM6VR7GK43TM4NA,3,Public
84,amzn1.account.AH5XLPTPML3P36YNPUASP7PMLVTQ,48,Public
232,amzn1.account.AFOL7VRBS47EPDQAJGS63Z52TECA,153,Public
29,amzn1.account.AHUESUXGSAFZKBNW5JSN4OMDTKWA,60,Public
43,amzn1.account.AEY4LPSXCLZJKTQUPSODR7EJSVPQ,13,Public
14,amzn1.account.AGOR4OTG5DZXPOEXZEDL77M72NEA,23,Public
986,amzn1.account.AFJKZEYD2VZSI2NO3JZNMA4XX4RA,284,Public
217,amzn1.account.AEXMHNQM5LLTGFT2JMUH3AZCGVEA,22,Public
16,amzn1.account.AE4YZLVMJHVN5YTZO6EBFILA7WVQ,13,Public
158,amzn1.account.AGSWXWDMX5NPOU6TT636VHEHL2HQ,147,Public
168,amzn1.account.AGYKZOACZSEYUEALZ2ZE43BITOOA,67,Public
27,amzn1.account.AG4X3JPERG5YEMMLJF5CJLVBDRKQ,20,Public
0,amzn1.account.AHANAPIV33FDXYCMJMQNHVIMLEDA,2,Public
60,amzn1.account.AH2CEKITUH3ETLYMVECVQ44TAJPA,45,Public
36,amzn1.account.AFDJEMC2ETQ3WG7T6BSJBTUDMMEQ,30,Public
86,amzn1.account.AGSPDMBPX54LO6DVGSCF4GUPKP7Q,56,Public
6,amzn1.account.AFXDNB7RJEKZMPA3GTZVX4PWYTTA,16,Public
92,amzn1.account.AEIRUTOP737XPYCH5M62HJJNE7HA,78,Public
11,amzn1.account.AH6FWXJLMH247WGMT5RVOVQIOCNQ,38,Public
57,amzn1.account.AH42A3425J42VE4TW6KKMFEUR2TQ,63,Public
8,amzn1.account.AHKICMU65LHK6UJM2MFT3PE2VZGA,54,Public
980,amzn1.account.AE7YDONXEFLYECOOKJG3KNVR4HKA,441,Public
66,amzn1.account.AEABDVYHAN3FXCEJQ6CWEOYTW2KA,86,Public
603,amzn1.account.AG7MMFBPZHDJ6A5XATGZJ5Y6XEEA,216,Public
25,amzn1.account.AFDGPAGIRIXWP7GJDFMVPABCBRNQ,48,Public
144,amzn1.account.AHHUSSJWQWK77AQTVU3HV6S4Q7UQ,130,Public
125,amzn1.account.AGDSK3NN3WCENFFCNDYLVGR4T4GQ,32,Public
38,amzn1.account.AGLELEBREAPTXCDNJ3NWMSZDJTJQ,6,Public
