helpful_votes,page_url,total_review,visibility_status
620,amzn1.account.AHTEMJWRHSISMQBIRKFDTOLDNRTA,52,Public
"1,133",amzn1.account.AHAU4M6OOKNIW5DZAEUUFKHKV24A,300,Public
694,amzn1.account.AHYYILOVPU4EQSYE2QTRNVRB47SA,26,Public
797,amzn1.account.AEG2I5EJKM3OHW2EGO7M3T4QRZXQ,147,Public
"2,106",amzn1.account.AF3IINICLZX6NXMOMS5ENPDXBDBQ,776,Public
12,amzn1.account.AETL7PRJB5TZOYITHRXKUBJVMWPQ,27,Public
"3,319",amzn1.account.AG44NR5TJEJPYFIBZAVRMK346POA,452,Public
"1,763",amzn1.account.AGFWKDXUDMYULQKQ47OTOYCHXHWQ,10,Public
230,amzn1.account.AEQPYPMCVUEPREOZQ5NJV5AR6L7A,28,Public
297,amzn1.account.AHUKJWKGZVKY3MLTBCK6U77HNOEQ,15,Public
307,amzn1.account.AGXJ2RRCY6RWPLQUKDICU5GRO7BQ,13,Public
620,amzn1.account.AHTEMJWRHSISMQBIRKFDTOLDNRTA,52,Public
"1,133",amzn1.account.AHAU4M6OOKNIW5DZAEUUFKHKV24A,300,Public
694,amzn1.account.AHYYILOVPU4EQSYE2QTRNVRB47SA,26,Public
797,amzn1.account.AEG2I5EJKM3OHW2EGO7M3T4QRZXQ,147,Public
"2,106",amzn1.account.AF3IINICLZX6NXMOMS5ENPDXBDBQ,776,Public
"1,763",amzn1.account.AGFWKDXUDMYULQKQ47OTOYCHXHWQ,10,Public
230,amzn1.account.AEQPYPMCVUEPREOZQ5NJV5AR6L7A,28,Public
297,amzn1.account.AHUKJWKGZVKY3MLTBCK6U77HNOEQ,15,Public
307,amzn1.account.AGXJ2RRCY6RWPLQUKDICU5GRO7BQ,13,Public
614,amzn1.account.AE5HHYYSFCV2QKQ2NDNQDBMLS5NQ,184,Public
146,amzn1.account.AHKK7WSQT4GW3BVIF5H3LT4WVFSQ,170,Public
106,amzn1.account.AHICLFE7Y2ERSE674PR4TLO72L6Q,24,Public
91,amzn1.account.AE6KDJDN73HNBA7KPYXARQSH4NXQ,22,Public
25,amzn1.account.AHLN7TFCA2EFMR6WARWKANBUE5YQ,35,Public
175,amzn1.account.AFCPMXO2P7G4MGT3SG6DIB7ZU7QA,308,Public
"2,624",amzn1.account.AGWX6BUHJQ34IT767QDYAIKABFBQ,244,Public
69,amzn1.account.AFRTAIPTOZU5XYIUUVW2UHCLC6AA,75,Public
