page_url,ranking
amzn1.account.AHTEMJWRHSISMQBIRKFDTOLDNRTA,151136
amzn1.account.AHAU4M6OOKNIW5DZAEUUFKHKV24A,19496
amzn1.account.AHYYILOVPU4EQSYE2QTRNVRB47SA,203476
amzn1.account.AEG2I5EJKM3OHW2EGO7M3T4QRZXQ,24233
amzn1.account.AF3IINICLZX6NXMOMS5ENPDXBDBQ,3659
amzn1.account.AETL7PRJB5TZOYITHRXKUBJVMWPQ,1981284
amzn1.account.AG44NR5TJEJPYFIBZAVRMK346POA,1058
amzn1.account.AGFWKDXUDMYULQKQ47OTOYCHXHWQ,4155391
amzn1.account.AEQPYPMCVUEPREOZQ5NJV5AR6L7A,313347
amzn1.account.AHUKJWKGZVKY3MLTBCK6U77HNOEQ,3220469
amzn1.account.AGXJ2RRCY6RWPLQUKDICU5GRO7BQ,1316200
amzn1.account.AHTEMJWRHSISMQBIRKFDTOLDNRTA,151136
amzn1.account.AHAU4M6OOKNIW5DZAEUUFKHKV24A,19496
amzn1.account.AHYYILOVPU4EQSYE2QTRNVRB47SA,203476
amzn1.account.AEG2I5EJKM3OHW2EGO7M3T4QRZXQ,24233
amzn1.account.AF3IINICLZX6NXMOMS5ENPDXBDBQ,3659
amzn1.account.AGFWKDXUDMYULQKQ47OTOYCHXHWQ,4155391
amzn1.account.AEQPYPMCVUEPREOZQ5NJV5AR6L7A,313347
amzn1.account.AHUKJWKGZVKY3MLTBCK6U77HNOEQ,3220469
amzn1.account.AGXJ2RRCY6RWPLQUKDICU5GRO7BQ,1316200
amzn1.account.AE5HHYYSFCV2QKQ2NDNQDBMLS5NQ,112097
amzn1.account.AHKK7WSQT4GW3BVIF5H3LT4WVFSQ,505842
amzn1.account.AHICLFE7Y2ERSE674PR4TLO72L6Q,1759925
amzn1.account.AE6KDJDN73HNBA7KPYXARQSH4NXQ,490710
amzn1.account.AHLN7TFCA2EFMR6WARWKANBUE5YQ,2932137
amzn1.account.AFCPMXO2P7G4MGT3SG6DIB7ZU7QA,301349
amzn1.account.AGWX6BUHJQ34IT767QDYAIKABFBQ,33614
amzn1.account.AFRTAIPTOZU5XYIUUVW2UHCLC6AA,1070290
amzn1.account.AH7N3OAAYHGVHG735HW7RZEO6KLA,49135569
amzn1.account.AHWUWE4T5VJ763L6OTMFXJVYMTRA,8958142
amzn1.account.AHN4RMTP63KSOGYGKY3ZXNC2MXAA,1732096
amzn1.account.AFITBUUOWNI757ZY3IKIPA426H3A,8124853
amzn1.account.AHX5B3HZKLACH6CINE2RGOLGGTLA,921385
amzn1.account.AECDDBEQVWN2MC6XMZEADMRCKNKQ,1531698
amzn1.account.AH2XJIGBSAWPZGJ32A5U3ZIHMS4Q,141255
amzn1.account.AECUEM5TXUHQ3IAGNJBPAPSSJSPQ,561923
amzn1.account.AGO7RCC4DGREXBU5NB77UTJRB2RQ,1516430
amzn1.account.AFSUV2BHSM3AWTLRMLF3MYYFYINQ,40863463
amzn1.account.AFIX7CFHROV7WSL333F2OC6GZSUA,7543871
amzn1.account.AE5HHYYSFCV2QKQ2NDNQDBMLS5NQ,112097
amzn1.account.AE4VFW2JWE2URYL6Y6SJ5KUUD5FQ,343017
amzn1.account.AGZNXUIUUHQRDU3CFM6XPP22CBGA,402308
amzn1.account.AG2ZBSVXUPU3J2LB2Y7RFXNO2BOA,234826
amzn1.account.AHYBBJNM6WQOVTHWFONZKTDJ7DCA,437706
amzn1.account.AG4NOBMGUJ7FJBRRVNE4VK3WQSVA,747959
amzn1.account.AH4NUHMXOWGAVMQM2LSDG5MHLNEQ,119387
amzn1.account.AEPUYNDR4DY27VUB4TILPQT5OB7A,17238
amzn1.account.AE3GEVNWV5PF52PHYTAV56IFEDZA,17189
amzn1.account.AFL2UPQTTMNP5E5V35AK565ZONTQ,2955
amzn1.account.AFZSFKSROZSQATL6VG5O447HZJBA,46405
amzn1.account.AFRAXPJ6K5L3SMLVKNHKXGQI6VHA,6185084
amzn1.account.AH6QFC3X5YRPAW3MCBAXNP2ILG5Q,738805
amzn1.account.AHBBEBV7RJYLCUMMPATAGNPTCK5A,2054636
amzn1.account.AEOUBN4NRD3TUG5Z3MDMT3QFK64A,5428103
amzn1.account.AGEA7SRC357F5EQK25XSSDSPMZNQ,1576349
amzn1.account.AHDKVMC7H7KFXEDTTYCUJM4KUVBQ,1146236
amzn1.account.AESNKGZCA3TNTG2LMXKBT4O22Y6A,24996
amzn1.account.AHAZTNTZMBD6JN3WAUQOXNQVS5YQ,12819
amzn1.account.AFVX2QC34AWFP7N4CUTA6YMHDLBQ,9519520
amzn1.account.AEVU45DH6EZV7UWJWV4V5O7HEK2Q,4677260
amzn1.account.AF57F4BI6XJENO7PJVDU6BFMQXJQ,58985
amzn1.account.AHN4YWH5YAB5JKRN7S2BAIKT7MKQ,716373
amzn1.account.AGI4LMALRDJ3SD3C3XM5ZLKFRPQQ,82262
amzn1.account.AG4WX3FZVT4RXMLRMCEBA7AKLU2Q,2767746
amzn1.account.AGZGQVAXW6HW7XLWLCPCT465CHHA,775111
amzn1.account.AF6TD5PWA72V2QNFDEJXVPSPA7JA,1685862
amzn1.account.AE7YNK7C7Y7C6AUDXZYVIE6B7HXA,290048
amzn1.account.AHVGDWBHNUQVYEXLESBXRGCEZPCQ,100089
amzn1.account.AGC7E5BIJFFPFY6RHEDLJO5GLPJQ,292183
amzn1.account.AEDNQNBLH6U2RXJCGUZ2OXFSBOZQ,46733128
amzn1.account.AEZ4TGMPH2ZARLJ4T6AL7QLZHFWA,5348
amzn1.account.AG2LRLSRWQZ2FV34QHRK6MAH7AEA,7094
amzn1.account.AGSHNPPHGCDPAQ7FQOHDSFZRCJQQ,36736
amzn1.account.AHE25CCF4747R2Q23O6AIVL5OPOQ,13352822
amzn1.account.AFXTUIOY5KSOWP63S757RYVK2YPA,2858412
amzn1.account.AFT5WDYGFP6QYMKNMPSWW7U2E7OQ,36858819
amzn1.account.AHWEVEAAJHCBK62N563KZQZPYHLQ,910372
amzn1.account.AFSMY7YSYOFXIUQWJNX26OSU2F7Q,1967043
amzn1.account.AFPYQTBPB3S454KAH6I3EVSVFOUA,205491
amzn1.account.AGKNFXW7PYJWGNNOOBZKW22QMYBA,31091
amzn1.account.AFYU5HM727D3CGFMJ2DBXNUJHTCA,720738
amzn1.account.AGG2VAHAVGPPS3JKFVVVUSV2ICCA,30242
amzn1.account.AHIQB4HGIDKY4AFJPHWW4E3R6ZSA,48964
amzn1.account.AGVNXO6BVUZ2A4WLJ35AEKIZTDPQ,1050541
amzn1.account.AFEOXE4U4VDE4HJGEVLJ3U5HHIEQ,98578
amzn1.account.AHW5QVXRYPSMKVBL4ZBO3X4NGFXA,991103
amzn1.account.AF2SPUXRQ6LKL5TQPPHY5WXRUBUQ,1343126
amzn1.account.AHXW5YAPGCZUBLG6VXPSXNYOOEPQ,1690069
amzn1.account.AEU6VBGUKXQYVL2NZ7DKVEDWGCDA,111483
amzn1.account.AHE2POXJ42PXEUJLBU6DATCE77CQ,3855377
amzn1.account.AHHA6IHBJON75WNURLXTJUX2FTUA,28140
amzn1.account.AGAYJOHT7MQEX3CIBGVGXKOFFJPQ,16209
amzn1.account.AG3NO2ATCC7WEV5ELOQOUTMDJNOA,2601510
amzn1.account.AF445R5Y7BFFXNBTASTA2IEMUWDA,31759
amzn1.account.AE7CESCLDKQV7VCDHH5WBNB2LNOQ,86556545
amzn1.account.AFMWBK2USAF2LAKZ4WNTDLL7OI6A,22699
amzn1.account.AGF33JL3BGRWEYTLPS756NJ2UPYA,19143
amzn1.account.AEIJOZ6VY66KURG7OMKIFQTLFQYQ,331964
amzn1.account.AHFZZ7343DAFHPKC2QGQA4KG7GBQ,503424
amzn1.account.AHSVOKGVCE3MBLCCGXRLFPLLISJA,7640
amzn1.account.AFZ4DTBZYWW6H3NTHUMM6RNCV5VQ,82625
amzn1.account.AHOBGCPRORLIYZXACUHLWMMO43RA,2666583
