helpful_votes,page_url,total_review,visibility_status
"2,291",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGO7YDI4EAP6I7YCUL2K4JFRCO5A/,111,Public
619,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFYFNVBAO7W77K5E2ZVRRP2QCU4A/,31,Public
510,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGZN5CXI6XJCUYUGAWVGZYL3NUDQ/,61,Public
"8,839",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHGJTS5GXPXKXB4MTHJIPYICF2YA/,345,Public
"1,436",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEFBJ76UUIYU4PL36676BXGPYIBA/,64,Public
"1,553",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHAGHG3K3MDXP6XLBRLRLGNSJUWA/,89,Public
306,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHZD744XC32PITH2ST733X5NFITQ/,40,Public
"19,681",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHRGTIMQO47C2VLJILIDU53BQKSA/,"2,464",Public
588,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEOTIVDPILFEOGDW6MP6QQBCEM6Q/,245,Public
61,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHKWK55INXQTB6NAWRE6HIUE3HZA/,31,Public
"2,291",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGO7YDI4EAP6I7YCUL2K4JFRCO5A/,111,Public
619,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFYFNVBAO7W77K5E2ZVRRP2QCU4A/,31,Public
510,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGZN5CXI6XJCUYUGAWVGZYL3NUDQ/,61,Public
"8,839",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHGJTS5GXPXKXB4MTHJIPYICF2YA/,345,Public
"1,436",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEFBJ76UUIYU4PL36676BXGPYIBA/,64,Public
"1,553",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHAGHG3K3MDXP6XLBRLRLGNSJUWA/,89,Public
306,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHZD744XC32PITH2ST733X5NFITQ/,40,Public
"19,681",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHRGTIMQO47C2VLJILIDU53BQKSA/,"2,464",Public
588,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEOTIVDPILFEOGDW6MP6QQBCEM6Q/,245,Public
61,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHKWK55INXQTB6NAWRE6HIUE3HZA/,31,Public
361,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF7WQUQXU5N2NRVFH3DP2OSBAMUQ/,137,Public
16,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEV7EQDWY3ZANNJGY22GZTP7I6OQ/,13,Public
29,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFC56GHDSYUC44BQMLDXNNPSP4JA/,18,Public
"1,163",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AESWGAHQJU7ML6QE4U34AH5ZRZUA/,186,Public
49,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG26Q46C7QUHYW3KJIGRYUZNRSQQ/,38,Public
185,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFV7AHA7IWTVXIWWDPL43SN3AJPA/,51,Public
29,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHK3ATVI3AAHRH7MKXSLXV3GYLQQ/,12,Public
42,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFJRGR5RLLYIC3ALTTRXOPXQTPNQ/,17,Public
280,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHB6BT7JTJ77NV3HYWUGLM7T6S7A/,86,Public
367,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHKTXQK42YJIWXLTP47QJHZ65P5Q/,125,Public
41,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGBIT4IW3JNT6AHDGVQGW3PVIIZQ/,42,Public
"1,722",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEMRVQ556OKSUBZYJMZ7753CLYAQ/,886,Public
57,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFR745ZGX7N7CSVYHK47J4NSBKUQ/,54,Public
596,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGQOADESXBTZFMSDCGNGV6TRTH7Q/,106,Public
102,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH3KGWDNPEZ3WBXH55EHT2XTIGMA/,18,Public
"1,524",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFARBDAB5TEQFNT2WC6TOWTQSLCA/,248,Public
51,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG3L5TNL46ZAZM67SI6IY55TMMXQ/,35,Public
11,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGBW3ANQGJFKL3OJ56CCN5M7P2JQ/,19,Public
275,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGCYDA6GB4DYXEIFUQO355UKZCWQ/,206,Public
19,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFCLUDE55GBFCZERWXU663U6LJKQ/,25,Public
60,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGO2VYXLC7FREEOYLM6MKFNBF43A/,25,Public
283,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGZD66AISQDJUTYEGXHWVG4SVBKA/,163,Public
61,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHM5MRR4MIXAFRBQUJS2ZR3OL2DA/,12,Public
183,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHTMJEI54B3UAJO2SLGPSIYTITBQ/,60,Public
"1,601",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEJJJZV7HXOWHQJ4KOGSG7AQAJ2Q/,78,Public
263,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG5K65GCV6XNE3LIAXSSN4X34EFQ/,72,Public
246,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEXPD7J4ZWNLDYF5JUEAKXESFOVQ/,123,Public
439,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHNYPMJF3ZX7R5OJYYNEMHTDK4WQ/,205,Public
210,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGQT4GNZS5KV6LVRQ2JKNUHJ3B3Q/,100,Public
118,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGL3MCBLYMSXDHIG7JXAS6XZCU5Q/,158,Public
384,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGQDLBPCYRCSEHP2E5TNVHWUOXRA/,171,Public
19,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE7CPXDACKHRJ6CV3QG723SJSKZQ/,20,Public
85,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGZR5S7PTH6PM4RKPBFGIIRXKCSA/,61,Public
"1,026",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHHZYPKGMQR6KCRSCZD7DDBXGVIQ/,436,Public
6,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFZ4IMQAPC4RTT3MGIJILKWXNZVQ/,24,Public
128,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEVCSTTY7X7SWVEUIKTE5ADU756A/,54,Public
10,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHWVZIY3NX5LH5POYKDTO3NOUNQA/,18,Public
113,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEPXQFHLHRK36GXAPWUU7KULYGFQ/,20,Public
87,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHCZNORPP3G3FH7PDER6IMYYSIVA/,161,Public
50,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGYIUUO57VDZM5PYLBJE5WBMWWEA/,43,Public
27,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGFUWQS36URTEEETO7I4H6XZH3IA/,50,Public
37,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG2A5AUP6ULKDOTLEI5S5QKCRAJQ/,106,Public
61,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFE3232QWBZ5P35FT4VH2EJ2EVMQ/,70,Public
40,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHJMTHQB3AWFS2UF3YNUBNPL4Z7Q/,41,Public
39,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGP637RFYBGRY5AWL5RRJLY2W7SA/,54,Public
11,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE547XCKTZQE4PBF2F3TKNGWMDOQ/,24,Public
"1,530",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEAJ4F43B7UR5OAVL3P5UVMIOKJA/,218,Public
47,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AECRASNYSLTX6UYINE7BDXIQL6KQ/,40,Public
166,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH5ZC5GR3DAEALRDHWXJI6YQ67RQ/,80,Public
10,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHT6LK67CGNEAQYJ4DGX2MUP6JUQ/,17,Public
48,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGEAMPGN35ZG4AKUSWTIACDTOYFA/,45,Public
54,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHLZFSJCAZZ2H25MJOHP42MZP3EA/,48,Public
38,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH7RDVIAPXOWNYEIACICGLFHFNIQ/,31,Public
77,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGWP4OLBYT7JYIPFOG3UAHTFFU3A/,125,Public
34,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFA6B2CWJ3FSDRBKQYUITLG37JHQ/,23,Public
14,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGU3LDETEKUFIENSZILTOGJGSMPA/,59,Public
71,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG2GYEHZRSMXIXLZCPJ2FCNZCUVA/,102,Public
233,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGNEVSP6BF6SXAO75YTSV7WTYZJQ/,165,Public
59,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEHLW7GJ2Z2YRCH4SUXQNA3AJK6A/,44,Public
50,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEGQ7KZODQAHSXSID5SAKIMF5BRQ/,33,Public
117,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEZQ4OI26CBN2YM24XUYFLV7F7PA/,134,Public
79,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEAEVFAK5GVOSWDYS7XC37ECPLTQ/,35,Public
4,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFVS2QRTT7V3IM3PK3JJSXFUS73Q/,3,Public
22,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHNCRMEA2KYVJ6ZVPR4HHTXQIMOA/,25,Public
