helpful_votes,page_url,total_review,visibility_status
"3,622",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHIULA4SQQN2ZTBFTWILE532RHRA/,14,Public
"1,087",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFKTIGYATELYZYRBKZTCNQDSBA2A/,16,Public
"1,108",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHZ7ZHVPVN75VEVNUOOZINEMLWFQ/,76,Public
"1,146",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEPPJROY7UTKD4LYFQDXEKBBXTXQ/,308,Public
202,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH6PPZBWDAL6XZOTBGOXHJKN2YZQ/,2,Public
129,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF76LDIDI7LKO4DYX6QBDXCY2NQA/,3,Public
403,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG37BRWD4A6RIC343DA37IMN7IPQ/,17,Public
80,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AETMS67633252TO5Q4JFAMODNLIA/,4,Public
241,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFVPD3KFBSZTQ233DNMZCVNA6L3Q/,88,Public
95,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEUKC5UNWJZE3DIPGGLWH4MBSBBA/,104,Public
"3,622",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHIULA4SQQN2ZTBFTWILE532RHRA/,14,Public
"1,087",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFKTIGYATELYZYRBKZTCNQDSBA2A/,16,Public
"1,108",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHZ7ZHVPVN75VEVNUOOZINEMLWFQ/,76,Public
"1,146",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEPPJROY7UTKD4LYFQDXEKBBXTXQ/,308,Public
202,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH6PPZBWDAL6XZOTBGOXHJKN2YZQ/,2,Public
129,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF76LDIDI7LKO4DYX6QBDXCY2NQA/,3,Public
403,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG37BRWD4A6RIC343DA37IMN7IPQ/,17,Public
80,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AETMS67633252TO5Q4JFAMODNLIA/,4,Public
241,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFVPD3KFBSZTQ233DNMZCVNA6L3Q/,88,Public
95,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEUKC5UNWJZE3DIPGGLWH4MBSBBA/,104,Public
559,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGOOEMQ2AMCGREEXW64VATJDYXWQ/,172,Public
185,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGYSHSFB4UN5DDCPNWX3TY6S64JQ/,13,Public
60,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH6N4MPXUFL4GEOTPVAEK6QJ4UCA/,32,Public
154,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGJCIVGOLNZCJSCLJ6R76DFHJFNA/,63,Public
143,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGCEYVJYV7LW3MIQK2VATYSCSBXA/,23,Public
153,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFKV4F7SHUFS5OF3GZL3HIH4Z3PA/,115,Public
18,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AECMRBWXSDP4Q3GY5NCPRLQVHIZQ/,5,Public
206,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGIU4J2YBNR5TVXVDCSGCK5LP7AA/,24,Public
"1,916",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHBXW7ZW4REV67MM4ZC6JW54KPAQ/,602,Public
55,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHH6R3UCMBSM7IN4R3HKJNOEUCUA/,44,Public
75,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFB4LZUDUXDJTMMMCBXGJSRIK3HA/,3,Public
46,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG2PVIAEBS4KSRFFOEFAFTF7LQTA/,1,Public
133,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFDVISDVSG7LZCYKVNMDMXCEOXDA/,63,Public
143,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEVXFZLLOPCUWDHBNDIA3CQAYLFA/,80,Public
768,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHHZGBPAFW6RZNKPDYZEPJ3FBC5Q/,410,Public
31,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEBA2SGVEAGXRX6VNTBSMWVYL3XA/,35,Public
23,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHLYPW4OBX3IK62EJU5LVR7VJOWQ/,5,Public
50,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGX64JEF3EIOPWGQSU7FO2ALHLAQ/,72,Public
11,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFMF4U75SDOJXYNBZDH6KGZYHCYQ/,14,Public
62,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEFR3RXRASD5YDZD3WURXBRUZGUA/,18,Public
87,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG2MAO3W6T7A5D2ZZ2W74YLQFJNA/,67,Public
110,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE6NAOAC33W3Y2ESCH6OPTIH242A/,45,Public
"1,591",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHUD5NSSK2KFTTZNZYQB6SCF34IQ/,219,Public
18,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHEDEYWQCKHX6DUPMALBHAAA66VQ/,5,Public
12,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHE2W2KMLPZ7OOGAJCLLRXQZ6JWA/,10,Public
96,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF7Q4K5JXDXRVJHGOXF7A7YAOEYA/,75,Public
172,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE7R7QQHRMS2XKAUFOE6FMAPS4FQ/,121,Public
118,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGXMXNEYUXH6FTC73ZO3WT4XZA4A/,30,Public
633,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFPGIJCRNYVPGHD6YEQKB63MNINQ/,53,Public
16,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFBX6EWCPO6YLCM6GOMZKDKSHJTQ/,17,Public
7,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFMNLS4HCX3SJTV3XYV36PKXO4DA/,9,Public
31,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE4K5ATOX6TEKAO5T7RSNWLWTYNA/,30,Public
67,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AESCHN3LVU3HLVWRKPYTYP2BG3XQ/,50,Public
9,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHO56MTDPY6AJPFXHZH2MBGJ6FXQ/,1,Public
168,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGRLKDN4SDKIEXODPRW3J6F6FWSA/,49,Public
11,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFH36NULUX6F3PS6WEWBTBPXTTNA/,12,Public
18,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHEU5O3IVO7AW66NF3NCQVDTOZLQ/,25,Public
145,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF7VURFWALWA22HU5CEN5RA4NGMQ/,25,Public
54,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHAETY5HJATE5KCD5PXS6CQVDBPQ/,29,Public
19,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF7FUAJ3H7HEZAD7YUDT26K3OIAA/,19,Public
278,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGEM2XAOEKAETDZJMAS3WKYI6SLQ/,27,Public
292,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEIAWNU7VPACQAMNOL3QDNIIWOKQ/,58,Public
