helpful_votes,page_url,total_review,visibility_status
"1,846",amzn1.account.AFUOWXBXTYITFKQEAFQ7ZAIM4WQA,60,Public
469,amzn1.account.AEHVT5QVWHWD2UGH34QZHR2BLC3A,56,Public
366,amzn1.account.AG3SPHFFXS6N4VAJCAUL7G2PIJRQ,77,Public
336,amzn1.account.AHDP3WV57T6MI6D3756SBJOQG3EQ,74,Public
170,amzn1.account.AG7L3B7CHDHV72BEE7LIZGHDK6MA,5,Public
727,amzn1.account.AHLSJ6EKN6V7RSC2NOJWPSYQMCHA,75,Public
207,amzn1.account.AELNSGG63EP2UQK5PQTTBVO2KOVQ,109,Public
120,amzn1.account.AFAXJLDKCPSKW3HH3YEXIN4VDL4Q,8,Public
74,amzn1.account.AHYVD6S65AL6ISPRIXSXZOP3Z2YQ,12,Public
396,amzn1.account.AHQP4TXDPKBXBQVDEQQPSQFGAIWQ,133,Public
"1,846",amzn1.account.AFUOWXBXTYITFKQEAFQ7ZAIM4WQA,60,Public
469,amzn1.account.AEHVT5QVWHWD2UGH34QZHR2BLC3A,56,Public
366,amzn1.account.AG3SPHFFXS6N4VAJCAUL7G2PIJRQ,77,Public
336,amzn1.account.AHDP3WV57T6MI6D3756SBJOQG3EQ,74,Public
170,amzn1.account.AG7L3B7CHDHV72BEE7LIZGHDK6MA,5,Public
727,amzn1.account.AHLSJ6EKN6V7RSC2NOJWPSYQMCHA,75,Public
207,amzn1.account.AELNSGG63EP2UQK5PQTTBVO2KOVQ,109,Public
120,amzn1.account.AFAXJLDKCPSKW3HH3YEXIN4VDL4Q,8,Public
74,amzn1.account.AHYVD6S65AL6ISPRIXSXZOP3Z2YQ,12,Public
396,amzn1.account.AHQP4TXDPKBXBQVDEQQPSQFGAIWQ,133,Public
35,amzn1.account.AHB742UBB65NBGL7HP74KKPYO4BA,20,Public
40,amzn1.account.AHSJAWXHCVV4AULOWUJSWYII3BXQ,74,Public
71,amzn1.account.AHX5KRSHLIO3HUOK2OJPVTKJ4ONA,50,Public
188,amzn1.account.AGVAAODGT4THPVI2H3HS7LOGFGSA,120,Public
170,amzn1.account.AHPR5CJHHWQIPDYOVCMHWHYHA5LA,125,Public
980,amzn1.account.AG67KU2MVZOF7LP3HH6S3KYN33LA,139,Public
84,amzn1.account.AHSZZZFIOXMXBRBBEP3Z277MNYQA,67,Public
251,amzn1.account.AEQJHIVUR6PPGAQVKMHOYI3BSU7A,47,Public
257,amzn1.account.AEC7Q2K7YDXU3FCPF3B4336KPAGA,55,Public
146,amzn1.account.AHUKAXX7EXJS2CD2KYMBM472NLGQ,66,Public
132,amzn1.account.AHQFP5IRGUHQ6L6MM4K4RALTBZ2A,47,Public
167,amzn1.account.AGG6YWLSIZNH63MT55MF5E4FNWXA,77,Public
"1,248",amzn1.account.AH2MVJDRJC7UA5YCMXTEOXPPO2BA,748,Public
"3,696",amzn1.account.AG3XROTIUVYINZ7MLVYDZVCJ67RA,717,Public
81,amzn1.account.AHUOAWFMQMAZ2V3QBLSCRHXA4I2Q,134,Public
"1,754",amzn1.account.AHE372CXJYKGNO3N5VGBVBWMS5VQ,137,Public
540,amzn1.account.AFRHKMSHLTFGTFKLD73CRAJRPDCQ,82,Public
104,amzn1.account.AHRKLIM4YJ3H723HW2JE4MEQN6UA,55,Public
9,amzn1.account.AGMDTYBFPVGY35CZGWN6UOVLKZ5A,23,Public
52,amzn1.account.AGQYNGUSZLLXZPVYNN3CFA6ALARQ,57,Public
156,amzn1.account.AGYEXCY5XLHVVG5TTJTJCAUNXMKA,164,Public
128,amzn1.account.AFJAJLCBRWDTSECOR5R3MBSG655Q,64,Public
28,amzn1.account.AEONDK7WEPYMFTBBI7EUK77SUJOQ,39,Public
466,amzn1.account.AGXFUQVAYAFQMICTFJGZ5RNQXG3A,194,Public
46,amzn1.account.AGSQVZYAM2MF73HT2HPTX724GK3Q,37,Public
409,amzn1.account.AFTZUEU4D35DGXI5OZTAOAQF5J7A,59,Public
173,amzn1.account.AGTPETGF36NVTITC6JLMZO6JGP2A,107,Public
709,amzn1.account.AGQ6Y2UWIS35DAOKDWRFCVOGJNRA,116,Public
117,amzn1.account.AHUSW6TWQGDKZOIHCVVW3CC5HGPQ,35,Public
"1,225",amzn1.account.AEB3NEMC65UWSF5HBQ6SIFKESCIA,198,Public
217,amzn1.account.AHTR66P2DHQN2AKJGA6ZO27MNI7A,56,Public
236,amzn1.account.AFVHS3FI7GTOOZZ5WSEN4BI62BNQ,353,Public
25,amzn1.account.AFGBK7GQZ7CPKPGKE7J2JORYBVBQ,6,Public
742,amzn1.account.AFPK2SF4YG4XUZ6MJ2IW5CVNWZCA,122,Public
89,amzn1.account.AFVJ7MQZS4IBKBEGCQ4FCOFV7DQA,47,Public
396,amzn1.account.AGI3PC7UBQS67UMRHSDVQIWRDO2A,135,Public
869,amzn1.account.AGN4Y6S2XZVAT55EWY7XNHJYOGOQ,525,Public
2,amzn1.account.AFSZC7E3BTUFS6SHSVBLBDJ4HUOA,10,Public
89,amzn1.account.AH5Q37EXQC67HPNKF6BBJ3D7PYHA,107,Public
11,amzn1.account.AHKTXTG36VQXCWBXWBD45QOKUQEQ,39,Public
192,amzn1.account.AGNJN7NS6MJDKYCJSYVUCDYVT5NQ,112,Public
3,amzn1.account.AEZZTBLOYHYLZOZQNRAL62JUQRDA,14,Public
887,amzn1.account.AFNP2ZMWD3QF53ICFDAXBKGLNILA,244,Public
881,amzn1.account.AFRVDVNRG3HUW6EVBJA2AS6L7OXA,398,Public
15,amzn1.account.AHGUEC4Y56AY67C4DAO3UWY65QWA,32,Public
524,amzn1.account.AFE5INRXEXLL6PFJ6QNFVBVLVPDQ,323,Public
456,amzn1.account.AF6EJJQY2NGAAMI7KAFSICRQ3B2Q,192,Public
