helpful_votes,page_url,total_review,visibility_status
295,amzn1.account.AEZHF6LRP2OCYZ67Z2JB76DWW4EA,21,Public
988,amzn1.account.AETPARPSBO7IF27YPLOAO64S6F3Q,77,Public
102,amzn1.account.AGVYWVD3CUHJTFJS4YDOU5KYMWNQ,20,Public
653,amzn1.account.AHXT7HF2TQLZTIDAWLVMPLV3KLPA,22,Public
508,amzn1.account.AFC27MA3IX3LOZP3PIE2JJZCAAJA,200,Public
"1,028",amzn1.account.AG55TGF2ABTAE2MQ6XKJZJNBT75Q,21,Public
"1,118",amzn1.account.AGPS74J2JVQMHLPGYKT2RESYV6NA,214,Public
541,amzn1.account.AEK3Y7BPE2HRXVFMXLH57SBHVH4A,78,Public
58,amzn1.account.AGT55FVUVG64BTMGGZ2LZGX7NNZA,18,Public
"4,676",amzn1.account.AFT4N7Z5HHCHOPIXFEX5DTI6QOFA,137,Public
295,amzn1.account.AEZHF6LRP2OCYZ67Z2JB76DWW4EA,21,Public
988,amzn1.account.AETPARPSBO7IF27YPLOAO64S6F3Q,77,Public
102,amzn1.account.AGVYWVD3CUHJTFJS4YDOU5KYMWNQ,20,Public
653,amzn1.account.AHXT7HF2TQLZTIDAWLVMPLV3KLPA,22,Public
508,amzn1.account.AFC27MA3IX3LOZP3PIE2JJZCAAJA,200,Public
"1,028",amzn1.account.AG55TGF2ABTAE2MQ6XKJZJNBT75Q,21,Public
"1,118",amzn1.account.AGPS74J2JVQMHLPGYKT2RESYV6NA,214,Public
541,amzn1.account.AEK3Y7BPE2HRXVFMXLH57SBHVH4A,78,Public
58,amzn1.account.AGT55FVUVG64BTMGGZ2LZGX7NNZA,18,Public
"4,676",amzn1.account.AFT4N7Z5HHCHOPIXFEX5DTI6QOFA,137,Public
37,amzn1.account.AGU5NIFR7CBXQNHNDCCJOHYYCSPA,5,Public
"8,093",amzn1.account.AGWO4XUECAQ6ZOJCDSSWRDQTSG7Q,"1,970",Public
678,amzn1.account.AEFAQ6P3J22UYWBZAMX4VX74BZCA,109,Public
271,amzn1.account.AFN2ODMZ7ZSSWLOYOABHVDUZVV6Q,327,Public
206,amzn1.account.AHSSHPP7VQRWVDRV2SX3DGX5MELA,130,Public
44,amzn1.account.AEDHKYOBWWAHV3ZMI74CGHVBPNYA,5,Public
709,amzn1.account.AHBT464PJVYNXTSJL7EIBVVBUJCQ,177,Public
"3,512",amzn1.account.AE447E2RM3FLYHQYXZSH2N5R2UVQ,275,Public
546,amzn1.account.AEAZ6YYSQKQYI2KHEZQUYO7GCA5A,165,Public
78,amzn1.account.AGYWWQWTLPTITBQXLMAXAWWSZETA,60,Public
"1,036",amzn1.account.AGCCASQVUHJMZP3FIK6L4UO72FNQ,141,Public
39,amzn1.account.AH2MJYAVGU3S5FPBLLK6QUSBQ2EQ,87,Public
346,amzn1.account.AFKVRQTXLQ774WOVKYJKMQHQ7I5Q,198,Public
285,amzn1.account.AEORHVIBAWHUO7JWEGFDVP3Q4Q4Q,138,Public
136,amzn1.account.AEBHW2MDOZFO7DXUWKPGHRMBMJQA,97,Public
32,amzn1.account.AEEZJHLNNODTKJQNAN3PZKFH7XJQ,38,Public
133,amzn1.account.AEZWSR5NOMG3R222FSJ3CTSSNZTQ,15,Public
86,amzn1.account.AHCUCEF5L22FYAI23YYMC7MMGDSA,46,Public
61,amzn1.account.AFNR4KYYREFTP4JPYN7QXWJIMYVA,15,Public
23,amzn1.account.AFYZZPLQEP2TNUQIEOITVHORRBPA,34,Public
194,amzn1.account.AFDVVDFM22MPE6ECDXFK4CQLSACA,78,Public
"4,916",amzn1.account.AEPSUN6ZXEMOGNN7D444XUX3K2JA,318,Public
20,amzn1.account.AHA3NE6AVDPSZ5OBGRKZFRQ5CIIA,15,Public
15,amzn1.account.AFLB355HGNA4SMHGF6CGUNXKRROQ,22,Public
63,amzn1.account.AFSWVWUY3TX73N74JJZWHHEJCLOA,20,Public
171,amzn1.account.AFZPCSYFMMS2QRKIFOMWCPG7WSGA,39,Public
87,amzn1.account.AESKCORU4TVBXJK6XSROCKSGFSKQ,50,Public
200,amzn1.account.AHKG4PEEVRY7ZY4IRPYYPYLLWCFQ,48,Public
101,amzn1.account.AHKZYZCEADCSP4OMX7VAZ6TRAF5Q,42,Public
84,amzn1.account.AFCKO6R4LBZ6VVZDKCO6EIYPUFRQ,28,Public
77,amzn1.account.AHFMBPQYPQZAR4QN4JH5TDR4WSIA,40,Public
190,amzn1.account.AGXMXRDQNAF6FU3UJL77OUYSU6XA,36,Public
8,amzn1.account.AGH2HTU6LFWGZU2PFLU3BELKBD7Q,6,Public
