page_url,ranking
amzn1.account.AHV2BNC4ETUQPDRJSVTVL2Q4PXKA,171615
amzn1.account.AGMWACNMAG74AXBF7IJ22IOZSZPA,75
amzn1.account.AGEEWBI44SKWBIFN4BKKLLWBE25A,605
amzn1.account.AHQCCIYR2YXAXSEOWPOERNGEFUEQ,1300796
amzn1.account.AEFNG3AKFQRSGC6WB3XLMPWEHBLA,2435285
amzn1.account.AEM2MQGYG6VXFFQ3O6WVC73W4IBA,1283317
amzn1.account.AGRXE7K3HB6FYDPEC5SKGEMV3LJQ,366516
amzn1.account.AFXTSJ7EW5PLNHF2FM4FF3I7JVGA,93787
amzn1.account.AFJQGWX6DK4UQX5XFKG3MM2ZIHQA,6865759
amzn1.account.AGBMSUG6EAS4MGBAGJIFAMCRBDUA,540439
amzn1.account.AHV2BNC4ETUQPDRJSVTVL2Q4PXKA,171615
amzn1.account.AGMWACNMAG74AXBF7IJ22IOZSZPA,75
amzn1.account.AGEEWBI44SKWBIFN4BKKLLWBE25A,605
amzn1.account.AHQCCIYR2YXAXSEOWPOERNGEFUEQ,1300796
amzn1.account.AEFNG3AKFQRSGC6WB3XLMPWEHBLA,2435285
amzn1.account.AEM2MQGYG6VXFFQ3O6WVC73W4IBA,1283317
amzn1.account.AFXTSJ7EW5PLNHF2FM4FF3I7JVGA,93787
amzn1.account.AGRXE7K3HB6FYDPEC5SKGEMV3LJQ,366516
amzn1.account.AFJQGWX6DK4UQX5XFKG3MM2ZIHQA,6865759
amzn1.account.AGBMSUG6EAS4MGBAGJIFAMCRBDUA,540439
amzn1.account.AE2A5TMJ6YE6ZNWUAFTC6P5XAHXA,5350
amzn1.account.AGXBIN6EANWB54I5WXZ6Q63THM2Q,859718
amzn1.account.AEILH6PD3A4ZWA3JE76LGOGMUJJA,86576868
amzn1.account.AHACEDQMP46KC75JLAHRLUMBNI5A,12752867
amzn1.account.AHZ2FNGFU4UAXJQXOJDDPEQR7RFA,809474
amzn1.account.AFTWREBTK7A6ZEBOIO6JOELK5ZIA,12425749
amzn1.account.AGBNS2GWOCWYWLOZ6KPBTSXWAIEQ,25617525
amzn1.account.AHZQKSDQS5WJB6GSDIKI6C6QVOYQ,959158
amzn1.account.AE7WJ6LVTBDCPF74MYJ3XAJPZIIA,3114565
amzn1.account.AGZ4XFWLGMMNCJ757IH7GMRUUEVA,3901311
amzn1.account.AGN7BMMIOHU6EYHNBNW4DSL3EB4A,986999
amzn1.account.AFVVKZGZZ4GZQ3G57BCERCQG6AHA,249543
amzn1.account.AEZWZNB6CSWSIBNQ7DXXW7OIKGGQ,8079279
amzn1.account.AFFQST5EM3QOBXDLAJVWL7AULAMQ,602436
amzn1.account.AGDB5BN45VL2ZBSNXLEBKICCQQJQ,70992
amzn1.account.AGSN7NUU65CJKVIDFWEOJDC6Y42Q,7701901
amzn1.account.AE6GUQHON2J7KWRMTKKGCZTSV4ZQ,9428119
amzn1.account.AEEKPBUKJCJ6R26A4POUPOMFLO6Q,75683
amzn1.account.AGPK563TIWPUTRL57HRC3HC6UGJA,7389084
amzn1.account.AG75GJ3BBBSTNUD4W5TV64K5OAPA,14780320
amzn1.account.AEHUOCEOD5XOAJUY4IJU7FFHWO4Q,1636462
amzn1.account.AFSVH5BFJNLMW53ABDVECJKIXWOQ,12219
amzn1.account.AHBVKOLCBB6DKA73OXJXOFSTUUSA,12845231
amzn1.account.AHDHRYXDGR3WDY7PJRVQEAZYQJGA,104860
amzn1.account.AEP77OJ66NWKMZ25LRC2LNVCAXTQ,38881668
amzn1.account.AFLSAASD2GJDNU2GLIPQPVMH736A,11672
amzn1.account.AFWVZ6PIWVRUC33BRCEB3B2KHKSA,29085360
amzn1.account.AHMGDYOKVHAQ36HBNNR3N52PTEAQ,861655
amzn1.account.AGOQ6YGAIK4FZHJWRXLPLFWGWWRQ,2602935
amzn1.account.AFTCTOPC2XQ7ODSARNP7CQDK6QKQ,3532679
amzn1.account.AFP3BC3U3JLB55GOF4MUVE7SAANQ,1108804
amzn1.account.AFCIYYZRW4NADMF2QSHTPTNOSELQ,243624
amzn1.account.AFR3IV5V32COXSNR2WC6ED5QBOFA,21343253
amzn1.account.AHAPSYGFL4JGGLRD65LV5VGSL73A,10132500
amzn1.account.AHJKBIDWSUDQ2SNIH6YCVAOQB2KA,11730313
amzn1.account.AHWNMGI6UXNRWY3TRVQIRWICRWGA,2913468
amzn1.account.AEPHLW7IZMT47ULFDGTTWTRSKEYA,2455991
amzn1.account.AF7PJHTKTATY3BQ4Y7OHLFKA26WA,1230195
amzn1.account.AEAIDF2BE3UEOTRCCON2NIVLUDBA,1829944
amzn1.account.AGKCVAAL3Y3POXZNJS5EDU44GZRQ,40040
amzn1.account.AFQOX3M3BLGFCTUHMDA7NL6LRM2Q,851003
amzn1.account.AGELT5MGPATGS5H5RXNOX5BMCN5Q,3678445
amzn1.account.AF577NPDEJXSNZ5HQMRGIYLAZEVQ,2160672
amzn1.account.AE6S5BSJDTJBTWS5Q4LLETAYSKWQ,10443
amzn1.account.AEOIZFKAKG7L6L4U5646TPGKEODA,7761883
amzn1.account.AFY7BAD2IYYFJW6CVD7XTJH64ESQ,8472449
amzn1.account.AFFHWO732EWNFJZ7NV3P43XMQNGQ,56627
amzn1.account.AHKWNPGZIGP4FPRWM7HIHW5KKCNA,7776910
amzn1.account.AGS7TF2ZZ5UCCMPQS2DOOLG5RRMQ,74925
amzn1.account.AFUNTTQHT7DCP4AAMAASMKQVB6RA,50801
amzn1.account.AHG3X2IMHTK2X5QY2EYDXLPTX3VA,155896
amzn1.account.AHP7ZZOYTSKXWA56L6SNU3QSOQPQ,35447393
amzn1.account.AER3TMAUUB6ZWK4IV644JU45XFMA,12125943
amzn1.account.AGZ74Q7IE42RBJ2Z54WDVQGTI32Q,2937069
amzn1.account.AEGB7NMSSDSW2QBH32QZYB43VR3Q,384933
amzn1.account.AESMJFPHRTOF2MWMQLABEQ6Y2XTA,10628997
amzn1.account.AHIEERXYJZLIPREBYMHMXPJ52EYQ,7622480
amzn1.account.AGG27DPSZPNB4PJCYVJQAHYAFUUQ,59100
amzn1.account.AG7ZI4EANYIFX4N44ASSXCGNWT5A,753649
amzn1.account.AHUPLWWKM7F7WLTLPVCKLJVUIJLA,13770223
amzn1.account.AHMNE32HTPOVWMXF2T5GRXNVOQBA,200992
amzn1.account.AH6OV3Z6GPQIUQETV3WRGABN4BHA,17237367
