helpful_votes,page_url,total_review,visibility_status
127,amzn1.account.AH27QVL7N35XH67MFLSLRLFPZZ2A,55,Public
494,amzn1.account.AGW5QXFNP3QCB7WKOIJL4A6BCKQQ,155,Public
42,amzn1.account.AFQJQWAGXAWOME6VIQGJFBCVRJAA,9,Public
53,amzn1.account.AFV6DBEHRLSVMGCIJW74J3EPNL2A,23,Public
"2,474",amzn1.account.AHE4Y3CYTBEOUE2ZFKSHQBXX4EHA,853,Public
461,amzn1.account.AGE57QCBZ4AB7ITBQCITMZXVFCCQ,297,Public
28,amzn1.account.AHO3NIRJJAZBDCC4XYHA65YZ2B3A,22,Public
118,amzn1.account.AHDQEBCONNWHS5ZM5STID5FEREGQ,31,Public
11,amzn1.account.AHUG2AFDDS6K7J2UVGAPJJHGZCLA,1,Public
45,amzn1.account.AE6C6D6ECEL6BO7HTMIHDTOFU4EA,14,Public
127,amzn1.account.AH27QVL7N35XH67MFLSLRLFPZZ2A,55,Public
494,amzn1.account.AGW5QXFNP3QCB7WKOIJL4A6BCKQQ,155,Public
42,amzn1.account.AFQJQWAGXAWOME6VIQGJFBCVRJAA,9,Public
53,amzn1.account.AFV6DBEHRLSVMGCIJW74J3EPNL2A,23,Public
"2,474",amzn1.account.AHE4Y3CYTBEOUE2ZFKSHQBXX4EHA,853,Public
461,amzn1.account.AGE57QCBZ4AB7ITBQCITMZXVFCCQ,297,Public
28,amzn1.account.AHO3NIRJJAZBDCC4XYHA65YZ2B3A,22,Public
118,amzn1.account.AHDQEBCONNWHS5ZM5STID5FEREGQ,31,Public
11,amzn1.account.AHUG2AFDDS6K7J2UVGAPJJHGZCLA,1,Public
45,amzn1.account.AE6C6D6ECEL6BO7HTMIHDTOFU4EA,14,Public
31,amzn1.account.AEOEZMAE3HWAF273F5Q6CHMGOAUA,19,Public
229,amzn1.account.AFZMSPWF5FH7CEU2URUDSSTTDFNQ,21,Public
189,amzn1.account.AF63TR256J23BSAUDBW5LLDZHTKA,49,Public
205,amzn1.account.AHB5OGJ55J6F73AKN4ORYG3YG7UA,119,Public
232,amzn1.account.AHXHNH7X3QLEO6ARWCQ5AIIPTVTA,124,Public
132,amzn1.account.AGN55B3KED3XY3JQPXOIFETPQQUQ,38,Public
81,amzn1.account.AEXV2VRPJBT5AEVSTGNUB7C6CYCA,53,Public
10,amzn1.account.AEYJIE5EZ7ERQBC45FUX7PNCLD4Q,22,Public
104,amzn1.account.AHG6JAVSFPLOCAUQB42TEWGO7GTQ,120,Public
