helpful_votes,page_url,total_review,visibility_status
"1,012",amzn1.account.AHJ6IAAQIWS6V4IGM6URVRQTJ3KA,108,Public
796,amzn1.account.AFL2WEYUMYM7CISIAOAHAGHF5MFA,42,Public
387,amzn1.account.AHQBCQJCEBSTNARVWF4NSONS6G5Q,49,Public
227,amzn1.account.AF4VY3VGDKDER6VNEIRDPOUK3FVQ,30,Public
152,amzn1.account.AEYPSL2X6JLQ5GJON4XTG6HDWJQA,15,Public
147,amzn1.account.AERUDJ72WC56GXVBKALU67AYOEOQ,60,Public
149,amzn1.account.AHETWEWOP5HY3BOPD2MIODVOXPTQ,30,Public
300,amzn1.account.AF3LQWUW4BX72DKWJJGVQXWUNJQA,35,Public
170,amzn1.account.AGJ4H3VNOCAQPTF4LLE3FOX7EH2Q,51,Public
66,amzn1.account.AEAGYMU6CN2I6SJVTZQO4DFKPHIQ,47,Public
"1,012",amzn1.account.AHJ6IAAQIWS6V4IGM6URVRQTJ3KA,108,Public
796,amzn1.account.AFL2WEYUMYM7CISIAOAHAGHF5MFA,42,Public
387,amzn1.account.AHQBCQJCEBSTNARVWF4NSONS6G5Q,49,Public
227,amzn1.account.AF4VY3VGDKDER6VNEIRDPOUK3FVQ,30,Public
152,amzn1.account.AEYPSL2X6JLQ5GJON4XTG6HDWJQA,15,Public
147,amzn1.account.AERUDJ72WC56GXVBKALU67AYOEOQ,60,Public
149,amzn1.account.AHETWEWOP5HY3BOPD2MIODVOXPTQ,30,Public
300,amzn1.account.AF3LQWUW4BX72DKWJJGVQXWUNJQA,35,Public
170,amzn1.account.AGJ4H3VNOCAQPTF4LLE3FOX7EH2Q,51,Public
66,amzn1.account.AEAGYMU6CN2I6SJVTZQO4DFKPHIQ,47,Public
214,amzn1.account.AGP4LIHWA3EIKXZEXMHECZ7ZXEVQ,150,Public
114,amzn1.account.AH4PR6BYZOF46IL5XOBDAAAWRKAA,25,Public
28,amzn1.account.AFHTYVAR6MVQGETSTKN72H3L5X2Q,21,Public
50,amzn1.account.AEVNT725BQL3JTMO44CE2LHT7KVQ,16,Public
122,amzn1.account.AHPBQGRZJ3Q3F4RXEVO5SMQGVX6Q,18,Public
33,amzn1.account.AFS34AZG4GWMTAZSF2K2PT2WKH2Q,11,Public
34,amzn1.account.AFHQJCFTDQSAORHYD4MUW5TBMIEQ,1,Public
94,amzn1.account.AEHI53NOC76F4X7OX4TUM6GDYVRA,67,Public
19,amzn1.account.AHFZH6NQIJTVU7P6L6YHSO6PXCTQ,10,Public
81,amzn1.account.AHW3ZRA7GSO53QFZC77ZT5FDSDCA,27,Public
14,amzn1.account.AEAFWXF7KW2LG3EKFNYQFN4G4V4Q,20,Public
58,amzn1.account.AFSC53MKM7OXCTHSD3DOG2OPWJMQ,24,Public
336,amzn1.account.AE5M5JRTWVRTPY7WISVWWQQXXORA,218,Public
112,amzn1.account.AHZC3OPK73XYQV34MA2KZ5X4R3QA,168,Public
7,amzn1.account.AG52RARYLAVHYZPN2H3FTUYPEO7Q,16,Public
8,amzn1.account.AHFI5EJQM5TJ4G3VFMRYCLCK72QQ,20,Public
26,amzn1.account.AGWNXWOQ6XGNFLR4RM7LK6ID2CTA,83,Public
188,amzn1.account.AH4AECDIH4QHN63VMBVCYX5ZWZ4A,292,Public
61,amzn1.account.AGP7JQL2MSBDMHCSTC6ZSDLVQW4Q,44,Public
282,amzn1.account.AGZQXM4HOGFSG7UM3PL43MRDBVTQ,100,Public
92,amzn1.account.AH6Q4XLAGCUGE22AALNA5QS4QCGQ,129,Public
255,amzn1.account.AFDPHHS5BKLKK2DU6T5EDB6NLLZQ,98,Public
39,amzn1.account.AHMTXADFFSFMBC3TL4FN63KTU7IQ,35,Public
112,amzn1.account.AFRO4ILECVQVYMZBVXPQ3AZOQ6GQ,102,Public
336,amzn1.account.AFQWHNKKD7LV63RYTNBTCVTX2EUQ,128,Public
11,amzn1.account.AHH4K42JVRVYPTDPELG7KENRKAHA,14,Public
32,amzn1.account.AGPOT4YND6VCDNYHFNWF2JVTRJPA,31,Public
4,amzn1.account.AE7ND5YALZTURSJHK57NYT6SYO7A,5,Public
37,amzn1.account.AECG4TQFYFUJXNUAGY5XMLY64RTA,39,Public
24,amzn1.account.AH45DWJFWRFS4ZB4QUPEJUT4GVWQ,21,Public
71,amzn1.account.AH3FCUIHOOYPMMRRETSEUT2OBZLQ,67,Public
64,amzn1.account.AGFMYHXGUTHGDKYZQ2QRSP3RI73A,43,Public
