helpful_votes,page_url,total_review,visibility_status
"1,356",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFQSPUMI37HKDM3OGGVNYMYBINQA,431,Public
614,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFJLSUUPHQVCMEWOFERHSUCQNSSQ,2,Public
494,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHPAAHRTIYJMDDIQBYLJT7EXDMSQ,33,Public
466,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFA3AXHGDTQZEP7BUR7B5ZVLAT3A,53,Public
345,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHBPRDGUF233AOLDC2MVMUVIEKSQ,15,Public
172,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHBP6MZVXCBBDKAKHONTDVFX4Q3Q,17,Public
237,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFJTR55HABQW4IWNZ253H2SC2P2A,103,Public
157,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGJI7TTSMMLW3BN24IVQGAGZD25A,10,Public
119,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFO5YPOLM7PAGRGZD7XQFL3HNT4Q,57,Public
320,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH6JIGSGK5WYGKAB3BPY3BFXDBJQ,190,Public
"1,356",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFQSPUMI37HKDM3OGGVNYMYBINQA,431,Public
614,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFJLSUUPHQVCMEWOFERHSUCQNSSQ,2,Public
494,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHPAAHRTIYJMDDIQBYLJT7EXDMSQ,33,Public
466,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFA3AXHGDTQZEP7BUR7B5ZVLAT3A,53,Public
345,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHBPRDGUF233AOLDC2MVMUVIEKSQ,15,Public
172,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHBP6MZVXCBBDKAKHONTDVFX4Q3Q,17,Public
237,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFJTR55HABQW4IWNZ253H2SC2P2A,103,Public
157,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGJI7TTSMMLW3BN24IVQGAGZD25A,10,Public
119,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFO5YPOLM7PAGRGZD7XQFL3HNT4Q,57,Public
320,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AH6JIGSGK5WYGKAB3BPY3BFXDBJQ,190,Public
99,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF2UEQ2LTNSRVDB6QIJNYQREEE4Q,53,Public
"1,810",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGFI2KQRYSFBUCTGFXOUNZZQT3ZQ,773,Public
"10,943",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AELEQ2KCIH7LLI32UKH4B447HQKA,"1,131",Public
91,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHKVKEANXVLO5TMQMSRTU4X3IMZQ,20,Public
480,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGVJ2YXQ4JSAFYUHVULVT7VBTHAQ,49,Public
51,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AER44XTBOLUMJGBAHLCF7L37WKLQ,1,Public
83,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF6ETLZDEGIJJT63JVMQ4FQHXQNA,36,Public
81,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEG7GHMMTYMGKSBJBS33TLROTPFQ,59,Public
116,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGN2RGIKW7GO2LK2JGOLH2GWNPFQ,33,Public
50,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHEDBF6V2RVNMPPJ4P3ARBNCFHJQ,43,Public
112,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGI67NXYFMJXSSOTCMPXZ3ENHD2A,64,Public
628,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGZNRH2IWC7H3I4GFML6BWWOL7HQ,185,Public
101,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEXYKDWCU4TSXF3GWOE6I6JWGYAQ,142,Public
30,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF5HOUJ7PZIP7MNZDX4YXJ2NIYZQ,6,Public
144,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFCVWRAPQCTQQNPT6MM53PLVYR3Q,38,Public
513,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFRX6HQQFNFVPZRCK3V7STUZYECQ,67,Public
320,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG3IGOLWV4SWODR3RL6OVGSM2SQA,289,Public
39,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFKX4DKNQIEX2JLYSMPM5MF6M63Q,33,Public
216,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEEFZRYXHBRH6BVKQSS4F4S7BXAA,149,Public
33,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHDA6DGBDR3QSXH4KKJW2M2Q35YA,17,Public
"1,414",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHJOD3KSO3QO4ROADJTIUY2V2FVQ,452,Public
551,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE4OZ32N7EWDLYR7KYX6VEYQ6XYQ,202,Public
48,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGT2SOWV7WR7TNMFSC4Z4VONSASQ,55,Public
19,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AENQVGWMYFT74EXM6CN4C5OS42EA,2,Public
648,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEU5U4VWKT5QLLDZEJXCLIID6ZSA,725,Public
262,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHIR2NPCKF6MURRK5XSEDVSDMJEQ,230,Public
65,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGVRTTJPC6BPOC3BUDWXG7MVO6YA,88,Public
73,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGLDZAH7TWRW4R2Z7ZOCUOHNNF7Q,310,Public
20,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHERHNG7PMJ2KNUWHSW5HG6WJXEA,21,Public
25,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHOU73W3NFCGLDSDCPMFZOOBTIVQ,18,Public
438,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF6FMN3PWJ2Y4DJ7Q27JFPNXQOZQ,189,Public
"2,075",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHFG6DBOC5H5PRWGFY43YE2GKN4Q,660,Public
646,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFHIRDMAD5ADWA4U62W72CWTKP7Q,329,Public
64,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG4SJFS6IR7SMQFKM5Z2DB6VALEQ,35,Public
283,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEYW5INQOC6SF3PZWWINYKUT5H3A,467,Public
4,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFPR5V25V6KX6VFBWF3NB6MQVBAA,8,Public
21,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEADDOHIQUCXIJCV3FOMC5D33BIQ,24,Public
138,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFRZX3BGDZLRQWXYC3Y2IX6RAR6Q,113,Public
30,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEQCYE6RHVQXOWBGH24WUY6ZQEQQ,51,Public
91,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AF32A7I7SA5SX4FP2GAEQUGK2U6A,74,Public
19,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHLVAQZH567H4ZDIPFEOPKTQ3KGA,17,Public
77,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE6TODERNGOC4W5WY3QVCAYRBVYQ,42,Public
116,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG23IOKWLZ4UBV7APY33ZL3AW3XA,128,Public
121,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEMZOMZVKY6EI3MC3NIJRLCUE5RA,180,Public
16,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFA57ECFNFCW5GWB6FUOZUBMLT4A,34,Public
259,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGBYNXKJ4JK7D2P4NJGJFIHE65YQ,79,Public
"2,402",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEBLHZA3TTYV3JJUCOTGLWBSSFRQ,260,Public
25,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHKYDLBMX4MYTY3DZV6JIRMXB7GA,71,Public
71,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGRWCI2VQOOCXZQSHIU3UVNPCWGQ,67,Public
302,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGNWWDY6AR5M2NEAWMN4SI4N2GAQ,55,Public
145,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGFLIUF73DQRBG2UWRYDJTKHXUVQ,174,Public
96,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHNCW7JAGRU2KO3ND3GTWHLUXTVQ,83,Public
76,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHFMJEOTXBR5TFX6KB776HVHW7EA,110,Public
"1,233",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGXSEWSCVCEILCRABZJVWT4HU47A,382,Public
86,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGWA424EXFBU47GWXCJCTIVPEB5Q,202,Public
390,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEDBHQ6FDEMKHX4SJFPSYMJHGEJQ,565,Public
91,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFV2TZ3PRWDBOC3TZS64FII35CFA,39,Public
29,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFAUB7TMULBUES6R5KFDNTDB746A,63,Public
23,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHPK3Y2HGCQ5C4M53CDIKPAYA6PQ,74,Public
20,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHEIUPH7FTRRUSSZ3RJV2KHVNSUQ,44,Public
