		BOARD GAMES
1	HASBRO Connect 4	https://www.amazon.com/Hasbro-A5640-Connect-4-Game/product-reviews/B00D8STBHY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
2	Think Fun Zingo Bingo	https://www.amazon.com/ThinkFun-Zingo-Winning-Pre-Readers-Readers/product-reviews/B01DY818JG/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
3	Hasbro Troublegame	https://www.amazon.com/product-reviews/B00D7OAOYI/ref=zg_bs_166225011_cr_4?ie=UTF8&refRID=W4PJWJ7T2Y2RXYGW9M46
4	Monopoly Classic Game	https://www.amazon.com/Hasbro-Gaming-C1009-Monopoly-Classic/product-reviews/B01MU9K3XU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
5	Leapfrog 100 Animals	https://www.amazon.com/LeapFrog-Animals-Book-Frustration-Packaging/product-reviews/B085KTB1WY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
6	Kids against Maturity	https://www.amazon.com/Kids-Against-Maturity-Original-Humanity/product-reviews/B076PRWVFG/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
7	Melissa & Doug Scratch Art Friendship Mini Notes	https://www.amazon.com/Melissa-Doug-Scratch-Friendship-Notes/product-reviews/B08CNFNJZD/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
8	Hasbro Sorry	https://www.amazon.com/product-reviews/B0863FPYMB/ref=zg_bs_166225011_cr_13?ie=UTF8&refRID=W4PJWJ7T2Y2RXYGW9M46
9	Wonder Forge Disney 	https://www.amazon.com/product-reviews/B088J44FHP/ref=zg_bs_166225011_cr_21?ie=UTF8&refRID=W4PJWJ7T2Y2RXYGW9M46
10	Jenga Classic	https://www.amazon.com/Jenga-A2120EU4-Classic-Game/product-reviews/B00ABA0ZOA/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
		
		Tools and Home Improvement
11	Daybetter LED Strip	https://www.amazon.com/DAYBETTER-Flexible-Changing-Bedroom-Decoration/product-reviews/B07SPZ2HGT/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
12	Amazon Smart Plug	https://www.amazon.com/Amazon-Smart-Plug-works-Alexa/product-reviews/B01MZEEFNX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
13	Filtrete	https://www.amazon.com/Filtrete-10x20x1-Filter-Living-Purifier/product-reviews/B08KJNRGCK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
14	Cartman Orange	https://www.amazon.com/Cartman-Orange-39-Piece-Tool-Set/product-reviews/B00RF9J8DY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
15	Gearlight	https://www.amazon.com/GearLight-Tactical-Flashlight-S1000-PACK/product-reviews/B072WHQFJ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
16	Glocusent LED Neck Reading Light	https://www.amazon.com/Glocusent-Brightness-Bendable-Rechargeable-Repairing/product-reviews/B07WNRN9WQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
17	Filterbuy	https://www.amazon.com/FilterBuy-6x12x1-Pleated-Furnace-Filters/product-reviews/B078J7P8P4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
18	Black Decker	https://www.amazon.com/DECKER-LD120VA-20-Volt-Lithium-Accessories/product-reviews/B006V6YAPI/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
19	Homemory	https://www.amazon.com/Homemory-Realistic-Flickering-Flameless-Celebration/product-reviews/B01EDKGFGU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
20	Tubshroom	https://www.amazon.com/TubShroom-Revolutionary-Protector-Catcher-Strainer/product-reviews/B01BYMTYBS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
		
		Personal Electronics
21	Fire TV Stick	https://www.amazon.com/all-new-fire-tv-stick-with-alexa-voice-remote/product-reviews/B07ZZVX1F2/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
22	Fire 7 Tablet	https://www.amazon.com/Fire-Tablet-7/product-reviews/B07FKR6KXF/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
23	TP-Link	https://www.amazon.com/TP-Link-AC1750-Smart-WiFi-Router/product-reviews/B079JD7F7G/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
24	Sabrent 4 port USB	https://www.amazon.com/Sabrent-4-Port-Individual-Switches-HB-UMLS/product-reviews/B00BWF5U0M/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
25	Replacement Battery	https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
26	Netgear	https://www.amazon.com/NETGEAR-CM500-1AZNAS-download-Certified-Cablevision/product-reviews/B06XH46MWW/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
27	Seagate	https://www.amazon.com/Seagate-Portable-External-Hard-Drive/product-reviews/B07CRG7BBH/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
28	Sandisk	https://www.amazon.com/SanDisk-Cruzer-128GB-Flash-SDCZ36-128G-B35/product-reviews/B00TKFCYP0/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
29	Runmus	https://www.amazon.com/RUNMUS-Surround-Canceling-Compatible-Controller/product-reviews/B07GRM747Y/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
30	HP Officejet	https://www.amazon.com/HP-OfficeJet-Productivity-Replenishment-1KR57A/product-reviews/B07QPWKYG9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
		
		Automotive and part
