author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,ranking,total_review,helpful_votes
Brandon,/gp/profile/amzn1.account.AHZIBC4EYRFSEOXF7B7PU446OXYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 4, 2016",0,14,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,4.0 out of 5 stars,"Pretty disappointed. It hasn't even been 6 months, and one of the ports don't charge anymore. TBH, after doing some review reading, I was excited about this charger.  I bought one for myself and one for my friend. I'm not sure how his is doing or how often he uses it (I don't think that should matter regarding the ports, I can understand if the battery dies over time....hopefully not a short amount of time).  I usually use it over the weekends, and took it on another weekend trip to find my self short a charging port. Definitely annoyed!EDIT 11/08/16: I was contacted by their customer service team the following day after writing this review. Their team was very pleasant to deal with and quick with their responses. Within a day or two, they've already sent out a replacement for the faulty PowerCore 20100 I purchased a couple of months ago! If all goes well, I'll be updating this review again! Great customer service from Anker!EDiT 2/16/17: Anker's customer service is second to none! The replacement works as it should, but the wire would not charge the PowerCore.  After contacting their customer service team again, they were happy to replace the faulty wire sent with the replacement PowerCore. Great company that cares about their customers. I just wish products nowadays lasted longer, but regardless, I'll be buying their products again.",Don't expect much after a couple of months...,Color: BlackVerified Purchase,"1,341 people found this helpful",98336,27,1344
Rik Hanssen,/gp/profile/amzn1.account.AFG5IJI324VHV6TIBDBO3PHJRZJA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 17, 2016",0,20,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"After fully charging the Anker PowerCore 20100, I ended up running my own personal test to see just how many full charges I could get on my Samsung Galaxy S7.Everyday, for 5 days in a row, I would allow my phone to drain as much as possible as you can see below....then the next morning I would charge my phone using only the Anker Powerbank until it was fully charged.Here are the results!*Charge #1 = 15% to 100% power in 1 hour 35 mins. (4 solid lights)*Charge #2 = 20% to 100% power in 1 hour 30 mins. (3 solid lights)*Charge #3 = 08% to 100% power in 1 hour 45 mins. (2 solid lights)*Charge #4 = 03% to 100% power in 1 hour 50 mins. (1 solid light)*Charge #5 = 20% to 100% power in 1 hour 25 mins. (1 Blinking light)The next morning (on day 6), I tried recharging the phone again while the 1 remaining light on the Anker Power bank was still blinking .....It basically went from 14% to 21% power before the Power bank ended up running completely dry.So all in all I was able to get ""5 Full Charges"" from this one Power Bank with my Samsung Galaxy S7.Hope this helps anyone who is undecided on pulling the trigger!",Samsung Galaxy S7 Approved!!!,Color: BlackVerified Purchase,"4,518 people found this helpful",27633,104,4660
Elec geek,/gp/profile/amzn1.account.AHEAALXM6GAORUYLNT4ERB5BIA5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 1, 2018",0,4,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"Here is a story of the amazing customer service of this Anker bunch!I bought this unit in March of 2017. I have not used it too may times. But, occasionally I have charged Iphone, Ipad, and some portable speakers. It would basically charge all of them with a single charge to the PowerCore. Very nice!In May of 2018, I noted that when charging, the unit would get to the point where the last LED was blinking, but the lights would never turn off. Other than this, the ability to charge other devices seemed to be unchanged. However, this charging behavior made me wonder whether this was an indication of a potential failure beginning. Therefore I contacted Anker since I was still in their 18 month warranty period (just).I have to say that working with them has been nothing but a pleasure! They responded to me the same day via email. Asked for a few other troubleshooting steps, and then sent me a new one after the extra steps did not resolve the issue. And......they  let me keep the initial PowerCore which of course still works (for the time being)! Amazing.I am extremely pleased with this company and will continue to do business with them. Highly recommended.",Here is a story of the amazing customer service of this Anker bunch,Color: WhiteVerified Purchase,300 people found this helpful,388444,51,1144
Shab,/gp/profile/amzn1.account.AH3CU6NF3ZWQRJQNQALTXYJAEP2A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 8, 2018",0,6,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"Loved this powerbank when I initially received it (ordered in Feb 2018) and it has only been a few months and a USB port has already stopped working. I tried to use different charging cables, thinking it was the cable that was faulty but cables work with wall charger, just not the portable charger. Disappointed because this product had wonderful reviews and I really liked the high charging capacity and the small sleek design. Previously I owned portable charges with similar charging capacity but they were much more bulky. I guess my search for a great portable charger continues.",Great product initially but one port stopped working after 3 months,Color: BlackVerified Purchase,268 people found this helpful,16988,38,428
Steve Wise,/gp/profile/amzn1.account.AHZYODNJPBAY2IPXG46GIR5VVJ5Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 30, 2018",0,5,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"We purchased two or three of these and for several months they worked really well. However now we cannot charge them at all. Hopefully someone from Anker reads this review.Update: Following this review I was contacted by Anker and they sent out two replacement batteries. The batteries worked well for 10 months then wouldn’t charge and we did in fact recharge with an Anker multi charging port (works great no problems) and Anker cable. Maybe these backup batteries only last a bit less than a year or so, though that’s not what I expect as a consumer. Otherwise, Anker puts sells solid speakers we own, among other Anker products. This is why I’m so disappointing about these backup chargers.",We purchased two or three of these and for several ...,Color: BlackVerified Purchase,231 people found this helpful,348295,58,371
Gladius,/gp/profile/amzn1.account.AEOXBNVKHM6CRGFACCGU5L5JU5MA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 21, 2015",0,34,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"Anker PowerCore 20100 – Review by a Frequent Flyer Business TravelerMost of us would agree that we all carry or own multiple devices in this day and age and they all need frequent (1x /2x/3x times a day) recharging after continuous usage. I personally travel a lot for work and I find myself needing battery juice for my devices on a very frequent basis. I carry 2 cell phones and 1 tablet for work.I obviously own couple of power banks to charge my phone during my flights or at the airports. I always thought it would be great if one these days they made a power bank which could charge all my devices few times and it wasn’t so heavy.  Well, guess what Anker PowerCore 20100 is the answer.First and foremost, the capacity of this device is amazing and recharging of your devices is superfast. The unit itself comes pre-charged to about 75%came charged, so you can start using it out of the box.My test: After recharging it to full 100%, I took it with me on my business trip. I was able to charge my Samsung S6 and iPhone 6 at the same time (from 30% to FULL 100% in less than 2 hours). The Power Bank still had more than 50% juice left.  I quickly plugged in my Samsung Tab S and charged it from 70% to Full 100% in less than 40 mins. I was surprised to see that the unit still had more than 50% juice left. Long story short, it took me full 2 days and almost 7-8 device recharges to drain it down to less than 25%. This unit has massive battery capacity. Since then I have ran multiple tests on this unit and it has NOT failed once to impress me.As far as size of the unit, I own old version of the Anker powerbanks and few other units from other manufacturers.  This one is a great improvement. This is probably good 25% lighter than older Anker models and it’s not as shiny as older models. I like the looks of this one better. Anker smartly got rid of the flash light feature which was nothing but a small LED. I personally never used that feature in my older model.The four status LEDs are great and pretty accurate to show the status of battery charge left.  Two USB ports allow charging, it’s rated at 2.4amp per port and total of 4.8amp. I think that’s pretty accurate during my testing. The unit comes with a single USB-to-micro cable and is charged via micro USB input on the side. It appears to be pretty well built unit that is both durable and attractive.For recharging the unit itself, it can take somewhere from 8-10 hours. Best is to leave it plugged in overnight and you will have an enormous power capacity for the busy day or even the week ahead.Anker customer service is the best I have seen, they are quick to respond and accommodating. The unit itself is backed by their 18 month warranty.Overall, I'm extremely satisfied with the battery pack and highly recommend it.  It's a great battery backup for those on the go or even at home if you don’t want long recharging cords from power outlet to your desk.Bullet Point Analysis:------------------------------------Great For------------------------------------ Business Travelers Families on vacation Busy Moms & Dads on the go Considerate co-workers who want to help colleagues with their charging needs at office =) College Students on long class schedules International travelers------------------------------------The Pros------------------------------------ Great form factor for the amount of battery power it packs Power capacity to charge your phone throughout the week (6-7 times) Accurate charging status and battery level LEDs Automatic power off PowerIQ feature to automatically route power to the device plugged in Excellent value for cost------------------------------------The Cons------------------------------------ None I can think of for what it promises. May be charge my laptop too =)------------------------------------The Specs------------------------------------ Dimensions: 6.5 X 2.5 X 1 Output: 2 USB/ 4.8A total Input: 5V / 2A About 1” bigger than Samsung S6 and 1.5” bigger than iPhone6 Substantially lighter than any other power bank with same capacity in the market. Capacity is as promised You can use your existing cell phone charger to charge the device------------------------------------Summary------------------------------------I think it’s established that in today’s digital and multi device environment our devices are power-hungry at all times. I have seen people at Airports, Hotels, Coffee Shops, Office Receptions, Disney World, Museums (yes), Casinos etc plugged into power outlets. Phones and tablets are more advanced but they need battery juice and manufacturers have conveniently taken spare battery option out of the devices e.g. Samsung.This Anker Power Bank makes perfect sense to carry for all your smart phone and tablet charging needs. You can't beat the battery capacity, size, weight, price for the use you will get out of it and to add its backed by a good company who listens to their customers.  I would say go for it!Please do let me know if this review was helpful to you. If it was not, let me know why in the comment section. I promise that my review is fair and honest.------------------------------------",Anker PowerCore 20100 – Review by a Frequent Flyer Business Traveler,Color: Black,"2,659 people found this helpful",64923,104,3476
K. Floyd,/gp/profile/amzn1.account.AHFKKSFNMEXF5P2P3Y5PBDKKGQOQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 16, 2017",0,2,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,I Have had this charger for 1 year and the battery charge has declined.  When I first got it I could recharge my iPhone 6 4 times before needing to recharge the battery.  Now it charges once and stops reporting it's charge.  When I plug it in to recharge it immediately shows 3 of 4 charge lights.  I expected this to last more than 1 year.,Started out great...  Went downhill,Color: BlackVerified Purchase,177 people found this helpful,1130508,5,102
Christina,/gp/profile/amzn1.account.AF2MI5XO2G5CSN6VO2MPZTOIUR3A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 14, 2018",0,3,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,1.0 out of 5 stars,"THIS IS A FIRE HAZARD!  Purchased this in October 2017. First used in February 2018, plugged it in & it popped loudly & a puff of smoke emitted from the charger making both the power cord & the charge extremely hot & useless!  The electrical outlet was also extremely hot!  Wrote to Anker through the Amazon forum & have never heard from anyone.  THESE WERE RECALLED IN 2016 & evidently the problem is not fixed. SAVE YOUR MONEY!!",FIRE HAZARD,Color: BlackVerified Purchase,102 people found this helpful,2027632,20,188
C. Olin,/gp/profile/amzn1.account.AFH3QMT3CJKG4OLHCZS3MU52SLHA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 30, 2016",2,8,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"Bought this when it was released, given the specs being advertised. Unfortunately, it doesn't charge @ 2A or even close to it. It's not an issue with a cable -- I've tested several cables that all charge at around 1A - 2A on another Anker device, as seen in the attached pictures.I've reached out to Anker for assistance and received no help. I'll be sending this back.EDIT 04/2016: Anker reached out to me in private over a month ago, shipped me a new PowerCore free of charge and I confirmed that it was properly putting out over 1A. In addition to this, they replaced an older model PowerCore that had stopped working and I assumed was out of warranty, so I had taken it apart to diagnose what was wrong with it (bad capacitor). Not only did they ship me a replacement, but they let me keep the broken PowerCore so I could harvest the 18650 batteries from it.This is quality customer support and they probably ate a little bit of profit in assisting me. Not only am I raising this review to five stars, I will continue to consistently buy from Anker.","originally received a dud, but Anker's customer support really went above and beyond in assisting me",Color: BlackVerified Purchase,"1,633 people found this helpful",94367,36,1978
Ralph Sula,/gp/profile/amzn1.account.AHTG2NWEAFLVUSSNPC3B5KXL46YA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 4, 2018",3,1,https://www.amazon.com/Portable-Charger-Anker-PowerCore-20100mAh/product-reviews/B00X5RV14Y/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5.0 out of 5 stars,"Packaging : The portable charger came in neat. In a nice blue box, no dents or damage at all shown on the box. Comes with1 x Anker portable charger1 x Case1 x USB1 x ManualDetails :●●●● = 100%●●●○ = 75%●●○○ = 50%●○○○ = 25%• The portable charger cannot be charged while being used.• You don't have to press the button for it to start charging. It automatically charges your phone.• 5 Star customer service ! If you have a problem with your portable charger.• It is very slim. 6.5 x 2.4 x 0.9 In• Capacity : 20100 mAhPlease vote helpful if this was helpful to you :)",Best portable charger !,Color: BlackVerified Purchase,119 people found this helpful,12205,363,2779
