helpful_votes,page_url,total_review,visibility_status
71,https://www.amazon.com/hz/gamification/api/contributor/dashboard//amzn1.account.AHLNRLG6X74OXMXZZJLA3HWFDIKQ/,199,Public
326,https://www.amazon.com/hz/gamification/api/contributor/dashboard//amzn1.account.AHZEKSH7BENGZ5SROPBEVW767GZA/,166,Public
90,https://www.amazon.com/hz/gamification/api/contributor/dashboard//amzn1.account.AGHCXMOMPGSTLZS2J2EAGECQH3HQ/,53,Public
0,https://www.amazon.com/hz/gamification/api/contributor/dashboard//amzn1.account.AHXKPPJYBC37DTVK3L5KA7373MNA/,25,Public
321,https://www.amazon.com/hz/gamification/api/contributor/dashboard//amzn1.account.AH6CGVNLGDZKWOEH37CMQ3EGEERQ/,381,Public
6,https://www.amazon.com/hz/gamification/api/contributor/dashboard//amzn1.account.AF6MCSJBTIUPBFDHR25EK4HZC7IA/,26,Public
15,https://www.amazon.com/hz/gamification/api/contributor/dashboard//amzn1.account.AEXRI5F4EQSWNVYSI2EGY4TW4FSQ/,69,Public
5,https://www.amazon.com/hz/gamification/api/contributor/dashboard//amzn1.account.AEDE4FNDB3POAQ7TYLQZMXIVJJ7A/,13,Public
39,https://www.amazon.com/hz/gamification/api/contributor/dashboard//amzn1.account.AGYG3AQZXRJYM7AJSDWTPDPSFJGQ/,162,Public
19,https://www.amazon.com/hz/gamification/api/contributor/dashboard//amzn1.account.AFO7WIOVMFY6FTKFFDNX2RV3WTEA/,114,Public
98,https://www.amazon.com/hz/gamification/api/contributor/dashboard//amzn1.account.AHAKCS72CMSN236VILXNOVVNNHKQ/,388,Public
51,https://www.amazon.com/hz/gamification/api/contributor/dashboard//amzn1.account.AGN6PFQ64ERHWK6VU2CRGEB4V53A/,295,Public
180,https://www.amazon.com/hz/gamification/api/contributor/dashboard//amzn1.account.AHDWFNBCDYQUXQMPYDZAFYH5PC3A/,247,Public
1,https://www.amazon.com/hz/gamification/api/contributor/dashboard//amzn1.account.AG2DBY2HS3H6SR62XO5M74KP332A/,156,Public
5,https://www.amazon.com/hz/gamification/api/contributor/dashboard//amzn1.account.AH4AB7JDDCP6XW7RV3JYRAHCTASA/,145,Public
11,https://www.amazon.com/hz/gamification/api/contributor/dashboard//amzn1.account.AGGHQ7X3Y324VCTJCCP2BLUBLNWA/,87,Public
169,https://www.amazon.com/hz/gamification/api/contributor/dashboard//amzn1.account.AGRZPZ2NRAXE4YOWZ25XCEK4FTAA/,205,Public
64,https://www.amazon.com/hz/gamification/api/contributor/dashboard//amzn1.account.AEC3TPBBJP2JHR5UAF4EO6RA2RLA/,512,Public
