helpful_votes,page_url,total_review,visibility_status
244,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFQ5THHUZDDGZ4LO73GVJQYD74LA/,99,Public
"2,227",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHI6IDBCHUWUTMB7O2J4SONHJR3Q/,543,Public
16,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFHQOSIOXCLQRI66BAN5ZVOVGKDQ/,44,Public
875,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE3IQCU2IRY2O3AM75EFJNWRMV7Q/,381,Public
2,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFUWKX7D5XF4UMVTNCQBYZEN365Q/,16,Public
189,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHR5JNPJUVEKFVATH3QGGW7YWMJQ/,120,Public
77,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEJNNVZK2DE66CE3WM2YCALAPKZQ/,44,Public
129,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHRYTBUGFIU6USFGFMYTVUEIND3A/,309,Public
43,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFKZ5XIR3MCFNB727HCQUEB3C7OQ/,82,Public
0,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHWX3PW33IBXJ46YBK7TCTAZWCLQ/,4,Public
19,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEU6BOI26T7BIQQCTYR7B2SK3KMA/,31,Public
2,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEC5OBRPH2TTJXVGUKZ5BJ2OW6VQ/,40,Public
53,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGVFWDRT7XD4BFXAKJG3UOAQHZHA/,26,Public
0,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AG2BC2I4ZOCXY5JPIDKZ2PS7PFXA/,3,Public
136,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFAQFC7BFORJMDSGVMBAGI3ZKAJA/,81,Public
2,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHFLOVZUCPKA5DJMI3HDKL5VBARA/,48,Public
"2,947",https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHLMY2XQBUH2SIKDCDPQ3MU33BUQ/,"1,494",Public
13,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHOPPCUDKYTC5O5HO5BRBPUITMNQ/,59,Public
386,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHXTYQOV6XPDDLNLDWIMDXO7HLNQ/,96,Public
33,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGLBZQBRAHINBKRVF4CNXSXKOPZA/,33,Public
9,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AFUDY76QD2ECLESGKA6CZLS3XACA/,33,Public
42,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AEIE4VXPK6DASTR646GYW2DNQPCA/,121,Public
34,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AE35K2ZPWLUMSW3TBYPFVBQP36KA/,24,Public
602,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AGHGGJ2QQSTR2SCPZCPWRUISXJXA/,202,Public
96,https://www.amazon.com/hz/gamification/api/contributor/dashboard/amzn1.account.AHNGHV7CUYL7D5JFQ3SOQMLKKSPQ/,53,Public
