helpful_votes,page_url,total_review,visibility_status
"1,496",amzn1.account.AEHLWI4SARAI5QESUIR3HZBIH2HQ,203,Public
"2,723",amzn1.account.AEZ37WKRIPZSE7UYLGJMUBVHUFEQ,60,Public
782,amzn1.account.AHBCJFHEQM3CTH4NNTCOELVNFJIQ,136,Public
463,amzn1.account.AEG4VWZJ4WCEFX2MQ5T4HWZUJZEQ,324,Public
254,amzn1.account.AF2V2RNTX5QKPTJR3GHWTHURF5ZQ,45,Public
351,amzn1.account.AHAYPIX5DQ6OCTR4YKODLLJ7WM4A,28,Public
"3,297",amzn1.account.AE3VKA5YD4DH3P2SD2VN3RDKUCWQ,358,Public
194,amzn1.account.AEWRASOKAN5KKMDRIQ7L3GDWYVZA,76,Public
86,amzn1.account.AG7U5NB5ADKV4ZPJM4SKASPTYX2A,57,Public
117,amzn1.account.AH7EZTL7KNPBJX3RKA45BIOPAZKA,29,Public
"1,496",amzn1.account.AEHLWI4SARAI5QESUIR3HZBIH2HQ,203,Public
"2,723",amzn1.account.AEZ37WKRIPZSE7UYLGJMUBVHUFEQ,60,Public
782,amzn1.account.AHBCJFHEQM3CTH4NNTCOELVNFJIQ,136,Public
463,amzn1.account.AEG4VWZJ4WCEFX2MQ5T4HWZUJZEQ,324,Public
254,amzn1.account.AF2V2RNTX5QKPTJR3GHWTHURF5ZQ,45,Public
351,amzn1.account.AHAYPIX5DQ6OCTR4YKODLLJ7WM4A,28,Public
"3,297",amzn1.account.AE3VKA5YD4DH3P2SD2VN3RDKUCWQ,358,Public
194,amzn1.account.AEWRASOKAN5KKMDRIQ7L3GDWYVZA,76,Public
86,amzn1.account.AG7U5NB5ADKV4ZPJM4SKASPTYX2A,57,Public
117,amzn1.account.AH7EZTL7KNPBJX3RKA45BIOPAZKA,29,Public
599,amzn1.account.AFKWNDFUL3VQDLVOGP7C4QVSWJ6Q,234,Public
940,amzn1.account.AGYYSQ5ULC3DMOAQPLBALT7BENQQ,122,Public
17,amzn1.account.AG44BDPYK6M4ECT3CRM5NXEA6USA,27,Public
178,amzn1.account.AF65Z3Z57BXZ53QKKMKJ5S2WDKWQ,64,Public
