page_url,ranking
amzn1.account.AEHLWI4SARAI5QESUIR3HZBIH2HQ,30221
amzn1.account.AEZ37WKRIPZSE7UYLGJMUBVHUFEQ,579306
amzn1.account.AHBCJFHEQM3CTH4NNTCOELVNFJIQ,157442
amzn1.account.AEG4VWZJ4WCEFX2MQ5T4HWZUJZEQ,185224
amzn1.account.AF2V2RNTX5QKPTJR3GHWTHURF5ZQ,3160249
amzn1.account.AHAYPIX5DQ6OCTR4YKODLLJ7WM4A,442855
amzn1.account.AE3VKA5YD4DH3P2SD2VN3RDKUCWQ,18171
amzn1.account.AEWRASOKAN5KKMDRIQ7L3GDWYVZA,773223
amzn1.account.AG7U5NB5ADKV4ZPJM4SKASPTYX2A,2019580
amzn1.account.AH7EZTL7KNPBJX3RKA45BIOPAZKA,581845
amzn1.account.AEHLWI4SARAI5QESUIR3HZBIH2HQ,30221
amzn1.account.AEZ37WKRIPZSE7UYLGJMUBVHUFEQ,579306
amzn1.account.AHBCJFHEQM3CTH4NNTCOELVNFJIQ,157442
amzn1.account.AEG4VWZJ4WCEFX2MQ5T4HWZUJZEQ,185224
amzn1.account.AF2V2RNTX5QKPTJR3GHWTHURF5ZQ,3160249
amzn1.account.AHAYPIX5DQ6OCTR4YKODLLJ7WM4A,442855
amzn1.account.AE3VKA5YD4DH3P2SD2VN3RDKUCWQ,18171
amzn1.account.AEWRASOKAN5KKMDRIQ7L3GDWYVZA,773223
amzn1.account.AG7U5NB5ADKV4ZPJM4SKASPTYX2A,2019580
amzn1.account.AH7EZTL7KNPBJX3RKA45BIOPAZKA,581845
amzn1.account.AFKWNDFUL3VQDLVOGP7C4QVSWJ6Q,57945
amzn1.account.AGYYSQ5ULC3DMOAQPLBALT7BENQQ,39399
amzn1.account.AG44BDPYK6M4ECT3CRM5NXEA6USA,2186190
amzn1.account.AF65Z3Z57BXZ53QKKMKJ5S2WDKWQ,277010
amzn1.account.AH7OKLVUSB6FR2YNJDGGPSYLC2HQ,1494720
amzn1.account.AH4S4MASNNNFXLYDFNNBIYS4DL3Q,76809
amzn1.account.AGH3YVZ7NFWYIGHMLDRIM663HFMA,1510478
amzn1.account.AHBFASZJPAM23GIHHQN3VP2J6TLQ,40656
amzn1.account.AFWPEXZAXCEJPN735IPCZ5ANAGNQ,461747
amzn1.account.AFUYCKK3YEVFA6444KONGVCHCNYA,1742
amzn1.account.AFEYGCGGCVQ3PVY56URBJ6UW2VNA,281692
amzn1.account.AHKVG72DZDGMYDOEQMQPSM2G6DJQ,319070
amzn1.account.AGRVNSZZVMR7XMRPH5PVFKNYFMXA,1305633
amzn1.account.AFAUMUBH2LHY4PJU4MQBK35CHBFA,520113
