helpful_votes,page_url,total_review,visibility_status
589,amzn1.account.AF3MDTNN2TQXH5ZYWH5JGTSTJFPA,1,Public
515,amzn1.account.AFWC57EVTKAABNUI5LQB6VZN3AMQ,31,Public
"3,160",amzn1.account.AH45RPEBHK4IM4VR3AXW7M2NP5PA,203,Public
236,amzn1.account.AENGSBLTYEDODKRYXFZD3YQ4EG7Q,21,Public
163,amzn1.account.AH6HGUKXN3TOKMTJSD6NYELDT6ZQ,50,Public
220,amzn1.account.AHBIDMDCQK2KU6HBH7CGRRS3P2EA,8,Public
170,amzn1.account.AECD2ISWKRK6IHZI5XLTX2T5GKKQ,38,Public
"1,499",amzn1.account.AESYJOESAGX6BZURFASXA24U7HFQ,127,Public
149,amzn1.account.AES4VOGPOPBJ6JVKWI6SYQHH2S3A,86,Public
135,amzn1.account.AHWAC5S2J557QX7FZH5D6FZIGVVA,62,Public
589,amzn1.account.AF3MDTNN2TQXH5ZYWH5JGTSTJFPA,1,Public
515,amzn1.account.AFWC57EVTKAABNUI5LQB6VZN3AMQ,31,Public
"3,160",amzn1.account.AH45RPEBHK4IM4VR3AXW7M2NP5PA,203,Public
236,amzn1.account.AENGSBLTYEDODKRYXFZD3YQ4EG7Q,21,Public
163,amzn1.account.AH6HGUKXN3TOKMTJSD6NYELDT6ZQ,50,Public
220,amzn1.account.AHBIDMDCQK2KU6HBH7CGRRS3P2EA,8,Public
170,amzn1.account.AECD2ISWKRK6IHZI5XLTX2T5GKKQ,38,Public
"1,499",amzn1.account.AESYJOESAGX6BZURFASXA24U7HFQ,127,Public
149,amzn1.account.AES4VOGPOPBJ6JVKWI6SYQHH2S3A,86,Public
135,amzn1.account.AHWAC5S2J557QX7FZH5D6FZIGVVA,62,Public
12,amzn1.account.AEF2TXGFK4BICUV2KUCSLAXZ62TQ,12,Public
206,amzn1.account.AEXRRGJTHBQLQ3TFW6JLZNMSTXHQ,205,Public
69,amzn1.account.AFF4FP3BCVWV3AZY7UARDPFQYRZQ,7,Public
308,amzn1.account.AFO53NPUTLHRCBA5AZ24VPU5QXQA,108,Public
10,amzn1.account.AG3TX2ARPMX7MYWMGJONIV6AHRZQ,14,Public
514,amzn1.account.AFS6XFH6K4MCRUCCXS3MBUPYFFJA,304,Public
20,amzn1.account.AFNACJYPLAOUHTJJ4QWYXMJ57E5A,44,Public
94,amzn1.account.AES7Q3QLNI4D3G4A4NOWLZWUWA5Q,31,Public
278,amzn1.account.AHYGPUDFAUA7MZV3FETI2QAMQT6Q,153,Public
104,amzn1.account.AGIO5E7BZ2QKF6FVA7EHNXLBLWJQ,38,Public
"1,076",amzn1.account.AGHFTYVIIXL3FJF6OPQYJ5SUJRZA,68,Public
229,amzn1.account.AEAVDHWOUUMJ56WX6OUWIMRJLJMA,160,Public
71,amzn1.account.AH7GXJHARPFNKIY2N4BRXBE54FBQ,83,Public
7,amzn1.account.AHOKTM23Q5IR45NX3IP66IU3TBOQ,25,Public
"1,712",amzn1.account.AF77IH5NW4LLCC3SRON7AJB5MHKQ,293,Public
25,amzn1.account.AFK7U7R3LOSLGPUJKUL2QH3VXHFQ,33,Public
119,amzn1.account.AGRWIFTDDLLMTMGUJGDRKI3Y6NIA,31,Public
130,amzn1.account.AHGFELGGKCKXJ4YO2QLLX4EZ6LOA,73,Public
977,amzn1.account.AHD6VRTGAIK52BB6R7KG4XLIRD5A,337,Public
55,amzn1.account.AHIWSJO2GGYDLDS42X6HDI5RK45A,32,Public
9,amzn1.account.AGZ557WPFHPCK5NLNU4DU5LOIQ2A,13,Public
207,amzn1.account.AEFW5GJSI4W2YYF37RUW62I4ZU2Q,245,Public
95,amzn1.account.AELHRFDZUWKMZ4466QMZ57GHQU2A,63,Public
30,amzn1.account.AFWMBCUX7QWKORKEFOYZFHJLZMOQ,36,Public
524,amzn1.account.AFLYG77G4SZSHWA2YUKLUJZFU5EQ,124,Public
40,amzn1.account.AEFWZSSUETBCLX4Q6RLVW5WLITHQ,9,Public
317,amzn1.account.AFR6KN5GIUD73DOTYI3VL7U3YVIA,367,Public
169,amzn1.account.AGIJWMS7HAD2DLBO4JYXBLL2P5HQ,16,Public
5,amzn1.account.AE7K5YKEO3PJC6KMXFS6C4TVDCWQ,5,Public
63,amzn1.account.AHQC6MF5RK3ISNO5FK3FV43HPBXQ,49,Public
57,amzn1.account.AGX2A27XMFFEUHKHF5V4UFEQVF6Q,43,Public
53,amzn1.account.AFZHL456ZY7SMNO6HZYWSR35SZWQ,16,Public
16,amzn1.account.AGHKHWBUB2Z7567NQ5Z5GNPNKPEQ,67,Public
31,amzn1.account.AFGOIAJUEFXGUUDU6ZA52V7KLTEA,47,Public
76,amzn1.account.AEFWVIOGEBZNHAEREUUTHKH7X4KA,28,Public
61,amzn1.account.AHRDI534J3XFBCNX3BKA6XBN527A,33,Public
23,amzn1.account.AHJXSTIJP5IYPGKQR2BIRJHUDLEQ,9,Public
687,amzn1.account.AEZCQOXY3TCJAWF7WQK4VVR3MMMA,184,Public
971,amzn1.account.AHXBLVRGVQGUY7MPCDU7EEEIQLWA,361,Public
608,amzn1.account.AHWZM5J5GMSNW4BLROEY4TUX26OA,548,Public
79,amzn1.account.AFELS5S7P5L4W7W6DP3DGVBWO7FQ,55,Public
16,amzn1.account.AEV76ZAIUNXTKZMCUW2TK6TWQYGA,11,Public
5,amzn1.account.AGNCZGT53625QEV36UDBFWRKUHIQ,14,Public
116,amzn1.account.AE23RNHDH7VPOJYJ2BIWGESZD2CQ,131,Public
96,amzn1.account.AGHS4HTETCT5KF5BPMZHI7LIDODA,17,Public
402,amzn1.account.AFTJ6YTHK3OJL3JA7BTTPA44SPOQ,141,Public
27,amzn1.account.AE7Y3PDJ3KSPHXILKX3UMIQN3K4A,29,Public
121,amzn1.account.AGG2SYH6Z433WS4T5QFDC4NTKOSA,145,Public
49,amzn1.account.AHP27ERUJ3WH6PE4CTVOVXHZ7A6Q,21,Public
16,amzn1.account.AEAUIZLC7BAUQGLPHISYEL32IRLQ,44,Public
17,amzn1.account.AFRFCP44ROLCM6VMSIQNFPGCJRYA,20,Public
20,amzn1.account.AHECMYUWUWYVG4EVIGA4QI6LUO4A,14,Public
343,amzn1.account.AFYNW4WET72D453HIE6PLBQAIVVA,67,Public
715,amzn1.account.AGYH3UOCIIV55GD4N4E4CCWQK3IQ,207,Public
2,amzn1.account.AHF2IP3T6GCWOXOXHYMYWWVRUWDA,11,Public
63,amzn1.account.AF6DUMEDUGDRR4CE6NJNO5AY3TIA,84,Public
832,amzn1.account.AFJQNE7F3BMYQX2SUUKZ2F7G74RQ,255,Public
331,amzn1.account.AFCBZ7IIUGQRTOFRCWALG4G7T4TA,58,Public
30,amzn1.account.AHDLKPEWJPPMEVBVN6DFYT5UERTA,46,Public
"9,989",amzn1.account.AGZVRB4QQ7RDXVQ2ZHPTZ6DEKSMA,"3,847",Public
3,amzn1.account.AGDQ2WIKOW4DKJ6FHJWKWAO5EQDA,18,Public
18,amzn1.account.AFOEKXDE6ZHGPIGSWEZBN7QW7FIA,42,Public
14,amzn1.account.AHPI4VLPNMNCSVMSC7V6RWVFW7TQ,14,Public
97,amzn1.account.AGQAOMOXYFNZHNTUWLIEPKZGOPOA,98,Public
265,amzn1.account.AFH4Q7J6OGXT3KIAMGRSO2HI55XQ,125,Public
76,amzn1.account.AGOBZ7GT34AWDG4JU64UD2Q4ZD4Q,55,Public
28,amzn1.account.AE6IGPSCIZW32QQ3UZFP3346WMJA,10,Public
7,amzn1.account.AGA2TFMQPV52L5POKXGWBKOH3XSQ,70,Public
25,amzn1.account.AEXOZD4SHUNJPWFUDM5KXKPAM66A,19,Public
