page_url,ranking
amzn1.account.AF3MDTNN2TQXH5ZYWH5JGTSTJFPA,5373178
amzn1.account.AFWC57EVTKAABNUI5LQB6VZN3AMQ,130930
amzn1.account.AH45RPEBHK4IM4VR3AXW7M2NP5PA,90932
amzn1.account.AENGSBLTYEDODKRYXFZD3YQ4EG7Q,740930
amzn1.account.AH6HGUKXN3TOKMTJSD6NYELDT6ZQ,843279
amzn1.account.AHBIDMDCQK2KU6HBH7CGRRS3P2EA,7639672
amzn1.account.AECD2ISWKRK6IHZI5XLTX2T5GKKQ,1521409
amzn1.account.AESYJOESAGX6BZURFASXA24U7HFQ,163803
amzn1.account.AES4VOGPOPBJ6JVKWI6SYQHH2S3A,808740
amzn1.account.AHWAC5S2J557QX7FZH5D6FZIGVVA,385271
amzn1.account.AF3MDTNN2TQXH5ZYWH5JGTSTJFPA,5373178
amzn1.account.AFWC57EVTKAABNUI5LQB6VZN3AMQ,130930
amzn1.account.AH45RPEBHK4IM4VR3AXW7M2NP5PA,90932
amzn1.account.AENGSBLTYEDODKRYXFZD3YQ4EG7Q,740930
amzn1.account.AH6HGUKXN3TOKMTJSD6NYELDT6ZQ,843279
amzn1.account.AHBIDMDCQK2KU6HBH7CGRRS3P2EA,7639672
amzn1.account.AECD2ISWKRK6IHZI5XLTX2T5GKKQ,1521409
amzn1.account.AESYJOESAGX6BZURFASXA24U7HFQ,163803
amzn1.account.AES4VOGPOPBJ6JVKWI6SYQHH2S3A,808740
amzn1.account.AHWAC5S2J557QX7FZH5D6FZIGVVA,385271
amzn1.account.AEF2TXGFK4BICUV2KUCSLAXZ62TQ,5976927
amzn1.account.AEXRRGJTHBQLQ3TFW6JLZNMSTXHQ,369078
amzn1.account.AFF4FP3BCVWV3AZY7UARDPFQYRZQ,12857978
amzn1.account.AFO53NPUTLHRCBA5AZ24VPU5QXQA,469680
amzn1.account.AG3TX2ARPMX7MYWMGJONIV6AHRZQ,14042766
amzn1.account.AFS6XFH6K4MCRUCCXS3MBUPYFFJA,58429
amzn1.account.AFNACJYPLAOUHTJJ4QWYXMJ57E5A,4808417
amzn1.account.AES7Q3QLNI4D3G4A4NOWLZWUWA5Q,459626
amzn1.account.AHYGPUDFAUA7MZV3FETI2QAMQT6Q,26527
amzn1.account.AGIO5E7BZ2QKF6FVA7EHNXLBLWJQ,206384
amzn1.account.AGHFTYVIIXL3FJF6OPQYJ5SUJRZA,18337
amzn1.account.AEAVDHWOUUMJ56WX6OUWIMRJLJMA,319568
amzn1.account.AH7GXJHARPFNKIY2N4BRXBE54FBQ,889566
amzn1.account.AHOKTM23Q5IR45NX3IP66IU3TBOQ,3661940
amzn1.account.AF77IH5NW4LLCC3SRON7AJB5MHKQ,14427
amzn1.account.AFK7U7R3LOSLGPUJKUL2QH3VXHFQ,1368761
amzn1.account.AGRWIFTDDLLMTMGUJGDRKI3Y6NIA,4917982
amzn1.account.AHGFELGGKCKXJ4YO2QLLX4EZ6LOA,82078
amzn1.account.AHD6VRTGAIK52BB6R7KG4XLIRD5A,12554
amzn1.account.AHIWSJO2GGYDLDS42X6HDI5RK45A,2117440
amzn1.account.AGZ557WPFHPCK5NLNU4DU5LOIQ2A,4826551
amzn1.account.AEFW5GJSI4W2YYF37RUW62I4ZU2Q,66881
amzn1.account.AELHRFDZUWKMZ4466QMZ57GHQU2A,3732227
amzn1.account.AFWMBCUX7QWKORKEFOYZFHJLZMOQ,1378445
amzn1.account.AFLYG77G4SZSHWA2YUKLUJZFU5EQ,52062
amzn1.account.AEFWZSSUETBCLX4Q6RLVW5WLITHQ,12631838
amzn1.account.AFR6KN5GIUD73DOTYI3VL7U3YVIA,40955
amzn1.account.AGIJWMS7HAD2DLBO4JYXBLL2P5HQ,9267494
amzn1.account.AE7K5YKEO3PJC6KMXFS6C4TVDCWQ,13465879
amzn1.account.AHQC6MF5RK3ISNO5FK3FV43HPBXQ,1051810
amzn1.account.AGX2A27XMFFEUHKHF5V4UFEQVF6Q,2029405
amzn1.account.AFZHL456ZY7SMNO6HZYWSR35SZWQ,1839770
amzn1.account.AGHKHWBUB2Z7567NQ5Z5GNPNKPEQ,2014381
amzn1.account.AFGOIAJUEFXGUUDU6ZA52V7KLTEA,1631995
amzn1.account.AEFWVIOGEBZNHAEREUUTHKH7X4KA,773504
amzn1.account.AHRDI534J3XFBCNX3BKA6XBN527A,1140203
amzn1.account.AHJXSTIJP5IYPGKQR2BIRJHUDLEQ,12264618
amzn1.account.AEZCQOXY3TCJAWF7WQK4VVR3MMMA,189559
amzn1.account.AHXBLVRGVQGUY7MPCDU7EEEIQLWA,17058
amzn1.account.AHWZM5J5GMSNW4BLROEY4TUX26OA,329710
amzn1.account.AFELS5S7P5L4W7W6DP3DGVBWO7FQ,535320
amzn1.account.AEV76ZAIUNXTKZMCUW2TK6TWQYGA,41117233
amzn1.account.AGNCZGT53625QEV36UDBFWRKUHIQ,7326690
amzn1.account.AE23RNHDH7VPOJYJ2BIWGESZD2CQ,167502
amzn1.account.AGHS4HTETCT5KF5BPMZHI7LIDODA,5784438
amzn1.account.AFTJ6YTHK3OJL3JA7BTTPA44SPOQ,152433
amzn1.account.AE7Y3PDJ3KSPHXILKX3UMIQN3K4A,3812724
amzn1.account.AGG2SYH6Z433WS4T5QFDC4NTKOSA,312873
amzn1.account.AHP27ERUJ3WH6PE4CTVOVXHZ7A6Q,1943990
amzn1.account.AEAUIZLC7BAUQGLPHISYEL32IRLQ,1634118
amzn1.account.AFRFCP44ROLCM6VMSIQNFPGCJRYA,3921797
amzn1.account.AHECMYUWUWYVG4EVIGA4QI6LUO4A,1759584
amzn1.account.AFYNW4WET72D453HIE6PLBQAIVVA,304802
amzn1.account.AGYH3UOCIIV55GD4N4E4CCWQK3IQ,124080
amzn1.account.AHF2IP3T6GCWOXOXHYMYWWVRUWDA,7862355
amzn1.account.AF6DUMEDUGDRR4CE6NJNO5AY3TIA,763333
amzn1.account.AFJQNE7F3BMYQX2SUUKZ2F7G74RQ,19851
amzn1.account.AFCBZ7IIUGQRTOFRCWALG4G7T4TA,732319
amzn1.account.AHDLKPEWJPPMEVBVN6DFYT5UERTA,1814165
amzn1.account.AGZVRB4QQ7RDXVQ2ZHPTZ6DEKSMA,424
amzn1.account.AGDQ2WIKOW4DKJ6FHJWKWAO5EQDA,7622260
amzn1.account.AFOEKXDE6ZHGPIGSWEZBN7QW7FIA,924586
amzn1.account.AHPI4VLPNMNCSVMSC7V6RWVFW7TQ,86666604
amzn1.account.AGQAOMOXYFNZHNTUWLIEPKZGOPOA,313677
amzn1.account.AFH4Q7J6OGXT3KIAMGRSO2HI55XQ,49013
amzn1.account.AGOBZ7GT34AWDG4JU64UD2Q4ZD4Q,2125518
amzn1.account.AE6IGPSCIZW32QQ3UZFP3346WMJA,9521389
amzn1.account.AGA2TFMQPV52L5POKXGWBKOH3XSQ,1972953
amzn1.account.AEXOZD4SHUNJPWFUDM5KXKPAM66A,3513143
amzn1.account.AGNLHNRBZ2BUOBRYR5U3GA45QDWQ,8193434
amzn1.account.AF5O2CB4CYHPB5QUDQTTNWLUY6TA,94754
amzn1.account.AFJO4CESSOOBQ5VCTKPSCJXS76AQ,207799
amzn1.account.AGPXEQYODQQEKB5INMZSUDVH6SPA,1062788
