page_url,ranking
amzn1.account.AH2XPCNYK6TZ3GEU4V5FLXRH4P3Q,1792792
amzn1.account.AHWR7742IL6RT7LL5Z3DIEGAXZTQ,135
amzn1.account.AGT7WH4TX4NPKZGVC5IU3NR3FNWQ,218517
amzn1.account.AE7LW6X7MVNXJX7RBUKL7LUNHG4A,256591
amzn1.account.AH3ZDQWD6CECNVFORKTWUYCO2V3Q,1318036
amzn1.account.AGRNWYUSVMGX2VAJ7GDXCARJ3JKQ,717470
amzn1.account.AFDFN6ZT7WCGYUHED5QC6HHMJLLA,3113055
amzn1.account.AGLFRCVD3Q62M5R5ACTZWNW2ZKMQ,685736
amzn1.account.AEHKXWQ5ORXAWZPWAUGDB3SQCTUA,2069151
amzn1.account.AGBTBET45DCT6OR3223VYJ2CIIDA,3769503
amzn1.account.AH2XPCNYK6TZ3GEU4V5FLXRH4P3Q,1792792
amzn1.account.AHWR7742IL6RT7LL5Z3DIEGAXZTQ,135
amzn1.account.AGT7WH4TX4NPKZGVC5IU3NR3FNWQ,218517
amzn1.account.AE7LW6X7MVNXJX7RBUKL7LUNHG4A,256591
amzn1.account.AH3ZDQWD6CECNVFORKTWUYCO2V3Q,1318036
amzn1.account.AGRNWYUSVMGX2VAJ7GDXCARJ3JKQ,717470
amzn1.account.AFDFN6ZT7WCGYUHED5QC6HHMJLLA,3113055
amzn1.account.AGLFRCVD3Q62M5R5ACTZWNW2ZKMQ,685736
amzn1.account.AEHKXWQ5ORXAWZPWAUGDB3SQCTUA,2069151
amzn1.account.AGBTBET45DCT6OR3223VYJ2CIIDA,3769503
amzn1.account.AHI5J2SLBBDTXKHFN34WIE3L25LA,4617493
amzn1.account.AETR5VLAZ4GZ3DELP4CETVWF7YQQ,4646178
amzn1.account.AGAVSTBXKO5T5UI2ZQSW7DD55CBA,5302385
amzn1.account.AFNCFUBBIPDLEXJUWK4WS3UGPWPA,2323
amzn1.account.AFBALUDHNKKJL3EOB4VQFI5INFUQ,7403
amzn1.account.AH5IOVDDJHKD5WYITDUI5YP6AQLA,3608068
amzn1.account.AEFC5K47OJRISOHSI4TW3OERRCFA,341248
amzn1.account.AEDNGH25B7DADCDGXWXJIVYKZN3A,1069856
amzn1.account.AEQEIRU2QO7MBTBYLKRPTHMF7SFQ,276682
amzn1.account.AHMW2PCFS44OMBOSDEZ4RWCDZYLA,104652
amzn1.account.AHZXUQIR6RHESXZRTA7FOV3G3OGA,3358261
amzn1.account.AGR6HO5I362JAOA5T4Y32V6NHKVA,86686795
amzn1.account.AGPWEULE2RZH4Q7AGDPTZZ3QZ7MA,4597783
amzn1.account.AGQH7AZ3Z63LILMOYK2O2FLRCE2A,1890431
amzn1.account.AHXK5VWN72V5JMLKDCEPHUD7GB3Q,1054587
amzn1.account.AGAEEXODZUXHDKN6MAYRREGIJGAA,9051699
amzn1.account.AEAQFF76ZHS55MJ7OIQTSEH3M5WQ,91843
amzn1.account.AHHLZO6FQRIGWLCXONSOU5PNDSPQ,189201
amzn1.account.AEE7G6UOJN4QQUXI5HUCFL5X7PKA,992453
amzn1.account.AHXQWRTLHHNTYDTQ76BWWJH775PA,5013643
amzn1.account.AGRY7DXCQEKC4RGA7B676SWILM3A,532217
amzn1.account.AFWVYPEJ2I52MSIOHQ47YEBPP27A,19209933
amzn1.account.AHSLFO5GRLJVCIKG6XIMJ552QYVQ,49461
amzn1.account.AGCTCMPPNL3SLDUEV3J3KPKARZNA,35731
amzn1.account.AHTHH2AUAWKMHU4LQGELJTT6UPXA,489510
amzn1.account.AFQBZNUQ4H76XP2EC33LZTJ75BVA,1916527
amzn1.account.AHPFRCRFXMLD7BLKOI6ILU7GE33A,15201685
amzn1.account.AH4VQDNWL3TLOIUBOBK55FOYXIHQ,7313740
amzn1.account.AGBV2EQYTOCMXYTLBSMD24ZHECPA,429767
amzn1.account.AE27XHPMFCKJGZ722ZYJWU24VPYA,961573
amzn1.account.AHXQTMXUHAJZ3KLTPNC2YGXI7ZJQ,69486
amzn1.account.AGNNIDDH7JRHOXM4LMEW6XRY2QCA,19576672
amzn1.account.AGBBFFAIQ5V67NWBLSDRKQX7ZVKQ,138713
amzn1.account.AH6LEOGOQ5AV53LYRHB5L7CVOX7A,753370
