page_url,ranking
amzn1.account.AEG5T654T24TUXOIQ5VGEI3NHPPQ,22240
amzn1.account.AEHIB56VW3BVRVHJP3NH7AUR5TLA,2710534
amzn1.account.AHQ4MXP737DQ5NHG7JZ3YO4F2XHQ,66143
amzn1.account.AF6D4CFOR3WRODNXBRABWGHBXL7Q,97481
amzn1.account.AFYU62I6KTSHKS73MYW2MCSCFL6Q,1168881
amzn1.account.AE5PWSS7JYBNTB7NVRSOLNG6BTCQ,190080
amzn1.account.AGLTVUSQHIUXU5G4FAWUTVKKGNVQ,272757
amzn1.account.AEG7V3WO55AXY3SKWFLLIOJX4BOA,76417
amzn1.account.AFFUQ6NB66ZABAZIYBMP2QQQUMBA,2578367
amzn1.account.AG4ERWLEVGYZLL4EPWTZWDRQ2U5A,135853
amzn1.account.AEG5T654T24TUXOIQ5VGEI3NHPPQ,22240
amzn1.account.AEHIB56VW3BVRVHJP3NH7AUR5TLA,2710534
amzn1.account.AHQ4MXP737DQ5NHG7JZ3YO4F2XHQ,66143
amzn1.account.AF6D4CFOR3WRODNXBRABWGHBXL7Q,97481
amzn1.account.AFYU62I6KTSHKS73MYW2MCSCFL6Q,1168881
amzn1.account.AE5PWSS7JYBNTB7NVRSOLNG6BTCQ,190080
amzn1.account.AGLTVUSQHIUXU5G4FAWUTVKKGNVQ,272757
amzn1.account.AEG7V3WO55AXY3SKWFLLIOJX4BOA,76417
amzn1.account.AFFUQ6NB66ZABAZIYBMP2QQQUMBA,2578367
amzn1.account.AG4ERWLEVGYZLL4EPWTZWDRQ2U5A,135853
amzn1.account.AF3ANK2JN5BMP472564T5BPQCJXA,620170
amzn1.account.AGRTUVKPHZAJIM2F2GCXCTDTHJAQ,430339
amzn1.account.AHGZDHIXJ3U2CT5K4XFJ5VSKZSVA,923951
amzn1.account.AGRBRKXTWYEISEGPRH2X3T3M7MRA,672469
amzn1.account.AGZ347CR3JZ6M5ZT3CFSSNS7H5NQ,36877
amzn1.account.AHYDTF76TOWXZQGHKAYPQCKKJGTA,118086
amzn1.account.AEWBOQT5L47CY5OPCRZSAWEQQ4SQ,238
amzn1.account.AEDVCOVX5PRHSK34YVMG56Y7UEIA,1425638
amzn1.account.AHULEBZW5YFGCRMJFVZQEBLEG5XA,138008
amzn1.account.AHPGA7VEFQQPUDN6IYWNW2BLXNGA,86579765
amzn1.account.AHDUTHPBV3UITUZMK4SCIR77Q2YA,374418
amzn1.account.AGN6Y7FTUSG5UU5ISI2IX4IZ43YQ,2879128
amzn1.account.AEIAJQL2DYOHZSNUG557AWHK7EXQ,487516
amzn1.account.AGOS2KRLWJOMTP42MTZ52ESGNY7A,6392055
amzn1.account.AGXRHK4CA5JRGWZMRBBN7BBIDNGA,1221411
amzn1.account.AHXZCXBMWHLMSDE5HNYI4XLHU5DQ,1032725
amzn1.account.AE4JNBXJS6ERQZSRKV32JINWBMIQ,339320
amzn1.account.AEAHNF7J65DPWEPSJW64SDS7OLMQ,754477
amzn1.account.AFCB3UBOEM6MWEDXLIBSQY5OF6VA,1667634
amzn1.account.AE25JHNAK5Q6T6GV2X4NRY6ABYBQ,104117
amzn1.account.AGFAJLBDRYUNEYLAHJQOY7WIZBMQ,1336988
amzn1.account.AGHKU74BXBR5DN6ZOBHBRR6VTNUA,2970118
amzn1.account.AHNY5QTZ22LWCJKI4AUW2FZPFF3A,8176363
amzn1.account.AHEZYQNZ6TNACWEJGQOBWCOIZCIQ,1027090
amzn1.account.AHL7IOVBL7PYQTVKIU7WVK4W3OOQ,7546167
amzn1.account.AHJJV74A4XPJUDUZWPCRQCPJ4QOQ,2258265
amzn1.account.AF76LSOXDGNCW2QP2GKISPORHSNQ,2505521
