helpful_votes,page_url,total_review,visibility_status
"1,498",amzn1.account.AF4KRDA6XVQE357OWPILTPXV7TSA,270,Public
"1,313",amzn1.account.AESUXZN5UHWORNTTMXMJLJEJDZNQ,5,Public
355,amzn1.account.AF2CT7AT2J3P2CWNHT7MNSAXQEIQ,5,Public
272,amzn1.account.AFQZV6XQRGOR6XS65RHZXC3W6KSA,11,Public
309,amzn1.account.AEOOZJAVM3FCB6G67H5ZDLVX3EKQ,31,Public
204,amzn1.account.AGR5BX4UHKEZ4TXFKM6ZFM4KTB7A,57,Public
247,amzn1.account.AFQY4HLHGZ744JQCRFDKVYSWJTAQ,15,Public
"12,678",amzn1.account.AHJ3S3V3XBCJZFF7EE4RALKBJPPQ,"4,917",Public
171,amzn1.account.AGGAAVDQ4OOETOTLNMFGT4IECKBQ,51,Public
"1,461",amzn1.account.AER5DBN6Y24OPULGCBRNCNHLRSVQ,263,Public
"1,498",amzn1.account.AF4KRDA6XVQE357OWPILTPXV7TSA,270,Public
"1,313",amzn1.account.AESUXZN5UHWORNTTMXMJLJEJDZNQ,5,Public
355,amzn1.account.AF2CT7AT2J3P2CWNHT7MNSAXQEIQ,5,Public
272,amzn1.account.AFQZV6XQRGOR6XS65RHZXC3W6KSA,11,Public
309,amzn1.account.AEOOZJAVM3FCB6G67H5ZDLVX3EKQ,31,Public
204,amzn1.account.AGR5BX4UHKEZ4TXFKM6ZFM4KTB7A,57,Public
247,amzn1.account.AFQY4HLHGZ744JQCRFDKVYSWJTAQ,15,Public
"12,678",amzn1.account.AHJ3S3V3XBCJZFF7EE4RALKBJPPQ,"4,917",Public
171,amzn1.account.AGGAAVDQ4OOETOTLNMFGT4IECKBQ,51,Public
"1,461",amzn1.account.AER5DBN6Y24OPULGCBRNCNHLRSVQ,263,Public
196,amzn1.account.AE4NII4MRSF7VMCATLVFP33I3R5Q,32,Public
100,amzn1.account.AHQCXDIB4N5X6H7GEE2MVIA36W3A,24,Public
104,amzn1.account.AH4LKML5CYCXFRWFUSQ5TSCADPBQ,18,Public
64,amzn1.account.AEBUPWKWTA6T2K6RVYZILPCFPUNQ,1,Public
268,amzn1.account.AGYKFXBHO6AJMD46RWJCNFUOBIFA,31,Public
70,amzn1.account.AFWIBUTCG4TCOUTMWCBI32JZQT5A,35,Public
64,amzn1.account.AECNZDQITJLL3ORCTA4ZTPVZT6LA,24,Public
92,amzn1.account.AHMSAMBUKMEOY27E6Z52UOEPKKQQ,54,Public
91,amzn1.account.AE2IN7KISSV56ORYWK6XU2P6T3VA,59,Public
285,amzn1.account.AGSJ3JBIW3GKSA5MS4YT2GCHUD2Q,392,Public
43,amzn1.account.AG4NPUZG7PPIXK2UZONDGJF37K5A,2,Public
310,amzn1.account.AGNCP6YFNEZWX3URRNDHBNFO73PQ,108,Public
361,amzn1.account.AG627SV6DSNZF535TIURNUGDOVNA,158,Public
"1,452",amzn1.account.AG2VHSKXZ2I6R5PM5NO43WJIX3DA,240,Public
69,amzn1.account.AGPSP3ZXEBD6L3YWQPV3YMYJ2PHA,7,Public
45,amzn1.account.AE2OMULTKOJVGVCY3VYHS6YFQ4ZA,26,Public
42,amzn1.account.AFSB7GP6VUDUMFJNLQXOCSOH2MBA,17,Public
47,amzn1.account.AH7AEEFA6IRTN2OALALD3P4SYBQQ,48,Public
327,amzn1.account.AGY2UNO63MMXCVTZNFQIG22ZIL2Q,133,Public
57,amzn1.account.AFSZTTCM52BPGCCC3HTRJXRIFRTQ,82,Public
14,amzn1.account.AGJ7EMAILHAUKHG3C6YHNLZUAVCA,2,Public
314,amzn1.account.AGHI3MGZBTHEJ2MBKELATJXBMMMA,11,Public
39,amzn1.account.AEMOHTXAD2OYQTPTYTHIF5EZZC3A,65,Public
"4,671",amzn1.account.AHYPHLGD3U6SIRXNPXHISDZVGKKA,118,Public
19,amzn1.account.AGVT6RPDRRQFM4YQT6PWA5UU2EYA,29,Public
19,amzn1.account.AHO6OYFMF32JBI7NGI7UFRBLLPWA,15,Public
39,amzn1.account.AHM3BC3F5OYECTIAFWJOBGJ7JOSA,15,Public
29,amzn1.account.AHYFYDRLFYXFZ4IVEKGSH457S7TQ,65,Public
180,amzn1.account.AFLQ63KJFBSRIEDD427DFDI67U2A,29,Public
22,amzn1.account.AF4BEZZ7R6B2WQHY2P7676SOYXLQ,5,Public
27,amzn1.account.AH2VSY7BWAIPB4KIO4UOXFD2B45A,5,Public
13,amzn1.account.AFNWNMWSMPOXKF4MAX4SMMUIKNWA,53,Public
38,amzn1.account.AFDFGQFEKTIUAPARF2262XM7RKAQ,68,Public
10,amzn1.account.AERBSY46KL6PIRBFUK2ZAJNBG43Q,10,Public
306,amzn1.account.AGQ3SKE4YRAZJUT4MBJU746GZ3QA,67,Public
39,amzn1.account.AFI3CKV27O3I5QLEQCXXKZYXEPUQ,22,Public
54,amzn1.account.AGRNTIX4PEDKWTG55CFVCK6NMCJQ,31,Public
202,amzn1.account.AGSE7PO3MZS5XMKBM6B56Z7M65LA,102,Public
94,amzn1.account.AHFEUHJBVP3DKY7FSRHDVLN4NBKQ,37,Public
40,amzn1.account.AGL67G3PCZNM6AG5IBKE7HNEYJ3Q,11,Public
507,amzn1.account.AGXDMJ33BXL2SD26ONQIJYX2FX2A,458,Public
144,amzn1.account.AGYD7HFC4LOKBJUEG7LOKIWIZCFA,63,Public
17,amzn1.account.AEKYYU4PMXSUWCFU2UHB6SIADPMA,17,Public
7,amzn1.account.AGOVIG27YSWUY4PUZS2VK6HFIWPQ,1,Public
17,amzn1.account.AE4EY4KFZWQHBCBI5JZ5PW2SPWOA,43,Public
8,amzn1.account.AG5EYX67SVP7SRBAIPQQO4HRDNKQ,35,Public
4,amzn1.account.AEKD7JWL6QBK2J24DXSXHRVCXHEA,13,Public
25,amzn1.account.AGGKQ4BBAG4IJX5RHHHTCUGFJDZQ,34,Public
15,amzn1.account.AEFR6LZBNPK2THVV2WRENHAB3HSA,9,Public
13,amzn1.account.AFDXWTMDD4AX5RVUZK3GVRMROZVQ,23,Public
21,amzn1.account.AFCK6EY3XWTLUOM5X5EUTKM7MBQQ,139,Public
414,amzn1.account.AF6DKJPIQU35IK37VY23LTSVRAOA,194,Public
5,amzn1.account.AF7MY3A4VADRO643I32DI6IZZTWA,15,Public
10,amzn1.account.AEYVLX4Q7OVD6YLV4GNM3HUFSVZA,30,Public
5,amzn1.account.AGGOMDVGCXO6D3ADVYWTXUIUTFUQ,8,Public
442,amzn1.account.AFMMYWPISOM2OACU6W6HTPCE5ARA,34,Public
41,amzn1.account.AEGAVG4BJ2HE3NU76SXGWYZWP4JA,68,Public
2,amzn1.account.AEC2CYZSYOV3KHFCGKPBZZKJMR4Q,7,Public
154,amzn1.account.AEKEPH7WWSMGGTKENJP3P5VUJPUA,85,Public
10,amzn1.account.AHSJ4FQCQ66UCODPKZHP3H2TYDDQ,16,Public
51,amzn1.account.AGWG6ZFCDYF4NWISYADIRWPR3XZQ,40,Public
330,amzn1.account.AG45UMIHYATZX3LUPO6DSLRX42AQ,92,Public
34,amzn1.account.AEYOLBCFKTCISQ2KBSVS7S6VRSCQ,84,Public
15,amzn1.account.AHFWNN4OGJT3JHGVSTPFDH7MXSLA,12,Public
866,amzn1.account.AGN4Y6S2XZVAT55EWY7XNHJYOGOQ,525,Public
89,amzn1.account.AGD7AGYCQBXABSVQT32VNMJNU7XA,118,Public
233,amzn1.account.AH6VTYM4KFY6V66NRTEDPYQARF7A,38,Public
6,amzn1.account.AGI32RJZFTVDSBNNRG7LRTHEOCZA,20,Public
73,amzn1.account.AHEOWDKSXKUTXKYEO5F5HPPF3MTQ,31,Public
49,amzn1.account.AEGWBK24HFHFLAUQJFM23TGKNAKQ,32,Public
232,amzn1.account.AFEFLFMRPCFTYFWIZU7SKFIHJGMQ,36,Public
6,amzn1.account.AEGCZGCDLVAO2BEXLWM7K7LE3H7Q,13,Public
10,amzn1.account.AF73NWVJRQN2N5QCANCP2R4BSJEQ,10,Public
174,amzn1.account.AHO4NRGDRYDXJD6AVNSPPDAITHNQ,58,Public
26,amzn1.account.AHR254BS3ZZM7YOCXSQQGLP6X2WQ,19,Public
398,amzn1.account.AHIFZNXQFE4H53FMZXG64SS4ARNA,71,Public
6,amzn1.account.AFLC7RBR5XYOYMLRQDFZC5OUQVZA,48,Public
