page_url,ranking
amzn1.account.AF4KRDA6XVQE357OWPILTPXV7TSA,16001
amzn1.account.AESUXZN5UHWORNTTMXMJLJEJDZNQ,1066082
amzn1.account.AF2CT7AT2J3P2CWNHT7MNSAXQEIQ,6785202
amzn1.account.AFQZV6XQRGOR6XS65RHZXC3W6KSA,1162652
amzn1.account.AEOOZJAVM3FCB6G67H5ZDLVX3EKQ,1590014
amzn1.account.AGR5BX4UHKEZ4TXFKM6ZFM4KTB7A,1891416
amzn1.account.AFQY4HLHGZ744JQCRFDKVYSWJTAQ,1584722
amzn1.account.AHJ3S3V3XBCJZFF7EE4RALKBJPPQ,4529
amzn1.account.AGGAAVDQ4OOETOTLNMFGT4IECKBQ,761942
amzn1.account.AER5DBN6Y24OPULGCBRNCNHLRSVQ,38082
amzn1.account.AF4KRDA6XVQE357OWPILTPXV7TSA,16001
amzn1.account.AESUXZN5UHWORNTTMXMJLJEJDZNQ,1066082
amzn1.account.AF2CT7AT2J3P2CWNHT7MNSAXQEIQ,6785202
amzn1.account.AFQZV6XQRGOR6XS65RHZXC3W6KSA,1162652
amzn1.account.AEOOZJAVM3FCB6G67H5ZDLVX3EKQ,1590014
amzn1.account.AGR5BX4UHKEZ4TXFKM6ZFM4KTB7A,1891416
amzn1.account.AFQY4HLHGZ744JQCRFDKVYSWJTAQ,1584722
amzn1.account.AHJ3S3V3XBCJZFF7EE4RALKBJPPQ,4529
amzn1.account.AGGAAVDQ4OOETOTLNMFGT4IECKBQ,761942
amzn1.account.AER5DBN6Y24OPULGCBRNCNHLRSVQ,38082
amzn1.account.AE4NII4MRSF7VMCATLVFP33I3R5Q,413796
amzn1.account.AHQCXDIB4N5X6H7GEE2MVIA36W3A,86456967
amzn1.account.AH4LKML5CYCXFRWFUSQ5TSCADPBQ,86327854
amzn1.account.AEBUPWKWTA6T2K6RVYZILPCFPUNQ,86229346
amzn1.account.AGYKFXBHO6AJMD46RWJCNFUOBIFA,429123
amzn1.account.AFWIBUTCG4TCOUTMWCBI32JZQT5A,1477259
amzn1.account.AECNZDQITJLL3ORCTA4ZTPVZT6LA,1842923
amzn1.account.AHMSAMBUKMEOY27E6Z52UOEPKKQQ,1779253
amzn1.account.AE2IN7KISSV56ORYWK6XU2P6T3VA,338870
amzn1.account.AGSJ3JBIW3GKSA5MS4YT2GCHUD2Q,329355
amzn1.account.AG4NPUZG7PPIXK2UZONDGJF37K5A,86372675
amzn1.account.AGNCP6YFNEZWX3URRNDHBNFO73PQ,14914
amzn1.account.AG627SV6DSNZF535TIURNUGDOVNA,362616
,
amzn1.account.AGPSP3ZXEBD6L3YWQPV3YMYJ2PHA,8949524
amzn1.account.AE2OMULTKOJVGVCY3VYHS6YFQ4ZA,14333803
amzn1.account.AFSB7GP6VUDUMFJNLQXOCSOH2MBA,86381352
amzn1.account.AH7AEEFA6IRTN2OALALD3P4SYBQQ,86676033
amzn1.account.AGY2UNO63MMXCVTZNFQIG22ZIL2Q,6379821
amzn1.account.AFSZTTCM52BPGCCC3HTRJXRIFRTQ,2550073
amzn1.account.AGJ7EMAILHAUKHG3C6YHNLZUAVCA,8036358
amzn1.account.AGHI3MGZBTHEJ2MBKELATJXBMMMA,1954934
amzn1.account.AEMOHTXAD2OYQTPTYTHIF5EZZC3A,86673440
amzn1.account.AHYPHLGD3U6SIRXNPXHISDZVGKKA,1337362
amzn1.account.AGVT6RPDRRQFM4YQT6PWA5UU2EYA,6641342
amzn1.account.AHO6OYFMF32JBI7NGI7UFRBLLPWA,4152964
amzn1.account.AHM3BC3F5OYECTIAFWJOBGJ7JOSA,6984392
amzn1.account.AHYFYDRLFYXFZ4IVEKGSH457S7TQ,1515147
amzn1.account.AFLQ63KJFBSRIEDD427DFDI67U2A,1331047
amzn1.account.AF4BEZZ7R6B2WQHY2P7676SOYXLQ,13645593
amzn1.account.AH2VSY7BWAIPB4KIO4UOXFD2B45A,86475021
amzn1.account.AFNWNMWSMPOXKF4MAX4SMMUIKNWA,3584461
amzn1.account.AFDFGQFEKTIUAPARF2262XM7RKAQ,1252488
amzn1.account.AERBSY46KL6PIRBFUK2ZAJNBG43Q,11611789
amzn1.account.AGQ3SKE4YRAZJUT4MBJU746GZ3QA,18051
amzn1.account.AFI3CKV27O3I5QLEQCXXKZYXEPUQ,86681468
amzn1.account.AGRNTIX4PEDKWTG55CFVCK6NMCJQ,1114716
amzn1.account.AGSE7PO3MZS5XMKBM6B56Z7M65LA,160856
