helpful_votes,page_url,total_review,visibility_status
,,,
873,amzn1.account.AFIZAPQID2CDKQH2V5DONFVHGBAA,33,Public
"1,429",amzn1.account.AFMY3ZEJH3Q7LUWACDTWOXJPQJ5Q,1,Public
"1,429",amzn1.account.AFMY3ZEJH3Q7LUWACDTWOXJPQJ5Q,1,Public
316,amzn1.account.AFCRLKYHCCAYZHZNAIHRPO5OL3KQ,22,Public
"1,677",amzn1.account.AF2KYWOFEMFMEEF76HIHCM6OWL7A,57,Public
519,amzn1.account.AGC7EQILXXGFQQXN2NGTCJEYEECA,2,Public
692,amzn1.account.AEMLC5R66KL2UW2EIWEQILQSXHKQ,1,Public
713,amzn1.account.AEWFGX23CDYYGUJ4RT53BBC62K6A,3,Public
274,amzn1.account.AHYLZ66PDSDPLPV6HMT3PAOAKJHA,81,Public
197,amzn1.account.AFNWGVFRQA5CSA4NB3CQNF4FC6FA,3,Public
298,amzn1.account.AF45YP323K5K4MN67IONZ4CCUJZQ,1,Public
157,amzn1.account.AGKXHT3BDPHAPJKB6AQZSKA6UKIQ,14,Public
873,amzn1.account.AFIZAPQID2CDKQH2V5DONFVHGBAA,33,Public
237,amzn1.account.AGD23NQVRXYDYUXON2KKLATNLO4Q,6,Public
467,amzn1.account.AFATQ4QZ2VH2UVA4RAUYEHS5UUKQ,589,Public
146,amzn1.account.AFW26SX7NGETOZDAVW7FLS64B2GQ,7,Public
132,amzn1.account.AF7PJRCEBJLFYWUKYXP5SHHI2BQA,6,Public
713,amzn1.account.AEWFGX23CDYYGUJ4RT53BBC62K6A,3,Public
103,amzn1.account.AEY32BHETCLD2AG24W7MDOWDANBA,2,Public
124,amzn1.account.AFZGNUSOISWHEJFP7Y5RODTS423Q,20,Public
92,amzn1.account.AFJZ4KASLPOWMDE5RCPNXWRCD7TA,8,Public
157,amzn1.account.AGILMANPW6RC2AIOWXBTT3DHCIBQ,44,Public
707,amzn1.account.AGDQ6NSBFF4FTJRTTIVSV7EWALJQ,206,Public
107,amzn1.account.AHPR6ZQ6GJ4CFOJN6VBNHO673Z6A,5,Public
"1,273",amzn1.account.AENYQV4HZCPRJLSBYPZTT75E26WQ,135,Public
"2,240",amzn1.account.AEN472EUMN5GHQC36ZWUJL72TXZA,215,Public
124,amzn1.account.AHJ2MO6IFVBQF6YDK5B5GUGL2IMA,121,Public
64,amzn1.account.AHZVVBVUMJHJZZNYXJIK3LW6NCVQ,11,Public
"1,677",amzn1.account.AF2KYWOFEMFMEEF76HIHCM6OWL7A,57,Public
287,amzn1.account.AGG5DSBLS4ZRDFZKHXBLW5OEODGA,4,Public
168,amzn1.account.AESOVDELDRI5AUKTGS2DRBBMVUMA,2,Public
83,amzn1.account.AGZQ3AFCZB5NJJI43EFS3BXVOZIA,24,Public
60,amzn1.account.AHB4LCE3BBHIZGTVMT5FIRTHQ2HA,4,Public
"3,680",amzn1.account.AEB2XY567BUH4AOEPTZLVUKXQSHQ,2,Public
498,amzn1.account.AHJACQ7JD4G5QS2TKKH7VHR74FKA,4,Public
86,amzn1.account.AFK4ZU4XD6IHPR3WUXDLXVIX7AQQ,16,Public
89,amzn1.account.AESGKDNOZACQDPEDJPT7B3JJNOSQ,39,Public
350,amzn1.account.AERNFP2GTFSSRXUK7GOMIYSFK5ZA,85,Public
494,amzn1.account.AGB3RSGTO2EZ6VMVGWMJ5WACRI3Q,179,Public
115,amzn1.account.AGLMSJA6DVEAOIZKSPZMEKOVXO6Q,10,Public
64,amzn1.account.AG4DVV36DGITIL42WS6A764DEAJQ,6,Public
"2,026",amzn1.account.AGU7C7CZA56W7C3PML6C6TD2SRFA,261,Public
65,amzn1.account.AFRNR3DUCC55GGGYPX7BSYDADWXA,25,Public
120,amzn1.account.AHQB4GRJOVE3QWO2EW4ARVMW6G5Q,34,Public
45,amzn1.account.AFZFFSM5DPBFUSMSQUGW4YEFJTMQ,2,Public
,,,
247,amzn1.account.AEJENPHVFSXEH7DKJ5UQNJ4GQM5A,15,Public
"1,137",amzn1.account.AEYSRSI35TKLNH74OCS3BSGQICMA,335,Public
685,amzn1.account.AFLU5CIHVHEQ67XPPXORAHIMHLEQ,123,Public
56,amzn1.account.AHBGXRH4236HQSE35O7WLN7TT4AA,5,Public
261,amzn1.account.AFNTIHRDR2UIKPL55QRVGOSE24CA,44,Public
,,,
455,amzn1.account.AE56MOR6MOENE24MNSVPXDMJBA6A,161,Public
641,amzn1.account.AHQ7WTLHL7DQAGDW3W4PZY3EQBGQ,205,Public
52,amzn1.account.AGYA67LCMTK3RTYYBHAODH6DCCGQ,8,Public
,,,
44,amzn1.account.AGAQJKQTLYNBKN73NDRFR4TSYYMA,40,Public
132,amzn1.account.AGVVPD6ZAVGLDYHV7USG7DLAY6DA,73,Public
43,amzn1.account.AHZO52D7SWKDQBQNAYMBPYSGHJWA,2,Public
59,amzn1.account.AG6MPQIINKQZ2HLFSSVUYHE627SA,5,Public
48,amzn1.account.AFQU6ZMVC3PLI54PKJYXJ76LDUIQ,8,Public
70,amzn1.account.AFOPBSFYBZRSCGKGY656JZKJ6UKA,33,Public
112,amzn1.account.AGFLSKRL6ZARFC7YSXLU2ONAYVDA,52,Public
40,amzn1.account.AFGKJBRODHYJFAI7Y2YA4EZXB73Q,23,Public
46,amzn1.account.AECH5UQU5Z2ILUEAGTNO4SPGXNUA,1,Public
675,amzn1.account.AHZZSZREMJDFLOOOFH4ZA2VBXOZA,411,Public
519,amzn1.account.AGC7EQILXXGFQQXN2NGTCJEYEECA,2,Public
452,amzn1.account.AHHV3AKKRTZXVB2BTEF6UM7FKUPA,48,Public
216,amzn1.account.AHSROY4WUJJZJUGVRPRLFDEOQPKQ,108,Public
"1,616",amzn1.account.AFBCI643WDLYTCWTTTBHWOEBLX3Q,5,Public
,,,
,,,
446,amzn1.account.AEPQNEMLZIOULHVKZYFGEMDVJANA,195,Public
144,amzn1.account.AHAMHJ222BPLZWWZHZ4Y5VVJBANA,37,Public
56,amzn1.account.AEU7YAR4B6JVB2JF2OCY4WF2JJXQ,21,Public
705,amzn1.account.AFLELDUENEKJUF5BMX2YPXWELS2Q,791,Public
498,amzn1.account.AHJACQ7JD4G5QS2TKKH7VHR74FKA,4,Public
148,amzn1.account.AHW4DFOAVGUBTBSUVSLJBXUECTMQ,2,Public
773,amzn1.account.AGSTEJYJ2QVXJ5WQ5S47LY3PVG4Q,134,Public
38,amzn1.account.AFHNQGXLYWF73CRPPCA5NMDS7OFQ,6,Public
24,amzn1.account.AHXILK5XIR655JGYUQKQ7WJOWXHA,9,Public
"1,195",amzn1.account.AGRSYTRJ3FJUXXIXYP6ICBACR6LQ,171,Public
72,amzn1.account.AE2UXJWJNT2D3JII7S7OY7R7LGAQ,42,Public
19,amzn1.account.AGXJN2TZCJWDT2KJ2G36X27IZK5Q,6,Public
33,amzn1.account.AF5GVXZZT4TLHAK4CKLT7WH5L5EA,15,Public
15,amzn1.account.AET4I47MHGT3DHPZMZ3KO7FKV4RQ,4,Public
206,amzn1.account.AGVUKLSW4FOIWPA5C2DGCD2XJ2HQ,77,Public
970,amzn1.account.AHV4WIN255NW4ELRTYHKXV6UWPKA,230,Public
937,amzn1.account.AF4HUQG3LX4JKT3KXAXE3FC7MZ3A,99,Public
24,amzn1.account.AHMIJAYUROLD5AGPQOJQFZBLVD4A,2,Public
"1,267",amzn1.account.AFPCA5KHB5N4OXIWI7ZGZE4UQTVA,378,Public
,,,
33,amzn1.account.AHNOTS2V3BSPXCEX6XPSGCWJN6TQ,1,Public
310,amzn1.account.AGTSJ736E23M7CU5J67O775WELYQ,16,Public
428,amzn1.account.AEXU3PZEEL2ZDYYNWKDBVKK7DX5A,99,Public
"2,583",amzn1.account.AHQ3J4I4L2C4ROV2KL26VICCRBAA,89,Public
203,amzn1.account.AHWFRIEQCBRAAETA4WJG7GJEKZSQ,89,Public
"1,422",amzn1.account.AG7MRCJXY3PH6UKZAHF46K5R3QDA,149,Public
43,amzn1.account.AHTOKBTRZMM6452UBYTV7JGBOQAA,21,Public
116,amzn1.account.AH74ZVQFHZBYWJ37NDXBLOE4GLOQ,68,Public
18,amzn1.account.AGSZWNBUEDRDL7EXRFGLORPABOFA,1,Public
7,amzn1.account.AF4FPFPMR2CO2DKM2NMG5G3XZLVQ,19,Public
,,,
"1,223",amzn1.account.AHL6ZLM7YPKO6UTEP5OX5KFHLQRA,253,Public
24,amzn1.account.AEVEEWIPV5OG2SXSNRFWLFGMPNZQ,2,Public
,,,
167,amzn1.account.AHN2XPKHNLU646BCCRCBWGAPT7NA,185,Public
16,amzn1.account.AGJGMLLBBXUBU3RCRU7IAIM4CWSA,4,Public
23,amzn1.account.AF3KR7DEVUZD3OWCTIEVYON3JTGQ,1,Public
97,amzn1.account.AHZWXB2HO3SBYUWRUGL6X3QNG5CA,12,Public
19,amzn1.account.AG6FV5EDWEWYBBQTKKYQAVIS3ICA,17,Public
,,,
340,amzn1.account.AH7CKGTANM2ONI3JKCCTZMDZYAMA,61,Public
73,amzn1.account.AELLWRQ6G2PDNUMQ6CYKHFCFJI3A,45,Public
59,amzn1.account.AF7PSJ7FLULZGVZBLJHJXLGZ6R6Q,25,Public
,,,
194,amzn1.account.AE4YLUIS7HUEXYJZUHVRNXFIIZAQ,42,Public
,,,
203,amzn1.account.AG2YAUX6MJ2KXDJEC5UN6REODWZA,56,Public
18,amzn1.account.AFKXOLK37Z5FVFXP2FHST5YD7ZEA,15,Public
19,amzn1.account.AFIC4WQSUYEGN5K2FAVBHW5WI5NQ,7,Public
"1,149",amzn1.account.AHICWA626RPIRTGALNQXTYOYXQHQ,147,Public
594,amzn1.account.AHIT4C7Y5HH2AYHLZBD4OMMJMU5Q,79,Public
12,amzn1.account.AHAJA7QH34PEMQGRLB3QYN3YZETQ,7,Public
37,amzn1.account.AEZIOZPJJ34FTFY2KWQG5YN3QLPA,38,Public
253,amzn1.account.AGQDQXSHMMTVQXFXA3T2AOEZFOWA,3,Public
,,,
