page_url,ranking
amzn1.account.AEWFGX23CDYYGUJ4RT53BBC62K6A,3293414
amzn1.account.AEMLC5R66KL2UW2EIWEQILQSXHKQ,3274035
amzn1.account.AFMY3ZEJH3Q7LUWACDTWOXJPQJ5Q,2897858
amzn1.account.AGQDQXSHMMTVQXFXA3T2AOEZFOWA,4680921
amzn1.account.AGC7EQILXXGFQQXN2NGTCJEYEECA,4033330
amzn1.account.AGC7EQILXXGFQQXN2NGTCJEYEECA,4033330
amzn1.account.AFIZAPQID2CDKQH2V5DONFVHGBAA,386078
amzn1.account.AENYQV4HZCPRJLSBYPZTT75E26WQ,43552
amzn1.account.AFIZAPQID2CDKQH2V5DONFVHGBAA,386078
amzn1.account.AHYLZ66PDSDPLPV6HMT3PAOAKJHA,99163
amzn1.account.AFBCI643WDLYTCWTTTBHWOEBLX3Q,478515
amzn1.account.AENYQV4HZCPRJLSBYPZTT75E26WQ,43552
amzn1.account.AGKXHT3BDPHAPJKB6AQZSKA6UKIQ,1074407
amzn1.account.AGG5DSBLS4ZRDFZKHXBLW5OEODGA,3652978
amzn1.account.AFMY3ZEJH3Q7LUWACDTWOXJPQJ5Q,2897858
amzn1.account.AEWFGX23CDYYGUJ4RT53BBC62K6A,3293414
amzn1.account.AEMLC5R66KL2UW2EIWEQILQSXHKQ,3274035
amzn1.account.AHJACQ7JD4G5QS2TKKH7VHR74FKA,2368849
amzn1.account.AFZGNUSOISWHEJFP7Y5RODTS423Q,951064
amzn1.account.AFBCI643WDLYTCWTTTBHWOEBLX3Q,478515
amzn1.account.AHPR6ZQ6GJ4CFOJN6VBNHO673Z6A,3614862
amzn1.account.AFJZ4KASLPOWMDE5RCPNXWRCD7TA,2739203
amzn1.account.AFW26SX7NGETOZDAVW7FLS64B2GQ,1718164
amzn1.account.AF2KYWOFEMFMEEF76HIHCM6OWL7A,21709
amzn1.account.AFCRLKYHCCAYZHZNAIHRPO5OL3KQ,460658
amzn1.account.AHQ7WTLHL7DQAGDW3W4PZY3EQBGQ,12949
amzn1.account.AEB2XY567BUH4AOEPTZLVUKXQSHQ,1348920
amzn1.account.AHJ2MO6IFVBQF6YDK5B5GUGL2IMA,517165
amzn1.account.AHZVVBVUMJHJZZNYXJIK3LW6NCVQ,1050645
amzn1.account.AF2KYWOFEMFMEEF76HIHCM6OWL7A,21709
amzn1.account.AHJACQ7JD4G5QS2TKKH7VHR74FKA,2368849
amzn1.account.AEB2XY567BUH4AOEPTZLVUKXQSHQ,1348920
amzn1.account.AELLWRQ6G2PDNUMQ6CYKHFCFJI3A,569186
amzn1.account.AFLICN5QFNWK455W2W2C63DGU4KQ,14730
amzn1.account.AHB4LCE3BBHIZGTVMT5FIRTHQ2HA,3034006
amzn1.account.AERNFP2GTFSSRXUK7GOMIYSFK5ZA,148450
amzn1.account.AHZZSZREMJDFLOOOFH4ZA2VBXOZA,17777
amzn1.account.AFK4ZU4XD6IHPR3WUXDLXVIX7AQQ,1273606
amzn1.account.AFZFFSM5DPBFUSMSQUGW4YEFJTMQ,4131682
amzn1.account.AFRNR3DUCC55GGGYPX7BSYDADWXA,3021986
amzn1.account.AE4YLUIS7HUEXYJZUHVRNXFIIZAQ,728460
amzn1.account.AGB3RSGTO2EZ6VMVGWMJ5WACRI3Q,80748
amzn1.account.AF7PJRCEBJLFYWUKYXP5SHHI2BQA,2446850
amzn1.account.AEN472EUMN5GHQC36ZWUJL72TXZA,8446
amzn1.account.AHQB4GRJOVE3QWO2EW4ARVMW6G5Q,643607
amzn1.account.AFATQ4QZ2VH2UVA4RAUYEHS5UUKQ,14618
amzn1.account.AFNWGVFRQA5CSA4NB3CQNF4FC6FA,6975663
amzn1.account.AGU7C7CZA56W7C3PML6C6TD2SRFA,3370
amzn1.account.AGD23NQVRXYDYUXON2KKLATNLO4Q,1380979
amzn1.account.AFLU5CIHVHEQ67XPPXORAHIMHLEQ,39363
,
,
amzn1.account.AH3PZSQQEL5JD3MHXDTNT47U436A,2285
amzn1.account.AGLMSJA6DVEAOIZKSPZMEKOVXO6Q,1165389
,
amzn1.account.AF45YP323K5K4MN67IONZ4CCUJZQ,6144335
amzn1.account.AEY32BHETCLD2AG24W7MDOWDANBA,9090611
amzn1.account.AGAQJKQTLYNBKN73NDRFR4TSYYMA,1504698
,
amzn1.account.AESGKDNOZACQDPEDJPT7B3JJNOSQ,773086
amzn1.account.AFNTIHRDR2UIKPL55QRVGOSE24CA,600957
,
amzn1.account.AG2YAUX6MJ2KXDJEC5UN6REODWZA,186046
amzn1.account.AECH5UQU5Z2ILUEAGTNO4SPGXNUA,21594294
amzn1.account.AEJENPHVFSXEH7DKJ5UQNJ4GQM5A,815040
,
amzn1.account.AHSROY4WUJJZJUGVRPRLFDEOQPKQ,86618261
amzn1.account.AHHV3AKKRTZXVB2BTEF6UM7FKUPA,912913
amzn1.account.AHZN7PAWE3ANUVUHYDFDEX42NLHA,1322003
amzn1.account.AHZIIPDMYS76WGLXX3NIVWQLODPQ,8841516
amzn1.account.AESOVDELDRI5AUKTGS2DRBBMVUMA,4193620
amzn1.account.AGVVPD6ZAVGLDYHV7USG7DLAY6DA,355421
amzn1.account.AHAMHJ222BPLZWWZHZ4Y5VVJBANA,138091
amzn1.account.AGKTZZJV3SMENWYV45N3P5XT44IA,8206083
amzn1.account.AEYSRSI35TKLNH74OCS3BSGQICMA,25239
amzn1.account.AHV4WIN255NW4ELRTYHKXV6UWPKA,22469
amzn1.account.AFLELDUENEKJUF5BMX2YPXWELS2Q,15899
amzn1.account.AGSTEJYJ2QVXJ5WQ5S47LY3PVG4Q,49252
amzn1.account.AGRSYTRJ3FJUXXIXYP6ICBACR6LQ,14035
