helpful_votes,page_url,total_review,visibility_status
650,amzn1.account.AHIZUEL6Q2UDRH7BI4GDJALZISKA,60,Public
467,amzn1.account.AHNAL2NIEXPOAS2GWWO2JTYYXDWQ,28,Public
306,amzn1.account.AFN6YE3RQU643TXCEFSNL5HZYWPQ,76,Public
241,amzn1.account.AHAH6QS4JUXDJL6QEFGUNLSYOAEQ,22,Public
708,amzn1.account.AHBVCGRGK7HPCOIT4SGA4AQ2JCRQ,139,Public
95,amzn1.account.AFFV7YZQN5XLV3JSWDEAXIBUKIJQ,2,Public
120,amzn1.account.AFZCWLQVAKGIOUGM4H6UCCOFYN7Q,95,Public
66,amzn1.account.AEIFYYRMR5FYVXQ45D5X23YBXYQA,7,Public
123,amzn1.account.AF5D7YYJWNZDY4SQLOTWO7R4WFKA,19,Public
"16,585",amzn1.account.AHPUNNPYLLQZSV56MUEOGSHANASQ,"1,797",Public
650,amzn1.account.AHIZUEL6Q2UDRH7BI4GDJALZISKA,60,Public
467,amzn1.account.AHNAL2NIEXPOAS2GWWO2JTYYXDWQ,28,Public
306,amzn1.account.AFN6YE3RQU643TXCEFSNL5HZYWPQ,76,Public
241,amzn1.account.AHAH6QS4JUXDJL6QEFGUNLSYOAEQ,22,Public
708,amzn1.account.AHBVCGRGK7HPCOIT4SGA4AQ2JCRQ,139,Public
95,amzn1.account.AFFV7YZQN5XLV3JSWDEAXIBUKIJQ,2,Public
120,amzn1.account.AFZCWLQVAKGIOUGM4H6UCCOFYN7Q,95,Public
66,amzn1.account.AEIFYYRMR5FYVXQ45D5X23YBXYQA,7,Public
123,amzn1.account.AF5D7YYJWNZDY4SQLOTWO7R4WFKA,19,Public
"16,585",amzn1.account.AHPUNNPYLLQZSV56MUEOGSHANASQ,"1,797",Public
106,amzn1.account.AG7AHVJGYEPUQLP4WAMWDIXB5ERQ,76,Public
47,amzn1.account.AE7UG2GT4XRV5TUUQV4E6G4426IQ,7,Public
89,amzn1.account.AEZVFFNX2JSTTJ5QK34GRI7EZINA,59,Public
37,amzn1.account.AHL523CRO6OZUTB66EH45YLPVBEQ,66,Public
14,amzn1.account.AF7MLW3IJHVYC74ML2U3O4QJZ7ZA,15,Public
"1,132",amzn1.account.AGVWNB4VIBAHGKDMU6SRNFHWEGLQ,543,Public
215,amzn1.account.AHBBLBLDO5NIYTUAHGOVJKMCJRAA,218,Public
508,amzn1.account.AGRZL4M4AOGOAZQFBMVPPUSG7YAQ,97,Public
125,amzn1.account.AFECCUK6A6NILW4PJA4LVSRTT7NQ,43,Public
23,amzn1.account.AF5EMSXZZLDOU7YDXQTQQZ3IFCMA,20,Public
84,amzn1.account.AE6MBPPQ4A4MV4B2HRE65J3FNIRQ,13,Public
127,amzn1.account.AGEP7KG7AOT6JI4V4VCHHC2SYO4Q,88,Public
37,amzn1.account.AHRJP2IR3MIIC533SZOZH7GNQ5NQ,28,Public
24,amzn1.account.AEWLPS2ABERKQH4DZ6G7YQJRAQ6Q,1,Public
"1,142",amzn1.account.AGZFP3LBFTCS4SR6ND3U6R5UJXQA,133,Public
84,amzn1.account.AECEZYB3IV45U3WVTTTKWC2LLSUQ,84,Public
306,amzn1.account.AHZ7PFMVNLXPB2Z7XNJIEUW6UEFQ,76,Public
901,amzn1.account.AEUMI6M7DSUIPENNAJNCZP4NVUNA,131,Public
66,amzn1.account.AE354GLV6HVMRXPUOGP5XGOFZUPA,74,Public
600,amzn1.account.AH3WIKRQ2YYBG6MCNE3THLINLOHA,"1,159",Public
32,amzn1.account.AG5RKWFAX4VZZIVKDXBM5HFTZVVA,52,Public
325,amzn1.account.AGFOE7D3B5LAZPAR7RO7W367F36A,131,Public
6,amzn1.account.AGOBQL5G5K5T3XIVDUEUCLC2LJ4A,33,Public
68,amzn1.account.AHF3Z32KDMJ2IBKKB5DJXPMQ2LLQ,21,Public
127,amzn1.account.AE3O4JMVUEWURYLO6BCCKKQB2TSQ,90,Public
39,amzn1.account.AEJEPPTLRUTDPIP75N5T5ZVY5OYQ,32,Public
165,amzn1.account.AFQABL4BNIDBDVZ3NJ3TYJBX2J4Q,71,Public
17,amzn1.account.AG7SYSIPIAKHLXGKVXXYVQTPROKA,21,Public
54,amzn1.account.AEVH3XBLB3O5PNKFBFE4CXIDT4PA,64,Public
731,amzn1.account.AFUCZBFDOGU4VCRVLQIVEYUW7QPA,178,Public
578,amzn1.account.AH6I7N2IOLILVJZS5W3JJXQPNK4A,180,Public
11,amzn1.account.AHVDN3GYUSU7VEIETCLGL5A6RUEQ,11,Public
46,amzn1.account.AE5VM4SMMLTGX7JT5QUAEGQKCORA,43,Public
27,amzn1.account.AHNCS3767VNQMCUGATMHONUR2BDA,23,Public
"1,174",amzn1.account.AFV3RYHEYNM6GZKLWTVTFOXA7JKA,145,Public
45,amzn1.account.AFOFUTO2CGWH4F6LBRTJXHM2E66Q,38,Public
700,amzn1.account.AGR2IZ5LCXSA7B63MCIDYESREIHQ,165,Public
14,amzn1.account.AFVHGKVRNULMCAFOKTRLHJU4ZQTQ,65,Public
121,amzn1.account.AHEIRTAOY5S5WLSK27TL3XSTT7SA,28,Public
49,amzn1.account.AHS7DXUMCXWRQXORXAF4HLS4KVNQ,36,Public
26,amzn1.account.AGGJDYDAPLH4AJZ7Q5YN3DAVJNYA,48,Public
59,amzn1.account.AGOADODPSN4QHL76P5ANLYGCK76Q,64,Public
86,amzn1.account.AERMGZRNKQ33HR7XLR77VEE3NQZQ,34,Public
136,amzn1.account.AHBWKASTU4ZF5TKB6HBJFIB4IOWQ,26,Public
507,amzn1.account.AHJ3HKUIJQBYWVW6WJBTAUY6OI7A,168,Public
44,amzn1.account.AHPADDCQLXBOSKWIFLUXZN6FEPSA,18,Public
369,amzn1.account.AEEYI3UERQRFGV7RNBCBTES6FINQ,44,Public
134,amzn1.account.AEPEFGRDA5NWBSYVPQ2RPN652V3Q,80,Public
44,amzn1.account.AGRKQYEUBD624OCE6W3BWD7EI77Q,70,Public
7,amzn1.account.AGI7W3B5JIMHGQHXA2BXB3JVU4CQ,11,Public
633,amzn1.account.AHZHZWUT6YCQC4OK5W35MJXUVLRA,184,Public
116,amzn1.account.AF6BN7PLQVFUL2ERMPGJU4ZNA7PQ,69,Public
29,amzn1.account.AHBSX5RRAMMVNNXTVVE556NPC2PA,41,Public
108,amzn1.account.AG5MGHLLMK3RSSHY2KKWNRHJYKPA,128,Public
50,amzn1.account.AECMMX23KXRQWA7XHKSGFFVAWXZA,76,Public
586,amzn1.account.AGLZFM7TIE5FD76QVW5EYR3PVIHA,85,Public
67,amzn1.account.AFEK6WAHCTIMEUAOVTPPUBMC2WCA,47,Public
98,amzn1.account.AEXOSPCO7O55MSTD6EWWFB34V34A,63,Public
84,amzn1.account.AGKR72ZFSXNX4GVBRMNENUGMIPHA,31,Public
