page_url,ranking
https://www.amazon.com/profilewidget/bio/amzn1.account.AHUS4QJJA34E3RF4CRRUHQE4GN4Q/?view=visitor,60449
https://www.amazon.com/profilewidget/bio/amzn1.account.AH7YNW6VQKUMDHOGW7BUWKJ4UUKQ/?view=visitor,14206312
https://www.amazon.com/profilewidget/bio/amzn1.account.AGT5BW7GOID4FU26544IXCW4BNAQ/?view=visitor,856714
https://www.amazon.com/profilewidget/bio/amzn1.account.AFENV7ZYW5QHNJBQ77SIPYF3TINQ/?view=visitor,6933
https://www.amazon.com/profilewidget/bio/amzn1.account.AHOG23WMHDK4BX7TS6N5JROVAZTA/?view=visitor,115661
https://www.amazon.com/profilewidget/bio/amzn1.account.AHUS4QJJA34E3RF4CRRUHQE4GN4Q/?view=visitor,60449
https://www.amazon.com/profilewidget/bio/amzn1.account.AGJGY6KU6QZYP7D7WVYPCJK6UJJQ/?view=visitor,24262
https://www.amazon.com/profilewidget/bio/amzn1.account.AELMCEJCQ5PQBIFEQRJIKPXBV6FQ/?view=visitor,3868893
https://www.amazon.com/profilewidget/bio/amzn1.account.AFNYB2FEY5FM6KDOPQGNMJFZRHJA/?view=visitor,797022
https://www.amazon.com/profilewidget/bio/amzn1.account.AE4XOOW4CZF623YT3WQB7NHJY5IQ/?view=visitor,3906825
https://www.amazon.com/profilewidget/bio/amzn1.account.AGBHH37DSKDJJO55UH3OPA2WAYWQ/?view=visitor,77494
https://www.amazon.com/profilewidget/bio/amzn1.account.AHOG23WMHDK4BX7TS6N5JROVAZTA/?view=visitor,115661
https://www.amazon.com/profilewidget/bio/amzn1.account.AFNYB2FEY5FM6KDOPQGNMJFZRHJA/?view=visitor,797022
https://www.amazon.com/profilewidget/bio/amzn1.account.AE4XOOW4CZF623YT3WQB7NHJY5IQ/?view=visitor,3906825
https://www.amazon.com/profilewidget/bio/amzn1.account.AGBHH37DSKDJJO55UH3OPA2WAYWQ/?view=visitor,77494
https://www.amazon.com/profilewidget/bio/amzn1.account.AHJOPETZEO2UU7LOQD4QW6U6SL6Q/?view=visitor,3244010
https://www.amazon.com/profilewidget/bio/amzn1.account.AH7YNW6VQKUMDHOGW7BUWKJ4UUKQ/?view=visitor,14206312
https://www.amazon.com/profilewidget/bio/amzn1.account.AGT5BW7GOID4FU26544IXCW4BNAQ/?view=visitor,856714
https://www.amazon.com/profilewidget/bio/amzn1.account.AFENV7ZYW5QHNJBQ77SIPYF3TINQ/?view=visitor,6933
https://www.amazon.com/profilewidget/bio/amzn1.account.AHRTVGI2BZG5L5E7RTVGWUYKRQHA/?view=visitor,1245809
https://www.amazon.com/profilewidget/bio/amzn1.account.AGMY7TZSMTRGJ4BFEQLKBZLWBZKA/?view=visitor,5025495
https://www.amazon.com/profilewidget/bio/amzn1.account.AGNHRAZTHZMZEHAREENNO45M3Z6Q/?view=visitor,796855
https://www.amazon.com/profilewidget/bio/amzn1.account.AFCASZDWYKJJAUVVKHMKY5RDFRNA/?view=visitor,4304137
https://www.amazon.com/profilewidget/bio/amzn1.account.AHW2L2JKPJEGJQ72NEWPM53URCOQ/?view=visitor,3673914
https://www.amazon.com/profilewidget/bio/amzn1.account.AEHMMAZDX3W7JRYVZ5IBN7KIMNJQ/?view=visitor,1077862
https://www.amazon.com/profilewidget/bio/amzn1.account.AF3CV652XDD3Q2SNKZS4EZGRBVOA/?view=visitor,3616587
https://www.amazon.com/profilewidget/bio/amzn1.account.AEFVGZVD2T5MO5OLXZ774M2HXXMA/?view=visitor,1297014
https://www.amazon.com/profilewidget/bio/amzn1.account.AEOLLQTLZCAMXJ7VDUVBIW3DQFAQ/?view=visitor,184970
https://www.amazon.com/profilewidget/bio/amzn1.account.AHME2ZQ3VLL4NMOX4GFKJ7YDLD7Q/?view=visitor,7661916
https://www.amazon.com/profilewidget/bio/amzn1.account.AFI5D4B2Y42TUPRNE2LM44JWQ3MA/?view=visitor,1726496
https://www.amazon.com/profilewidget/bio/amzn1.account.AHGS5FAZSHWSGLX6IBINZJKKSJ5A/?view=visitor,136524
https://www.amazon.com/profilewidget/bio/amzn1.account.AGJIQG4KPOMYTOGYHTIFKK6RSDSQ/?view=visitor,196612
https://www.amazon.com/profilewidget/bio/amzn1.account.AGG2ZAHYQMLV3LM4YQ7ZYMWKSRBQ/?view=visitor,384231
https://www.amazon.com/profilewidget/bio/amzn1.account.AFVYUY54LTCJKKEJFS65HOZ753ZA/?view=visitor,6926
https://www.amazon.com/profilewidget/bio/amzn1.account.AH4Y2762NLCMUTTUV5Y3KJQN3NGA/?view=visitor,6284348
https://www.amazon.com/profilewidget/bio/amzn1.account.AHMCVKE5R7S43JMHIQORYNQTB3TQ/?view=visitor,9011868
https://www.amazon.com/profilewidget/bio/amzn1.account.AGLZ4JWFRQOZHTDU2A6BT2IBXSYA/?view=visitor,8676
https://www.amazon.com/profilewidget/bio/amzn1.account.AFQHE55I54WKD5EPTXNNLTPKWKRQ/?view=visitor,1846667
https://www.amazon.com/profilewidget/bio/amzn1.account.AGOWZN7L3HS57JXI4O3BAZ5K4KYQ/?view=visitor,250968
https://www.amazon.com/profilewidget/bio/amzn1.account.AHHKL2JRCKMESAK5UGC3R2IQCX6Q/?view=visitor,1379991
https://www.amazon.com/profilewidget/bio/amzn1.account.AGA6JOWFMSCTLYRQFLJBQINEGURQ/?view=visitor,61940
https://www.amazon.com/profilewidget/bio/amzn1.account.AEDV4U6F4QJU5M3O46JEOTDL7T4Q/?view=visitor,42646
