helpful_votes,page_url,total_review,visibility_status
"18,961",amzn1.account.AEWLQYBQDYWWUWK6UHHTNWO5AHYA,774,Public
158,amzn1.account.AHXCH4OABLHH3YKT7ZHFJJ5FU4DQ,27,Public
48,amzn1.account.AFVIN3CN6CXU6D2SLHJUM2FDKZSA,11,Public
619,amzn1.account.AGZCIXTNHI2AD6PF3KZMXGSDX2DQ,66,Public
583,amzn1.account.AFKAALRLWYKKL24CGZMBVJW6TRWA,99,Public
98,amzn1.account.AFCSGYYYAM6VF6EKCW4QZN44MRPQ,18,Public
129,amzn1.account.AFTIGFU2HXQOD5M3DNVSTJDZ5QMQ,87,Public
49,amzn1.account.AFE3RMSFW2UVIUDHFG52E6NHVDCA,22,Public
22,amzn1.account.AF3PEYGO3LJCJSF5CC4SNDGBQZPQ,7,Public
476,amzn1.account.AHSICKDLUXEXDI4HDCT2AFYODOHA,223,Public
"18,961",amzn1.account.AEWLQYBQDYWWUWK6UHHTNWO5AHYA,774,Public
158,amzn1.account.AHXCH4OABLHH3YKT7ZHFJJ5FU4DQ,27,Public
48,amzn1.account.AFVIN3CN6CXU6D2SLHJUM2FDKZSA,11,Public
619,amzn1.account.AGZCIXTNHI2AD6PF3KZMXGSDX2DQ,66,Public
583,amzn1.account.AFKAALRLWYKKL24CGZMBVJW6TRWA,99,Public
98,amzn1.account.AFCSGYYYAM6VF6EKCW4QZN44MRPQ,18,Public
129,amzn1.account.AFTIGFU2HXQOD5M3DNVSTJDZ5QMQ,87,Public
49,amzn1.account.AFE3RMSFW2UVIUDHFG52E6NHVDCA,22,Public
22,amzn1.account.AF3PEYGO3LJCJSF5CC4SNDGBQZPQ,7,Public
476,amzn1.account.AHSICKDLUXEXDI4HDCT2AFYODOHA,223,Public
273,amzn1.account.AHGS5FAZSHWSGLX6IBINZJKKSJ5A,132,Public
49,amzn1.account.AHXKXBXR7ORIODOM7GTZDTFUGDFQ,36,Public
205,amzn1.account.AETJQ6L72767FFML6NBWL5MRYUMQ,88,Public
52,amzn1.account.AH7VH6TBL62HEJUUZ5PTHSWTSKVQ,58,Public
12,amzn1.account.AEY2PC3FZOAA5DU7I72ZWY3NE5YA,36,Public
19,amzn1.account.AHAXZKOD7UHTBERRAP4QE2JMS4UQ,21,Public
"4,236",amzn1.account.AGU7EFYIZKKQAIVXSKVD5SHMPGOA,"3,907",Public
8,amzn1.account.AH4QKNPB3N2OGJTV23UEB22PNIIQ,26,Public
9,amzn1.account.AHHSATLNS2CEKKP2QGSHY3UJBSJA,37,Public
290,amzn1.account.AH5M4MJK73RFKIV7NK4YIHH7OZPQ,83,Public
293,amzn1.account.AEKKHDVOHCC6VVP6JAGPMLZA3Y6A,137,Public
56,amzn1.account.AHXFZQQ2UTBESBY6DUIJEVHEKIEA,55,Public
2,amzn1.account.AFPPN6UOI6RIB7WGZOFPQSSHFZIQ,1,Public
6,amzn1.account.AGMSQP22NTKQE77A5DB2VFDXHNEA,30,Public
10,amzn1.account.AGDX44DP7T24ZTTHHVWHQOEWSPMA,18,Public
218,amzn1.account.AHUXP57HCIQR4MKOFRJ2KCZJ36YQ,42,Public
51,amzn1.account.AFM66HWYKDX4CNMP5MZRXVXJXAYA,71,Public
787,amzn1.account.AHNBPSRKOZIXT7WBRTJXTFQW4NXQ,99,Public
544,amzn1.account.AEAZ6YYSQKQYI2KHEZQUYO7GCA5A,165,Public
32,amzn1.account.AFBG5L5YGECANXPMI52YSF7ASW2Q,39,Public
2,amzn1.account.AGE6HUBVDOCSXZP322U4M77KXDZA,4,Public
751,amzn1.account.AHLDV7QF5M6EBMRX3ZXLX5RCJOOA,30,Public
46,amzn1.account.AEMAAONPZGWFYHKTVZZPRIV4ABVA,95,Public
127,amzn1.account.AH2EVEQHZJVGUXPDPZRL5WB4EXPA,113,Public
861,amzn1.account.AHNQTEQMMJ2UIKYP2ZZHV7EXAY7Q,510,Public
25,amzn1.account.AHSOT7KXM3DWPR5SNGH3MGBO7H6A,44,Public
59,amzn1.account.AESBLSPCZVI7V6EYCXWRHGLUNK7A,30,Public
86,amzn1.account.AHCUCEF5L22FYAI23YYMC7MMGDSA,46,Public
52,amzn1.account.AGK3USO5NUQJBYCJMQ2BQUTG7CFQ,180,Public
17,amzn1.account.AFFPWV6GVKEKAHIQN5B4KPLB3TAQ,40,Public
228,amzn1.account.AFI4W3JXNMATXVN73BMBXP64G34A,67,Public
69,amzn1.account.AHNU24MAVVVT2VKTGNTAMI5D7JOA,188,Public
10,amzn1.account.AHBU2BFV56RPPLFMQAEN5BRYD43Q,17,Public
32,amzn1.account.AEO247U6YL7TXSN4ZDLS7IXMNR4Q,27,Public
40,amzn1.account.AECQHSLHH7L6AYCRXGFNXUMHP7TQ,84,Public
5,amzn1.account.AGHQSE4ITYVIMOUOKPMSYMCGIK4A,50,Public
134,amzn1.account.AFPYPQL77FHVUC66KGW7J4PG7MJQ,89,Public
54,amzn1.account.AFVE442OF5AYSXLO2MHB5Q7APCIA,34,Public
44,amzn1.account.AHXYW4CJI6CKYMEXKO4ZHGGGFZ2A,29,Public
46,amzn1.account.AHT43HMBFMTFOZPSWBW6KJV4F3ZQ,97,Public
106,amzn1.account.AF2775MXHWPWFCMAYDHVIND43HOA,56,Public
260,amzn1.account.AFXL672RP7YZS73TQZNA23JBF4FQ,178,Public
44,amzn1.account.AHTH6AAA7IQHRMOXDLG7S3TYOQEQ,37,Public
31,amzn1.account.AGGAOJ6QT2HLMB7BKPI5PCPE5ISA,99,Public
22,amzn1.account.AGXQAWGDIZXXNFB26OAC2UE6MTNQ,62,Public
44,amzn1.account.AHX4GN5S2WUHMGB6Y4EE4VCDHLNA,32,Public
43,amzn1.account.AECBH6WJVYTLSNWYHBRHBNUITCZA,95,Public
270,amzn1.account.AETGS2PTJVDZHHYMVIZVZTT7375Q,50,Public
234,amzn1.account.AHY3ZJIENKX7VQ5GJTZQTFH3WCTQ,70,Public
138,amzn1.account.AET4AEATGJ7TVDUPO2325FEP7VVQ,68,Public
285,amzn1.account.AG3PPK3HN66RXGNOLXLR6NVCZKRA,371,Public
7,amzn1.account.AFG7WBQ26JNY2SIW5OEQGNVZDDYA,43,Public
226,amzn1.account.AEUGYN425SYY3JWUV54C4GQJ4KJQ,265,Public
183,amzn1.account.AFVV2V6RNSKPE65PRJPJ7ICNXDVA,58,Public
92,amzn1.account.AGQGIQBYPWZW4ZYUHOOM2FMMQX6A,65,Public
110,amzn1.account.AFXHONGDFTF2YTPL5LTGK7YHVD6A,55,Public
15,amzn1.account.AF5ARCZR2TACXAS3BRTZU6MDVVYA,45,Public
38,amzn1.account.AHGJN2NEUAGVHMHQQWZZWMF5E4NQ,46,Public
72,amzn1.account.AGOJ7V56SUBIGVVNT5R7JVJCUTCQ,119,Public
108,amzn1.account.AELT6KELZ4GGA2XPAXQJWIOXF7ZA,343,Public
"1,387",amzn1.account.AE3USQ24VAAX3A5Z6356DE6BODGQ,"1,508",Public
477,amzn1.account.AF6DT746JAGT5EHC3F7NJQHM6TZA,84,Public
6,amzn1.account.AHDKYBWLMQMI2DU557MRRM2RUSPQ,53,Public
165,amzn1.account.AGA4UC3W37WLOLF5TEJOTDCMX53Q,353,Public
53,amzn1.account.AELN45PWXU6OOT2PITGKVRB63BHA,88,Public
28,amzn1.account.AFJS2DRVZVG2NY5C3MYF3AMS4TPQ,74,Public
37,amzn1.account.AG5ROQFNGWNJBKJC7BC32322MTXA,171,Public
26,amzn1.account.AE2JBSZZUJWTMO2C4QPQVXTVLIJQ,110,Public
24,amzn1.account.AEGC37Y2GEMY3HLT4NJWEUZMV4GA,38,Public
738,amzn1.account.AFC4QMDEOZJHVAB3FADN5DSYR2RA,322,Public
2,amzn1.account.AGXECC3OYPQNAYLSHY3CZM347V5A,2,Public
76,amzn1.account.AE4HPZMAUKRDVMUAF5D7S73T7RUQ,182,Public
12,amzn1.account.AGGH34TQ4K3NCWPL6ZRYO5FKVIRQ,121,Public
31,amzn1.account.AGOC6ELZD57LNIK4GIWQVQAJU5OA,83,Public
23,amzn1.account.AESJEQTRVMQIZNVTMFQTXLXPAJUA,24,Public
