page_url,ranking
amzn1.account.AEWLQYBQDYWWUWK6UHHTNWO5AHYA,278905
amzn1.account.AHXCH4OABLHH3YKT7ZHFJJ5FU4DQ,3651190
amzn1.account.AFVIN3CN6CXU6D2SLHJUM2FDKZSA,7569396
amzn1.account.AGZCIXTNHI2AD6PF3KZMXGSDX2DQ,63853
amzn1.account.AFKAALRLWYKKL24CGZMBVJW6TRWA,653249
amzn1.account.AFCSGYYYAM6VF6EKCW4QZN44MRPQ,3971973
amzn1.account.AFTIGFU2HXQOD5M3DNVSTJDZ5QMQ,1617764
amzn1.account.AFE3RMSFW2UVIUDHFG52E6NHVDCA,3144279
amzn1.account.AF3PEYGO3LJCJSF5CC4SNDGBQZPQ,16036608
amzn1.account.AHSICKDLUXEXDI4HDCT2AFYODOHA,86630283
amzn1.account.AEWLQYBQDYWWUWK6UHHTNWO5AHYA,278905
amzn1.account.AHXCH4OABLHH3YKT7ZHFJJ5FU4DQ,3651190
amzn1.account.AFVIN3CN6CXU6D2SLHJUM2FDKZSA,7569396
amzn1.account.AGZCIXTNHI2AD6PF3KZMXGSDX2DQ,63853
amzn1.account.AFKAALRLWYKKL24CGZMBVJW6TRWA,653249
amzn1.account.AFCSGYYYAM6VF6EKCW4QZN44MRPQ,3971973
amzn1.account.AFTIGFU2HXQOD5M3DNVSTJDZ5QMQ,1617764
amzn1.account.AFE3RMSFW2UVIUDHFG52E6NHVDCA,3144279
amzn1.account.AF3PEYGO3LJCJSF5CC4SNDGBQZPQ,16036608
amzn1.account.AHSICKDLUXEXDI4HDCT2AFYODOHA,86630283
amzn1.account.AHGS5FAZSHWSGLX6IBINZJKKSJ5A,136524
amzn1.account.AHXKXBXR7ORIODOM7GTZDTFUGDFQ,1577648
amzn1.account.AETJQ6L72767FFML6NBWL5MRYUMQ,362670
amzn1.account.AH7VH6TBL62HEJUUZ5PTHSWTSKVQ,86560920
amzn1.account.AEY2PC3FZOAA5DU7I72ZWY3NE5YA,6043693
amzn1.account.AHAXZKOD7UHTBERRAP4QE2JMS4UQ,5468648
amzn1.account.AGU7EFYIZKKQAIVXSKVD5SHMPGOA,396
amzn1.account.AH4QKNPB3N2OGJTV23UEB22PNIIQ,2368960
amzn1.account.AHHSATLNS2CEKKP2QGSHY3UJBSJA,2221785
amzn1.account.AH5M4MJK73RFKIV7NK4YIHH7OZPQ,908513
amzn1.account.AEKKHDVOHCC6VVP6JAGPMLZA3Y6A,47406
amzn1.account.AHXFZQQ2UTBESBY6DUIJEVHEKIEA,1972760
amzn1.account.AFPPN6UOI6RIB7WGZOFPQSSHFZIQ,32819017
amzn1.account.AGMSQP22NTKQE77A5DB2VFDXHNEA,4866099
amzn1.account.AGDX44DP7T24ZTTHHVWHQOEWSPMA,5460817
amzn1.account.AHUXP57HCIQR4MKOFRJ2KCZJ36YQ,493581
amzn1.account.AFM66HWYKDX4CNMP5MZRXVXJXAYA,1021567
amzn1.account.AHNBPSRKOZIXT7WBRTJXTFQW4NXQ,139319
amzn1.account.AEAZ6YYSQKQYI2KHEZQUYO7GCA5A,98646
amzn1.account.AFBG5L5YGECANXPMI52YSF7ASW2Q,6222450
amzn1.account.AGE6HUBVDOCSXZP322U4M77KXDZA,43157166
amzn1.account.AHLDV7QF5M6EBMRX3ZXLX5RCJOOA,120423
amzn1.account.AEMAAONPZGWFYHKTVZZPRIV4ABVA,2292076
amzn1.account.AH2EVEQHZJVGUXPDPZRL5WB4EXPA,2328176
amzn1.account.AHNQTEQMMJ2UIKYP2ZZHV7EXAY7Q,7191
amzn1.account.AHSOT7KXM3DWPR5SNGH3MGBO7H6A,4232734
amzn1.account.AESBLSPCZVI7V6EYCXWRHGLUNK7A,4208252
amzn1.account.AHCUCEF5L22FYAI23YYMC7MMGDSA,865342
amzn1.account.AGK3USO5NUQJBYCJMQ2BQUTG7CFQ,767217
amzn1.account.AFFPWV6GVKEKAHIQN5B4KPLB3TAQ,2019342
amzn1.account.AFI4W3JXNMATXVN73BMBXP64G34A,345717
amzn1.account.AHNU24MAVVVT2VKTGNTAMI5D7JOA,207009
amzn1.account.AHBU2BFV56RPPLFMQAEN5BRYD43Q,7979729
amzn1.account.AEO247U6YL7TXSN4ZDLS7IXMNR4Q,6362805
amzn1.account.AECQHSLHH7L6AYCRXGFNXUMHP7TQ,2434720
amzn1.account.AGHQSE4ITYVIMOUOKPMSYMCGIK4A,3396849
amzn1.account.AFPYPQL77FHVUC66KGW7J4PG7MJQ,457152
amzn1.account.AFVE442OF5AYSXLO2MHB5Q7APCIA,2811725
amzn1.account.AHXYW4CJI6CKYMEXKO4ZHGGGFZ2A,7078979
amzn1.account.AHT43HMBFMTFOZPSWBW6KJV4F3ZQ,1024137
amzn1.account.AF2775MXHWPWFCMAYDHVIND43HOA,637140
amzn1.account.AFXL672RP7YZS73TQZNA23JBF4FQ,141764
amzn1.account.AHTH6AAA7IQHRMOXDLG7S3TYOQEQ,8399980
amzn1.account.AGGAOJ6QT2HLMB7BKPI5PCPE5ISA,1156425
amzn1.account.AGXQAWGDIZXXNFB26OAC2UE6MTNQ,4247980
amzn1.account.AHX4GN5S2WUHMGB6Y4EE4VCDHLNA,2050278
amzn1.account.AECBH6WJVYTLSNWYHBRHBNUITCZA,2469769
amzn1.account.AETGS2PTJVDZHHYMVIZVZTT7375Q,236785
amzn1.account.AHY3ZJIENKX7VQ5GJTZQTFH3WCTQ,101260
amzn1.account.AET4AEATGJ7TVDUPO2325FEP7VVQ,119506
amzn1.account.AG3PPK3HN66RXGNOLXLR6NVCZKRA,124101
amzn1.account.AFG7WBQ26JNY2SIW5OEQGNVZDDYA,13864343
amzn1.account.AEUGYN425SYY3JWUV54C4GQJ4KJQ,58184
amzn1.account.AFVV2V6RNSKPE65PRJPJ7ICNXDVA,607657
amzn1.account.AGQGIQBYPWZW4ZYUHOOM2FMMQX6A,1052216
amzn1.account.AFXHONGDFTF2YTPL5LTGK7YHVD6A,2229864
amzn1.account.AF5ARCZR2TACXAS3BRTZU6MDVVYA,3437541
amzn1.account.AHGJN2NEUAGVHMHQQWZZWMF5E4NQ,5968273
amzn1.account.AGOJ7V56SUBIGVVNT5R7JVJCUTCQ,2605680
amzn1.account.AELT6KELZ4GGA2XPAXQJWIOXF7ZA,186256
amzn1.account.AE3USQ24VAAX3A5Z6356DE6BODGQ,16548
amzn1.account.AF6DT746JAGT5EHC3F7NJQHM6TZA,154713
amzn1.account.AHDKYBWLMQMI2DU557MRRM2RUSPQ,4046031
amzn1.account.AGA4UC3W37WLOLF5TEJOTDCMX53Q,86737848
amzn1.account.AELN45PWXU6OOT2PITGKVRB63BHA,656496
amzn1.account.AFJS2DRVZVG2NY5C3MYF3AMS4TPQ,1008622
amzn1.account.AG5ROQFNGWNJBKJC7BC32322MTXA,997991
amzn1.account.AE2JBSZZUJWTMO2C4QPQVXTVLIJQ,5352817
amzn1.account.AEGC37Y2GEMY3HLT4NJWEUZMV4GA,1275392
amzn1.account.AFC4QMDEOZJHVAB3FADN5DSYR2RA,18329
amzn1.account.AGXECC3OYPQNAYLSHY3CZM347V5A,21926109
amzn1.account.AE4HPZMAUKRDVMUAF5D7S73T7RUQ,793779
amzn1.account.AGGH34TQ4K3NCWPL6ZRYO5FKVIRQ,2221327
amzn1.account.AGOC6ELZD57LNIK4GIWQVQAJU5OA,86461109
amzn1.account.AESJEQTRVMQIZNVTMFQTXLXPAJUA,10163970
amzn1.account.AEKIAK7XT5NJEOIJ3TRHOQDQHDHA,630087
amzn1.account.AFQIX5NEVYCVI4LQO5YOKCA3QLBA,10535
amzn1.account.AHS2KWFAQH2EUR5ECUKFBDRJB4VA,2952551
amzn1.account.AGP3LICO3472QA5GEJHCCZO5HPBA,540176
amzn1.account.AGVXNDY264XZGCY73U444A36TPJA,6349818
amzn1.account.AFP3J6XZVERHUELRD6LZSKTRTLQQ,385456
amzn1.account.AETGKURGICOJEVYT7KSR2J7TFS2A,11565350
amzn1.account.AEPNUK3UX6OB5M6ELGVVJEIGX3IA,9939108
amzn1.account.AGCIJERHIWFWIOU7NNU3M2QRWUZQ,86760289
amzn1.account.AHABBXNQJFA5OHOIWC4YTPLS3XNA,1394107
amzn1.account.AF5R3V6AF77TIRHVXVNNNU5WO2EQ,18597784
amzn1.account.AFVLDON5DVL65ZQFSL2JG5LKSPIA,1753676
amzn1.account.AGQUYKZEID3HTXAA7SJ45HIX5ZAQ,407620
amzn1.account.AFVEJHQE4NFOCDWKC67R2BZ44PGA,40454544
amzn1.account.AHZJWMDDCK2RVEJFYASW7WGITJKQ,12074
amzn1.account.AGRCJKW2EZB6CIXN2JDJTXI6TVSA,1647000
amzn1.account.AGQIYSEF7GDFGXBIL347VLPJTZPA,4545981
amzn1.account.AHMIRFRVOWTV6WRL7PRZKLI7H4TQ,2586999
amzn1.account.AHIYQE7ZCEOF4LX6YOUBUJMGYJHQ,1504009
amzn1.account.AGNFOCZ7K4OCHFTOUSG72UPCO4SA,844688
amzn1.account.AETHXOEC7RJEIR4OQ6V2JXHBLDWQ,444040
amzn1.account.AHBZK73MYBLCJB2CW55I7HYCJVQA,4426053
amzn1.account.AEUFQJHMJHQKZ3JIMRPRCP7UKUMA,3539607
amzn1.account.AGXBKVTNT5PMIIJOBIUYVWFG2CVQ,30079687
amzn1.account.AF35B3OYPFSQZCKEJW4QIG57BQ7Q,654581
amzn1.account.AFCHR3GQVCPQBNZPW3AR24HKV3IQ,1615103
amzn1.account.AFTLLUFPK6X7YZSDHI3SE7YL55TA,175349
amzn1.account.AEV5IVA4HARJ6XBELIQLMLYFFTOA,1231016
amzn1.account.AEQHTVCX65UXXHW5PTKCCQPV4T3A,33376533
amzn1.account.AFB5RWVZYJMQSR5XPQNJUFPWBJTQ,86490794
amzn1.account.AFWCY3VFD2PWOAOEV464ASUJ4JGA,2351635
amzn1.account.AELGFQDASMVL3XF7V22VRKSO6XXA,1953124
amzn1.account.AGAJTZRRXYEOA3QCUIY7UWA72DOQ,3595731
amzn1.account.AHAMLHPLEBVOBU7OHUCJE3MYIBKQ,4052629
amzn1.account.AGTO6OYZD4I57D4U3CFSZUEG3XYA,190431
amzn1.account.AEROAIETGDOHSQCXT5E4DDTHV7FQ,2086344
amzn1.account.AE7OQVIXVZAF7FZFVADBALIZYZEQ,5275222
amzn1.account.AEMWHF5WSFJ2B4SUBAXKD2HCHMOQ,4489653
amzn1.account.AHZKTZHKO3Z6UYWEYMH4YL52K3LA,269215
amzn1.account.AEAA7QZH56CNFBGQFLMECAFOWU3A,10769563
amzn1.account.AE7UZEDDYDMDS3LUDASN764NG75A,46324279
amzn1.account.AENQAZJ4ILXH6YS6DQIKJ5ZI5HWQ,706857
amzn1.account.AFRE7NKTZ4EQYP6YSOOI2LFHTXDA,3492616
amzn1.account.AEJ4YKYI3Y7KIGCVLK36UQWC3OZQ,1191606
amzn1.account.AHITNJPZW2QVU7JC742F5HTD372A,1911390
amzn1.account.AG7NJB57IVRSZICCUYEY3NNRTZSA,8507535
amzn1.account.AG2QJDUQ2OPUPZGPMC24PZNGLQOQ,86736361
amzn1.account.AGTI4YUYBSPRSAP2HP4G4T3WDPOA,3313481
amzn1.account.AH64YZMZXXYEWJIX2KUTSNI7WNIQ,6150243
amzn1.account.AHCTD6ENAT4PZIHUPY2PLTSHHAZQ,12727153
amzn1.account.AG7UZKVF23P2X7FTEC434NLP2NCA,1271607
amzn1.account.AEAMNVLCKUXPCTGA7VYYOZU6BWSA,52646281
amzn1.account.AHZCJDZB3QK5XBGGRJXQPMOJDIBA,1680503
amzn1.account.AFNUOI26U77KR56IXZLZNMVLNSZQ,225183
amzn1.account.AHNVVBVMPQHX5GDHBLLHSCBYYE5Q,13052555
amzn1.account.AFYGB6YFVJP7RQUTW6E6CBMBQ3SQ,4954412
amzn1.account.AGXOUQPL3PBJVTVESIZBO5VGXAYQ,2798002
amzn1.account.AF3IML6WXQJTV4TVK2ZCS45K6XVQ,1029691
amzn1.account.AGBLXRBZMMFOX6TEP32WWJ27G7LQ,630511
amzn1.account.AGRI5SBPQI7IITXLVGGIH7KNPKVA,1755870
amzn1.account.AHJZHBAFVCWIDQMWMB36ZWCGP62A,12038618
amzn1.account.AED3PNH356VWC6FJWWZ2XTIQ2SGA,409512
amzn1.account.AGKPAWXJJJZTTDTECUV3UFQP7JGQ,6965203
amzn1.account.AFIT2AHSL7XUGDJ5TCEROQ6TZIMQ,4420402
amzn1.account.AFP2SEUSXW2DNEOJ4RFSIJMEG74Q,6652544
amzn1.account.AHPWSSV6URORPISIQLZN7UHXL7MQ,262685
amzn1.account.AFORSXYFN32RXFMQLVBCDX3776MA,2455933
amzn1.account.AHNL5S5YFVOB4L2ULWRRDUFIRATQ,1457990
amzn1.account.AFEV76Y7FCUNGPIQLADFQNKHN2JA,157016
amzn1.account.AG6XHPZAJXOK6TVYVDJNARNN4U6A,29027370
amzn1.account.AHF6TZUF4DZ5WMZDYRKN2PCB7B5Q,187259
amzn1.account.AHRVMDLVSFFLOUCX3ITMLWYE43MA,8527783
amzn1.account.AHMFD57A22EUVDKKJ36S26VPB7OA,1778994
amzn1.account.AGOROTQ5BLLQETFZZLGQWGA6GWLA,483359
amzn1.account.AFWBH7CGFKVPIN6NRGT2JP4VRHTQ,2140726
amzn1.account.AGJDL5CZOHHAOIZ7MTCJ3EFIWC6A,4691
amzn1.account.AGBECTPBQQSI4E2YCWOILQTDMLLA,750160
amzn1.account.AGM7X6XPO4L5PEPGJDRV3B7AFIMA,2358406
amzn1.account.AE75C2ZFHWD3RTO5CCPBOJGVPRKQ,3812547
amzn1.account.AFCLV2XNPQ3EJDQZYYDLEAEKB5MQ,370157
amzn1.account.AEZV2SLTN64D2J5DYTUMHQKC5DXA,446631
amzn1.account.AE7KBLQ4RRHPBYWJEIHRPQJPZROA,1174067
amzn1.account.AEVPZHWNBO2H4HFDGCWBSLIQAN6Q,3038793
amzn1.account.AH46SLGNVWN57IEPDZWMV2OUJVHA,747542
amzn1.account.AEAQC2MPG2YKRWHUOJCB7DIWNAAA,3928149
amzn1.account.AFMFZDOOA3ZJ4QLPM45LKZYCYO6Q,17385216
amzn1.account.AH72YALJ63DMFFCNU7SX3T3YR5DQ,3380219
amzn1.account.AGOYUHRRWGENCUQ4T7UHIHRKTDWA,11539176
amzn1.account.AFUCEDBP6UT3BHL7HFU2KTOWIU4A,86536697
amzn1.account.AFZ4QGRJLCC57CD3O3JRNQ7BPSBQ,268761
amzn1.account.AFN5CM6ZDI3YM3WVPTNMQ3SZ5H5A,4564333
amzn1.account.AFU4FPD7NWFATWOOQZALDZL6OWQA,312799
amzn1.account.AGAUZSEY4ATKBYS52QZEGHZ7QIXA,33345608
amzn1.account.AFPBDYKOX4BQE6KQWDFP3CIDHTQQ,447926
amzn1.account.AGBE6HVJRGOKMHP374G5LSPF57HQ,879662
amzn1.account.AGCLOOL63NXBV27DMZEDCITI4MEQ,13545200
amzn1.account.AEFBYAA2FCGQBOQRO3ZTQQHVVV5Q,8014320
amzn1.account.AGIA23PZWYSGUMJIAL4IMNPW6ZAA,13574298
amzn1.account.AFYZYZFWJZUVQJEW3NY7E2J534ZQ,895326
amzn1.account.AFIAZOL4UKDZYBUL2LIY7U33I7YA,11009749
amzn1.account.AHKSDLOF32TH7KSSIKV6J7KX3F7Q,1939898
amzn1.account.AHST3IX35NODA74VTQ3IKUIUANGA,5084566
amzn1.account.AEMMIJA3QKNUM3QOLRVRL67R62IA,10546778
amzn1.account.AE67TYYURIY5QIDSY3435MJBMX4A,19346295
amzn1.account.AHLNYD7Z3LGKTJP6FYU4LIDS4CAA,86454978
amzn1.account.AFY5UFZMRYVPQ4GQ3V7FCQ5BK7IA,2621936
amzn1.account.AHUY523W3CMJ5L3O4JQ2GIJCOCQQ,9976820
amzn1.account.AGZQYTVCHD7H6JVYISLLXCJAZLXQ,994488
amzn1.account.AHXYDGETTDY3AVG6DMXHHKDBDFYQ,15737626
amzn1.account.AEQS6IYGLH5EOBKAXPHIDX2DBFVA,1050473
amzn1.account.AEWLEMLLREWHXBITDSYG4GABUCCA,1273285
amzn1.account.AGCAWOGVSXTRREUIDZCMG6J4BXSA,2623149
amzn1.account.AESPB34B63DBEODMTNJJ45ACL7SQ,9999281
amzn1.account.AGSTSHW564JGDUIYWZEN4BN2FZSQ,7976373
amzn1.account.AGOLZMJHVVRPSRL7UGOMHAMQ5CHA,2614768
amzn1.account.AELEJRC7ZDGD5Q6L6W4INZVAW7EA,1290896
amzn1.account.AF33KJKCEEFTE5TK4HJRBINMQVHA,17827906
amzn1.account.AEXCOAW2T7CLF3NQASQVWWI2QETQ,33489
amzn1.account.AFPKE6RMCYXCTEHN5OHKE6DRJ2SQ,6928234
amzn1.account.AECN3WYR4U6HAYUJ4WUXJLID67GQ,12369609
amzn1.account.AEBANWWMEPAFENJAYYOF5KTDY3EA,11293196
amzn1.account.AG42ED344MI6C6YXAZZRYH6ZWBSA,4932822
amzn1.account.AEAHPVX747PB6NLTIIXT2RN4Q3IA,40071883
amzn1.account.AH5NVFFJYJ34P4D3NQMWUA7GT3WQ,590129
amzn1.account.AGSYDNHRSF5MMMPWCTOGCE7OCMKA,15525231
amzn1.account.AESLDTOWEYZC2CRWIBJ4SYGTQEYQ,6444476
amzn1.account.AEJY6THOVYAYV4SMLWTG7HVR4CKQ,226761
amzn1.account.AFDOHYV3J7H65IWDHTOUBIA3ESIA,737346
amzn1.account.AGMBHVNMDVJUWH4UK2IOMC2SSVJA,21517515
amzn1.account.AG4BONJDM4EQJ56UPZOFIIJFGFVA,1566685
amzn1.account.AGCYHJRRJWEAE22A5X6P4KUBUOWA,1726251
amzn1.account.AGETUNFRZYWCKQYW3YJP4J7AGIVA,6022608
amzn1.account.AHZ5LQWP7PGVMUFBEP5DO4UG7BKQ,7818494
amzn1.account.AEJOGBYVTD2YEATM7P5U3OF6YOHQ,42267908
amzn1.account.AGZAVFCY4L6P76FQMIDPCKQ4H4FQ,1362870
amzn1.account.AGDP56COUTOB7MCZP2KYO65TMAKQ,2872713
amzn1.account.AEX62ZZS35KO4D7M5VEUE2325O6Q,8315803
amzn1.account.AF4CP54RCOB24XQIQJKBAJCO3POA,6977140
amzn1.account.AGKUPFZ3YJPAY65NWNZTRXGHGEUQ,1956514
amzn1.account.AEOXNJAEPUOSITOLSM6RXAE3HURQ,7735840
amzn1.account.AFOHEYO2K54M3NHKNQW4NBGAEQAQ,409049
amzn1.account.AGLCW2GBS2FFWQPM454IPIJOYRSQ,275368
amzn1.account.AGSHYSIQSZZERQP43JYZ4QUPLCJQ,5692149
amzn1.account.AH26ISTJKOXQNWWTKPE2BCXHUC2Q,5715574
amzn1.account.AFKFAUT3OZJZAOLLM5AWNW5HPYQQ,13688529
amzn1.account.AHLXQCUNZBP7UOR6S3GS6KH745QQ,2250677
amzn1.account.AEYPXLDGINBXFTDMCYGS7ZQCODWQ,3209807
amzn1.account.AEQJR4CBX57DWD2P4N3RI7IBNQXQ,2390181
amzn1.account.AEAQBX2RUUIL4AX6PHMOEDZIIMDA,6908163
amzn1.account.AF4J5PX4P3BLP7UILRKSBQAZQLJQ,905825
amzn1.account.AGUMS3RNJEWG6U63PKOHRIRK6IZA,33252709
amzn1.account.AF27KTMJVQO6IVUKUAZHZWJ4NVGQ,52516742
amzn1.account.AGPJTUG4NRQPIMFIU667UKOGLEDQ,2312302
amzn1.account.AGENZHBHWA3IY6UMPKURDLXFCWOQ,2596254
amzn1.account.AFJ2PW7HGPQMQUNDU7MDEOPI25TA,11137802
amzn1.account.AESJEOJVRMIKDPLXQ7A26YPQADJA,8089189
amzn1.account.AF45M2L4GX5HKLOZ6F5JEBEMU2AA,9528455
amzn1.account.AGHVSPPOLYI7ZQXFFWX6U62IDANQ,44788763
amzn1.account.AE3PB5GK72CZ7CNHDERQ25SWC3DQ,308113
amzn1.account.AHUJNJH235KDZXFCBIW47THDIZNA,2198761
amzn1.account.AGA7TXR6C3IMKCBMXGM2AIOV53JQ,3113775
amzn1.account.AGR26JNNPJNG3JHJQURJG5HIXT6A,4215786
amzn1.account.AGLOZSVJ5ILE43AGDR7DUA4ZMM5A,8834831
amzn1.account.AEU5ZJVUQFG3M2TQ2YC26SMLWRWA,513006
amzn1.account.AGFC6YCEP6IDGXDECZWCGU6NXAJA,2319187
amzn1.account.AH7EW7NCXQZXE627SYU7ZFLG4SZQ,86589752
amzn1.account.AFAFEQUP4I4H2E2Y5XB57F3AUWDQ,718656
amzn1.account.AGTGFBL4BDA7QSPHHPEZSSP7C7CQ,3317161
amzn1.account.AGXVUEMFGKJ76DELCL5RSOVJQV2A,107775
amzn1.account.AHCLFRB2BYPPBVKXBIPIDSTW2ZMQ,2096433
amzn1.account.AF3HXJJD62GNTHOC5SINWLR3C4IA,42333480
amzn1.account.AHMJVCKVHJIT2R5NWWV4HG4TDH6A,295152
amzn1.account.AFLHIHYAA5RMKIYPPRWOND2RD4KQ,7227143
amzn1.account.AGJ24MHLR4ZA3CECVKVPYA2UUMLA,58690739
amzn1.account.AFDUEHEQ6HPMOZ5YR7DFFTNY7APA,29601603
amzn1.account.AHXONT4KKVTLEIFAHGXWXYXA2VYA,19765699
amzn1.account.AGI4XGRHTIUWXIBKVUACVS67CVJA,86765554
amzn1.account.AEYI74PAJXOIQNEVN6TKESO52ZMQ,17740308
amzn1.account.AHJWCXYK5NHEOLJKX2HGBWHV74WQ,14618473
amzn1.account.AGUPHTIQWBPZZFVDERXEL6BFT73A,9090453
amzn1.account.AHQSBOBFADLDME6ZDMS7FWUQOATQ,16507924
amzn1.account.AHNWZHWXLTMRG72OGG5K6UYRWYZA,7568369
amzn1.account.AEYJIA3OZVUVZCXQDMVK45Q3DYUA,707100
amzn1.account.AG55TGLXJGAJDOAH3QIDQ54AVCSQ,2122557
amzn1.account.AFHDDWBKPUUQEWRZYQ4YKZGDWICQ,7536735
amzn1.account.AGAEX24JAZPQLAOC3UUVTOC7EBXA,2393867
amzn1.account.AFZ3JDYZVDBUPZEXHQHMV3XRI2IA,86598716
amzn1.account.AFHBZR7II2ZZ2GNJQGFZQ5OOAYUQ,2345294
amzn1.account.AEKVOB7DYBVOXRGQQ5SKKLA572YQ,20600651
amzn1.account.AH5T4PEHCFPADZAVVTGSNTOKC5NQ,4345623
amzn1.account.AF6ZO3FGIBIS5SJR2HM3SEGB2GTQ,3979698
amzn1.account.AFLSRXC5IA6723QAEHFUF2FXYLVQ,34644623
amzn1.account.AEF5XIQJYVJTIMQZAWG5BTUACYDA,3563680
amzn1.account.AGO5GT2RJIQLIGEFELG5OTYYW45Q,7730802
amzn1.account.AEIKLQAXU3OY2Y2T4YA2GLNJK7RA,6359987
amzn1.account.AG6DVYJ3APQHU6GNUTZOZA2F6B2A,13346727
amzn1.account.AGAWQKECXRNDMFDKMDBJVX7QNFIQ,3024536
amzn1.account.AF5T7JSNARLOEKK5Z66CSFVAAAXA,14684640
amzn1.account.AGJVHUJJCYZDWRNPUWUY7UTRX3VA,433740
amzn1.account.AGFSJ3EHO7WGXILFI7KTZRPUXYAQ,6682289
amzn1.account.AFE5EVNFJWJXZMWJ633WOS2MCF5Q,86644141
amzn1.account.AF4WNJVDMIL2YZTIYZDKJI5PSGVA,24885248
amzn1.account.AFE46573EWIM7C5GNGITV2R2Z43Q,16569051
amzn1.account.AHUUHUJUHORCFHCFED2ML7BHEB7A,1617393
amzn1.account.AEWVW2B6FLEVXCD5TNXU7WH7CMOQ,1562208
amzn1.account.AGN4V6T5YXGGQB4FSJSMFWYHEOGQ,452116
amzn1.account.AEFF6G26BU4N5HEZFXXD6MQHCKGQ,10507728
amzn1.account.AH2YNHKNH44EMCICYZKBDVC2XUVA,1065430
amzn1.account.AEJEIMYJSLJHYARWR6DOWRW6YGBQ,5129309
amzn1.account.AG5DDE353UTGIV6JWUOWH37QMBMQ,22161507
amzn1.account.AFYU7L6PPUGCEG4QKNLBLABGJSTA,942235
amzn1.account.AGD2JLQQYNIN6VDFOPLCWUWJRAFQ,26464734
amzn1.account.AGJ4WMHVAD6DDEI2TD6ZC5EXOKSA,26603684
amzn1.account.AGAGDDMQQGWPOLEGMMBGX6YV5IPQ,86691607
amzn1.account.AGQI34SKTJFECSGZD6ALHF422LIA,3523503
amzn1.account.AFGZE34MMBTB63FPAH6B7CLCIMGQ,2009462
amzn1.account.AEXKHY4OHOOSA3DMS4CRA5GPZQOQ,6580328
amzn1.account.AF3MJ7WD7V6J5PZSEKQEEKCSKABQ,4645798
amzn1.account.AGZ34PJLKBKMG5YYMQQMPRFSNGZQ,7685490
amzn1.account.AGAZSTDA25ZAP7U2Z3KXTT2GH5GQ,6792327
amzn1.account.AELLWHLUR7CUOYK35WE4ZPGW5BGQ,86281429
amzn1.account.AECNPIOXOEGQM5YKMMRQC3CKELVA,6217081
amzn1.account.AHD5SA4LSVZZHOB7DO6PTJHWAKGQ,55749690
amzn1.account.AGVSO4LW6YBPYN3QYUNFFUAWT7EA,3988179
amzn1.account.AFPM63T3JOIMWL5LZ2ZOWNLRA6RA,11146159
amzn1.account.AFEEXKQXKAQPDN65NG2WNQQWFZLQ,543645
amzn1.account.AHMU4CJ4UNPP55SS6NYIUTT3DLYQ,6387389
amzn1.account.AERADYL6LOMNOFIH7QC3U6QKASKA,4870919
amzn1.account.AHO55TYJBD27UJDW2VTVFA7CJMEA,4022436
amzn1.account.AF5YMZERR3527F73NO4RFLWYCFEQ,15700831
amzn1.account.AFOUXQQB5BIZAZE5JIPRFZHJV6FA,22649958
