helpful_votes,page_url,total_review,visibility_status
"1,551",amzn1.account.AFIZBMJZVJXCGL6JB54AWZWL6ZQQ,298,Public
108,amzn1.account.AGHK4AD3UVFZQSGSLBQFVL2V4TYQ,20,Public
133,amzn1.account.AHN2SZ6W6SXF656KNDO7HWMTLZAQ,20,Public
816,amzn1.account.AFYTFBDTR4U4N2PZEAYY647IPT2A,40,Public
"15,279",amzn1.account.AHKU45DC77UL6KFXJGTCXBM4L56A,"1,943",Public
72,amzn1.account.AETZRKDMJ7UNJ3H7ZZGL642VECTA,39,Public
119,amzn1.account.AH2JJGAIRC6V6D4KKNHZRX5LNYIA,98,Public
134,amzn1.account.AHABK5HCMDILIPHQNRZO62OR6KIA,104,Public
"8,705",amzn1.account.AEPR3AKXWKVBT3QPEUM76BYEMZRQ,"3,680",Public
403,amzn1.account.AEEX73JN3VHOK3ID3ZKZV5IT7ZNQ,162,Public
31,amzn1.account.AH4JU4A254PVXWPULATV6M2OIWRQ,61,Public
"1,551",amzn1.account.AFIZBMJZVJXCGL6JB54AWZWL6ZQQ,298,Public
108,amzn1.account.AGHK4AD3UVFZQSGSLBQFVL2V4TYQ,20,Public
133,amzn1.account.AHN2SZ6W6SXF656KNDO7HWMTLZAQ,20,Public
816,amzn1.account.AFYTFBDTR4U4N2PZEAYY647IPT2A,40,Public
"15,279",amzn1.account.AHKU45DC77UL6KFXJGTCXBM4L56A,"1,943",Public
72,amzn1.account.AETZRKDMJ7UNJ3H7ZZGL642VECTA,39,Public
119,amzn1.account.AH2JJGAIRC6V6D4KKNHZRX5LNYIA,98,Public
134,amzn1.account.AHABK5HCMDILIPHQNRZO62OR6KIA,104,Public
"8,705",amzn1.account.AEPR3AKXWKVBT3QPEUM76BYEMZRQ,"3,680",Public
403,amzn1.account.AEEX73JN3VHOK3ID3ZKZV5IT7ZNQ,162,Public
5,amzn1.account.AHC425QPHPUDI2TNQ4GNU4RQ6JIQ,20,Public
354,amzn1.account.AG7M7QIOBHW5Y3BACLG63CKA5NKQ,64,Public
81,amzn1.account.AGIJG5BWN346XSOYMA2FRWLLZLEQ,33,Public
32,amzn1.account.AGM7TKRH2YML32SYTWM5HBJ3ET4Q,28,Public
121,amzn1.account.AFKFFYKB6SSEHWPKCTU3BJUL2MFQ,46,Public
141,amzn1.account.AFCGEMEHZSO5NHQBCFIFEQ6MIEJQ,61,Public
77,amzn1.account.AGVF23PZYQV4MFMPI2HIYRP7BVBQ,109,Public
311,amzn1.account.AFCELWP44UQ4TVZGSZ7K6J7BDBFQ,136,Public
25,amzn1.account.AFHKLK3CDLQXAPFXQXYUJ254GMQQ,8,Public
50,amzn1.account.AGV5UQCKV2QDZB3PDPV37BIWNOFA,29,Public
55,amzn1.account.AH76QOQJK4QN3PQZUIPBRO3YWCFQ,45,Public
547,amzn1.account.AHARHIEYQIZXSCZ2I5EPD6T6KFMA,260,Public
27,amzn1.account.AFMLPX5E6H7KZZI2SRYHQ3GQTVYQ,94,Public
105,amzn1.account.AEJ2BMGU4BR4MIZ4BAKQJ4SSBTWQ,77,Public
136,amzn1.account.AFTQNCMMR4IO6TQV5TASVPXCZOTA,132,Public
59,amzn1.account.AHILRHNVXS54P4XUKVIVZGGESFVA,33,Public
109,amzn1.account.AHK23XLOQN4HNLCWAOUH3LQGLAQQ,64,Public
136,amzn1.account.AFSCYRG2HWYIPQ2FWCECKYIQULLA,109,Public
124,amzn1.account.AHXYSEMVCV3E2JQDFLJ7JD7WYRLA,81,Public
65,amzn1.account.AFQCV54NNCUKUTLORRAXJHV2RZKA,84,Public
87,amzn1.account.AG2TI3VFMIZNYIC3S6KP5ZU7KQFQ,50,Public
140,amzn1.account.AHY2AAUJUNMLNARSZXNZVEQRJLPQ,170,Public
59,amzn1.account.AG7DIAQNWEAA2UF7ES4B5BUKCUJA,39,Public
5,amzn1.account.AE5JXL7EQ2DX3WLGUWL7GTO56YDA,15,Public
538,amzn1.account.AGYAYQHJJJFI62C65J7JTHSERFOQ,311,Public
143,amzn1.account.AEHFTWJY5GSS3Q3HTJTCTBO4MJWQ,75,Public
669,amzn1.account.AHNV2PBISKMM2PV4CQANEIU762MA,340,Public
26,amzn1.account.AGAFFVGXZ4WJ5CXHQA66A54Y2VVA,36,Public
87,amzn1.account.AEMIMDFEUMKGISEOPBQBPHUYFRVQ,59,Public
14,amzn1.account.AGK74IXVG7HT7NMIZG3DSNUQD6BQ,6,Public
89,amzn1.account.AGNUTVWGYHMRXPWNEKRAE3CSAV5A,42,Public
7,amzn1.account.AEJ6W2GZYZQUQD2TCSBNUU34RCCQ,42,Public
222,amzn1.account.AEZ45AUUHW477ZXBR5OLKTT7GLKQ,83,Public
14,amzn1.account.AH3BCHN7TEME5XQB52X47VTOYMLA,33,Public
661,amzn1.account.AHBKYNMY46L4PTTKEV2TYGRAFG2Q,594,Public
171,amzn1.account.AHNIGSIIFGI3WVB2BXTKWDXCFTSA,95,Public
126,amzn1.account.AEFA76HTH574ZOBTPNYFGAM56LPA,122,Public
14,amzn1.account.AGH43HUSIW4KJOHHF2ZVWP3FJ6KQ,13,Public
341,amzn1.account.AEDFZMGSI7N5EZKRFLCYJOO2IARQ,54,Public
18,amzn1.account.AFS5QUQFFLERXCPIIGLEJNBM5WIA,41,Public
814,amzn1.account.AEJTW3TYEM3NOCDCYJDQD7YZFCQQ,66,Public
37,amzn1.account.AGSCIYM64I3TMZNGEEVURCJNGX6Q,39,Public
888,amzn1.account.AFJ3YL3PBENTZOYCLPLT5HZM5STA,509,Public
3,amzn1.account.AG7I275MIFS25YSZ3XGIAGQS26BQ,15,Public
263,amzn1.account.AET665GCDXS7MYIRBA4UY2OBFKTA,245,Public
1,amzn1.account.AE3IXJDAMUKE62Q2CDI55R3TASTA,1,Public
74,amzn1.account.AE7J732HZGXXA3AR3MDFZRDLVRPQ,89,Public
"1,252",amzn1.account.AEIIMO3Z74GAL3CUQPTZPT5VZURA,877,Public
41,amzn1.account.AEFDCRMQS2CAEWNITSYAXZZI4UDA,111,Public
3,amzn1.account.AFJ7DCJTWVSB3QAQNICJEBKEJHEA,29,Public
61,amzn1.account.AFCMUJPVG5VZGHSZGELIMQOEMGRA,48,Public
173,amzn1.account.AEIUGFGCOVKT4EB3H75FWQEV6A6Q,226,Public
78,amzn1.account.AGNJLTRBDGF4HXLH7BC5V22XW66Q,79,Public
473,amzn1.account.AF337LXNSDMQ6QH55OCXTRM4VTZQ,218,Public
24,amzn1.account.AESUGDSJBQXKCFJ324AKHSKUXKFA,69,Public
241,amzn1.account.AG3EID62E56AUYGMV2PBSM3PFZTQ,76,Public
29,amzn1.account.AE5D74RKU2AOUPCO7IEUFHIGPJEA,52,Public
133,amzn1.account.AFGSPWJTASRUUO6HGU73PVPMFGHA,37,Public
0,amzn1.account.AGRUBVEERWJORMQII53KNDAUFHLQ,5,Public
112,amzn1.account.AGLBIDP53XVGHPAPW3LPKWBJJTRA,104,Public
8,amzn1.account.AEDLN2WPCH7EZCG5DHTK4GI4ZSMQ,21,Public
3,amzn1.account.AGCSHGACB3ZKGQTROVNVEUPIDPFA,4,Public
18,amzn1.account.AETBLXSE4GH754SYTQC7S2VD6R4A,30,Public
"1,226",amzn1.account.AENCGS4ZZE76AQ2T3N2MRZ2BLM5A,307,Public
79,amzn1.account.AG6NJ3S22T2JJBVDIB4UV55BKE3A,35,Public
28,amzn1.account.AHCYLPFCDB24OVTF2VGHBRPMHFMQ,46,Public
82,amzn1.account.AHQU3FINT5OJARQNUYHFWUM6UGFA,209,Public
0,amzn1.account.AGP4AYHWNWG6DS6OVNMJWJNITNBQ,7,Public
77,amzn1.account.AHWWIKZW2AQKRVMPYUEUCA4YG7XQ,70,Public
22,amzn1.account.AFOPHIQJ5EDLENAS3XA3KWO437RQ,11,Public
33,amzn1.account.AH45YFKTNJFPVZAKPARO5H5FABSQ,32,Public
69,amzn1.account.AHQ6JG7YEBK3JWUIU3SE4YBTWSPA,96,Public
36,amzn1.account.AGX76LBWRGWK2G6ZQGVL7HBPYONQ,54,Public
38,amzn1.account.AHKD753N6HIW3A3H2UELELQRDN6Q,118,Public
34,amzn1.account.AHUME37QV6HCVWYFZVT4PRFIQ2VA,35,Public
3,amzn1.account.AEGGGJVPKPXBEFEY4WUV43BQ74YA,6,Public
1,amzn1.account.AEEB3R2M5VDZ3DYJYXWTCYRDAYAQ,4,Public
231,amzn1.account.AFOBWK7CYEVVNUSG25VBEFRNO64Q,119,Public
386,amzn1.account.AGEUOX3KYKBJE7U6PNWLJKBPEA3Q,94,Public
10,amzn1.account.AE5M6QKF7X4Y6THMKUDKJC5PNOGQ,59,Public
769,amzn1.account.AFOAQ5MRI4SV2DVNUFMJ7J3AV2TA,164,Public
16,amzn1.account.AFXRQLTH2NRSZP74T24I76XFUTIA,71,Public
198,amzn1.account.AG3YK7WTM7EIUEGHM3LCYKMTRMNA,98,Public
118,amzn1.account.AER4NXDSRYJDK53TEUW3CM5TXRFA,29,Public
