author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,helpful_votes,total_review,ranking,visibility_status
Amazon Customer,/gp/profile/amzn1.account.AET4VYA3JDON452PGTULZ3JGTD4A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 15, 2017",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"I've only had this battery for about two and a half months, and only used it about 3 times - perhaps once successfully. The computer won't turn on with the battery in it, only if I remove the battery. If I get it to turn on, plugged in with no battery, and then add the battery in, it says that it's fully charged and lasts a few hours, but something is wrong with the battery. I either need a refund or a replacement asap.UPDATE: Even if I turn it on with the battery disconnected, and then add the battery, the battery no longer holds a charge and the laptop dies as soon as it is unplugged. It's entirely useless now.2nd Update:  Was finally able to communicate with the seller, and they immediately responded and sent a replacement battery.  Sometimes things break- it is how the seller responds that is as important as the item sold- they responded very well.",Does not work- but replacement sent,Verified Purchase,77 people found this helpful,257,20,545119,Public
bondo,/gp/profile/amzn1.account.AHZPR66LSHW73G7OJRD7YLYBFJXA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 20, 2018",1,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"Not as pictured or as the description indicates.  Claims to be a 9-cell battery, but is in reality a 6-cell battery",Nowhere close to the same 9-cell replacement battery,Verified Purchase,53 people found this helpful,389,149,140547,Public
Miss Kris,/gp/profile/amzn1.account.AEOV5P3YQHVG742NMZ7GUVS2NGTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 17, 2018",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,The battery worked well at first but then began to stop working randomly. I can't use it because it is unreliable and and now and it is 35 days since I ordered it. I can't return it because it is 5 days past the return policy. I am stuck with this battery. Not a quality product with a short return policy.,Poor quality,Verified Purchase,51 people found this helpful,51,4,5248911,Public
Belle Of Texas,/gp/profile/amzn1.account.AHRWKLWJOCV4FL4CPS2NLWPJKTWQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 17, 2018",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"Looks like I ordered the right replacement battery for my Hp laptop, mfg. Nov. 2011, and I purchased it Jan. 2012. It's the perfect fit, snapped right in just like the original.  Came pretty much charged, and the life of the battery was 5+ hrs. of continual use.  I  still had about 15% life left once I finished working. One cool thing happened.  Immediately after I snapped it in, the laptop recognized the replacement battery, and automatically began a computerized check on it. Final results, ""Battery is good, and functioning properly"". So Cool! Bottom line,  I am so happy, I'll get to keep using my old work horse for hopefully many more years?",Charge me up!!!,Verified Purchase,35 people found this helpful,105,80,369168,Public
marvin goff,/gp/profile/amzn1.account.AENX4XPKXXJ6EN2HWFEKP5NOUXIQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 31, 2018",1,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,The description of the battery ordered is wrong. Old battery on the left and new battery on the right you can see not the same as the battery info from seller.,Battery not for the laptop in the write up.,Verified Purchase,34 people found this helpful,39,37,1070469,Public
lkrogers,/gp/profile/amzn1.account.AGQBYDEUHXLJGCVNRDQVRZDR56PQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 29, 2018",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"Our HP g6 is OLLLLDDDDD and accordingly the OG battery ""gave up the ghost"". We didn't want to  spend $$$ on a battery and we didn't have to . This battery fit perfectly, came with a charge and seems to be working fine (as of 1 week). Like the original, I don't think we'll get more than 1.5 hrs continuous use but we rarely use it battery power anyway which is why this low cost battery worked out just fine.",Perfect fit. Reasonable cost.,Verified Purchase,21 people found this helpful,201,139,125220,Public
C. Miller,/gp/profile/amzn1.account.AFCNQFNL4U5I5VLJWRMBV2M5B7HA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 6, 2019",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"Upon replacing the  original battery with the replacement purchase, my computer shut off and  I was unable to turn my computer back on. Only after exchanging them back, putting the original back in, did it come on.I had a brief conversation, on line, with the seller who offer to send me a second battery.  I agreed to the offer but I never got the replacement for the replacement.  I did not hear for the seller, nor did I reach out, again.",It never worked!,Verified Purchase,17 people found this helpful,111,113,551482,Public
AnnieF,/gp/profile/amzn1.account.AFXUOAW66PWRONJT7TDDNOWTUC6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 10, 2018",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"Does not fit my HP dv6. Ad stated that it does. I just got to try it on my computer and the contacts do not line up, I am out of the return time frame to get a refund too.",Does not fit HP dv6,Verified Purchase,29 people found this helpful,106,62,507082,Public
misterev,/gp/profile/amzn1.account.AEGMBL2MRSTBCBNZ7WNKC4LXHRCQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 26, 2019",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,5.0 out of 5 stars,"My wife always kept the charger connected to her computer, not good for battery, just a bad habit.  When her battery died, I found this battery listed at a very reasonable price.  The battery was here in two days, packaged very well and fit great in the computer (for another computer, the instructions from another vendor said to trim the plastic of the battery to allow it to fit in my computer - not a good start).  So far the battery has worked great, charges quickly and seems to last longer that her original battery did.",This replacement battery charges quicker and lasts longer than original battery,Verified Purchase,6 people found this helpful,53,32,809011,Public
Kevin Humphrey,/gp/profile/amzn1.account.AHAJZRSRCC2BLDTYQL7J2Q5PJSEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 28, 2019",0,,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=0,1.0 out of 5 stars,"I purchased and installed this battery in my HP laptop. Yes, I confirmed the proper replacement numbers. It charged very quickly and holds a charge like a brand new battery should, HOWEVER....since then my computer just shuts down for no reason at all. This is when just on battery power OR plugged in (with battery in place). I'll be in the middle of something and it just crashes. I never had this problem before this battery. I removed it and on just AC power it runs fine so that confirms that it is a battery problem. I'm sure I'm passed the return date so I'm stuck with it. I DO NOT suggest anyone buy this battery!",Laptop frequently crashes with this battery,Verified Purchase,5 people found this helpful,26,51,1347338,Public
Amazon Customer,/gp/profile/amzn1.account.AET4VYA3JDON452PGTULZ3JGTD4A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 15, 2017",0,0,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1,5.0 out of 5 stars,"I've only had this battery for about two and a half months, and only used it about 3 times - perhaps once successfully. The computer won't turn on with the battery in it, only if I remove the battery. If I get it to turn on, plugged in with no battery, and then add the battery in, it says that it's fully charged and lasts a few hours, but something is wrong with the battery. I either need a refund or a replacement asap.UPDATE: Even if I turn it on with the battery disconnected, and then add the battery, the battery no longer holds a charge and the laptop dies as soon as it is unplugged. It's entirely useless now.2nd Update:  Was finally able to communicate with the seller, and they immediately responded and sent a replacement battery.  Sometimes things break- it is how the seller responds that is as important as the item sold- they responded very well.",Does not work- but replacement sent,Verified Purchase,77 people found this helpful,257,20,545119,Public
bondo,/gp/profile/amzn1.account.AHZPR66LSHW73G7OJRD7YLYBFJXA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 20, 2018",1,0,https://www.amazon.com/Replacement-593553-001-Presario-Pavilion-DV3-4000/product-reviews/B073VJVH1N/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews&pageNumber=1,1.0 out of 5 stars,"Not as pictured or as the description indicates.  Claims to be a 9-cell battery, but is in reality a 6-cell battery",Nowhere close to the same 9-cell replacement battery,Verified Purchase,53 people found this helpful,389,149,140547,Public
