author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,helpful_votes,total_review,ranking,visibility_status
Kevin,/gp/profile/amzn1.account.AEFMBY75QKPAQ3LXQXRBHYRC2NJA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 2, 2019",2,6,https://www.amazon.com/product-reviews/B08K3FZ314/ref=zg_bs_7586146011_cr_2?ie=UTF8&refRID=E5NJDQ9GKKXQCXXDPSHW&pageNumber=1,2.0 out of 5 stars,"So I’m out of work for 3-4 months from shoulder surgery,  so I decided to do a little testing. I was sick of buying 2032 battery’s and being not sure if I bought junk or something good. I had bought some cheaper ones and they had all since expired so it was time to buy more. I figured I would do the usual and read some reviews, weigh in the 4+5 stars to see what present they took up, weigh in the price, and read reviews. So I found what I felt were the top 3 rated and purchased them.Because my son and I are avid remote control car races I have a fairly high end charger that I can trick into discharging these small batteries. Even on the lowest setting it discharges a little high. The low setting was .1 amp discharge. But I used it all the same and looked to see how long they would discharge before the reached a cut off voltage of 1.8v. Plus I recorded starting volts of each battery and end rebounded volts after disconnecting them in a same timely fashion for each. GloFX seem to be the champion by far. Note I only tested 1 of each. It’s on my dime so I only tested 1. See the pictures with the results to make your own conclusions. Have a great day",So I tested 3 different brands... see my results,Size: 6 Count (Pack of 1)Verified Purchase,339 people found this helpful,,,341271,
batray,/gp/profile/amzn1.account.AGRP57JI42WKFJZZBYTRLUFCDTLQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 10, 2019",2,4,https://www.amazon.com/product-reviews/B08K3FZ314/ref=zg_bs_7586146011_cr_2?ie=UTF8&refRID=E5NJDQ9GKKXQCXXDPSHW&pageNumber=1,1.0 out of 5 stars,"These batteries are counterfeit crap.  They measure fine open circuit, but the voltage drops quickly under even a light (<100uA) load.  Notice the difference in fonts of the genuine Energizer and this piece of counterfeit crap.  Do not buy these are anything from this vendor!!",counterfeit crap!!,Size: 6 Count (Pack of 1)Verified Purchase,255 people found this helpful,387,97,100192,Public
Dubs,/gp/profile/amzn1.account.AFRDLTR66U7JO2PZV77KIXMGWYWA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 15, 2018",1,4,https://www.amazon.com/product-reviews/B08K3FZ314/ref=zg_bs_7586146011_cr_2?ie=UTF8&refRID=E5NJDQ9GKKXQCXXDPSHW&pageNumber=1,1.0 out of 5 stars,"If you look at the picture of the product, the ""Made in China"" label has been removed from the plus side of each battery in the pack.  When you receive the product, it is enscribed right below the + sign on each battery.",Picture of Product is Not Accurate,Size: 4 Count (Pack of 1)Verified Purchase,161 people found this helpful,,,79006537,
Trevor Paugh,/gp/profile/amzn1.account.AGCHQNKBJRGDIWEKZRIGD5LAU5HA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 16, 2018",0,2,https://www.amazon.com/product-reviews/B08K3FZ314/ref=zg_bs_7586146011_cr_2?ie=UTF8&refRID=E5NJDQ9GKKXQCXXDPSHW&pageNumber=1,1.0 out of 5 stars,"These batteries came in the advertised packaging, unlike many of the other 1-star reviews. However, they have little charge in them at all. I'm using mine in a Logitech Pop switch, which is supposed to last nearly FIVE YEARS with fresh batteries. I'm getting LESS THAN ONE MONTH!Based on the reviews, there's clearly something wrong with many of the batteries they send if you purchase them from this listing.",Almost Dead On Arrival,Size: 6 Count (Pack of 1)Verified Purchase,149 people found this helpful,,,919872,
Juan Tejada,/gp/profile/amzn1.account.AEJ3KBRO3JC7LP62T2DNYZUCX5YA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 9, 2016",2,3,https://www.amazon.com/product-reviews/B08K3FZ314/ref=zg_bs_7586146011_cr_2?ie=UTF8&refRID=E5NJDQ9GKKXQCXXDPSHW&pageNumber=1,1.0 out of 5 stars,If i can give this product a zero stars I would.. You will get a fake one instead of the one in the picture..,Please don't buy!! save yourself the headache..,Size: 4 Count (Pack of 1)Verified Purchase,356 people found this helpful,,,323923,
CuriousWolf,/gp/profile/amzn1.account.AF3ZWGOEMVKZWDYKW67DD5KSM6YQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 17, 2017",1,0,https://www.amazon.com/product-reviews/B08K3FZ314/ref=zg_bs_7586146011_cr_2?ie=UTF8&refRID=E5NJDQ9GKKXQCXXDPSHW&pageNumber=1,1.0 out of 5 stars,"I bought these batteries for my electronic weight scale. My previous 2 batteries lasted more than a year. Exact brand and battery model. To my surprise, some of these new batteries I got are not the same. I believe they are defective. Because I had to switch out the new battery that I put in less than day ago. I hope I can get a replacement.",Defective Battery?,Size: 6 Count (Pack of 1)Verified Purchase,106 people found this helpful,200,12,855984,Public
Corina Ruiz,/gp/profile/amzn1.account.AHIYSWH7UPEJAWQ6FQAQMTYGCRRA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 13, 2015",0,2,https://www.amazon.com/product-reviews/B08K3FZ314/ref=zg_bs_7586146011_cr_2?ie=UTF8&refRID=E5NJDQ9GKKXQCXXDPSHW&pageNumber=1,1.0 out of 5 stars,"Bought these batteries for my misfit. They are half dead or half alive, which ever way you look at it. I guess you that for which you paid. Look elsewhere if you want a quality battery.",zombie batteries. buyer beware.,Size: 4 Count (Pack of 1)Verified Purchase,286 people found this helpful,,,1928474,
Mark,/gp/profile/amzn1.account.AE32AF5QNT2XFGJFACY47RO5VNOA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 7, 2018",1,5,https://www.amazon.com/product-reviews/B08K3FZ314/ref=zg_bs_7586146011_cr_2?ie=UTF8&refRID=E5NJDQ9GKKXQCXXDPSHW&pageNumber=1,5.0 out of 5 stars,"Second Purchase  10/2019Energizer Batteries CR2032BP-6Pros:–Price and quantity–Batteries and package as shown in ad, made in Indonesia, expiration 03/2029Cons:–NoneFirst Purchase  03/2018Pros:--Price, quantity, fresh product--Happily, expiration date shows 03/2025--was afraid seller would be pushing products close to expiration--see pic attached.Item on left is current purchase, expiration 03/2025; item on right purchased 10/2015 with an expiration date of 03/2023Use a lot of this model in PCs, calculator, car FOB, wireless door sensors.  Will buy from this seller again.Stamped ""Made In Indonesia"", no mention of Mercury Free so don't know.","Energizer CR2032 Lithium, 3 Volt, 6 Pack",Size: 6 Count (Pack of 1)Verified Purchase,44 people found this helpful,,,17436,
p_brick_417,/gp/profile/amzn1.account.AFIDCRV5Q6QB7WSWGRMSB3QDZDMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 11, 2016",2,4,https://www.amazon.com/product-reviews/B08K3FZ314/ref=zg_bs_7586146011_cr_2?ie=UTF8&refRID=E5NJDQ9GKKXQCXXDPSHW&pageNumber=1,1.0 out of 5 stars,"Like another buyer, I decided to pay a couple of bucks more to get ones NOT made in China and that had freshness dates on the package. Not a lot of reviews on this vendor, but all of them 5-star, so went for it.The batteries I received were anything BUT what the image looks like here. There were four Energizer EC2032 batteries in the grey perferated strip blister cards.There is no freshness date anywhere on the package, and each battery is clearly marked ""Made in China"" on the + side, not Indonesia as claimed by this vendor.",Be cautious - bait and switch,Size: 4 Count (Pack of 1)Verified Purchase,178 people found this helpful,,,882051,
SB,/gp/profile/amzn1.account.AG5B3T7VHIPXB65ARKHCBEKHXS6A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 10, 2016",1,3,https://www.amazon.com/product-reviews/B08K3FZ314/ref=zg_bs_7586146011_cr_2?ie=UTF8&refRID=E5NJDQ9GKKXQCXXDPSHW&pageNumber=1,1.0 out of 5 stars,I did not receive the Energizer CR2043 batteries as packaged in the picture. I cannot say whether or not they are genuine Energizer CR2032 batteries. There is also no expiration date anywhere.,I did not receive the Energizer CR2043 batteries as packaged ...,Size: 4 Count (Pack of 1)Verified Purchase,313 people found this helpful,315,5,2807550,Public
MM,/gp/profile/amzn1.account.AEC22VJTGBP2NSSEFFE4436KBOMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 19, 2017",0,0,https://www.amazon.com/product-reviews/B08K3FZ314/ref=zg_bs_7586146011_cr_2?ie=UTF8&refRID=E5NJDQ9GKKXQCXXDPSHW&pageNumber=2,1.0 out of 5 stars,Tried one of these so far and it was no good. Brand new 3 volt battery reads 2.25 volts with no load. Does not power device. Might send them back.,Not good,Size: 6 Count (Pack of 1)Verified Purchase,53 people found this helpful,,,340895,
Rae Quigley,/gp/profile/amzn1.account.AGHS335GSLM7PLPN3KREXX2UDEFQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 3, 2016",1,2,https://www.amazon.com/product-reviews/B08K3FZ314/ref=zg_bs_7586146011_cr_2?ie=UTF8&refRID=E5NJDQ9GKKXQCXXDPSHW&pageNumber=2,1.0 out of 5 stars,"I purposely came to this post because all of the images made it seem as though it was new and in the proper packaging. I receive it and it's in some weird shady packaging with no expiration date (just a 2012 copyright) and they don't even work in the product they were meant for. A product that had this been in the packaging I intended to buy, 100% would have worked as that's what I was buying before. The images are nothing alike, and no other images are posted on this. So why are you selling this still? Ridiculous.",Misleading - AND doesn't work,Size: 4 Count (Pack of 1)Verified Purchase,96 people found this helpful,,,78635186,
charles w. miller,/gp/profile/amzn1.account.AECJWP4RKDZVGVFGGT5XR5UUTTUQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 11, 2018",0,1,https://www.amazon.com/product-reviews/B08K3FZ314/ref=zg_bs_7586146011_cr_2?ie=UTF8&refRID=E5NJDQ9GKKXQCXXDPSHW&pageNumber=2,5.0 out of 5 stars,"after reading all the negative reviews I still went ahead with my order. the package arrived exactly the same as the picture & the batteries were fresh. I used 2 of them in my garage door remotes. my wife said the battery in her Honda remote were going dead, I opened it & found it took the same battery. I replaced it & no more problems. I am glad I followed my instincts & ordered them I have never had a problem with anything from Amazon.",very good,Size: 6 Count (Pack of 1)Verified Purchase,31 people found this helpful,,,414375,
Monica Rouse,/gp/profile/amzn1.account.AGTZVHTDIHB7ZXJNLJB3IRYE6E6Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 30, 2015",0,1,https://www.amazon.com/product-reviews/B08K3FZ314/ref=zg_bs_7586146011_cr_2?ie=UTF8&refRID=E5NJDQ9GKKXQCXXDPSHW&pageNumber=2,1.0 out of 5 stars,"I returned these because I did not get what I ordered. I got five coin batteries on a blister pack that was cut off of a bulk sheet. There was poorly printed Energizer 2032 printed on it, but no expiration date and the batteries were marked Made in China. Didn't look anything like the picture and when I put one of the batteries in my FitBit it got very hot very fast. I removed it, and packed it up for return. Be wary of this seller!",Possible Counterfeit Product not as described,Size: 4 Count (Pack of 1)Verified Purchase,63 people found this helpful,141,58,843845,Public
Max,/gp/profile/amzn1.account.AHBI7YSBQFU4YIK5AP5LGLEL3O4A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 25, 2020",2,2,https://www.amazon.com/product-reviews/B08K3FZ314/ref=zg_bs_7586146011_cr_2?ie=UTF8&refRID=E5NJDQ9GKKXQCXXDPSHW&pageNumber=2,1.0 out of 5 stars,"I bought what I thought would be the item pictured, having great reviews over the course of time. What I received was drastically different. I do not know the age of these batteries, and am questioning whether the product that I received is counterfeit? I contacted Energizer directly via an online form, including the pictures that I took, and have yet to hear back. Buyer beware!",Not as pictured - fraudulent product?,Size: 6 Count (Pack of 1)Verified Purchase,10 people found this helpful,413,240,7622,Public
barry,/gp/profile/amzn1.account.AHWYSJIMUEIUBSBWKASEA5WOSCGA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 9, 2019",0,1,https://www.amazon.com/product-reviews/B08K3FZ314/ref=zg_bs_7586146011_cr_2?ie=UTF8&refRID=E5NJDQ9GKKXQCXXDPSHW&pageNumber=2,5.0 out of 5 stars,"I need the 2032 batteries in so many things and Energizer is my favorite brand of batteries.  Best with longevity and performance for sure.  So when I saw this Energizer 2032 6 pack it was a must.  Add in the amazing price and it is a steal.  So much cheaper than any store around me and this way I am stocked up.  I use these batteries in my pedometer, weight scale and other household items.  Great brand and a great deal combined.  Highly recommend.  And I truly find the Energizer brand indeed lasts longer than any other.",Value pack is a great deal,Size: 6 Count (Pack of 1)Verified Purchase,13 people found this helpful,,,1476,
V. Armstrong,/gp/profile/amzn1.account.AEGC6ZVQ3O3NNCMQG25XCUTHJK5A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 23, 2019",3,0,https://www.amazon.com/product-reviews/B08K3FZ314/ref=zg_bs_7586146011_cr_2?ie=UTF8&refRID=E5NJDQ9GKKXQCXXDPSHW&pageNumber=2,1.0 out of 5 stars,"I got 4 of 2032, I used my Pulse Load 3V Lithium battery tester to test the new 2032 and got a failed result, I trying a nother new 2032 and also got the failed result, than I tried to find an expiration date on back of the 2032 box but only found the copy right date of 2017, if it was made 2017 and now is April 2019 no wander it failed the test...",Battery tested bad,Size: 4 Count (Pack of 1)Verified Purchase,14 people found this helpful,,,2106044,
Luvnmac,/gp/profile/amzn1.account.AH5Z3MMHAKNNTL5CYMN2EJI5HBDA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 24, 2019",0,0,https://www.amazon.com/product-reviews/B08K3FZ314/ref=zg_bs_7586146011_cr_2?ie=UTF8&refRID=E5NJDQ9GKKXQCXXDPSHW&pageNumber=2,1.0 out of 5 stars,"Amazon is awesome for making sure customers are satisfied. Being a Prime member allows efficient returns and refunds.  These batteries were dead upon arrival.  Wondered why they died so quickly.  Purchased a battery tester and all of them tested on the higher end of dead/replace.  These batteries are used for sensors with security system. I do not suggest buying these as it appears many small cell batteries will often arrive dead.  Always test your batteries upon arrival to avoid missing your window of time for return/refund.  Disappointed but very happy Amazon made it right.  Thank you, Amazon! :)",Dead on arrival but Amazon made it right. :),Size: 6 Count (Pack of 1)Verified Purchase,10 people found this helpful,,,73101,
Nice shopper,/gp/profile/amzn1.account.AG3BJGZXSUQXHMNFXFC73MGYY43Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 12, 2019",0,0,https://www.amazon.com/product-reviews/B08K3FZ314/ref=zg_bs_7586146011_cr_2?ie=UTF8&refRID=E5NJDQ9GKKXQCXXDPSHW&pageNumber=2,1.0 out of 5 stars,Although its been a few months sunmce purchase they were unopened and Last night I actually need 2 and they had no power at all..not even a spark. Can't imagine why but they were apparently duds..wont be buying from this seller again,Try to see work even of you dont need them immediately,Size: 4 Count (Pack of 1)Verified Purchase,14 people found this helpful,,,1531116,
Vidiot,/gp/profile/amzn1.account.AFSAV7CY7SJ2XP6YDUHQDL4EXIQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 5, 2018",0,2,https://www.amazon.com/product-reviews/B08K3FZ314/ref=zg_bs_7586146011_cr_2?ie=UTF8&refRID=E5NJDQ9GKKXQCXXDPSHW&pageNumber=2,5.0 out of 5 stars,"I used to get my CR2032 cells from the BJs Wholesale club when Duracell has coupons.  They worked fine for a while, but devices such as my digital food scale would exhibit low battery problems much sooner than I'd like.  After switching to these Energizers, the scale has been lasting noticeably longer.  It's not an issue of expiration dates since the Duracells I used to get always had a date far out in the future.",last longer than the Duracells I've bought from BJs Wholesale,Size: 6 Count (Pack of 1)Verified Purchase,11 people found this helpful,,,909677,
Rodger Kingston,/gp/profile/amzn1.account.AFVES7DWHBYCYBBMEB2YNJEALAUQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 27, 2019",0,,https://www.amazon.com/product-reviews/B08K3FZ314/ref=zg_bs_7586146011_cr_2?ie=UTF8&refRID=E5NJDQ9GKKXQCXXDPSHW&pageNumber=3,1.0 out of 5 stars,"I bought these batteries for my Omron pedometer. The previous battery lasted for several years of regular use. The first one of these Energizer batteries has died in less than three months. There seems to be no way for me to complain to Amazon.com about this situation, since I gave positive feedback when the shipment arrived; this seems to be the only way I can complain abut these faulty batteries. I would like a refund.",Battery Lasted Less Than 3 Months,Size: 6 Count (Pack of 1)Verified Purchase,11 people found this helpful,,,78465,
Ray C FL,/gp/profile/amzn1.account.AHQIOY53QBSJDO7ERN3KOBRRFMYQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 15, 2017",0,,https://www.amazon.com/product-reviews/B08K3FZ314/ref=zg_bs_7586146011_cr_2?ie=UTF8&refRID=E5NJDQ9GKKXQCXXDPSHW&pageNumber=3,3.0 out of 5 stars,"I would give this five stars, except that the first battery I tried quit after about a day. This was for the remote for a 2014 Honda Odyssey. I had gotten a low battery warning, and had ordered these replacements. The first battery lasted a couple of days, then I got the warning again with the new battery. I tried using the second Honda fob with its original battery, and that worked OK, so the problem had to be in the replacement battery. I removed it, installed a second battery from the same pack, and that one has been working fine for a couple of weeks. I haven't tried the other two batteries. With just one failure, I have no statistics to tell me this happens half the time or once in a thousand. There's no evidence that the batteries are counterfeit, they look exactly like the battery I replaced. If this battery lasts two years like the originals, I won't know for a long time whether the other two are good or not. Replacing a battery in the Honda fob involves disassembling it into several pieces, which I don't want to do for at least another two years. I expect this one to last two years also.",25% Failure Rate?,Size: 4 Count (Pack of 1)Verified Purchase,16 people found this helpful,,,727266,
Tom,/gp/profile/amzn1.account.AGVV45HHT6NHEZD4FZIGTQZPYEZA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 10, 2018",0,,https://www.amazon.com/product-reviews/B08K3FZ314/ref=zg_bs_7586146011_cr_2?ie=UTF8&refRID=E5NJDQ9GKKXQCXXDPSHW&pageNumber=3,1.0 out of 5 stars,"I wouldn't waste your money.  I bought these for my activity tracker, thinking I could save some money after spending $10 at the battery store for two of them.  All four in the package were basically dead (less than 10% life).  To make sure it wasn't an issue with faulty wiring in my tracker, I took two of the four to the batteries store; watched the guy apply the volt meter; sure enough, they were both dead.  Even though only $3, complete waste of money.",I wouldn't waste your money,Size: 4 Count (Pack of 1)Verified Purchase,14 people found this helpful,,,635671,
BEJ,/gp/profile/amzn1.account.AESWYENN7W44Z3IGX2CCO3R7N27A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 29, 2019",0,,https://www.amazon.com/product-reviews/B08K3FZ314/ref=zg_bs_7586146011_cr_2?ie=UTF8&refRID=E5NJDQ9GKKXQCXXDPSHW&pageNumber=3,2.0 out of 5 stars,"I use these for the key fob on my Lojack system for my SUV. I was under the impression that these batteries had a longer life then the standard CR2032 batteries I bought for the last 10 years. LoJack recommends that I change the battery every 6 months but these batteries then last but a couple of months. The first package I got, none of them lasted even a month so I did a return and the replacement batteries weren't much better. I will never buy these batteries again and will continue to buy just the regular ones because they do last 6 months or more.",Longer lasting??,Size: 4 Count (Pack of 1)Verified Purchase,6 people found this helpful,,,78874987,
pendles621,/gp/profile/amzn1.account.AHP4I6755XSOOUUQC4XLRPAIH2GA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 29, 2017",0,,https://www.amazon.com/product-reviews/B08K3FZ314/ref=zg_bs_7586146011_cr_2?ie=UTF8&refRID=E5NJDQ9GKKXQCXXDPSHW&pageNumber=3,1.0 out of 5 stars,"I wasn't paying attention so I thought these were DURACELL batteries. They are NOT. The word energizer and the tricky packaging is designed to fool the customer. They are packaged with a VERY similar color scheme as Duracell products. Buyer beware, do NOT buy. I have been buying these for a few months and wondering why they kept dying so quickly!! Duh! I was NOT paying attention. I have cancelled the subscription to this product and I am now hunting for Duracell. I have found a 4 pack for 8.29 on Amazon. Since those truly ARE Duracell I am happy to pay an additional 3 dollars. I will cross my fingers that they will be good quality.",BEWARE of tricky packaging. Don't buy these.,Size: 4 Count (Pack of 1)Verified Purchase,13 people found this helpful,,,2016308,
Nicole,/gp/profile/amzn1.account.AHLWF3TR77UMKAQQ4XT3E56UYJEQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 6, 2020",0,,https://www.amazon.com/product-reviews/B08K3FZ314/ref=zg_bs_7586146011_cr_2?ie=UTF8&refRID=E5NJDQ9GKKXQCXXDPSHW&pageNumber=3,1.0 out of 5 stars,"When I purchased these batteries I thought, that's a great deal, a six pack of these Energizer CR2032 Batteries for under $6.00, less than $1.00 per battery.  Great Price, from Energizer, great brand RIGHT!Under normal use these batteries should last 2-5 years.  It states in the add it will hold power for 10 years.NOT THIS PACK.  I did not even get 10 months. This was delivered in February.  I have already had to throw three out as they died within 6 weeks of use.  Today I put the 4th one into a calculator, and immediately upon turning it on, the device told me that the battery was LOW.I thought it was me, I was suspicious.  I did not want to write a bad review, but I now realize that these batteries must be old, or something was wrong with them.The price is right, but you will likely have to replace them much sooner than you expect.",A 6 pack of weak batteries,Size: 6 Count (Pack of 1)Verified Purchase,3 people found this helpful,,,1629409,
Kate B.,/gp/profile/amzn1.account.AGFEEXVOGUEB7DBHFCYZPW6QQ74A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on November 20, 2019",3,,https://www.amazon.com/product-reviews/B08K3FZ314/ref=zg_bs_7586146011_cr_2?ie=UTF8&refRID=E5NJDQ9GKKXQCXXDPSHW&pageNumber=3,5.0 out of 5 stars,"I needed these batteries for Christmas decorations and ordered these due to the brand and also the fact it was a good value! The batteries come in a package that is back with a reinforced plastic/foil. Each battery is separate from the other so you have to open each one individually. It was difficult for me to open and required me using a knife. While a little inconvenient, as a family with 3 young kids in it and 1 of those who puts everything in their mouth, I wholly appreciate the fact it would be unbelievably hard for them to get into the package. And the fact each battery is kept separate, even if they got in one, they couldn't get to any other battery without somehow getting the next spot open.Each battery also comes with a protective sticker to peel on the side you need to put down.Worked amazing for Christmas ornaments and would recommend",Child safe package and good value for a good brand!,Size: 6 Count (Pack of 1)Verified Purchase,3 people found this helpful,,,756,
DBF,/gp/profile/amzn1.account.AGXN22KRDHWJGALCDBUNTWQR2UEA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 12, 2019",0,,https://www.amazon.com/product-reviews/B08K3FZ314/ref=zg_bs_7586146011_cr_2?ie=UTF8&refRID=E5NJDQ9GKKXQCXXDPSHW&pageNumber=3,1.0 out of 5 stars,Normal 2032 batteries last about one year in my bicycle computer. These are lasting two weeks. Expiration date one package lists 2025.,Very short life.,Size: 6 Count (Pack of 1)Verified Purchase,15 people found this helpful,,,3692184,
Gorlank,/gp/profile/amzn1.account.AESXTVC2LYGEFCXKTVHMFIJQ7W3A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 9, 2017",0,,https://www.amazon.com/product-reviews/B08K3FZ314/ref=zg_bs_7586146011_cr_2?ie=UTF8&refRID=E5NJDQ9GKKXQCXXDPSHW&pageNumber=3,1.0 out of 5 stars,"Warning: they were made in Indonesia with no expiration date.I bought them for my Vicks Thermometer, but they don't fit (too big).","Warning: made in Indonesia, no expiration date",Size: 6 Count (Pack of 1)Verified Purchase,17 people found this helpful,,,292541,
Christopher Boudreaux,/gp/profile/amzn1.account.AHABQRT22DEJ2LAFUYN3G2W7D3ZA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 1, 2020",0,,https://www.amazon.com/product-reviews/B08K3FZ314/ref=zg_bs_7586146011_cr_2?ie=UTF8&refRID=E5NJDQ9GKKXQCXXDPSHW&pageNumber=3,5.0 out of 5 stars,"Title says it all....such a great deal compared to stores. There's a drug store very near me that I buy lots of different things from. The name rhymes with FallPreens.Now at this drug store the price for this exact same package of batteries is, as of yesterday, $18.99! They want $19 for 6 batteries, or $7 for just one, and I got all 6 for just over $5. How this store can get away with such overpriced items is beyond me. Maybe they're circling the drain of bankruptcy and overriding everything in some desperate attempt to stay afloat I don't know. But what I do know is that id NEVER buy batteries from them. Another big box retailer that rhymes with FallWart is also insanely overpriced. They buy for far less than what I paid here on Amazon yet want 1000% markup profit plus some. From here on out, whenever possible, I'll be buying everything I can online and staying far away from the cultures that call themselves retailers. They are robbing us blind and this is but one example. I love these batteties and this size typically works in everything i need a cell of this type in. The numbers CR2032 correspond to the actual size of the cell itself. They're 20mm wide and 3.2mm thick hence 2032. Almost all batteries follow this same rule. The big 18650 batteries are 18mm wide and 65mm long as an example. These are such a good price I bought 2 packs!",Such a great price compared to brick and mortar stores,Size: 6 Count (Pack of 1)Verified Purchase,One person found this helpful,,,78460225,
