author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,helpful_votes,total_review,ranking,visibility_status
Jamie,/gp/profile/amzn1.account.AHQRUMMBNH5Z4EVFKPHDC4GJG3UQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 10, 2018",1,2,https://www.amazon.com/product-reviews/B08Q1C9V3N/ref=zg_bs_7147443011_cr_4?ie=UTF8&refRID=T3HYBXH9624H931D54J8&pageNumber=0,5.0 out of 5 stars,"I hate Crocs. My husband wears them and I think they look absolutely ridiculous. When I was pregnant, I bought all sorts of adorable leather shoes for our son and couldn't wait for them to fit. Well, at about 9 months, I tried a pair of the Frye sneakers on that I'd been so excited about and guess what?! I couldn't get his fat little foot in there. Same thing with the infant UGG booties I'd bought. Finally my husband suggested Crocs and I reluctantly ordered a pair. They went right on my son's chubby little foot and I hate to admit it, but they're adorable! While I still vow to never buy a pair for myself, they're the perfect kids' shoe...you can't deny it!",I said I'd NEVER buy Crocs...,Special Size: Toddler (1-4 Years)Size: 5 ToddlerColor: BlackVerified Purchase,195 people found this helpful,1669,395,4220,Public
Jenny K,/gp/profile/amzn1.account.AH4Z6IBCYGDAUNED5HBZ3ZQUOOTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 25, 2017",4,2,https://www.amazon.com/product-reviews/B08Q1C9V3N/ref=zg_bs_7147443011_cr_4?ie=UTF8&refRID=T3HYBXH9624H931D54J8&pageNumber=0,4.0 out of 5 stars,"My 13 month old daughter (18.5 lbs, 30"" tall) wears a size 4 shoe. We have the Crocs Littles Clog in a size 2-3M   crocs Littles Clog (Infant/Little Kid),  Ballerina Pink, 2-3 M US Infant           which fits my pre-walker perfectly with no room to grow. So I bought the Kids' crocs classic in a size 4 and although its a little bit bigger, she will outgrow it pretty soon. See the pics for size comparison. Other than that, the shoes are awesome, no blisters, seems comfortable and my baby is always excited to put them on.",she will outgrow it pretty soon. See the pics for size comparison,Special Size: Toddler (1-4 Years)Size: 4 ToddlerColor: PepperVerified Purchase,150 people found this helpful,304,92,118212,Public
Stipping,/gp/profile/amzn1.account.AEGUYFBC7UZF3CJTVR5CO23IQEBQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 31, 2017",2,2,https://www.amazon.com/product-reviews/B08Q1C9V3N/ref=zg_bs_7147443011_cr_4?ie=UTF8&refRID=T3HYBXH9624H931D54J8&pageNumber=0,1.0 out of 5 stars,"I ordered a size 8. When they arrived I immediately noticed how small they looked and compared  them over to my daughters other  size eights Crocs that she's had for a while.  They are at least 1  size smaller than her current size 8. When she tried them on she said @ there's something stuck in there"". I checked and there was not.  They were just too small. Everything on the shoe looks legitimate like it's real Crocs ( not that I would know the difference) but there's something definitely wrong. they are way too small and absolutely not a true size 8.",Not true to size! Returning ASAP!,Verified Purchase,85 people found this helpful,136,65,408006,Public
Sarah,/gp/profile/amzn1.account.AGXHNMRFJ5YWNJQA4DTWYPYIRWUA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 26, 2019",1,0,https://www.amazon.com/product-reviews/B08Q1C9V3N/ref=zg_bs_7147443011_cr_4?ie=UTF8&refRID=T3HYBXH9624H931D54J8&pageNumber=0,5.0 out of 5 stars,I can’t believe I waited so long to buy these shoes for my little one. I bought them primarily for wearing to and from her swim lessons. They have such a nice grip on the bottom I knew I wouldn’t have to worry about her slipping walking around the pool. Little did I know these would become her FAVORITE shoe. We can’t leave the house each day without her asking where her pink shoes are. I sized up when purchasing so she could grow into them. I purchased them in March. She’s been wearing them for four months and could still keep wearing them. I love crocs for kids.,You Need These!,Verified Purchase,65 people found this helpful,108,19,364237,Public
xtopherous,/gp/profile/amzn1.account.AHA4D7WBJU2N3PWEYODMPIPM6XMQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 13, 2020",0,0,https://www.amazon.com/product-reviews/B08Q1C9V3N/ref=zg_bs_7147443011_cr_4?ie=UTF8&refRID=T3HYBXH9624H931D54J8&pageNumber=0,5.0 out of 5 stars,"These run a little large on my daughter who has big feet, but not wide. She wears a 13 sneaker and was still fitting in her 11 Crocs though they were finally getting small. I probably could have gone with a 12 and been fine but I want her to grow into them since the other pair lasted 2 years and that's rare for kids shoes! They're big on her but I love the ""Croc locks"" that keep them on her feet and the color is vibrant. These are my 2nd pair, great for gymnastics, slide on and off easily and she wears them outside often and I can just hit them with the hose or the faucet when they get filthy. Her only complaint is that her feet get sweaty, especially when they are new without socks on.","Run a bit big, but great quality",Verified Purchase,39 people found this helpful,195,93,78653849,Public
Jenny K,/gp/profile/amzn1.account.AH4Z6IBCYGDAUNED5HBZ3ZQUOOTQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 25, 2017",4,1,https://www.amazon.com/product-reviews/B08Q1C9V3N/ref=zg_bs_7147443011_cr_4?ie=UTF8&refRID=T3HYBXH9624H931D54J8&pageNumber=0,5.0 out of 5 stars,"I love these shoes. They stay put, don't hurt my daughter's feet and she's always excited to put them on. For ref: my 13 month old daughter who is just learning to walk wears a size 4 shoe and the 2-3M fits her perfectly with no room to grow. I also purchased the next size up in the Crocs Kids' Classic K Clog size 4   crocs Kids' Classic K Clog, Pepper, 4 M US Toddler           and the size difference is pretty slight. Please see pics for reference.",I love these shoes,Special Size: Infant (0-12 Months)Size: 2-3 InfantColor: Ballerina PinkVerified Purchase,56 people found this helpful,,,1019855,
Amber,/gp/profile/amzn1.account.AFR4WTNALGGLFEGN7LPYJHJEO6OA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 20, 2019",0,0,https://www.amazon.com/product-reviews/B08Q1C9V3N/ref=zg_bs_7147443011_cr_4?ie=UTF8&refRID=T3HYBXH9624H931D54J8&pageNumber=0,4.0 out of 5 stars,"Ordered the lavender and they are super cute BUT my daughter is 10 and wears a big kid size 5 and these are huge on her. They fit more like a size 7-8 women’s, definitely size down!!!",Sizing runs big!!!,Special Size: Big Kid (8-12 Years)Size: 5 Big KidColor: LavenderVerified Purchase,25 people found this helpful,,,118212,
JoMag,/gp/profile/amzn1.account.AEDY5WNISW4CCPZ5NIIUQILJKEZA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 7, 2018",0,0,https://www.amazon.com/product-reviews/B08Q1C9V3N/ref=zg_bs_7147443011_cr_4?ie=UTF8&refRID=T3HYBXH9624H931D54J8&pageNumber=0,5.0 out of 5 stars,"I have been wanting a pair of purple aka amethyst clog Crocs for a long time. I have many other colors of clog Crocs plus their look-alikes. I could not find the purple aka amethyst in any stores where I live. I saw them online. But, I was unsure about how to choose my size because could not find the size numbers as the same on the soles of the Crocs I have. I happened to go to an Outlet Crocs store recently which did not have what I wanted. But, the very nice saleslady in the store told me how to choose my size from the online size charts.Anyway --- I am VERY pleased and satisfied with my purple aka amethyst clog Crocs. I may (not sure) order a pair or two of the other colors that I do not have.Many THANKS for having the color & size of clog Crocs that I have been wanting.  Sincerely --- JoMag",the very nice saleslady in the store told me how to choose ...,Special Size: Little Kid (4-8 Years)Size: 3 Little KidColor: AmethystVerified Purchase,44 people found this helpful,38,21,1794175,Public
Matt Prime,/gp/profile/amzn1.account.AE23YGQQZQ7OZW3FTLF27T32PHHA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on July 1, 2018",1,0,https://www.amazon.com/product-reviews/B08Q1C9V3N/ref=zg_bs_7147443011_cr_4?ie=UTF8&refRID=T3HYBXH9624H931D54J8&pageNumber=0,5.0 out of 5 stars,I loved this shoes! Color and the size are same as it described. look like it will last since the quality is good. I also like that you can adjust the strap when her toes gets bigger. Good  protection from toe scracthes and great for her to use at the beach!,My daughter loved it. Very cute and comfy to her feet.,Special Size: Toddler (1-4 Years)Size: 5 ToddlerColor: AmethystVerified Purchase,29 people found this helpful,46,13,1314017,Public
notoriousnyc,/gp/profile/amzn1.account.AHI65PZH253KBJHSV4J46RUGCA3Q/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on May 22, 2018",0,3,https://www.amazon.com/product-reviews/B08Q1C9V3N/ref=zg_bs_7147443011_cr_4?ie=UTF8&refRID=T3HYBXH9624H931D54J8&pageNumber=0,5.0 out of 5 stars,"We purchased these shoes for our beach vacation but have been using them all summer long at home! They are really the best water shoes for young children. I appreciate how this clog has a wide, sturdy base and comfortable sole. The plastic is legit and holds up to normal wear and tear. The shoe itself is well made. Our friends purchased an imitation brand, but the plastic has worn down so quickly, while our crocs still look brand new with daily wear. It's definitely worth paying more for the actual ""crocs"" brand.  We previously tried Natives but they were not suitable for my child - too snug and not wide enough, not really adjustable. The classic croc clog also allows for more ventilation and easier water drainage than Natives (prevents stinky feet/shoes and blisters).  The back strap also allows for some give and stretches a bit.  These shoes are great for playing in the park, pool, home, waterpark or at a water table!  Highly recommend them!",Great water shoe for toddlers!,Special Size: Toddler (1-4 Years)Size: 4 ToddlerColor: Candy PinkVerified Purchase,18 people found this helpful,38,54,586005,Public
