page_url,ranking
amzn1.account.AG4DZFWSJF3B5H33UPG5UICJPVOA,589882
amzn1.account.AHZKHJ2OM3ZMNUNVEMPZNO65ZNCQ,252916
amzn1.account.AFJLZYBX26XAJOOOBNATGQ7FUTRQ,655856
amzn1.account.AELEQ2KCIH7LLI32UKH4B447HQKA,196
amzn1.account.AHX55EZ6EG7F4EB5RACD3OHVL5FQ,1109331
amzn1.account.AGZOF3Z7FRG7OCLDSPIPBHBRNKLQ,1443296
amzn1.account.AF5VPNY6T6MXC7VNEP6SCBAAKQDA,298771
amzn1.account.AGV74NQHJMSO3FOH5LPDREQKUPPA,20249
amzn1.account.AHRGTIMQO47C2VLJILIDU53BQKSA,393
amzn1.account.AF4PF6RXE4M5VEVDB4IFCD4JEADQ,121918
amzn1.account.AFFP55YBQ4JUQMQCA2ZO6XRAEOBQ,1468309
amzn1.account.AHOIWYJVHGFNVD6K4Y43CGL56IAQ,5479
amzn1.account.AHXYWUODXIEFTJWOXXL4QWR7VHPQ,1649647
amzn1.account.AFIG557OQQSCF5VO3WLMIPJFCEUA,1222168
amzn1.account.AEDAEWPOGCQQE73XTUGQGFQY2TRQ,9076
amzn1.account.AF2N2LO6GQTFUSMP4XZLD2Y44HFA,141523
amzn1.account.AGLCJWPZT7NWTD2JMEEPK63RP4AQ,2986908
amzn1.account.AFKVMEGOUZVXEZGH2AKIF7ZQ4SRA,1163070
amzn1.account.AFR7TDOL5MIRZLRE7YWFJKV4RI2Q,2716823
amzn1.account.AEQFPJRDBJ5CWHZX6MY4CUX5APGQ,3324096
amzn1.account.AGB5GJWLF7Z2YHHB4T4OXESUCF4Q,2588799
amzn1.account.AFLF3LGNJYZEDI4ZNIBSWVLPYU7A,13861572
amzn1.account.AGWFDBSZBXOHSJIW5BF6T3MODF7Q,161486
amzn1.account.AF564BIH3KCVLMZ4R7YPKFOPHZFA,1657375
amzn1.account.AHN7RX6YD2YASOBBME67MFFITKFA,153236
amzn1.account.AG4HDXHHL6V5LTCR7JC75E2VW5JA,32092
amzn1.account.AFLDZKJF43Y2DIKR3RZ2GPDJBX4A,1947330
amzn1.account.AEVN3Q5HEVSNYA56N7ZEO4UK356A,13138335
amzn1.account.AEPCG3UNIIVEIPQOGOOEM5YEWJDQ,1576610
amzn1.account.AFWGGMU4FU4DLIGSXWVCUIWU747A,19099
amzn1.account.AHWGMXPIOQHJYE7E3K5ASQPEPJFA,4932408
amzn1.account.AHENSE7F7BZYCTINLD232DKMDI6Q,703205
amzn1.account.AFQEIYGXQNZFJOK3RXGCE4KLFR3Q,5025990
amzn1.account.AE4KVJS4KHW43AXYWWY2PLZDWDKA,6256504
amzn1.account.AE4KRD2MFVXCAW5TBPX7YUKHC5VQ,6300002
amzn1.account.AGW3J3UTDZJXRSZG73JBUIRHV7UA,2330024
amzn1.account.AFTY3KXZDFYXHBFPU6E4BC6DO6MA,15216049
amzn1.account.AHTFBT5FMLTF7A2NN6MJVPNPWL3Q,1228139
amzn1.account.AE42BIGITHR4IIAO2OS45PQVVDHQ,28057
amzn1.account.AFEK4RL5WHLUQMGVZOLRITOLXF4A,29872
amzn1.account.AGNHYKJAYDA7QLTUEUE6ULRAUF2Q,18895865
amzn1.account.AGIMRJGXTQP6F6Q4TO2FPV2TKNUA,86676678
amzn1.account.AF2AWMH2KNDRJNSRN3DKAVTXBFIA,6031
amzn1.account.AFR4UPJEK6BA6RFNTW2CBLVRNZ3Q,14255
amzn1.account.AH444FU4AA22UOFOCHWTX23VMD2A,1518845
amzn1.account.AH5DWMJDXBY4BMERX52SZ33NZTNA,1582464
amzn1.account.AH44DNW3V2VLNSYU5JKV7AKS2JUQ,2503926
amzn1.account.AGJWCCMVFXWV4QSGEOWDMFTIFVQQ,1897463
amzn1.account.AETY3WUIF5LI2NKSHNKNERTHMD4Q,5749596
amzn1.account.AGRAKBXZFLNJDQZMTAOWVW6RKMMQ,86684570
amzn1.account.AEIXPKJWOGB56B6Q4RACWU3PUQDQ,1256309
