page_url,ranking
,
amzn1.account.AFQ5LPSGUC5L6HIAXVTMWQBBSIQA,170243
amzn1.account.AEJMCHPCZ4TE7LT6NSUFNKSU32RQ,400487
amzn1.account.AG4PQKFWUTIJ7DKWSRIWBL7OFVEQ,553304
amzn1.account.AFXRHQAOMU6VLRV7DMBWJNCYNBCA,431714
amzn1.account.AHWFNEEUSCRNHZBG6ZNAD6UKQHFQ,114849
amzn1.account.AEENYC5IID7Z2QB5AP56UTLDV3FQ,1579240
amzn1.account.AFUABZMIJC7HWZ25NTKSMID2BYUA,7783669
amzn1.account.AGLWZB4O3FRPCUPZZTTNK4FN37VA,168151
amzn1.account.AHMENK7YBAY46HZ23BV4LLKMLPDA,407943
,
amzn1.account.AFQ5LPSGUC5L6HIAXVTMWQBBSIQA,170243
amzn1.account.AEJMCHPCZ4TE7LT6NSUFNKSU32RQ,400487
amzn1.account.AG4PQKFWUTIJ7DKWSRIWBL7OFVEQ,553304
amzn1.account.AFXRHQAOMU6VLRV7DMBWJNCYNBCA,431714
amzn1.account.AHWFNEEUSCRNHZBG6ZNAD6UKQHFQ,114849
amzn1.account.AEENYC5IID7Z2QB5AP56UTLDV3FQ,1579240
amzn1.account.AFUABZMIJC7HWZ25NTKSMID2BYUA,7783669
amzn1.account.AGLWZB4O3FRPCUPZZTTNK4FN37VA,168151
amzn1.account.AHMENK7YBAY46HZ23BV4LLKMLPDA,407943
amzn1.account.AHGBWLPVIJF6VTM3TIOPC5SBLDQQ,42053
amzn1.account.AEEFU4WNOCX2UJZXI2P4N4QDGHBQ,1045408
amzn1.account.AEET4M7NSG66XI7GHXG52JYK323Q,2670530
amzn1.account.AHBKKQXXBFKIA5JUPFW5VFJJM2VA,9265
amzn1.account.AF6I3AG5IKQQRA6PT54CNOFZTTPA,381440
amzn1.account.AGALR5EDVVBIYREHVWZ2M2JZUH7Q,456815
amzn1.account.AG4BYEIPW6OI552NFLUQTOT4I2JQ,1415139
amzn1.account.AFD6QAYDGR3KOGQJKQVFMICOEM2A,172300
amzn1.account.AECT3RBGL3P4FSEAJG36NVDY5XPA,82021
amzn1.account.AGUWSWFI3JV7Q5JLASF6MFM6AU4Q,1607914
amzn1.account.AGU24XEMN5HWJOSGEV3S6X2V6YQQ,4003550
amzn1.account.AE4CZE4DGEFZ4NOQC4WGRNENQT4Q,1745
amzn1.account.AFANDB6AZ4MVVUR77NQ4Q6MO2XVQ,1636477
amzn1.account.AEIWHGEALPDJFFAZWMWRNIG54UMQ,801843
amzn1.account.AG26EFNGF4Y2N3LC7XZRNLTG4P4A,1783
amzn1.account.AEY65LNJ3OD4JDKG3BVAIJ6IE5TA,7313015
amzn1.account.AH3MPABMB63ZEWDXORBK2RK2GIKA,24748
amzn1.account.AGM6B5J5CSOVX7S3BPO54CKIBMNA,147161
amzn1.account.AEMFKCSWGTDFWYGIC7FQU5L3GYBQ,631785
amzn1.account.AFVFWT4N2BVALOYMHWQXSV6BEE5A,135082
,
amzn1.account.AGBTQW72CTNY2AF42RWM7OWEHF3A,2475524
amzn1.account.AFBPU7WUB7BNBR7K57KDR64U5BKA,1352606
,
amzn1.account.AHDMD36ADZSLSR7OFU6WD6JR5VIA,2363093
amzn1.account.AHI6T6JTR5QHHKZ7ZV3RN5J4JHOA,1048242
amzn1.account.AE42UNHZE2Y4UNF6TR2DAHUTNGMA,146546
amzn1.account.AH4WXKWFEXIIC4OQZQ33MEEMDQLA,1152205
amzn1.account.AHC2VWXV5DZKZNY23YTBR2IEGERA,1246814
amzn1.account.AHTUPO3DD2BFHSCEYDW46V2RFFZA,644031
amzn1.account.AGLLPB65XGPV4RDRXCFHZLDUSEJA,5941700
amzn1.account.AGZL236TGWJLGTFRBE3KQWAQ5FBQ,4888041
amzn1.account.AG2XXXEJL3LJHGTHXD5SS4XRBTZQ,8009761
amzn1.account.AECYJFZBFBBOSUIQJDDECU5IV4BQ,2717150
amzn1.account.AE5ZWQZZUKLL5HIQ7R3LQ7SB6Z6A,5723765
amzn1.account.AH4B3WBGUF3AMTQJDFZZ6JM3XK6Q,562060
amzn1.account.AG4ECTCUM6BNB7ENF4IZQFRP7RNQ,2277235
amzn1.account.AF6NS655SETSIMF7RW2KDIVPW74A,90870
amzn1.account.AHK3XBQIITNQ7CTNT3M6S3F5UA6Q,7148223
amzn1.account.AGPTCUWTO5GMOPDEBACLNM7GWKUA,3899671
amzn1.account.AFZDRIPVT4GZPQC5HX375LSJINBA,61566
