author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,helpful_votes,total_review,ranking,visibility_status
Regular Online Shopper,/gp/profile/amzn1.account.AHOD5KYCOLHFHT2FTT4X2TCSSSYA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 25, 2019",0,17,https://www.amazon.com/product-reviews/B07N5K5K2S/ref=zg_bs_home-garden_cr_12?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,5.0 out of 5 stars,"I needed a new liner that was not made of fabric (because my fabric one seeped/leaked) and that didn't billow from the steam.Found this for just $9.99, and I'm really happy with it. The material is sturdy but light. The magnets at the bottom of the liner are weighty enough to keep the liner from billowing but not huge and obnoxious-looking.I ordered the frosted version, and it's just right in terms of how ""frosted"" it is and the way it looks.The bonus: My package (can't guarantee what will be in yours) included a flyer for free samples of other products. I completed a 30-second-ish survey, was required to give NO credit card info, didn't have to sign up for anything, and didn't have to leave this review. Just rated the shower curtain liner ON THEIR SITE (again, not required to review on Amazon), gave a couple of lines of feedback, and entered my shipping address (for the free samples). Great customer appreciation. ""Tell us what we can do better, and we'll send you something free with no catch.""5 stars.",Great liner at a great price.,"Size: 72"" W x 72"" HColor: FrostedVerified Purchase",628 people found this helpful,,,18867,
tln,/gp/profile/amzn1.account.AFNEC377EK2VUWFDTHFQ7XH5BUXA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on February 18, 2018",3,14,https://www.amazon.com/product-reviews/B07N5K5K2S/ref=zg_bs_home-garden_cr_12?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,5.0 out of 5 stars,Not too thick that it's hard to move around and not too thin that it creeps up on you in the shower.,Perfect thickness,"Size: 72"" W x 72"" HColor: ClearVerified Purchase",747 people found this helpful,,,33836,
Homer's Mom,/gp/profile/amzn1.account.AFEEVTVK2KAA4BUU5NXMWPZDDGGQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 9, 2015",0,17,https://www.amazon.com/product-reviews/B07N5K5K2S/ref=zg_bs_home-garden_cr_12?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,5.0 out of 5 stars,I have waited 6 months to write this review and my original liner looks as good as the day I hung it. No mildew or rust. The magnets have weight and stick well to the bath. So I replaced the liner in my other bathroom with another one of these. Excellent value and quality.,Bought another one ...,"Size: 72"" W x 72"" HColor: FrostedVerified Purchase","1,015 people found this helpful",465,30,114250,Public
D. Mikels,/gp/profile/amzn1.account.AHLGHDTNSAM4ADJ5YIFIOQ4UQMOQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 24, 2017",0,8,https://www.amazon.com/product-reviews/B07N5K5K2S/ref=zg_bs_home-garden_cr_12?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,5.0 out of 5 stars,"My previous shower curtain was disgusting.  Purchased from the infamous ""W"" store (whose door I never darken again), I allowed it to accumulate mildew and soap film until it was physically revolting to take a shower.  I loved the many positive reviews for the LIBA SHOWER CURTAIN, so a few weeks back I purchased this item, and enthusiastically hung it in my tub.  I shower daily (sometimes more than once), and after several weeks the LIBA is just as clear, clean, and fresh as the day it was hung.  Plus I love that it's totally clear and lets the bathroom light in.  Talk about illuminating!Time will tell if this curtain will continue to repel bacteria and be mildew resistant.  But so far so good!  I really lather up when I shower, so plenty of soap goes on this liner; thus far it looks as clear as the day it was delivered.  Clean and clear:  That's what a shower curtain should be.  Looks like the LIBA SHOWER CURTAIN is right on the money.~D. Mikels, Esq.",You Shouldn't Be Disgusted When You Take A Shower,"Size: 72"" W x 72"" HColor: ClearVerified Purchase",574 people found this helpful,1048,97,12522,Public
m.r.,/gp/profile/amzn1.account.AFMAX6N7BDX5ONIJOOCJV74KHDSA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 16, 2018",0,8,https://www.amazon.com/product-reviews/B07N5K5K2S/ref=zg_bs_home-garden_cr_12?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,4.0 out of 5 stars,"This is a fairly heavy plastic vinyl, with none of the toxic scent of most vinyl shower curtains.  No scent out of the package and none while showering.  I would give it 5 stars except that it only comes with 3 magnets and they are not strong enough to prevent billowing of the curtain while you are showering.  I sort of ""paste"" it to the tub by running the shower head the length of the bottom of it and this does a fairly good job of keeping it from coming lose and sticking to you (yuck!!!).  It was a good price, but definitely needs more magnets.  I asked the company if they made the same curtain with more magnets, or ANY curtain with more magnets, and, alas, no.",Strong plastic, no toxic fumes, not enough magnets,,,102388,
Happy Camper,/gp/profile/amzn1.account.AFQK7ECESXBWWOOLAUQ4VRZ4R7FA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on March 15, 2019",0,4,https://www.amazon.com/product-reviews/B07N5K5K2S/ref=zg_bs_home-garden_cr_12?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,5.0 out of 5 stars,"I prefer woven fabric shower curtain liners.  When I opened the packaging, I was happy to see that it was well-made.  I'll update this review if anything changes, but it looks very durable, with clean edge and buttonhole seams - definitely not slipshod.",Nice quality,"Size: 72"" W x 72"" HColor: White FabricVerified Purchase",403 people found this helpful,378,13,24658,Public
Amazon Customer,/gp/profile/amzn1.account.AF2XGSDLAZOJKZQD5RML6UJ2INWA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 28, 2018",0,5,https://www.amazon.com/product-reviews/B07N5K5K2S/ref=zg_bs_home-garden_cr_12?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,5.0 out of 5 stars,"This is a great heavy duty shower liner. For the price, you get great quality, I only need to replace this about once a year and they stay in awesome shape. Would recommend.",This is a great heavy duty shower liner,"Size: 72"" W x 72"" HColor: ClearVerified Purchase",421 people found this helpful,,,92362,
Peter,/gp/profile/amzn1.account.AHJNQTOM6J3HPOZWX6GJDP6K72EQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on June 27, 2019",0,4,https://www.amazon.com/product-reviews/B07N5K5K2S/ref=zg_bs_home-garden_cr_12?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,5.0 out of 5 stars,It’s just what I expected.,Just what I expected,"Size: 72"" W x 72"" HColor: White FabricVerified Purchase",370 people found this helpful,,,171545,
BT,/gp/profile/amzn1.account.AEKQ64UZXXE3TVWPCTVWIZANCSTA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on September 3, 2018",0,1,https://www.amazon.com/product-reviews/B07N5K5K2S/ref=zg_bs_home-garden_cr_12?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,1.0 out of 5 stars,"Bought based on positive reviews but was very disappointed in quality and feel.  This shower curtain liner is very rigid and not flexible and also seems short as I have installed on a standard height rod and it is only about 2"" tops into tub which may lead to water leakage.Will be returning.",Very RIGID and not standard length,"Size: 72"" W x 72"" HColor: ClearVerified Purchase",105 people found this helpful,1467,107,433154,Public
Kat H.,/gp/profile/amzn1.account.AFGDCHJIDKCMGGKCO2UL3VR3YTQA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 23, 2018",0,3,https://www.amazon.com/product-reviews/B07N5K5K2S/ref=zg_bs_home-garden_cr_12?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,5.0 out of 5 stars,"This product does what it says. I've had another brand of a mildew resistant shower curtain before this one. I kept throwing the old one in the washing machine to find that I've had to wash the curtain every two months due to mildew buildup that caused the area by my shower to smell awful. I finally had enough and looked for mildew resistant curtains on Amazon to find this one. I have had this curtain in my shower for over six months now, and I haven't run into any issues with mildew or mold. The curtain stays clear, due in part to rinsing it after every shower. Overall, I am very satisfied with this product.",Perfect. No more funky smells.,"Size: 72"" W x 72"" HColor: ClearVerified Purchase",406 people found this helpful,,,198629,
