author,author_profile_url,date_of_review,image_num,num_of_comments,pageURL,rating,review_content,title,verified,votes_helpful,helpful_votes,total_review,ranking,visibility_status
HomeForSummer,/gp/profile/amzn1.account.AFAZPUF3BNSPIDR5MUDZYBZMKQYA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on August 29, 2018",0,51,https://www.amazon.com/product-reviews/B085HK33BN/ref=zg_bs_home-garden_cr_5?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,1.0 out of 5 stars,"I was loving my instant pot, bragging to all about it. Making my dogs food was so easy! I put in the food and the water, pressed pressure cook and like magic it was just done when it beeped.  Getting used to the pressurization wasn't hard at all.  It wasn't really difficult to use.Until last week... My pot just didn't turn on! I tried other outlets and other electronics so it was not the outlet. I moved the pot to a different outlet, nothing. It was the pot. The manual gave explicit troubleshooting directions based on what is wrong. Not turning on meant that the circuit board blew and it advised to call support, which I did. When you call, an automated message tells you to go online and put in a ticket- because this is clearly a company that doesn't want to be bothered 'talking' to their customers. So I do this. A day later no response! So I email again asking for help. This time I email them the same information. Didn't hear from them until Friday! I needed my pot fixed on Tuesday.... On Thursday though I had had enough and called Amazon who thankfully knows how to treat customers and were able to refund me the product and I shipped it back to them. The pot was less than a year of purchase and within warranty after all! Even Amazon tried getting ahold of the company and they couldn't get a response!Beware of this brand! I would look for another pressure cooker because when it breaks, and it likely will, you won't be getting help for days....My first attempt to post this review Amazon blocked for an unknown reason. It should be posted though people should know what kind of company this is...",Bad customer service!,Size: 8-QTStyle: DuoPattern Name: Pressure CookerVerified Purchase,"7,284 people found this helpful",7353,109,5282,Public
marvin gonzalez,/gp/profile/amzn1.account.AE6XQECWMV6B4NWWRX5OG2EJZMNQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 3, 2018",1,27,https://www.amazon.com/product-reviews/B085HK33BN/ref=zg_bs_home-garden_cr_5?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,1.0 out of 5 stars,"Im not sure what happened here, because i know this is a good product. I attempted to cook food, my first run, and 15 minutes later The entire machine is in smokes. Quickly filled my kitchen and house with a horid smoke of burnt plastic. There were sparks coming off the bottom of the machine while it was turned on . I quickly unplugged the machine and turned it over to inspect the counter . I ask myself what would have happened if it had caught fire, or exploded in my face . The sound it was making seemed like it was going to.  As you see the plastic melted, it was liquid all over my counter, and it was not easy to clean off the counter or my tainted hands. The bottom of the machine and remaining wires where bright, scolding red. I ruined kitchen towels, had to shower again before going to work. I was running late because of the ordeal i had to deal with. Forced to eat out with my wife because, just wasted the food being cooked wich was about to be amazing. . . . The worst thing is i am writing this and the machine goes in smokes for no reason. What do i do? This thing is just going in smokes unplugged. This is terriblleee.",DANGER,Size: 8-QTStyle: DuoPattern Name: Pressure CookerVerified Purchase,"3,172 people found this helpful",,,62593673,
The Galavan,/gp/profile/amzn1.account.AHR655HCSWEREX7R5Q652R5IIUNA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 8, 2017",1,31,https://www.amazon.com/product-reviews/B085HK33BN/ref=zg_bs_home-garden_cr_5?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,5.0 out of 5 stars,"I use this for everything! How did I live without this before???I live in a Sprinter van full-time and was using an induction burner for cooking, but since I've gotten this little gem, I haven't used the induction burner once!This is so easy to use, and it's the perfect size for one or two people. I've been making a lot of stews, and I'll saute the onions, carrots, and meat (if I'm using meat) then add everything else, seal it, and set it for 7 minutes on high pressure. I let it release naturally and have a perfectly cooked, tasty meal every time. This gives me enough for 4 or 5 servings.I also quick soaked beans the other day by covering them with water, hitting pressure for 5 min. then letting it release naturally and let it sit (not on keep warm) for a couple of hours.I'll often make dinner right after I reheat my lunch, and make sure the keep warm function is on. I'm able to drive with it in my sink and have a hot, healthy, delicious meal waiting for me when I'm done driving.I've even baked banana bread in it!!! So exciting, because I don't have an oven. It turned out SO good! I used one of the containers and the lid from my To-Go Ware stainless steel lunch container to bake it in on the rack.Because this cooks so quickly, it is very easy on my solar system. I can reheat leftovers on saute in 4 minutes, and it's only drawing 67a while it's on.I did have a VitaClay, that I absolutely loved for making beans, and especially bone broth, but it takes much longer to cook and is heavier. So, more battery drain, more storage space, and more weight as compared to the Instant Pot Mini and the Mini wins on each count!",Perfect Tiny Living appliance,Size: 3-QTStyle: DuoPattern Name: Pressure CookerVerified Purchase,"2,974 people found this helpful",,,102606,
BLS,/gp/profile/amzn1.account.AFDITB7KTF3QLYY4BJYIXTJA7KBA/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on December 31, 2017",0,45,https://www.amazon.com/product-reviews/B085HK33BN/ref=zg_bs_home-garden_cr_5?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,1.0 out of 5 stars,"This pot is designed to not work. The surface area of the pressure indicating valve is too small for the weight of the valve to be lifted by steam pressure. Result? The valve stays open and the pot simply boils away the liquid inside and does not build pressure. The ""solution"" is to use an implement of some sort to manually pull the indicating valve up into a sealed position once the pot starts to make steam. If this is not done, the valve will not lift and seal and water will simply boil away. It is important to note that this is not due to a dirty valve, a sticky valve, insufficient liquid or any malfunction. Rather, it is designed into the pot. Ours will be relegated to stock pot duty as we have found it to be totally unusable as a pressure cooker.",MAJOR FAILURE,Size: 8-QTStyle: DuoPattern Name: Pressure CookerVerified Purchase,"2,288 people found this helpful",7353,109,24488,Public
Amazon Customer,/gp/profile/amzn1.account.AEQYEML7DQLB6QX3QDXNUXV5X6NQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 26, 2017",0,21,https://www.amazon.com/product-reviews/B085HK33BN/ref=zg_bs_home-garden_cr_5?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,1.0 out of 5 stars,Just worked a year! The light is on but no heat. I called the customer service and got the answer was if it is over a year warranty that I need buy a new pot base as almost the whole cooker's price.  Very disappointed!,Very disappointed!,Size: 6-QTStyle: DuoPattern Name: Pressure CookerVerified Purchase,"2,607 people found this helpful",,,62593673,
DLO,/gp/profile/amzn1.account.AEAZCJ766HIMAWCFYD7JBQMH7ELQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 24, 2018",0,19,https://www.amazon.com/product-reviews/B085HK33BN/ref=zg_bs_home-garden_cr_5?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,5.0 out of 5 stars,"UPDATED - So I finally got the 6QT and oh. my. g... - so wonderful! Such a relief! I can cook 5 lbs of frozen chicken in ONE cycle and have food for my dog for the next week! Yay! And last night I finally made that famous ""soccer mom spaghetti"" (dump a box of pasta, one jar of sauce, a bag of frozen meatballs plus a jar of water in the pot then push a button) and - perfect. I made this same thing in the 3qt about a few times and it never came out right - first the pasta didn't cook, next time the sauce was too watery, etc. With the 6QT - cooked perfectly! And I have FIVE portions of leftovers instead of the 1-2 I had with the smaller I.P.To put the 3qt vs 6qt in perspective: the 3qt pot does not actually cook 3 quarts because you can't fill it all the way to the top. There's a line that's oh, an inch or two below the lip that's the Max Fill line, because the pressure cooker needs extra room to do its thing. Then, if you're adding the trivet, you're losing another inch of space. So really your cooking space is more like 2 quarts, like a small sauce pan.Imagine you're cooking ALL of your meals with nothing bigger than a sauce pan.Then you've got the 6qt pot, which is like the big pots you use to boil pasta. Or make soup.Pasta pot vs sauce pan. You see what I'm saying?Anyway, now my problem is that I have to stop cooking so often because I have no more room in my freezer...  :)********ABOUT THE 3 QT DUO --- As Instant Pots go, I'll not reiterate what everyone else says but agree that it's a game changer, and totally revolutionizes your cooking. However, I have some regrets...3QT Too Small for Lazy Cooks Like Me --- When I to move into my Airstream trailer full time, I decided to get an Instant Pot as I thought it would help minimize the amount of cooking appliances I needed. And of course, being solo (plus a dog and cat) I figured the 3Qt was the better choice. After 7 months with it, I am desperate to trade my 3Qt for the 6QT. I like cooking, but I'm lazy and would prefer to make a large batch once and have left overs, than have to cook for every meal. Reheating leftovers is far easier to clean up than cooking a fresh meal. I'm lazy at cleaning, too.Instant Pot Learning Curve --- Instant Pot cooking takes some getting used to, and while there is a great abundance of tips and such online, which are fabulous, about 95% of them are for 6QT or larger. Finding good, appropriate recipes for the 3QT is frustrating and has led to lots of failed meals, as ingredients plus liquids, cooking time, etc are all out of proportion.Where Are All The Accessories for 3QT? --- In the same vein as above, there are tons and tons of accessories for the Instant Pot, but... they're all for 6QT, not a lot for 3QT. I'm starting to see more 3QT-sized accessories (like steam baskets, gaskets, lids, egg bites silicone molds, etc), but only from, like, a single manufacturer. As opposed to stuff for the 6 qt, where you've got a dozen steam baskets to choose from.Home Cooked Dog Food --- Finally, as I'm traveling a lot city to city, I've started making food for my dog (an 80lb Labrador) as we could never find the brand of dog kibble that she liked and that was good for her. In this situation, the Instant Pot has been my savior, as it's soooo easy to just plop a bunch of raw, frozen chicken or other meats into the pot, slap on lid, push a button and within the hour, I've got tons of fall-off-the-bone meat for my pup's next breakfast (because I inevitably forget to cook for her the night before, and have to do it right at her mealtime). But normal instances when making a batch of her food, again, because I have the 3QT, I could only cook a portion of the meat, take it out, do a quick scrub of the pot before cooking the other portion - whereas with a 6QT that could be done with just one cycle.In short, if you're thinking about getting a 3Qt for your first and only Instant Pot, don't! Just go for the 6Qt and make your life much easier.",Wish I got the 6QT instead of the 3QT,Size: 3-QTStyle: DuoPattern Name: Pressure CookerVerified Purchase,"1,300 people found this helpful",,,87595,
Vic V,/gp/profile/amzn1.account.AEPD52BRXCGGXAYD4AOMZPP7GPWQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on January 8, 2018",0,9,https://www.amazon.com/product-reviews/B085HK33BN/ref=zg_bs_home-garden_cr_5?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,1.0 out of 5 stars,"Junk.  Worked once, then started up with error messages.  Absolutely NO product support.  They are so far behind that all the voice mail message boxes are full and you cannot even leave a message asking for any support.  What a mistake.",Junk.  No customer support.,Size: 6-QTStyle: Duo PlusPattern Name: Pressure CookerVerified Purchase,"1,057 people found this helpful",,,313833,
LoLa,/gp/profile/amzn1.account.AFSFB3CUGEIM44TEP2TRFL4622FQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 9, 2019",0,8,https://www.amazon.com/product-reviews/B085HK33BN/ref=zg_bs_home-garden_cr_5?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,4.0 out of 5 stars,"I’m used to cook once a week for 5 days, you call it meal prep. It means Sunday is a busy day and sometimes, we’ll most of the times, you have no time or you are too busy with raising your kids so you end up making food at night.When I first saw it, I ignored it as another gimmick I usually ignore. ADs don’t work on me and this also didn’t. After couple of days I saw a news company report about the most selling product on Amazon, it was this POT.So I did my research and bought it, DUO nova. Very confusing names and you basically have no idea what’s the difference between them. 10in 1 or 7 in 1... they are doing the same thing and you NEVER going to use these options, most of your food will be cooked on manual cooking.This pot is very good and easy to work with. I hate washing it but food is done faster and better. Basically if you follow Youtubers recipes, it’s foolproof. I like it so far, time will tell... I’ll make sure to update this review in a few months.",Wasn’t expecting this...,Size: 6-QTStyle: Duo NovaPattern Name: Pressure CookerVerified Purchase,417 people found this helpful,2607,1,2939,Public
Lindsay deaver,/gp/profile/amzn1.account.AG3QVXQB6HNOXHFALXJAYI5YQHHQ/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on April 26, 2017",0,7,https://www.amazon.com/product-reviews/B085HK33BN/ref=zg_bs_home-garden_cr_5?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,1.0 out of 5 stars,"I was so excited to finally be able to purchase my instant pot for my birthday but was disappointed when it came. The first thing I noticed when I opened the lid was that it smelled like it had been used and the inner pot had water spots. I emptied the box it came in and it was missing all of the accessories listed on the box as well as the condensation collector, which the manual stated must be installed before use.",Used and missing parts,Size: 6-QTStyle: DuoPattern Name: Pressure CookerVerified Purchase,895 people found this helpful,,,201964,
Debbie B.,/gp/profile/amzn1.account.AHDFIY6E6RUIHHN4AMESCZZ57Y4A/ref=cm_cr_arp_d_gw_btm?ie=UTF8,"Reviewed in the United States on October 28, 2019",0,2,https://www.amazon.com/product-reviews/B085HK33BN/ref=zg_bs_home-garden_cr_5?ie=UTF8&refRID=NMKBVV9JCWSVR5H0M3AB&pageNumber=0,5.0 out of 5 stars,"I looked at this item for a long time before I finally decided to buy it. What I don't need is another device in my house, but I use my crockpot almost every weekend and loved the idea that I could cook stuff so much quicker with the instant pot.I unpacked it and read over the instructions for testing it out to make sure everything worked. After the test, I decided to try my first dish. I had a frozen salmon fillet and this was one of the selling points, that you can cook frozen food and it will be just fine.  My problem is that I always forget to take food out of the freezer to thaw.I grabbed a frozen filet and per the directions that I found online I added water and lemon juice to the pot and sprayed the steamer rack with non stick spray. I put the filet on the rack and cooked it for 4 minutes. I didn't use any seasonings. The salmon was perfect and so yummy! I couldn't believe it.Over the weekend I made chili and mac and cheese. The chili only took 14 minutes after browning the meat and the mac and cheese took 4 minutes.I love this so much. I can't wait to cook more items using the different functions.",Love it!!,Size: 6-QTStyle: Duo NovaPattern Name: Pressure CookerVerified Purchase,332 people found this helpful,1066,14,102097,Public
