helpful_votes,page_url,total_review,visibility_status
"1,856",amzn1.account.AFKJ5FOOPDXWBF63SJMN3FZZRN6A,56,Public
"2,375",amzn1.account.AHW5MKIJZMGIK2JIEIXXGD5J3KCA,68,Public
"4,910",amzn1.account.AEPSUN6ZXEMOGNN7D444XUX3K2JA,319,Public
522,amzn1.account.AFNXCHRHXRTOQQUUJUMPS2H3HNXQ,53,Public
430,amzn1.account.AFJRMWEEQFQBBN5RHNKA5QWVJ7TA,66,Public
99,amzn1.account.AFXNO3AY56VNOWHE6AUGXAYY6EOQ,38,Public
246,amzn1.account.AFWTIVXSGHDJ6WKY5VJCRXH6LXCQ,74,Public
704,amzn1.account.AHBT464PJVYNXTSJL7EIBVVBUJCQ,174,Public
340,amzn1.account.AELXPQFOVJVTP2H3MSSIW6HQJKNA,207,Public
82,amzn1.account.AH5A2Q7RZRYWMFC4JUIW7VM6BMMQ,36,Public
"1,856",amzn1.account.AFKJ5FOOPDXWBF63SJMN3FZZRN6A,56,Public
"2,375",amzn1.account.AHW5MKIJZMGIK2JIEIXXGD5J3KCA,68,Public
"4,910",amzn1.account.AEPSUN6ZXEMOGNN7D444XUX3K2JA,319,Public
522,amzn1.account.AFNXCHRHXRTOQQUUJUMPS2H3HNXQ,53,Public
430,amzn1.account.AFJRMWEEQFQBBN5RHNKA5QWVJ7TA,66,Public
99,amzn1.account.AFXNO3AY56VNOWHE6AUGXAYY6EOQ,38,Public
246,amzn1.account.AFWTIVXSGHDJ6WKY5VJCRXH6LXCQ,74,Public
704,amzn1.account.AHBT464PJVYNXTSJL7EIBVVBUJCQ,174,Public
340,amzn1.account.AELXPQFOVJVTP2H3MSSIW6HQJKNA,207,Public
82,amzn1.account.AH5A2Q7RZRYWMFC4JUIW7VM6BMMQ,36,Public
706,amzn1.account.AG4XZVKXT3XUVPT4BYTTKPMHV6EQ,42,Public
472,amzn1.account.AGS5QRF5ACVS3MLSRRCBC24OZH2A,102,Public
228,amzn1.account.AGRXUXZW3U6JVFG4XXZR4252RFZQ,30,Public
"1,002",amzn1.account.AGTNHOKLGNVKBLFE2E55AZJEMENQ,63,Public
108,amzn1.account.AHQLYJSGZZLUJUQMJ4Q4VNUO7LKQ,61,Public
21,amzn1.account.AG5BGGYNONVWWRTYZCBXIGCDFHQQ,24,Public
52,amzn1.account.AEOPLZYBL6WTQH6WXIIVPISHYE3Q,13,Public
115,amzn1.account.AFLDEZTAIRHOMN6APTGFKFEGJG3Q,69,Public
89,amzn1.account.AFOOG77KSXNYF6HDDYY2FVLTPM2Q,58,Public
32,amzn1.account.AGU6MYQWHG64B2UZA6WL7WCLONAQ,18,Public
6,amzn1.account.AFFB52JJOQ7N7QWGA5Y75S7GGZOA,10,Public
103,amzn1.account.AHQCMAA2MKRCC46DKVESZ33B4ZBQ,35,Public
19,amzn1.account.AHB7VEK2CNJNSJBXVW3YMS4ZTJ5A,18,Public
40,amzn1.account.AHDJ6QAWBJGFNP3GX4EZPWBEOWEQ,46,Public
300,amzn1.account.AHCKYEEE2YXAWH7PANMRYQN4LMCA,201,Public
12,amzn1.account.AHBBPKNS3FJUTR57BVLPUYNB22JA,1,Public
62,amzn1.account.AF2WDTK5XJHIDHKDG656EV5UVU7A,75,Public
13,amzn1.account.AEXHR4UOKXDR7DERGISNEJHZSZWA,2,Public
48,amzn1.account.AF7Z4LURCHHFCVL7GZP6G4SUT5FQ,51,Public
544,amzn1.account.AEAZ6YYSQKQYI2KHEZQUYO7GCA5A,165,Public
44,amzn1.account.AF3Q4ZVMJ3HJQNUV5SHQPLVX2GWA,29,Public
30,amzn1.account.AGVVG64BUZCRDAOQ23UWUFQS6Y4A,22,Public
12,amzn1.account.AFEQPH3LKDLOPAXKND2P2EX6IBWQ,13,Public
