page_url,ranking
amzn1.account.AGJIDX5D6K3IPMM5P5L2Z766LBXQ,97077
amzn1.account.AFBVBLBKFGFC3IK2TR24Q26C6K5A,4878572
amzn1.account.AFTNMND3PH5ARVDGIE2CXKZDJTOA,41215
amzn1.account.AFHWNHU3NPR5QE5BYDMYAMM4LXQQ,59985
amzn1.account.AGK5B7NIMEGPR6V7V2T3TVBO6TEQ,1399478
amzn1.account.AGJIDX5D6K3IPMM5P5L2Z766LBXQ,97077
amzn1.account.AHO2ZKVTDPL6G35FLZW7UGXCYSEA,26698
amzn1.account.AFZHOAZUWCWMBCKFU4GAXTX3HEUQ,450174
amzn1.account.AHRO7F4OLJ2QCT5QO2O3OJDCSBMA,4078464
amzn1.account.AFYE6UG3W5ARWYDZTUODON3BCEXQ,86084
amzn1.account.AEZD5X2YTUHRONMWQELWPO32OT6Q,1156691
amzn1.account.AEYB547M5TQGMXOZ4G7CPE7RNXGA,436202
amzn1.account.AGMFOZK5KHJAK4OSF67GPLRYZNGA,9058
amzn1.account.AEQRP24JOWOM3DZMBAYXWHF5DHFA,639804
amzn1.account.AFBVBLBKFGFC3IK2TR24Q26C6K5A,4878572
amzn1.account.AFTNMND3PH5ARVDGIE2CXKZDJTOA,41215
amzn1.account.AFHWNHU3NPR5QE5BYDMYAMM4LXQQ,59985
amzn1.account.AGK5B7NIMEGPR6V7V2T3TVBO6TEQ,1399478
amzn1.account.AH56QGXJPQLVOF7I6JGQC2GSMQ6A,13665
amzn1.account.AGF6ENWLY7DHXFWWVCDZ7YLUXC4Q,112878
amzn1.account.AFTRZE6QXOFNVNRLTQ4W5MIETGVQ,626208
amzn1.account.AHT3LUVQJ65AYBACRTMIIYW3D7BQ,1134923
amzn1.account.AEULJ24SINIXF6WM6QL4SOG2SDTQ,324422
amzn1.account.AGTG2E7BTRCZP5IYMPHLID3JSABA,1348330
amzn1.account.AHSK3AI7DA7H5S2ZFKEERV5P3AXA,810951
amzn1.account.AE3R4FD5TS2DYUJXRFVP4Q5ZNQRQ,2244606
amzn1.account.AFUS6XMXYX5EJDPFFO4HYQEHASVQ,71330
amzn1.account.AGKJEBQ7QJQTIVAWYJE2JXNHY2XA,5805
amzn1.account.AFJUT63MJWMFIAJSDQQ2RQY2NICA,137725
amzn1.account.AFSURHUUJW2CITUCW6WYCEHNODKA,1154844
amzn1.account.AFXGGBAZ6QQ2QTVI332CYGMT6UTA,561415
amzn1.account.AFFJMBO2AKPVXDN6C3V4KX7K73HA,1161891
amzn1.account.AEYRMTVTAD5F7AXORAOVAFYSL6YQ,3818113
amzn1.account.AFIZPL4KVBPVNZ75V5KLLQTZLVRA,8665134
amzn1.account.AGQRKOUDB7ONENE7BA5OMXO6D3MQ,246412
amzn1.account.AFFKGQR4AWDAFCFBUZYPSA7JNLMA,9552711
amzn1.account.AE2JDWAEVZ3576GKLOG6MWDNX3HA,1608529
amzn1.account.AEQUFMZQUKDU7L4TXT5RK7NQMLNQ,346523
amzn1.account.AFRGLZNQ6SD73NMDDQKD65B2OXBQ,18198
amzn1.account.AF5LQ3NUV6YZRTORC6EDPCVKZQCQ,3266429
amzn1.account.AEU6GZARM6FVUQLIMUIQJNP4FQDQ,482158
amzn1.account.AGVTEWJPUQFSJWGU57SDSGGFJ55Q,629079
amzn1.account.AE737ONXMNKB5ECN5FFXIOBHFSHQ,393619
amzn1.account.AFKOIOMH7MA3CF5KVEAAJ6SZHZ7A,8534325
amzn1.account.AFK775FZ6I2UBIR4JIOZ4FUFJERQ,86753272
amzn1.account.AEZD5X2YTUHRONMWQELWPO32OT6Q,1156691
amzn1.account.AEYB547M5TQGMXOZ4G7CPE7RNXGA,436202
amzn1.account.AGMFOZK5KHJAK4OSF67GPLRYZNGA,9058
amzn1.account.AEQRP24JOWOM3DZMBAYXWHF5DHFA,639804
amzn1.account.AFRGLZNQ6SD73NMDDQKD65B2OXBQ,18198
amzn1.account.AHIVSMEFPXGK6HHEVAFUE4UDE3UA,105189
amzn1.account.AHE46JIAT2O7B5TSERZ3RBOJQJUQ,1624157
amzn1.account.AFRIHIMQXJL2HQHYVFBD3CEUL4LA,19471
amzn1.account.AEKPDQQFBJVS7TUHTKPLPSE5OBHQ,2924228
amzn1.account.AGMCZGCIAQ6BE2IJR2G3DXSZUPUQ,1352674
amzn1.account.AEVGO3COIDCCN3MXHWQPIQHRKRRQ,46725
amzn1.account.AE7JXI62FQ2DLHHGTYG3XFRMACZA,1077669
amzn1.account.AGVZCIFPLSXBHPMFVKFMJFWSNYSA,20744
amzn1.account.AHNTILC44VCKKWFTVYWXR6RP23TQ,3133855
amzn1.account.AHKZUIJCSABT4RXUF2Z4AIICS4CA,391411
amzn1.account.AGV2QH5KDREAZ6VMUFASB32LKWUQ,160522
amzn1.account.AHYZHO2APDPWYQ4CK7BF4J3TRHBQ,3834
amzn1.account.AFR3RWGE3LWRXNKPBHJFZ5OHTX6Q,3092597
amzn1.account.AGPZPOOSLQFJJ4EB5WGPLX2O2RYQ,21655
amzn1.account.AEA3X7FT3DZ3CKNKV2HDAB5U63QA,86714650
amzn1.account.AFYCERDGIJZXHGPYYNFYEVPNFJUA,7768920
amzn1.account.AGILHYHPYVKBIKHLN77IFA7T7DBQ,166780
amzn1.account.AFAZWYLNWHKLAQK4JJUEWF6KJCBQ,86750336
amzn1.account.AEET2T645ECIXLDFHNDRDCM2GX2A,323421
amzn1.account.AGPVMWMWAQHK5FMCAC36FHXZUKIA,1856124
amzn1.account.AH2CHQE363FQ5TMLG7ED67N4DGMQ,582591
amzn1.account.AGKQKPZS4D73WYQLWUWLA4WUW6TQ,96067
amzn1.account.AF6DTIEULMZ4RIAMOQPDUPE4FDWA,7669613
