page_url,ranking
amzn1.account.AGMWACNMAG74AXBF7IJ22IOZSZPA,75
amzn1.account.AGMWACNMAG74AXBF7IJ22IOZSZPA,75
amzn1.account.AG5CZXGJ27YZPFBVLZJFB44NC5UQ,486955
amzn1.account.AFOXJN43LGORKJWMOCQEPJBFH3GA,431880
amzn1.account.AG5CZXGJ27YZPFBVLZJFB44NC5UQ,486955
amzn1.account.AFKQKU3NIT5FX4B5EDDB2PL2T7FA,2707998
amzn1.account.AEIWXTSDO2IBBOLL3R6XKQ5TVH7A,15435
amzn1.account.AGQ3ULCTFELIVKXVYCTKKCORYKBQ,342205
amzn1.account.AFRAJ4AE7TKRTG5JPWKPGCB42QYA,2671749
amzn1.account.AFTCBASIQBNYH5FWKRK2M3SUWLRA,71931
amzn1.account.AFTCBASIQBNYH5FWKRK2M3SUWLRA,71931
amzn1.account.AH3UU7E535Y3ITEOQC3WSNFAP6AA,107499
amzn1.account.AFOXJN43LGORKJWMOCQEPJBFH3GA,431880
amzn1.account.AH36EVGMHKXJOG5U6WRBAQ3K76GA,1624561
amzn1.account.AHNM5TRS66Y25IPXQK432ERWCEPA,182264
amzn1.account.AFJZWEW56YX3IENQPEOIRVVF4FLQ,9670246
amzn1.account.AHS2DNTVIRQNH5Y6NJWVFMZWWKBA,1284562
amzn1.account.AFRJMANK7IRMMLVF4IDQRKQLCLZQ,4117620
amzn1.account.AHXBKRADH7G2RKBW36JODGV7P5TA,86762324
amzn1.account.AFMN47PHJ3KMDESUSM37TN2I7T5Q,8555698
amzn1.account.AHZ6LMHPUICGJ4JUQERRAQVQYD7A,1919386
amzn1.account.AFINWM32FBLHINLEWKGGC77SFCPA,1346856
amzn1.account.AFDRR3JUWJWTXJIMLI2UL74LXHZQ,553311
amzn1.account.AHO2IMF3KZ6EFQQVZLKYYB5GC5FA,86702487
amzn1.account.AE5YSL6JWFSWFYMAMVO5Q33WSQZQ,1317811
amzn1.account.AEL7QWUCD4TNGTWABDSULD3JANBA,1544249
amzn1.account.AHMRXTUEEFD3SAM2DKRLJ2VCWT6A,2820186
amzn1.account.AFNZCGBRF3XA55B3DAJ63Q7RBLBA,5069609
amzn1.account.AF5OE2YYJJJDGS3E272ZUASJPOQA,655228
amzn1.account.AHUOHTLD6BBZKHRAIH5JTLQKVOSA,767236
amzn1.account.AH3UU7E535Y3ITEOQC3WSNFAP6AA,107499
amzn1.account.AEL7QWUCD4TNGTWABDSULD3JANBA,1544249
amzn1.account.AGG6F76CPNHTUAFW3PYLPAYQL7PA,306
amzn1.account.AGD4HY2SKMEXFZJN6NTE35KOXDBQ,14037683
amzn1.account.AGIVJOLOZOUCZOADDN5YNIJP6TAQ,1446832
amzn1.account.AHTAX7FYD5RKS3ID7VLKLS4GA4UA,835404
amzn1.account.AH2BBGXT4RRTRINELWQDEWFLJDRA,1217168
amzn1.account.AGTP2SZHAH6FZU7KEKZ6SEDUDQLQ,5916046
amzn1.account.AEZL56HSS736AV2ZKDJHJFJWK6BA,9061935
amzn1.account.AFMX376U2QCSWPI4G44FHUPPD3CQ,51237
amzn1.account.AEJ45QF7SZYJI6ZNXOVTSHTD22DQ,10039136
amzn1.account.AHUMLOML37DYSHDROS66YZSVQ35Q,6411690
amzn1.account.AH2TEZ3BPL6TJMS42PGMU7UZHB2A,905009
amzn1.account.AEJ7D4XBCWTCK6HSWALCTQDSPT6A,1461705
amzn1.account.AFV6X72XFVH7M55VNBVCYJMWT7KQ,44806665
amzn1.account.AHTBBASAHXHHOXKLSSZG2IPUDDFA,169097
amzn1.account.AFBWQN72AVJEH6TZ7R4YO2NGM2ZA,1066193
amzn1.account.AEGFNNO4RTHZ4OKQ6CUKUHSP5S3A,2367840
amzn1.account.AH3GFHP7LHAPJVBFUY4KPGVUCONA,39730244
amzn1.account.AGG7HM4KA2JP7BJ7IACD7KN2EWBA,339261
amzn1.account.AEX7G7ZZZTJ2ATQ4WXM77CQ2WVBQ,601259
amzn1.account.AF2Q4POXJVTGIBID35GIL6FCKKFA,14981156
amzn1.account.AFZAFX2YBIRDCAUMZUQVHQ3QVCLA,12154
amzn1.account.AHMRXTUEEFD3SAM2DKRLJ2VCWT6A,2820186
amzn1.account.AF4UHXZZURFRNO3KR3BILRW2T7OQ,28318
amzn1.account.AEYWA3XA4VBFE3CYSH36EFSPIQBA,4784306
amzn1.account.AFUVZNPL34TBPLPDQ32Y73CCOJKQ,4446157
amzn1.account.AGYGHRPUYVHHZN6YD6F66WO7EFEQ,1059498
amzn1.account.AFM5YRDVYXW2K4UIMFLRY3KLQIMQ,877988
amzn1.account.AFH4NVXXL3J5FQCFJR7VMNEZHNWQ,2006907
amzn1.account.AF5HMY63KQPSY4NEOTHROLZU7T2A,6628192
amzn1.account.AHYLQ72VAHEVPAM3WSFKED32PDOQ,2791071
amzn1.account.AGAX4T7HLZSWNH4GIQ3XBSXKK6NA,184285
amzn1.account.AGGCF5JH323SBNMWT6ICXN3Q4LSA,1124384
amzn1.account.AF5SAGY3WAQ46FAMS4AT6S443EMQ,125815
amzn1.account.AFF2ILDRCXOBJO64DTHF2LJWU3XQ,7675163
amzn1.account.AFJIRSJMROMBIHGSU5J64SGLJ5GQ,4224395
amzn1.account.AFFETX3XAG6NPCVZ32CORNMCCA3A,19153692
amzn1.account.AECQHSLHH7L6AYCRXGFNXUMHP7TQ,2434720
amzn1.account.AGVKXPIJQ2OU4MXYZHHGDNKCJ6MA,384424
amzn1.account.AEOHP52AVFR5SHSWRUV6PV7UX3FQ,49324494
amzn1.account.AGUWADKQQD4ILZVEI65HJIRJBFNA,455577
amzn1.account.AEYXVOLXGFI5BBWWONPOJCK5WTTQ,181551
amzn1.account.AGRPI774247B6A5N3ZOIPAXG6VKA,1339823
amzn1.account.AEBBUNQQTKC5V4JZUPLZOAKDYQ2A,16295094
amzn1.account.AHL6JY7TJWA2OW4TKTBQKLA274WQ,2318280
amzn1.account.AF5HMY63KQPSY4NEOTHROLZU7T2A,6628192
amzn1.account.AHYLQ72VAHEVPAM3WSFKED32PDOQ,2791071
amzn1.account.AHQ4IO5NLOIATEAQRNIDAO36I53Q,663849
amzn1.account.AFUJACEOMVLWE23LENCYI2CF5SVA,86587199
amzn1.account.AFUFXBB6FDVEUZVBJ53S5OLUF4QA,5407
amzn1.account.AEZWYXKBVLR3W4DJVPQW7E4E2ZSQ,11446
amzn1.account.AHNJM266DR7BHMZH6WID7XDTBOQA,560278
amzn1.account.AE4LGLQRO4ZTLS6YPNZYK6EKX54Q,5491612
amzn1.account.AGQAEQC3YZACISVSM4BSST2SNLUA,4371754
amzn1.account.AG7YQZGGYWMN34EA5JX2QL33TFUA,14258438
amzn1.account.AFDE4L5NQU7BVV7ROVCIQIIO5TCA,3696871
amzn1.account.AHAXUJQ7WTAG74ZQPL4O52DY6ZXQ,6435379
amzn1.account.AHTVKXXNM6UD34YVT7HDWLN4MXXA,7022430
amzn1.account.AGL3D4RLSWVRDQW323XWMRUIOW4Q,46794
amzn1.account.AHINNRB4NS6YFCYPXE7SKEUVJMBA,1619246
amzn1.account.AGTY2QQJMLIBWRSBDDLDWDI6ROTQ,8777749
amzn1.account.AHDA4IEMIZBSQAKWNVW6IHCKC4OA,53300
amzn1.account.AHBCXD3IW2OEP3JZXKKEWCAQWYRQ,16087
amzn1.account.AEYJ7KI2CUYZQMARMW6SIDJ62M4Q,7983430
amzn1.account.AFGTK67QIJSDJDQHVRFZUYOOP5RA,1143048
amzn1.account.AETH2L5NCBHXIAXIY6HMHEB6XCOQ,298918
amzn1.account.AEKZWIRSLLUT5XOVLBIS5HLVEPCA,875867
amzn1.account.AGD22AVXICJNT3K47466455NXATA,628048
amzn1.account.AG6ZHDV3ZMZIQ3CAONNNTWSZEENA,2469604
amzn1.account.AHJDRQOXIV7VB7JMBUKAOIK6WXRQ,1130215
amzn1.account.AHFM5DXSKHYK7NR7IELNBRJPLHLA,21462469
amzn1.account.AEPCWETSKPZMFWE44WFKTSU3FU5Q,13932463
amzn1.account.AGAX4T7HLZSWNH4GIQ3XBSXKK6NA,184285
amzn1.account.AF3GJVKH4KXBVDOTBELYDCR267GQ,2884531
amzn1.account.AEXXCQT54SOTJLOGS34D7P4NHG3Q,2235839
amzn1.account.AGMYRM5TSAC2CTFWDBLW7S6NMABA,86477455
amzn1.account.AHDU7W5P2HUFX3ERF34MAYKTUUNA,447056
amzn1.account.AFJNO35H63BM6VQQI7EVFC7YLVDQ,51192
amzn1.account.AEYU36RH6SNT7R3ZH2H5H2S5GYLQ,5349937
