page_url,ranking
amzn1.account.AGZA2L5CDUI4C74TVS4YQLU2OWAQ,316562
amzn1.account.AEMUCWL7NGKCA2HMADYFQQRALWZA,948328
amzn1.account.AFAP6KW76QP7K5NYFCKPC3LKHCVA,120136
amzn1.account.AGBKFYXP46JDLZWRJORRRGXRR6JQ,5993314
amzn1.account.AH2BMH3EZPF5TVLTHB75MCGK2GPQ,976
amzn1.account.AEZLJ6NGTX7ATIWEV4QD24C3F5HQ,9077157
amzn1.account.AEBCKXVJ52RJRX2NHS35N65I44QQ,3158248
amzn1.account.AFY5ADZUDA4CNROC73AGBCMEFCEQ,643358
amzn1.account.AFKR7XD4ZD3HWXOMIZK3LLYUZCRA,258554
amzn1.account.AFYAJ34NKGJLPH2NHHETKFHTSAGQ,8291524
amzn1.account.AGZA2L5CDUI4C74TVS4YQLU2OWAQ,316562
amzn1.account.AEMUCWL7NGKCA2HMADYFQQRALWZA,948328
amzn1.account.AFAP6KW76QP7K5NYFCKPC3LKHCVA,120136
amzn1.account.AGBKFYXP46JDLZWRJORRRGXRR6JQ,5993314
amzn1.account.AH2BMH3EZPF5TVLTHB75MCGK2GPQ,976
amzn1.account.AEZLJ6NGTX7ATIWEV4QD24C3F5HQ,9077157
amzn1.account.AEBCKXVJ52RJRX2NHS35N65I44QQ,3158248
amzn1.account.AFY5ADZUDA4CNROC73AGBCMEFCEQ,643358
amzn1.account.AFKR7XD4ZD3HWXOMIZK3LLYUZCRA,258554
amzn1.account.AFYAJ34NKGJLPH2NHHETKFHTSAGQ,8291524
amzn1.account.AH5V2SSRVA7R7YE6N42YDZAVDCEA,2827173
amzn1.account.AEQ4ECW4EWWZAZ3RHESDQPJDOG6Q,4976196
amzn1.account.AEU2CAAIMP3GGPP4QMMBQ55AXMJA,4849796
amzn1.account.AEUU7HXUSJIGSWUWXS3ZOWXD5KIQ,3282135
amzn1.account.AEVOUYTBACACNTRWLBU22CKF4DAA,772742
amzn1.account.AEQS6ZGDDGUWGVS6XZSLZY7GXGXQ,5129734
amzn1.account.AHUUPW6XWZMOZWHKI65C55K3774A,1104967
amzn1.account.AH44QUMRUCURP4TY5JODPL7C22WQ,280436
amzn1.account.AFH4AT6OZD362F5EDBWH45O4HZLA,7476293
amzn1.account.AHWWMP7BBVGJO6IEWCSJF4P3R3CQ,4028983
amzn1.account.AHE5MH7UJZWEYI252GZJ7BULLS4Q,5390842
amzn1.account.AGU5HKZBX4S2G3H2WGIC62DEPKOQ,1976
amzn1.account.AH2QXRNWBKRAAP55G5ESYENKB7RA,2560120
amzn1.account.AGFHEKNBTOYVFOOTTAUCLYHLOIBA,20910
amzn1.account.AGPQSVWOJQAFFK3TPWPYKACRWDTA,5333529
amzn1.account.AE2POVBPO5VRVN6LDHUVE2VTH33A,27491
amzn1.account.AG2NXFP47DITI4TBTBOQEI2QI43A,190277
amzn1.account.AE4Z3AWUNIAIVEFOAMJEPBE2PUFA,2364926
amzn1.account.AGA5CFG6GGV2MGSWLC2ZLXY3V6SA,1555945
amzn1.account.AEHXO3GIKOSWRT5GNNGXYGEOGWUQ,811850
amzn1.account.AGQJP2ME5BROWBCPZBIAPKRA2XYQ,1033554
amzn1.account.AFZBITXNHQPIPYCMKQDPTOSLPCMQ,16995541
amzn1.account.AHJ7FM7Y6CPPBDBPFVS55QQX4CDQ,16124026
amzn1.account.AGXOBQFS3LA55XRCMYZU7FNSWYRQ,1123152
amzn1.account.AHEB6PULAF4CU6D7JRHE7VQMSPWQ,1004523
amzn1.account.AFFEHFGOXMMDE3GYHXR6XPENADCQ,2490855
amzn1.account.AF7B3PTDDKHDXJEK7ZL5KSQVJA6A,8426600
amzn1.account.AGIF4NVIYOIGBZIDCBEXFDMEMUSQ,14278519
amzn1.account.AHVJQOWZ4ZAB3F5VH3C4NYLY3EHQ,2261198
amzn1.account.AEMQDWAQ3SZCASZ6CQC4T63VSNFQ,2093545
amzn1.account.AGIH2W5HXCIJ5TPVXERIDVL43FPA,1663597
amzn1.account.AHYPTX4XUW7TRLWC4SW66M74UT4A,19525932
amzn1.account.AHRYWWYKPU2XAZT4FEIGIVUSA3UA,956588
amzn1.account.AE4LJ6TLLACJFVNWQTEFUMN3FSNQ,204691
amzn1.account.AEYYNXFO6GGPIKNNSFFS725RNTDA,1376285
amzn1.account.AHTRBTORBRFFIMLSERT4ZQMJTADQ,94889
amzn1.account.AHXPLMJRAZE76DXMTNDNJ6MXCQKQ,1495881
amzn1.account.AF7S4JEADB47JCR7I7DJGRMMZC3Q,52342087
amzn1.account.AG6TTY3KJF4KIAZCMQPJRINA4NCA,36259
amzn1.account.AGCCAWTEMBPPO34JUSH2C4T243CQ,710393
amzn1.account.AF5RXHC6M5DI5VQCAKK37SUTBXMQ,3809143
amzn1.account.AGZJSG7IXU2G5XAMTGOL3KFTPPEQ,3880517
amzn1.account.AFXSPOZAVO6TYBLPMF6MNIQ3CVXA,29460
amzn1.account.AEQVQVS6DIZQHPNLJA2BA3C4L7FQ,1300181
amzn1.account.AFLSZK2HYTEFHY35HGQ3EU223P4Q,362120
amzn1.account.AEJE4EDYE7B3TRYPVQ4W32IDZFUQ,2555815
amzn1.account.AF3ABQHASVWFUEB4WGG6YHF2454Q,86325474
amzn1.account.AF3JSNFG5K3K6RREJWMR7RQJQESA,3155135
amzn1.account.AHML4KROG556KPEHQ5GC26NFLAQA,4939328
amzn1.account.AHH7WN3L7XHWRNL7MQFJJ27NQE4A,18339
amzn1.account.AGFJ3JCALM7R4LPIXDMHW4WPP3DA,7949195
