page_url,ranking
amzn1.account.AGQ22LX6AG4JXHRO6KQZ7X5LVBZA,40197
amzn1.account.AGQ22LX6AG4JXHRO6KQZ7X5LVBZA,40197
amzn1.account.AG5EJLTRQRB6DM5YBH2YW3JFRS5A,3112125
amzn1.account.AHQXDHMIGRO5KKIVHBVJJA6YMMRQ,1649705
amzn1.account.AEIUXZK5KXRUWRQN5Q6MMC2XHMBQ,306387
amzn1.account.AGSHNHYUA25BTQIY4QBPDDBPLQZA,2771404
amzn1.account.AGUECOURI3BG2E4FNJ6CHDY7SVKA,130472
amzn1.account.AGLWKERJM5LBE2HSQAXWHNPRC3UA,3238205
amzn1.account.AHAPSRJUTJRX27NV6YHDA53M75ZA,4213229
amzn1.account.AELF5CBEMEQN4DF6MVZULICGUPHQ,1184967
amzn1.account.AFTIGFU2HXQOD5M3DNVSTJDZ5QMQ,1617764
amzn1.account.AELQNL4Y2RHIEUXWG2VS2UKOC42Q,240394
amzn1.account.AG5EJLTRQRB6DM5YBH2YW3JFRS5A,3112125
amzn1.account.AHQXDHMIGRO5KKIVHBVJJA6YMMRQ,1649705
amzn1.account.AEIUXZK5KXRUWRQN5Q6MMC2XHMBQ,306387
amzn1.account.AGSHNHYUA25BTQIY4QBPDDBPLQZA,2771404
amzn1.account.AGUECOURI3BG2E4FNJ6CHDY7SVKA,130472
amzn1.account.AGLWKERJM5LBE2HSQAXWHNPRC3UA,3238205
amzn1.account.AHAPSRJUTJRX27NV6YHDA53M75ZA,4213229
amzn1.account.AELF5CBEMEQN4DF6MVZULICGUPHQ,1184967
amzn1.account.AELQNL4Y2RHIEUXWG2VS2UKOC42Q,240394
amzn1.account.AHZZQ26QEJYD73FZHG7BG5IDYNYQ,1215364
amzn1.account.AHZJ2ZKQGUWSEP2BRVNI5EBY236Q,2053259
amzn1.account.AFNKLV4EKHE7GZ7JXCNFE536FQ3A,1410955
amzn1.account.AEDM7ET4Q42NGXITRAMDQ4GX6ZPA,19773
amzn1.account.AF4AEG6DBSSUVTHUQ5N7Y2RRIKUQ,8388028
amzn1.account.AEK44GZQ6VBOM663AQLKSAAMZLIA,5477
amzn1.account.AFHK67RLQRZS7XS6NAQG6ALYCQPA,222048
amzn1.account.AGZWY2FVBBJDF36O6E3SBMRVR5ZA,26440601
amzn1.account.AF2TTSN3XGH73RLACJOYYK2X4ZTQ,2713390
amzn1.account.AFGKUP3532NCJBRLG2UGNZQIGPSA,161951
amzn1.account.AE2TOF6B2Y62XHQLQKQPBCHTAXSQ,22119513
amzn1.account.AGFXQE2SOMIP5O3T7E4CT5VUK7KA,4204120
amzn1.account.AHF5ARTTGXXGSSIZ44CL2HBIL6AA,93590
amzn1.account.AFOJWJNL4GSRXDGI5HAHGE6WTASQ,4225636
amzn1.account.AHXSF4VA63UD456HGZLROOMLFC4A,27055097
amzn1.account.AGIEEZNMQDJBVLH4JVFDK3A5IKVA,4558080
amzn1.account.AFUW2T6MMY7VEA2EDFH4XB7IVX7Q,5459980
amzn1.account.AFVI7NKECJDXQLCT25JBEDMXRQXQ,135323
amzn1.account.AFNZKXFZE2E3GHOARHZYBYOHXWMA,9688350
amzn1.account.AHCBCGJUYWKLVCHVXNU4TUSZHFNQ,114674
amzn1.account.AEJB23XEP6XRP3SXI3522PP3YIEA,13564444
amzn1.account.AFXSUCOIBV4YZ5OGS2A53T3VXEFA,436410
amzn1.account.AGLDEIC5UWKHDDLSKSOWLGGNM47Q,1363909
amzn1.account.AHPQT7UUNOR2CZ46ENWG37RRD56A,476084
amzn1.account.AGYS4NPZD5ENSO4ZNIQMPI2EC7VQ,503961
amzn1.account.AHHDL2D3GAF6Z5HG2BB4K4E5OWHA,3895515
amzn1.account.AFYUG7GBSXNIGTROGVDWER5BBXEA,11897577
amzn1.account.AGHJWCWWQBTGRHL2ORBGY7UFUAJQ,275710
amzn1.account.AGWFXPAO4H2MAKGEGR4LJI5JRJEA,12107318
amzn1.account.AEGFHLVL3RQR3GXHCAIONUE6TUXQ,86710624
amzn1.account.AHALSJ5AINK6KMIXMRJM6OJCLPBQ,655223
amzn1.account.AHAPIXWFKTJDDDTVKCEZWZFR3D7A,21743604
amzn1.account.AE2N3PT6ZORIE66X7WANY3ESM7BQ,9115100
amzn1.account.AEDSDPVCBBVZU5G57JJ3NC4MWMCA,437433
amzn1.account.AHRNFQPDFLHAMOGMASHQMOQ5JDKQ,5265614
amzn1.account.AHG2P2FPFU3KASGPG2WOY4QV3TOA,771917
amzn1.account.AGQDMXKHW6H4AF63GMYBT6GJ4USA,3077925
amzn1.account.AH5X5PQH6N2R4V4GM7TAHPCZ4V2Q,1611014
amzn1.account.AFRSJBBFB7JILL24X33QRP25J4JA,241290
amzn1.account.AFGMKLNG3VNUPC6Z25GYDQNZHI5A,5377097
amzn1.account.AHYRA273HOO3GOX3FP6N7UW5EI7Q,5729839
amzn1.account.AHKI43OFSB3S3FUANIEXBLZGYRYA,1062111
amzn1.account.AHYDR6D3A2PRNYCMOV3VVFYM4RMA,628013
amzn1.account.AEYLACEYKWR5ACF2GE2AZFXOZTYQ,1781203
amzn1.account.AE4S2KT3E2H5ALQNMJ7ILUUFVQHQ,16431
amzn1.account.AHT3VKLCAVJ5DHLKWI2RFDXC77ZQ,1934663
amzn1.account.AHXXWQIZWB46BYCAIKEBZZOFBMUQ,1037804
amzn1.account.AEMLRAPMAQYMBBMDBHQ4GZOUXKVA,129579
amzn1.account.AGGTIOAQBT2XEBVS3H2WNVAWV3NQ,324821
amzn1.account.AGIEHSENDVJL3CJS276YHWJ7NTCQ,2895922
