helpful_votes,page_url,total_review,visibility_status
943,amzn1.account.AGPRDMJCYGJ5AL22P5FUXLQ5QNYQ,12,Public
,,,
403,amzn1.account.AHJZETWQOI5KYW4I7NU2O22RZSHA,2,Public
268,amzn1.account.AHSQQ7FWZFFDAHUHAL6GCIB47FTQ,5,Public
713,amzn1.account.AGPRNQKEQFXM3OHXVXCXBQ35PXKQ,79,Public
,,,
943,amzn1.account.AGPRDMJCYGJ5AL22P5FUXLQ5QNYQ,12,Public
,,,
118,amzn1.account.AGFVAGGZVYPTQATANGLAL64OFKZA,91,Public
14,amzn1.account.AFALJU4CEVZHYQ3LBWLYGGKRT4YQ,3,Public
50,amzn1.account.AFBCULZYFRC7WD7SDJJ7VAMV7IPA,93,Public
490,amzn1.account.AGFSE663TQKEHQXB5KYTRZF32B3A,349,Public
,,,
60,amzn1.account.AGOCDV4P2ENT4CLJ37EYACUXBJKA,5,Public
,,,
685,amzn1.account.AF3R2U6Z7AOSQYJJSHC5HQACKT4Q,5,Public
403,amzn1.account.AHJZETWQOI5KYW4I7NU2O22RZSHA,2,Public
268,amzn1.account.AHSQQ7FWZFFDAHUHAL6GCIB47FTQ,5,Public
713,amzn1.account.AGPRNQKEQFXM3OHXVXCXBQ35PXKQ,79,Public
179,amzn1.account.AHWUOS544XUGWOUPZMUE6KLC5JQQ,8,Public
,,,
802,amzn1.account.AGUVBTPUZD7TQYESY64ESSKEMJSA,123,Public
,,,
179,amzn1.account.AFARJWRSO5KAPFWM4OCONZNLLL5Q,34,Public
,,,
295,amzn1.account.AE6QZOGWJOI4XI3VLTKFNBOBNPWQ,54,Public
,,,
,,,
60,amzn1.account.AGOCDV4P2ENT4CLJ37EYACUXBJKA,5,Public
,,,
33,amzn1.account.AGIN7MF5VDYIQ5AFUFPCFHXOJOZQ,54,Public
47,amzn1.account.AH7DLZCX3INL7KJIENNNUOXNS2JA,21,Public
,,,
374,amzn1.account.AFCUCW4REK64QSP2XSYTKU6RFXNQ,23,Public
,,,
21,amzn1.account.AFU4ZYZQTBH7AZX3ROAMPWZ7JASQ,1,Public
