helpful_votes,page_url,total_review,visibility_status
301,amzn1.account.AFKQQLHCAG24N2SZTPM5IUTCYWSA,12,Public
208,amzn1.account.AHGXAAYJ6UUADFJ5UOUL6Q6URNEA,73,Public
392,amzn1.account.AECOFROBCR6HTOCEZ4DMK3HVUYXA,214,Public
106,amzn1.account.AGEYQ25PSQCNXYLRGER7KY23LCCA,8,Public
141,amzn1.account.AEKQVVK47EL6R6ZEBA3LP3BQGUSQ,90,Public
141,amzn1.account.AGHGPXCRS3TFCD572U6FCYZMQWVA,35,Public
70,amzn1.account.AHFZPSGYXMPZGO5OKBNZOWTFSKCA,21,Public
213,amzn1.account.AE6C3LLXCSTPJCTVB6VBX6FJSV4A,211,Public
53,amzn1.account.AEV6Y24KONGXFGDTZRWDYKR4SPHA,15,Public
332,amzn1.account.AEAB4HCQ6CJ5TV6KMXDPER42TERA,136,Public
301,amzn1.account.AFKQQLHCAG24N2SZTPM5IUTCYWSA,12,Public
208,amzn1.account.AHGXAAYJ6UUADFJ5UOUL6Q6URNEA,73,Public
392,amzn1.account.AECOFROBCR6HTOCEZ4DMK3HVUYXA,214,Public
106,amzn1.account.AGEYQ25PSQCNXYLRGER7KY23LCCA,8,Public
141,amzn1.account.AEKQVVK47EL6R6ZEBA3LP3BQGUSQ,90,Public
141,amzn1.account.AGHGPXCRS3TFCD572U6FCYZMQWVA,35,Public
70,amzn1.account.AHFZPSGYXMPZGO5OKBNZOWTFSKCA,21,Public
213,amzn1.account.AE6C3LLXCSTPJCTVB6VBX6FJSV4A,211,Public
53,amzn1.account.AEV6Y24KONGXFGDTZRWDYKR4SPHA,15,Public
332,amzn1.account.AEAB4HCQ6CJ5TV6KMXDPER42TERA,136,Public
84,amzn1.account.AFONL3IDR5LCXDY3PN47FM3ULVGA,122,Public
223,amzn1.account.AEF6YTGTPL5MIZPDOYMC5W3NGGBA,104,Public
21,amzn1.account.AHKSSAKVU6AP4XKI7XQ2BQCS6EUA,19,Public
13,amzn1.account.AE26IQVEAEEM2GN3OM4ODDASGPBA,5,Public
25,amzn1.account.AFCJ367OM65LVGJ4TB3ABFYBCTDA,17,Public
67,amzn1.account.AGLEYJZZQRZBSOML75C2TTQ5MUJA,23,Public
134,amzn1.account.AFM2AZX47VEWEFUSQ3VWPTO5HNIA,37,Public
27,amzn1.account.AGJMSJCBLP3GUY4V4VF455PWBHZQ,43,Public
10,amzn1.account.AG3ZNEFURFSEMASLYCT476S7JCPQ,43,Public
250,amzn1.account.AH6N6VABGSVOLY7F5O3RWWMPHCOA,30,Public
188,amzn1.account.AEICDFGWRQMYCG6FB4GCLUOME76A,153,Public
30,amzn1.account.AF7QWHEYLPX6FZZVN5FWLYW4DURA,79,Public
44,amzn1.account.AG4LLKSNOXFSIRR5BLSYM7ZU354Q,41,Public
65,amzn1.account.AH6ITOSHCZSFCQYMQ6VS7HFWJSHQ,75,Public
"1,497",amzn1.account.AE26T43QCNWR5VUMX2DQ6YGUUXEA,175,Public
317,amzn1.account.AF6ZPAL7V5U5WZMH3BITUJMS234A,81,Public
5,amzn1.account.AETZR444YHBSDMKQ7RCYQUV5KFJQ,4,Public
89,amzn1.account.AGVK5BBLAH2XN6RA2MZ2BQEHESIQ,30,Public
27,amzn1.account.AENH7BMFHUKH4HWJTX3DUGPWSVLA,50,Public
260,amzn1.account.AGHCDNOFPWGBJD62SSG3FZ64KFDQ,140,Public
25,amzn1.account.AGTZMX7FFFKV6IG7LVCSCLQATUOA,26,Public
38,amzn1.account.AG4CBPNEN6QZW3VH26O554XJDGQQ,41,Public
34,amzn1.account.AERX3PXR2CKHWVQBAP3T3AGS7OZQ,43,Public
157,amzn1.account.AEUPFUDRXLZMQOZAMYESM6SGSFJQ,78,Public
157,amzn1.account.AGTRWI7ECMZNTZGMIEIDWUMQAJLA,24,Public
66,amzn1.account.AHNKA3KAVX2IWTOGNEZCWPR3ZCQA,191,Public
113,amzn1.account.AGRHV4YIO6G5SWJUW4SCMQ67VDFQ,92,Public
31,amzn1.account.AHZ2QRCRZ4EHDX5R7HHGPL7AML6A,105,Public
