page_url,ranking
amzn1.account.AE4OZEZEQ2MSC4RSL5EEDGXX572A,16400529
amzn1.account.AFIV3BKQKF6QLVS7Z3P76BQYNLIQ,1470497
amzn1.account.AFMPOBP26UDU56SWTVDFRJN73HQQ,16162463
amzn1.account.AEZ5FPDGDXBJZZYQQRTIG7KUTGNQ,5591043
amzn1.account.AFTD6QKNAAD723UTYOTF3QCYOABA,27251123
amzn1.account.AF2GDXMBA7CLZINX5L7DVRLQHSKQ,4407550
amzn1.account.AHZOOVF2QGFWHYCGJGWSTRRBPGEQ,335052
amzn1.account.AFCTA7ADJVBKAOXVHUHMRZEEEE4Q,20171
amzn1.account.AEY3HMFSFTDWZOVGZ5PUHSLBJKTA,4036133
amzn1.account.AGU35RTIKCA3ETXR7KBMUCQCRGRA,3643459
amzn1.account.AE4OZEZEQ2MSC4RSL5EEDGXX572A,16400529
amzn1.account.AFIV3BKQKF6QLVS7Z3P76BQYNLIQ,1470497
amzn1.account.AFMPOBP26UDU56SWTVDFRJN73HQQ,16162463
amzn1.account.AEZ5FPDGDXBJZZYQQRTIG7KUTGNQ,5591043
amzn1.account.AFTD6QKNAAD723UTYOTF3QCYOABA,27251123
amzn1.account.AF2GDXMBA7CLZINX5L7DVRLQHSKQ,4407550
amzn1.account.AHZOOVF2QGFWHYCGJGWSTRRBPGEQ,335052
amzn1.account.AFCTA7ADJVBKAOXVHUHMRZEEEE4Q,20171
amzn1.account.AEY3HMFSFTDWZOVGZ5PUHSLBJKTA,4036133
amzn1.account.AGU35RTIKCA3ETXR7KBMUCQCRGRA,3643459
amzn1.account.AGHOS6IKH3YMV5J5QJXAFUUZ4EMQ,295591
amzn1.account.AGM3USY4I3G4V2VMHSOFLTG4NLZQ,7902714
amzn1.account.AEMFQ7OQXOWXWWK63FU25WOFHWDQ,8413113
amzn1.account.AHXZ6RNH3PJE4K5SYU23CUOFNK2A,3198990
amzn1.account.AFLJOVAMXROHHMZG7SL6XIUPJTYA,13564966
