page_url,ranking
amzn1.account.AG5RYT3CA6RYASHBNHAA6Y7O3IEQ,95278
amzn1.account.AH777EL4RIO6R3FMAQA7HBRLWE3Q,9694
amzn1.account.AHNQLZYTGDNUZQV5E3BWSKMKFCGQ,77792
amzn1.account.AEER2BOJD5OUXM64B7FNJGQFZYZA,420234
amzn1.account.AGFDRZFPU6DJ2N24Q2OQOTGRCCZA,342987
amzn1.account.AGGTDIIMIVUK5TGDIFILRF4PXTZQ,43747
amzn1.account.AEKR3UILLXJJWP3TYNW3KUD3TGSA,119015
amzn1.account.AH3RNOZEWEPBITP5T7CIK4SFNIOQ,471
amzn1.account.AGKKHNJDO64TWG3QW4UGIOL2C3SA,3074
amzn1.account.AF3CC3HYPI2MXSFOZSAY44S273IA,1908742
amzn1.account.AG5RYT3CA6RYASHBNHAA6Y7O3IEQ,95278
amzn1.account.AH777EL4RIO6R3FMAQA7HBRLWE3Q,9694
amzn1.account.AHNQLZYTGDNUZQV5E3BWSKMKFCGQ,77792
amzn1.account.AEER2BOJD5OUXM64B7FNJGQFZYZA,420234
amzn1.account.AGFDRZFPU6DJ2N24Q2OQOTGRCCZA,342987
amzn1.account.AGGTDIIMIVUK5TGDIFILRF4PXTZQ,43747
amzn1.account.AEKR3UILLXJJWP3TYNW3KUD3TGSA,119015
amzn1.account.AH3RNOZEWEPBITP5T7CIK4SFNIOQ,471
amzn1.account.AGKKHNJDO64TWG3QW4UGIOL2C3SA,3074
amzn1.account.AF3CC3HYPI2MXSFOZSAY44S273IA,1908742
amzn1.account.AFTIDR6DGLOQKRRSHBRBHBNM4NHQ,8076192
amzn1.account.AGRVTBSZO6MWKI3TMWSGDB2ZAZ4A,997171
amzn1.account.AH3UP3UETC6T24VFNZM6EKBIZVAA,661421
amzn1.account.AGELBX5T6GDSRXUII62MBTBUHYLA,670550
amzn1.account.AECFKXEJW4BQOAZICR64CEERLFEQ,19065
amzn1.account.AGTL2SEV4Y7U6FKICTVLGMWXTQ6Q,1377162
amzn1.account.AHPT34H5FXKZU6UWBONT5SL6BITA,546742
amzn1.account.AFO3VXGVK47W6MAA7XOBKEZORHAQ,185712
amzn1.account.AFV7CQTYN4LWWVO5TUK36VG43T3Q,29606
amzn1.account.AHUD2GL3TLJYGYF377S7F334YJVQ,478507
amzn1.account.AH7EES63DDWPVN2MTUMKCS6GR7TA,240355
amzn1.account.AE5PSETAYG6GYUU2IQE3UMJNRFXA,1874073
amzn1.account.AFNYDADGP5RMBWVMGPWBS25DAP3A,207568
amzn1.account.AFX2EXGOLXDTYZSLLH7IGGNS365Q,536071
amzn1.account.AEVPZ6XELMZSZVMWKHVNO5HVDL5A,3065625
amzn1.account.AHXUDWD2M2X6KOBZCQGB3224EZPA,746674
amzn1.account.AHRFDYTG4SXPNSDLBN6CMZCESYPQ,140524
amzn1.account.AFLNRDEHT3Y2OOX4E22OXALHICPQ,5180028
amzn1.account.AH2VOHC4G3MBADS5LMIRSBOG65ZA,82639
amzn1.account.AHX7NJG6UCQOEDC6BFZKSIBNQJMQ,570358
amzn1.account.AEG2ECPXBT7GKSYVAPIAUTMFFAJQ,3966
amzn1.account.AH5YEFGCDOLFRNRGNE6D3BHSNLSQ,13773
amzn1.account.AHYY4CGSGBBPQ63BF27NT4GAYTXA,25734
amzn1.account.AFFYAP7SQT3Z7P74IUG75VMYKR3A,1826749
amzn1.account.AHBKKPCMPQDRWT7Q45FM3PSKE5YA,184925
amzn1.account.AGXASG7DLLVA5GEWKWBWPNWP2ZKA,65395
amzn1.account.AE5HBVZMOEXQWE3MAMFSKPSK26DQ,4334303
amzn1.account.AFVD6JBWKZX6AXEV3Y5BPIJBXAZA,252051
amzn1.account.AHCY5HCHLHZMSPCBC4FE4GNOGZ2Q,2108508
amzn1.account.AHWFECXW7Y74R4XOZI6PKQ75PBVQ,837662
amzn1.account.AHU4DYRFUPHVPKU74WEGKIL6FA6A,1987731
amzn1.account.AGAERXRKBVQU4COJQBIDD5XU53UQ,326452
amzn1.account.AFEGPBKPKUHPEYXJRGE5QO6R5DAQ,906295
amzn1.account.AGY3Y7EQ6JJURVGJRLSUYOKUCC3Q,281240
amzn1.account.AHBCZZPV5UURYLFLMU6OBFUX6YSA,1160906
amzn1.account.AECO4UBUFMBMG26OJMUNM2JJOIOA,22530
amzn1.account.AGFCTNVZJN2IFZDUYNMMAW55SW6A,133972
amzn1.account.AGIXL4T6JV5ECHZ7QHPXQAC6QGRA,15258
amzn1.account.AH6EP3CHF742G6EEVVTWCB4JAGIA,178783
amzn1.account.AGC7YSXGFKFDKUMAUWQKEY45Y6OA,2607785
amzn1.account.AGGL7US3FHG6FZ5PNQC3K7JI4CQA,361160
amzn1.account.AFJQCU7CYRFACCCYLZ3HUOSXGPFA,747218
amzn1.account.AFI4RJ4UXMYVPFJV6XDBMENKMBSQ,4570920
amzn1.account.AEG3UA2NGV3JLZPHQKVONMVDAI3A,18528
amzn1.account.AGNEXO72BNJHNRI4PCHHWHECNVIA,2592042
amzn1.account.AG4NWOFZTUB6R6K672YMPFQYLKPQ,296836
amzn1.account.AHE6A2KMCMQSOHCMNE7JQHSAHTRQ,77
amzn1.account.AHZXTLBVRKN67SJPRAA7JVJXXO6Q,11234170
amzn1.account.AH7SWICIS6HKFBQ4BQJHJOWTMJEQ,244573
amzn1.account.AFBMRLWWZ2FC54M4UAOF6DICB3NA,4709941
amzn1.account.AEMFGQESG6FFSMURWAQPR4D4X4OQ,3430881
amzn1.account.AGZD2WTE7UIMYP4EDXQEJNAH3UPA,129001
amzn1.account.AFNMGASFKZFMRJTU6UPTCWH72KRQ,3235573
amzn1.account.AFKOWQHDPFMG6YQM3Z7APHHXHRQQ,160892
amzn1.account.AFFRJJIDUZYRLO7C2OHAAC6EP5BQ,4779301
amzn1.account.AE4NDVIXNZH4NJ2VZI5N6W6YXJWQ,3228097
amzn1.account.AFKT2F342WMIJVNLV5PSSGTW6SCA,8356385
amzn1.account.AFIDWHWIN6DUSCTDZHHBYUK6VFCQ,32066
amzn1.account.AE6T3EDYMDCQ6NVITZ3H5GBKSIVA,422951
amzn1.account.AGJAUFVDQYBGLWECEXD4DU5XC75A,716099
amzn1.account.AEJCVOIAXAWZYMBOOF22O2WEM4YA,5807
amzn1.account.AHIACIZ7X66LUPZDYCRORR2A3LVA,185796
amzn1.account.AHXJVBADSCEG5JJ2WMOBP4LBDICQ,569741
amzn1.account.AF35RSJRQQOPHI67LVFGGA7TPHZA,289958
amzn1.account.AHUKFA2BGYNCPHVL6ZSYULOHAYSQ,885394
amzn1.account.AF5FNLQGWQ2LOYBSZW5LWRJRRIOQ,748673
amzn1.account.AGQGZKKT2PRF2SB62BI42PWGIQZA,2546455
amzn1.account.AGRA76FYINLTUIIBRALGQKCPEFDA,4882718
amzn1.account.AFYADI7QKG72HO7XEPT5M7BSQXWA,935475
amzn1.account.AFWA2WJDAJ3IZWRQ56ICPO23NLAA,2360524
amzn1.account.AF6WZJGJMZLT5XFVFIZPN4LOQ6FA,299043
amzn1.account.AGFVCPK6QOVFFK2EGTFQ4ON3W5IQ,4202672
amzn1.account.AFK4BWHGNYY6WGLBIKSKNZNYALEQ,680240
amzn1.account.AFGS57XJDT73DON7BLKUODLRJHQA,2626590
amzn1.account.AFTVM4IQTGKTFB6FA4NK3GOJ5EDQ,2534111
amzn1.account.AEZETRKWVFAOYXEET5IKNHZ6IOYA,5093385
amzn1.account.AG2MO74PJAFXWWDJGGV4PPLYRONQ,540985
amzn1.account.AEGXAUDXIY56X35CRPQIY6YYIG2A,11195
amzn1.account.AF7CC2C5HHTOIWSMH3EVDAJ6BSCA,9813936
amzn1.account.AENIQFCE2NDVAWORAKSGYBOXQDDQ,2888
amzn1.account.AEUAUWQ47UPU3JF4IPVNQ7NUQN4Q,24436
amzn1.account.AHBFBHU43M3XG47IZPBEKHU6I7KA,1121834
amzn1.account.AHTCBHY6QDMDQCHBXROXXJKIYKLQ,8644363
amzn1.account.AH6554UGGT4PCHXEXXTMSVKJ7D5Q,614321
amzn1.account.AEN34RMJLV6WQEHSLLNIT5K44SBQ,11211110
amzn1.account.AE3QV7WOTB64G7V6BQ27PIHX764Q,295503
amzn1.account.AGJ42AD4DXN6TPFVVI2MC5YJA7IQ,172810
amzn1.account.AESKE7PH5ENFBPCVXE35G4REGCCA,5553765
amzn1.account.AGQQPCRECMSUUY326B4ANEGGCYIA,1454806
amzn1.account.AFVY2XOTYCRJIVDCKYVGGXZ7DIMA,833905
amzn1.account.AHUPBQGOERPNFPQKVGXUC3SCPCRQ,593721
amzn1.account.AG6BDMH26X3CMV3D4QV2GU5AP4OA,526753
amzn1.account.AHM5OAEFKQJTFNENDGSCOJK4WKVA,8023353
amzn1.account.AEF2G45CEGAWV5ATRJAQ6NNOHN2A,235560
amzn1.account.AENZLHZI6IUU5V6TVH5SEH6K6FUQ,6393637
amzn1.account.AHLBSH47QAQDHSLMTSECAXSETIDQ,1132920
amzn1.account.AHOISC54SKUICSHWLOZMLV3ZOLIA,11014629
amzn1.account.AHBWZNM3VDWVXT46NYVK2TPB4WBA,77542
amzn1.account.AFRNENTGOJ7SOUHLG7CXMU2L46BA,5133379
amzn1.account.AEXDFSVNN5LFSD7FN6XFSXEP52PQ,2164190
amzn1.account.AFVDMUTVPU7OFH6HQDR5HV5BTXIA,1527539
amzn1.account.AHJPWIJBWTVQGJGZQ2S7UOKIAI2Q,1280217
amzn1.account.AFOP24Z445QDBFRCJWVRTM4D7WMA,144440
amzn1.account.AH7XODDO5AOLRL7RF3X4YDHA5DQA,111765
amzn1.account.AEX3BU22MMHXGOQFY7RJVAB5DSWA,9575195
amzn1.account.AHJ5EG4SGH5MLPHRMITIW3MQV7GA,389770
amzn1.account.AHAEQSDVAJAD2HMJZHZQW2U7OMUQ,2699268
amzn1.account.AEKTLUDJQGO42IABQUESY2YAJTLA,301822
amzn1.account.AECTXFN2ZORLU5AOHIOVZ4SZZEPQ,9610833
amzn1.account.AFIKVYSH6A3OW25RRSPOHG2EEWUQ,1773572
amzn1.account.AE2OHZ6GWK53KCMT4YN3XLOEZ6TA,1485446
amzn1.account.AEWXVZ4CGUCC4DJ4Y44RDEIBKBYA,16535
amzn1.account.AFQ4TUU4IW26VJVQQHQX7RR7AG7Q,199093
amzn1.account.AECFHYKJJLDLMI2IUW2GQ2BCOZAA,241920
amzn1.account.AHWROZEIOGRRRI73Q6QXZKQ6SD4Q,2449103
amzn1.account.AFG4CP74WYP6EY7PFGGFVRIBQCZQ,994164
amzn1.account.AEHLYMAFKHKN7SPTMBCGYGDNWNXA,2131623
amzn1.account.AHAKMK6WEJZ3K37B3JLNEAWEM2OA,9896478
amzn1.account.AFL6UTAWK6466E56WBPJ6KHGRPXA,1073716
amzn1.account.AGEAARRSH5RVIV73XTTRM2CZ4E5Q,1073074
amzn1.account.AHX563KT5H2TNEZLCGDY7EUQPOWA,2739586
amzn1.account.AGE44QGDO6RPX5KSBBAXOQF73R5Q,213226
amzn1.account.AGFFSUSVJ54N6ZOOPS2ELXLZV6DQ,1879275
amzn1.account.AFDAS7CXAW6X54UD4XSWGW57XNOA,1753154
amzn1.account.AELNP25JRVFAGZMUB45HQO3IGUGA,565911
amzn1.account.AEDKOKVYAMS7KMVBDUSPEOHW6XYA,46644045
amzn1.account.AG55LW6KUFEHRQ3LGTVHQVGXD2DA,12822
amzn1.account.AFCH4FLMTWNL43BHCZLMH6S3B4BA,1200750
amzn1.account.AGNGSORJL2S4XWBJ2N4OA72GQDAA,6466670
amzn1.account.AHJUMIVRNYYH2EMKFMZIFSEMVL2A,4655765
amzn1.account.AFG2B3F2HLCJTJHY3OBS3TZLREIQ,1359324
amzn1.account.AF3IWVWCDIHF2K7EYOX2HXCMVUSA,318722
amzn1.account.AG4CSLDPRERNFK53OKOKDHTLEPHA,4388054
amzn1.account.AEKBDMCIQESD7LPBA5WC6VFYG6IA,189592
amzn1.account.AFQBVY2VR6UL3R2N27NBSJEFCUHA,909061
amzn1.account.AGQ5QUS7EBJVTBEDUZUUEO7T2IKQ,5728054
amzn1.account.AGUWARCUUOUANKDJMS66KEFJVZ2Q,805213
amzn1.account.AECP3WP5G634QDFKS5GWJTD3AEFA,193533
amzn1.account.AEFNQUZ7MLQ45LQFSCB65NWD5Y3Q,2647306
amzn1.account.AFRJURODRLYN4XX3X2K5CZNV7MAQ,1358120
amzn1.account.AEOVD6PBLMBIN7QKKQIV7PCB5RYQ,3660703
amzn1.account.AHD3QZX4EF3AQ6VR5JAKN2UPOVPQ,3140757
amzn1.account.AGMTXGWW2S76ONBAPWCUPVSMWI5A,232190
amzn1.account.AF32ZMIFTB7CACNNXCV2LKGOCHUA,427437
amzn1.account.AFR3QSJ37XB4O5PZLRNYAYG6DRUA,143359
amzn1.account.AEUDG4GH6ZTDS7NWMZMBBFJ4CQTA,9606736
amzn1.account.AGE7TBJA3XVYLW76XQQLQFZQ27UQ,14797342
amzn1.account.AH7ZAOOUHHPN74QJLTAHKL55GJBA,5776555
amzn1.account.AG2EFIML564BR7WTYLVD7ZRPZCLQ,25449
amzn1.account.AHAGT7KZEI56KHDSFCSAXVMGLENA,1220564
amzn1.account.AFRFMGO2WIGIOJQG2UO6LGYCRDSA,795487
amzn1.account.AE3S5YBNBZGG434DZAM4C3HB72GQ,10866
amzn1.account.AE4ZHPANKNMTTPFJJ445Z6473WCA,47566
amzn1.account.AHXDHHXBJAAG5BIACFXBGFYOKJRQ,668423
amzn1.account.AFFWSVXU5E6OV5TFP27L23VD2WHA,112840
amzn1.account.AG5MHU4P7UBHC6SB36OXPLDTZ5OA,2854915
amzn1.account.AFWVVEQU7UNZ7AFUKEEUIP2VOBNA,173958
amzn1.account.AG3FZRD6YCX5N32BBXHX76RYNKBA,3019425
amzn1.account.AHL6LMAR47HAFVURHZDHOPIAC7IA,2488727
amzn1.account.AHOFKV6BHC6672VFDTXOSYYRMK4A,430505
amzn1.account.AGYJCKL76KI5LVGLKH5DF675LRQQ,1199630
amzn1.account.AE3TDWWFIRQPNFUQCUFYNPQYRFOA,25389640
amzn1.account.AEII7HTVYG7KY3G6XBO2DYGJ7VHQ,11179910
amzn1.account.AE7QTBLKO4GYXMBAW6LUZASXTNHQ,4619334
amzn1.account.AGPZZWAPUCOWDXM24M5SLN4QWILQ,20356
amzn1.account.AFC53PSYHXH7A7VDZ2PRUEOJZWEA,392797
amzn1.account.AHIVBIDBMQPZXME7GJJ5CFBJNUCQ,1144516
amzn1.account.AG6VE2IZBGEP47FPQPCRTX6IGF5Q,9456198
amzn1.account.AE6G5TVOLGV5FPZCC2NJ5X5XCMUQ,11841499
amzn1.account.AHEJD225I5KXCYP7SCBPUFYVCGTA,2992308
amzn1.account.AH6UIYXCA5ANZOJZ2UCNCUFPSGIQ,437005
amzn1.account.AGCG3ZFLKDDKULYEPFJJCWOSI4LQ,349732
amzn1.account.AEXAJCGGW7UKV3UPO6GVLLCUO6IQ,2986055
amzn1.account.AHONFKITR3LEHF2GWUL2U773L5MQ,5494
amzn1.account.AH5HMMSIBSALHA75GA4SUKEWR7IA,19203
amzn1.account.AH4ZX55Y55A3MY54QBAFE6GCFOPQ,7399535
amzn1.account.AFAE5KK4AYIMVIO2QRVH2KJIJGCA,493577
amzn1.account.AHWTCIMRLMIOXU24ELAOASFCIIFQ,766428
amzn1.account.AFHAK2MJUS73POYYZ52YL4EKNAPQ,1094279
amzn1.account.AF3HCXBIRMFIQHXJGGONGFWF6G4A,791135
amzn1.account.AHWYSJIMUEIUBSBWKASEA5WOSCGA,655
amzn1.account.AED2UMSWJCUY54YFH7GIIKZXTU5Q,1417650
amzn1.account.AHNIB5WH2XEP3IZ3ITZ5N4U5WFUQ,449040
amzn1.account.AEDXEHSKNRRGCXPGU2ZW4NI7HNIA,1225296
amzn1.account.AFKG7YAXSVCNLTYE4PBY3DXCRCTA,4019239
amzn1.account.AEXQMF7O7URYISN2O5LHDQNXVQFA,225329
amzn1.account.AFNQHZFCMZ5JD5QYYJBKOWMXFZ7Q,1956257
amzn1.account.AEV526QL7FVVABNOCPLOKVDXLDUQ,86669407
amzn1.account.AFOFRWKC5VHUNLN3KQYCO3SM7KJQ,1771758
amzn1.account.AF2DCIE4FU6D2JX4SUM5OTRO2YYA,559114
amzn1.account.AEXSNMQAKJKLLF6GXD4XJB3FVNGA,788912
amzn1.account.AFEN6L7NU3XXICP5VGIABLIC4HFA,1101433
amzn1.account.AHYITTRVFJRM3X6C7HIRBJ3IR3IQ,774003
amzn1.account.AEB44EUSRKYX74J35U5VKLIPHUWA,455857
amzn1.account.AEAAGH7UZITRO5QZMNVZWLO6DK2Q,1720375
amzn1.account.AEQIVNFQACVDMZGJDUI36MKJQIMQ,829538
amzn1.account.AG726Z5VEIQNG3XI6YHWYJS47MCA,2919867
amzn1.account.AE7IT2PXX5FIAX2GIGM7DAMD6LEA,4972
amzn1.account.AGRXAXHB2SKIGIVAAS7EL2MPGTCQ,772816
amzn1.account.AEOOA7YNUUFNXPFQEA2JC2FUQ77Q,4727541
amzn1.account.AHFKCDUQEL2SOTOW5CHTCVJTWQIA,3801876
amzn1.account.AHJO7PWD2JVOOC3RUYISDJM6UNMQ,7488932
amzn1.account.AHNAJGMNAXSMOVYK7AZHCL7DWWKA,235235
amzn1.account.AELG5NMS2ANZHAGFJTT4HVV7CHIA,1390349
amzn1.account.AEU2U7L6BNT2OVHI3R43UWNTAADQ,705875
amzn1.account.AGQ6QJDVQY2NX4CJXKNDJYCM7W3Q,38563
amzn1.account.AEADA5UCX477Y766M42SAEMWQQVQ,1156770
amzn1.account.AEJJOBLCC2446ONDEBAWWCMAOALA,94713
amzn1.account.AGTSF3E7WW5G6KDB6LLGO3JUOZBQ,115629
amzn1.account.AEIYYPE4ISQVQD4HXESVT7KESERQ,13906455
amzn1.account.AEPMP3XMVP3G5YVFDH667N746W7A,3751223
amzn1.account.AEV3NZXKMLE7Y4UDAPKOVUSZWYIQ,624343
amzn1.account.AGMUQKRDGY3BVJJ3MQAAO5YLVUEA,1321464
amzn1.account.AFVN243AJ5IN5GGBWXANQQOFSZIQ,14605
amzn1.account.AENAYIHQKJ6YBA3KJCX7ESTGRWWQ,58864
amzn1.account.AFUED4QTJ22MB6HUQI4MGZYWVRGA,878308
amzn1.account.AEVDDNMSXJAVL3EOIZ3JA4O72W4A,499465
amzn1.account.AEOQAMGW5EMTWCWKPV3QUDG7BLRQ,151404
amzn1.account.AGCTAHZ2PL5LVU6GPKU34NKGICEA,31862
amzn1.account.AFI6FXHNGVTXRGJDQCMTVQMXKC6Q,1603567
amzn1.account.AFSQ3XPTNXBDZUDDLFZPUB27DQ5A,98174
amzn1.account.AFNLGOZJABWQK36AF7JDJQIOKFSA,41290
amzn1.account.AF5KGIP42T4G273SIC4TVEBWNMJA,67282
amzn1.account.AGGSPSF57FNZASAVLGWJPYBIRIBQ,3879603
amzn1.account.AGGEI2T7HLOWYJ3ED6CVOGWHFGYA,264931
amzn1.account.AFLPOXA6GXHG7PGTZDGVWQ66MBSA,2985
amzn1.account.AG4GZ3NAEG626O7QAQ3QIAMO5ZGA,3139049
amzn1.account.AHEV5QTFFVKHBQK2XYZ6YLGMDERA,7936406
amzn1.account.AHN25HALLVKFQC67Q5XRSTFWXPKQ,705988
amzn1.account.AE2PCES64DTEX2AXGJBULD37L2JQ,706394
amzn1.account.AGGLKUDDQ5AZ64MTOV3WVWCGYLBA,2665198
amzn1.account.AGA2FHHA7PGR3D6RBVFM7RVWIWFQ,262527
amzn1.account.AGVIHVNBWLBQ42SRA55R32F7PGQA,2662197
amzn1.account.AG2OFWVTHDN2KYYBAVQIGUGIUTAQ,869490
amzn1.account.AHQOSWPWBSLJOIAITSF4TUNZCC7A,240950
amzn1.account.AHNASKPOOY2H5AD5HGOICZHQPSQQ,2258337
amzn1.account.AFNCNQCZFUEOCNLHBYF3VXBQN74A,414790
amzn1.account.AG6WIOREHSZ3QZJINMDRQEDBJQ6Q,1153989
amzn1.account.AH5SE2CK2P24UBIVZQW2EJU4JTVQ,320502
amzn1.account.AEZEVMIL7CWPAMT462JJC2AAVTTA,32454
amzn1.account.AHMSOL3GEJJ6ATL4NSQVLP3SDD4Q,220262
amzn1.account.AFMS5AX7CJC2WR7LSBHJQA4S577Q,15534947
amzn1.account.AGLFI4W224TZYUQ6WJXTOYUW27JA,2261637
amzn1.account.AGW3ZWZRBG3MM4IZOGCS7KHHMEAQ,16244931
amzn1.account.AFYLP2M5EIQXHQFKCYJC5JABET2A,148863
amzn1.account.AEHQJFXW2Z2F6CYFYNTTS735T34Q,6182027
amzn1.account.AHRQWMRY3PW3B6DBFHTGMSFBPOCQ,249202
amzn1.account.AEAUH6Z7H6JLWFAAP27LJPXZJXSA,228116
amzn1.account.AHNPGQDOB2X2QLHH6OE5D2GNL53Q,2044809
amzn1.account.AGT2PGERPDAWLWQMC7RJFJR75BSQ,865809
amzn1.account.AGNHZ5E743M336SQK3FCTWAC23HA,708419
amzn1.account.AH4H44ZQICK6RULT47T5US5OAOEQ,81349
amzn1.account.AGMXZFM5H67AQ4Q2IPUR6RYL3K5Q,11508811
amzn1.account.AHAYBOEODL7RXYFOC2T4D7AGFISA,68616
amzn1.account.AGFF47ZN6TD3BM2IZ2SWTYXO5MQQ,2776164
amzn1.account.AHI4CKO3PQ3LENMN2MNL6Q7BE3NA,16504817
amzn1.account.AG26KAIJGTHYKJMKP5YUNPIYGIZA,3429590
amzn1.account.AHW4LQTQSLXCRJNEZBQQO7MYV2TA,70943
amzn1.account.AFNDEDSFKSSSFP7LAMYBG7HQBMMQ,536699
amzn1.account.AHCGOALS3R3FN5FWVSL2MPRM5AOA,3626332
amzn1.account.AGZ5AXU4G3R6BSDVOHVFGPG2RYSA,25756
amzn1.account.AFB7NFSZEQUAXPQGV2Z4WVGNGF4A,161028
amzn1.account.AHLQ7ZZKT4KLBVCNQVZNZWMBTYEQ,1342080
amzn1.account.AHJXOMPV6GZBEAJGTBQ4JTXQLWMA,4327001
amzn1.account.AG62HPLJBLLVWNOQUCQKVPJK6WIA,6612664
amzn1.account.AFSM7CLKVPNXR2HEDDH6WO6TQETA,3094241
amzn1.account.AGUBRTH5UKJLWBCL2POIDMVCICWQ,1259970
amzn1.account.AH6ORJSOUR5KC3YOO34XVMQAWDTA,312133
amzn1.account.AHHI5ZJOYMO6Z4UAAL3X324VNZNQ,3208617
amzn1.account.AHRT2GSRYBK4TPDFT6G6CITOUPQQ,4292511
amzn1.account.AEKHAAY2SDGKKXIBUIIGNK4GCKLQ,378752
amzn1.account.AEGQJQEA2RWETEPRKFZKMXKBXGZA,3547109
amzn1.account.AEUZDQ6U52YN3UUWPRYYIQR2YWPQ,25737082
amzn1.account.AGB6Z6RIQLRNJ32FI3JJX6ZJALUA,343872
amzn1.account.AGGNFY5WHFOVGHIZCSEA3G4HPOJQ,820632
amzn1.account.AEZXEWDPFVHKWVTL6YG4TPXBGCVQ,288969
amzn1.account.AFUDLDIZJPMQLG6UMH5E7GKVYTPQ,38001846
amzn1.account.AGUPFFE6XVO3EGFJLBZHJZHOUEZQ,3791494
amzn1.account.AHVC26JGTHMPGKQZWPLO2KASSVEA,730573
amzn1.account.AGV35LUGTBSYB5WHNZVDLVK4V5JQ,323481
amzn1.account.AEJ2IVJBTFMVL3BCNZT5P2GPQD7Q,3510864
amzn1.account.AE2R3CKK2FIP4K5LSTFSXTUODM7Q,10372694
amzn1.account.AFCS6WBA6EDA4BSWPPW4HH2NWQ2Q,858865
amzn1.account.AFDIG6QOBHV7DDJFK3JGRFTQ2VRA,1214525
amzn1.account.AHISLLKH43GALJVIKMBEB4RUURAQ,20507801
amzn1.account.AE7ZIV4NDCUF4TF6FVWRIY624VPA,641848
amzn1.account.AHQT6ILF2TI6FKTONL4QRCVJFBAA,171213
amzn1.account.AGIONP7QPHYGJUD4VQZYE27EGADA,1114866
amzn1.account.AFAEPUH5V2HWBKJ2MLN5OAYHCBBA,15477
amzn1.account.AHVB7BBXVKTKB7JJ54IW53WKT24A,40543
amzn1.account.AETJYVBFZESNT7DMRYHK5SHKEQSA,822281
amzn1.account.AHG3K4J2HLR3L6HUQXSS7TPMSPIA,624003
amzn1.account.AH6LNAZAH6BPUVIEK2MIHTCG65SQ,2409741
amzn1.account.AHYT6WGEEIMWEBJGVOPOQGE2RHJA,368486
amzn1.account.AEVUXJATCHB6GEAPB3AHZS47DK5Q,11587
amzn1.account.AE4RL65T66MCD33QN4NUJLJX2H7A,2665200
amzn1.account.AGBE4Y3GXASC5KEBBWQWHMKR4RPA,260191
amzn1.account.AFFP2AQ2NCR5PB5VA7YPUYN6TMBA,162838
