page_url,ranking
amzn1.account.AFTSAVX2OYD2QJVLQDDMDUC3LHKQ,671846
amzn1.account.AGCHKUTXBKXBX327YBTBD7MRMPKQ,481705
amzn1.account.AGKQYVUE5CEBZ4VGKRF7GRLH6HTQ,659476
amzn1.account.AHKAIJYWOSX7TXWIGUZGHGZA5VQA,173615
amzn1.account.AF3QQD6OOMOJFTW5AMERIZJ3RYLQ,3412321
amzn1.account.AHNWLN5KVN5QUPREPOED5DWESUAA,864166
amzn1.account.AFIYZXS6YFVYA6VERX5JJMXGPBYQ,1351509
amzn1.account.AEDLFWM6Q7SDR4NUJ6ND2CX4FDJA,1124796
amzn1.account.AFBPRKFV4277H653G45KQXOWW7PQ,22416
amzn1.account.AFGTUH35SQS6UXR6L365XUOAEPQA,27008
amzn1.account.AFTSAVX2OYD2QJVLQDDMDUC3LHKQ,671846
amzn1.account.AGCHKUTXBKXBX327YBTBD7MRMPKQ,481705
amzn1.account.AEPSUN6ZXEMOGNN7D444XUX3K2JA,2049
amzn1.account.AGKQYVUE5CEBZ4VGKRF7GRLH6HTQ,659476
amzn1.account.AHKAIJYWOSX7TXWIGUZGHGZA5VQA,173615
amzn1.account.AF3QQD6OOMOJFTW5AMERIZJ3RYLQ,3412321
amzn1.account.AHNWLN5KVN5QUPREPOED5DWESUAA,864166
amzn1.account.AFIYZXS6YFVYA6VERX5JJMXGPBYQ,1351509
amzn1.account.AEDLFWM6Q7SDR4NUJ6ND2CX4FDJA,1124796
amzn1.account.AFBPRKFV4277H653G45KQXOWW7PQ,22416
amzn1.account.AFGTUH35SQS6UXR6L365XUOAEPQA,27008
amzn1.account.AETYKTSLHXM3GAKMCEBGIA23FY4Q,1693853
amzn1.account.AFTWYXY3CRERG4FGGAHNBQM7OWVA,1089169
amzn1.account.AGHPBD7E63WGBKX3ERCMEBAYFB6A,9755024
amzn1.account.AH3IFQXLKF6ENZHMOHATLFC6ULJQ,20672724
amzn1.account.AGQF6CGSDIZRGP26DWVPGE6XMYBQ,1296479
amzn1.account.AHMG2CSPQQZ77UTSX7Q4LLMYASGA,1576367
amzn1.account.AHJ64EPJMJ5HKBMPU3YOK6SSSKYQ,355262
amzn1.account.AGKN7Q4UEAUZSIX3PAWGP2ILG45Q,5706065
amzn1.account.AFW4MK3SRZPXVXXSMGFTT4RSF4VA,12867410
amzn1.account.AEBKF7N3B5QQZCEMGWNMA2P7FNNA,3337692
amzn1.account.AFVJ6SHCKCJZ4W6L4C7AENGDIZWA,175407
amzn1.account.AEXIYLI3JPTZULHKZXEZLYIFRMTA,2521935
amzn1.account.AFL4A6RJSYZJHQW2QKJLI4MOCOJA,201132
amzn1.account.AEUVTSVASVPZWGKHIZEPBBPFKXNA,4207439
amzn1.account.AHUWYVAY5675TH7XGZ65SVMMQINA,2637293
amzn1.account.AHMTWBYVJ64FZYWE43QKQJQOC3EQ,3778881
amzn1.account.AGSACOAFDX6UIZKKSEPWP4KKXTCA,86132728
amzn1.account.AF42JNE7UGX3YUXLVWXLONY3VQ5A,211113
amzn1.account.AFQYQI77HORUPGD3HIBB3UGYRUCA,58307
amzn1.account.AH4D3KYAD3PXV4XNDLVEPQL45KYA,219896
amzn1.account.AGJYACILNOF4MWUWG4OLPZPBBW2Q,424120
amzn1.account.AGZU3FW6TRNILX27LH4MLHPZ3AKA,2639539
amzn1.account.AFXJD5UXBVXOZTVXK7IUCONMT7CQ,2763333
amzn1.account.AFHMQOOOXMDQ3TZAYFMIUXKVVERA,358436
amzn1.account.AGA4WQEKL7FWVHLLJASF5QIALWLA,3037721
amzn1.account.AEWD4REFOHIS4DHOXOJSLJE56WKQ,2192839
amzn1.account.AHJLNP73DSEEDNNQJ6TRG7ZRM3VA,55662
amzn1.account.AGS3I7IB7LC53CTD6RMNBGYKJWGA,449385
amzn1.account.AGK564X2YMNCRQKHOX4SPXCDO6PA,610978
amzn1.account.AEA4Q7U5X6ULXVALAHISENK7FZCA,102063
amzn1.account.AGX5B5CRX65IC5DEV262IWDO5O7A,9973993
amzn1.account.AH32WR3TD376DGLM6K7ZJAC2X54Q,9398678
amzn1.account.AF5645GYSEURYGQIDRJA5O4XTNXA,76980
amzn1.account.AFFBIVVHOZLA3XPAZQKCFMNDLETQ,12934439
amzn1.account.AGTS6UAX4SRRDJJ3VLKU6GYT5WBQ,366683
amzn1.account.AGQBATYSAYZBAO42WP3PHA6TP67A,3386013
amzn1.account.AFEFRMJ5OQHPKVHB3YSZXIS7V4CQ,1828
amzn1.account.AHXCYPKQ7LPY2XHYMEZY6H3DQVHQ,453638
amzn1.account.AHTNTQHEF6HGNVZYNU24RUOBRG7A,9445
amzn1.account.AGVIURUDFRMSRLUDQJC67DFXCHKQ,147999
amzn1.account.AE7TFCX7HWKKUCNMKUWHNC7DGB7Q,60386
amzn1.account.AERET6A3KAR3MLBZX5EARSIMQ6OA,674598
amzn1.account.AGCCASQVUHJMZP3FIK6L4UO72FNQ,3675
amzn1.account.AFD3ZLERGBPGVYZKVL5MR7QVNXLA,2280728
amzn1.account.AGF25SS5WXAOR42ULUUGXSTBPINA,680619
amzn1.account.AHFZWLLG6IA5YPWMCCQRSPOYPI3Q,5592500
amzn1.account.AEHJ46M2H36UCW4CDAZSGNNRLBDA,10350977
amzn1.account.AGYL4KDFPZ4E5NP5KMY5CP7OGH4Q,2469706
amzn1.account.AHLOEDUW5V4WSDMHEJE3RIAMVKIA,1159950
amzn1.account.AEJAAMVY4H4LQFYTCBN4H5GRM4CA,129160
amzn1.account.AHM7RS75BI73DSV5SXX2H5YZZEGA,12586
amzn1.account.AHTOY2Y7T4CR4FYY3NQVZPCRUU6A,859842
amzn1.account.AGPM5O2RFTK3SWT5WTNXPVF62WJQ,405316
amzn1.account.AHZCKZVJQJMN34YKHX5FZINLYBPA,908309
amzn1.account.AEBNBS5BATTSAWS6Z4R7HVHW5N5A,7852236
amzn1.account.AES77NY6ZQXBRAP4PE72OMF5CEFA,477450
amzn1.account.AFRSNJNILSYKDFISB32X4OB2ABHA,86722104
amzn1.account.AF27GDXY3EEKMLFNQUF3XAS5MIWQ,59990
amzn1.account.AEXJ3PGO4NZR2TDGOGE5TCZXRTAA,2989393
amzn1.account.AFLUVGLKAUBLHA4IOIMR3JPI3JPQ,64838
amzn1.account.AEWVFBVVMLZ35XMYQQ7XGYSB5DTQ,11951324
amzn1.account.AHYBVRYZF2OCONYWPPHVFP3LOCNA,639
amzn1.account.AFCXE2SCCJNMRIHQXEPFGPFI62HA,700833
amzn1.account.AGXVSWOVI52QBBU3UQXRS6D3VOZQ,14319
amzn1.account.AFXGA6BR3UYIDDMWJ7MXVHB7RA4Q,418387
amzn1.account.AEZUSZQOSEWX7PY22PYGVRPG5AWQ,12909344
amzn1.account.AHL34LAMCU22CIXSQKETOTF7JDKQ,1629300
amzn1.account.AH5VG5SUGRW2MMACSAKWLYF5WGXQ,640618
amzn1.account.AETDBHKPXUOFTJ5ALHOD2FIYTEUA,512146
amzn1.account.AFVFE7PDIEI7DG4ESBR4UNQTTWFQ,15742600
amzn1.account.AFVPBR54MQPW3WDHXY3I5SYKQOIQ,71887
amzn1.account.AGJBWMPWGZLI7WVCGR5J6ZWMR4WA,493842
amzn1.account.AG34M5AGCXWWCYG47T7TGC66ZOWQ,3415020
amzn1.account.AEDC7B7QRGBD6AUUATJPLPLLZIEA,2507501
amzn1.account.AFPL64HBYDMD4XWWT5YPAYBWF32A,1262942
amzn1.account.AGBFVADO3OGCROWXV4XMSX4EU55Q,86651132
amzn1.account.AF5IYLNIY2U53MXVVVWLYFOBZVHQ,10181966
amzn1.account.AH2UTR527KHTMUN6JGAZPJN35FXQ,16162450
amzn1.account.AE2VG37BKTQ7L6UUCCQSGGK4FYNA,2078840
amzn1.account.AEHDBJRZ5RRCPYJ6EWSTOETQ6VHA,3863614
amzn1.account.AF3NGJAML2VY52WRZXZLHIQ7H5WQ,16546415
amzn1.account.AGI4DJIXNSEKCB2UCGYRQRR5GKCQ,6981963
amzn1.account.AELGI7AOHF7E33F35PZGAOANKR6A,1335172
amzn1.account.AHRTZTPPLGKD4E574DJ5RJZBWZXQ,86201
amzn1.account.AGWJND4MXXFZKM7O3Y7WPAFK3LLQ,2329499
amzn1.account.AGW3HNJFEZL3IVAT7JGQZPES4H5Q,1806039
amzn1.account.AEXCSTAS242YGEHYMVVDKSH3BLMA,3744831
amzn1.account.AGYOUAGMDBLX5SKFOFJEBDWKJ7UA,10245393
amzn1.account.AGDQZTB5LILKYK7RWYBIV6IPY6GA,392446
amzn1.account.AH6RTLYI7ZLDR7LRZ3TWHEZFLYKQ,5154238
amzn1.account.AHY4DKIPMXJSIBPGVXKNT4B3FSJA,7659233
amzn1.account.AFCIYYZRW4NADMF2QSHTPTNOSELQ,243624
amzn1.account.AEC5C4JI64XC2S2H5Z4BBJDWW2PA,203735
amzn1.account.AEN7JYVZQZJ33LMHGEAZOVYWP3KQ,17037342
