page_url,ranking
amzn1.account.AGO7YDI4EAP6I7YCUL2K4JFRCO5A,20077
amzn1.account.AFYFNVBAO7W77K5E2ZVRRP2QCU4A,584265
amzn1.account.AGZN5CXI6XJCUYUGAWVGZYL3NUDQ,659809
amzn1.account.AHGJTS5GXPXKXB4MTHJIPYICF2YA,2177
amzn1.account.AEFBJ76UUIYU4PL36676BXGPYIBA,1488065
amzn1.account.AHAGHG3K3MDXP6XLBRLRLGNSJUWA,284229
amzn1.account.AHZD744XC32PITH2ST733X5NFITQ,552492
amzn1.account.AHRGTIMQO47C2VLJILIDU53BQKSA,393
amzn1.account.AEOTIVDPILFEOGDW6MP6QQBCEM6Q,37118
amzn1.account.AHKWK55INXQTB6NAWRE6HIUE3HZA,3772025
amzn1.account.AGO7YDI4EAP6I7YCUL2K4JFRCO5A,20077
amzn1.account.AFYFNVBAO7W77K5E2ZVRRP2QCU4A,584265
amzn1.account.AGZN5CXI6XJCUYUGAWVGZYL3NUDQ,659809
amzn1.account.AHGJTS5GXPXKXB4MTHJIPYICF2YA,2177
amzn1.account.AEFBJ76UUIYU4PL36676BXGPYIBA,1488065
amzn1.account.AHAGHG3K3MDXP6XLBRLRLGNSJUWA,284229
amzn1.account.AHZD744XC32PITH2ST733X5NFITQ,552492
amzn1.account.AHRGTIMQO47C2VLJILIDU53BQKSA,393
amzn1.account.AEOTIVDPILFEOGDW6MP6QQBCEM6Q,37118
amzn1.account.AHKWK55INXQTB6NAWRE6HIUE3HZA,3772025
amzn1.account.AF7WQUQXU5N2NRVFH3DP2OSBAMUQ,540910
amzn1.account.AEV7EQDWY3ZANNJGY22GZTP7I6OQ,1927111
amzn1.account.AFC56GHDSYUC44BQMLDXNNPSP4JA,6787638
amzn1.account.AESWGAHQJU7ML6QE4U34AH5ZRZUA,8663
amzn1.account.AG26Q46C7QUHYW3KJIGRYUZNRSQQ,299772
amzn1.account.AFV7AHA7IWTVXIWWDPL43SN3AJPA,237510
amzn1.account.AHK3ATVI3AAHRH7MKXSLXV3GYLQQ,9167906
amzn1.account.AFJRGR5RLLYIC3ALTTRXOPXQTPNQ,3724581
amzn1.account.AHB6BT7JTJ77NV3HYWUGLM7T6S7A,104964
amzn1.account.AHKTXQK42YJIWXLTP47QJHZ65P5Q,54520
amzn1.account.AGBIT4IW3JNT6AHDGVQGW3PVIIZQ,1308849
amzn1.account.AEMRVQ556OKSUBZYJMZ7753CLYAQ,14435
amzn1.account.AFR745ZGX7N7CSVYHK47J4NSBKUQ,1384935
amzn1.account.AGQOADESXBTZFMSDCGNGV6TRTH7Q,348035
amzn1.account.AH3KGWDNPEZ3WBXH55EHT2XTIGMA,1622704
amzn1.account.AFARBDAB5TEQFNT2WC6TOWTQSLCA,22741
amzn1.account.AG3L5TNL46ZAZM67SI6IY55TMMXQ,6496134
amzn1.account.AGBW3ANQGJFKL3OJ56CCN5M7P2JQ,1907323
amzn1.account.AGCYDA6GB4DYXEIFUQO355UKZCWQ,142999
amzn1.account.AFCLUDE55GBFCZERWXU663U6LJKQ,4353362
amzn1.account.AGO2VYXLC7FREEOYLM6MKFNBF43A,2420002
amzn1.account.AGZD66AISQDJUTYEGXHWVG4SVBKA,87225
amzn1.account.AHM5MRR4MIXAFRBQUJS2ZR3OL2DA,6793175
amzn1.account.AHTMJEI54B3UAJO2SLGPSIYTITBQ,801910
amzn1.account.AEJJJZV7HXOWHQJ4KOGSG7AQAJ2Q,82535
amzn1.account.AG5K65GCV6XNE3LIAXSSN4X34EFQ,167066
amzn1.account.AEXPD7J4ZWNLDYF5JUEAKXESFOVQ,935728
amzn1.account.AHNYPMJF3ZX7R5OJYYNEMHTDK4WQ,106771
amzn1.account.AGQT4GNZS5KV6LVRQ2JKNUHJ3B3Q,233720
amzn1.account.AGL3MCBLYMSXDHIG7JXAS6XZCU5Q,863693
amzn1.account.AGQDLBPCYRCSEHP2E5TNVHWUOXRA,147478
amzn1.account.AE7CPXDACKHRJ6CV3QG723SJSKZQ,3554761
amzn1.account.AGZR5S7PTH6PM4RKPBFGIIRXKCSA,791013
amzn1.account.AHHZYPKGMQR6KCRSCZD7DDBXGVIQ,315471
amzn1.account.AFZ4IMQAPC4RTT3MGIJILKWXNZVQ,3078078
amzn1.account.AEVCSTTY7X7SWVEUIKTE5ADU756A,1188364
amzn1.account.AHWVZIY3NX5LH5POYKDTO3NOUNQA,2402302
amzn1.account.AEPXQFHLHRK36GXAPWUU7KULYGFQ,472310
amzn1.account.AHCZNORPP3G3FH7PDER6IMYYSIVA,186027
amzn1.account.AGYIUUO57VDZM5PYLBJE5WBMWWEA,1973151
amzn1.account.AGFUWQS36URTEEETO7I4H6XZH3IA,907942
amzn1.account.AG2A5AUP6ULKDOTLEI5S5QKCRAJQ,808838
amzn1.account.AFE3232QWBZ5P35FT4VH2EJ2EVMQ,2010984
amzn1.account.AHJMTHQB3AWFS2UF3YNUBNPL4Z7Q,2079655
amzn1.account.AGP637RFYBGRY5AWL5RRJLY2W7SA,2338737
amzn1.account.AE547XCKTZQE4PBF2F3TKNGWMDOQ,5018067
amzn1.account.AEAJ4F43B7UR5OAVL3P5UVMIOKJA,6196
amzn1.account.AECRASNYSLTX6UYINE7BDXIQL6KQ,5292104
amzn1.account.AH5ZC5GR3DAEALRDHWXJI6YQ67RQ,471570
amzn1.account.AHT6LK67CGNEAQYJ4DGX2MUP6JUQ,2481007
amzn1.account.AGEAMPGN35ZG4AKUSWTIACDTOYFA,1571529
amzn1.account.AHLZFSJCAZZ2H25MJOHP42MZP3EA,5308376
amzn1.account.AH7RDVIAPXOWNYEIACICGLFHFNIQ,2161534
amzn1.account.AGWP4OLBYT7JYIPFOG3UAHTFFU3A,207185
amzn1.account.AFA6B2CWJ3FSDRBKQYUITLG37JHQ,899064
amzn1.account.AGU3LDETEKUFIENSZILTOGJGSMPA,1338167
amzn1.account.AG2GYEHZRSMXIXLZCPJ2FCNZCUVA,2207780
amzn1.account.AGNEVSP6BF6SXAO75YTSV7WTYZJQ,45224
amzn1.account.AEHLW7GJ2Z2YRCH4SUXQNA3AJK6A,1665572
