page_url,ranking
amzn1.account.AHIULA4SQQN2ZTBFTWILE532RHRA,1241610
amzn1.account.AFKTIGYATELYZYRBKZTCNQDSBA2A,2120838
amzn1.account.AHZ7ZHVPVN75VEVNUOOZINEMLWFQ,124705
amzn1.account.AEPPJROY7UTKD4LYFQDXEKBBXTXQ,22532
amzn1.account.AH6PPZBWDAL6XZOTBGOXHJKN2YZQ,10619404
amzn1.account.AF76LDIDI7LKO4DYX6QBDXCY2NQA,2236903
amzn1.account.AG37BRWD4A6RIC343DA37IMN7IPQ,680070
amzn1.account.AETMS67633252TO5Q4JFAMODNLIA,2928484
amzn1.account.AFVPD3KFBSZTQ233DNMZCVNA6L3Q,350747
amzn1.account.AEUKC5UNWJZE3DIPGGLWH4MBSBBA,1091798
amzn1.account.AHIULA4SQQN2ZTBFTWILE532RHRA,1241610
amzn1.account.AFKTIGYATELYZYRBKZTCNQDSBA2A,2120838
amzn1.account.AHZ7ZHVPVN75VEVNUOOZINEMLWFQ,124705
amzn1.account.AEPPJROY7UTKD4LYFQDXEKBBXTXQ,22532
amzn1.account.AH6PPZBWDAL6XZOTBGOXHJKN2YZQ,10619404
amzn1.account.AF76LDIDI7LKO4DYX6QBDXCY2NQA,2236903
amzn1.account.AG37BRWD4A6RIC343DA37IMN7IPQ,680070
amzn1.account.AETMS67633252TO5Q4JFAMODNLIA,2928484
amzn1.account.AFVPD3KFBSZTQ233DNMZCVNA6L3Q,350747
amzn1.account.AEUKC5UNWJZE3DIPGGLWH4MBSBBA,1091798
amzn1.account.AGOOEMQ2AMCGREEXW64VATJDYXWQ,21013
amzn1.account.AGYSHSFB4UN5DDCPNWX3TY6S64JQ,10640481
amzn1.account.AH6N4MPXUFL4GEOTPVAEK6QJ4UCA,1043120
amzn1.account.AGJCIVGOLNZCJSCLJ6R76DFHJFNA,1063222
amzn1.account.AGCEYVJYV7LW3MIQK2VATYSCSBXA,5580189
amzn1.account.AFKV4F7SHUFS5OF3GZL3HIH4Z3PA,528364
