page_url,ranking
amzn1.account.AFUOWXBXTYITFKQEAFQ7ZAIM4WQA,25234
amzn1.account.AEHVT5QVWHWD2UGH34QZHR2BLC3A,423498
amzn1.account.AG3SPHFFXS6N4VAJCAUL7G2PIJRQ,49192
amzn1.account.AHDP3WV57T6MI6D3756SBJOQG3EQ,255961
amzn1.account.AG7L3B7CHDHV72BEE7LIZGHDK6MA,1160890
amzn1.account.AHLSJ6EKN6V7RSC2NOJWPSYQMCHA,22832
amzn1.account.AELNSGG63EP2UQK5PQTTBVO2KOVQ,374933
amzn1.account.AFAXJLDKCPSKW3HH3YEXIN4VDL4Q,5166674
amzn1.account.AHYVD6S65AL6ISPRIXSXZOP3Z2YQ,1186708
amzn1.account.AHQP4TXDPKBXBQVDEQQPSQFGAIWQ,228084
amzn1.account.AFUOWXBXTYITFKQEAFQ7ZAIM4WQA,25234
amzn1.account.AEHVT5QVWHWD2UGH34QZHR2BLC3A,423498
amzn1.account.AG3SPHFFXS6N4VAJCAUL7G2PIJRQ,49192
amzn1.account.AHDP3WV57T6MI6D3756SBJOQG3EQ,255961
amzn1.account.AG7L3B7CHDHV72BEE7LIZGHDK6MA,1160890
amzn1.account.AHLSJ6EKN6V7RSC2NOJWPSYQMCHA,22832
amzn1.account.AELNSGG63EP2UQK5PQTTBVO2KOVQ,374933
amzn1.account.AFAXJLDKCPSKW3HH3YEXIN4VDL4Q,5166674
amzn1.account.AHYVD6S65AL6ISPRIXSXZOP3Z2YQ,1186708
amzn1.account.AHQP4TXDPKBXBQVDEQQPSQFGAIWQ,228084
amzn1.account.AHB742UBB65NBGL7HP74KKPYO4BA,2564913
amzn1.account.AHSJAWXHCVV4AULOWUJSWYII3BXQ,633493
amzn1.account.AHX5KRSHLIO3HUOK2OJPVTKJ4ONA,965238
amzn1.account.AGVAAODGT4THPVI2H3HS7LOGFGSA,133531
amzn1.account.AHPR5CJHHWQIPDYOVCMHWHYHA5LA,287013
amzn1.account.AG67KU2MVZOF7LP3HH6S3KYN33LA,25959
amzn1.account.AHSZZZFIOXMXBRBBEP3Z277MNYQA,1010957
amzn1.account.AEQJHIVUR6PPGAQVKMHOYI3BSU7A,894793
amzn1.account.AEC7Q2K7YDXU3FCPF3B4336KPAGA,226335
amzn1.account.AHUKAXX7EXJS2CD2KYMBM472NLGQ,847673
amzn1.account.AHQFP5IRGUHQ6L6MM4K4RALTBZ2A,889351
amzn1.account.AGG6YWLSIZNH63MT55MF5E4FNWXA,95559
