page_url,ranking
amzn1.account.AEWLQYBQDYWWUWK6UHHTNWO5AHYA,278905
amzn1.account.AEWLQYBQDYWWUWK6UHHTNWO5AHYA,278905
amzn1.account.AGP4HULGHH5SEHEMSTQEHK7PARAA,157104
amzn1.account.AFEOVGKB7XFXRIX6WFAFUAJSSSWA,332655
amzn1.account.AGDRWUSILU2NSMAI5QBU5ACTWIIQ,3721
amzn1.account.AFGKUP3532NCJBRLG2UGNZQIGPSA,161951
amzn1.account.AH4QG4VNAVZKN55HDVDVKFQT66FQ,568124
amzn1.account.AE54TW4FZT5KWEQUSDPM4X6NZZQA,297178
amzn1.account.AGGD7CQPNZOLHMKBKUEXWB6W5DJQ,1931348
amzn1.account.AEORHVIBAWHUO7JWEGFDVP3Q4Q4Q,235294
amzn1.account.AE4ACSEKJYS64UVRAPXPIOMTXE6Q,10485
amzn1.account.AFN5RZKMLRE7YYZO7Z5IW4NHTY2A,913563
amzn1.account.AGP4HULGHH5SEHEMSTQEHK7PARAA,157104
amzn1.account.AFEOVGKB7XFXRIX6WFAFUAJSSSWA,332655
amzn1.account.AGDRWUSILU2NSMAI5QBU5ACTWIIQ,3721
amzn1.account.AH4QG4VNAVZKN55HDVDVKFQT66FQ,568124
amzn1.account.AE54TW4FZT5KWEQUSDPM4X6NZZQA,297178
amzn1.account.AGGD7CQPNZOLHMKBKUEXWB6W5DJQ,1931348
amzn1.account.AEORHVIBAWHUO7JWEGFDVP3Q4Q4Q,235294
amzn1.account.AE4ACSEKJYS64UVRAPXPIOMTXE6Q,10485
amzn1.account.AFN5RZKMLRE7YYZO7Z5IW4NHTY2A,913563
amzn1.account.AGTPSXXK4B2NSMTIDJCOIXELXOIA,123492
amzn1.account.AGFCDJELRY7NYSSVL2VE32E6I7GQ,111848
amzn1.account.AEST2NQRTKQTOJTK6U6ZPSE3Z72Q,564673
amzn1.account.AE2EITBGKZEA7WFNJ6Y3FQZH4CUQ,1474070
amzn1.account.AG533GQUXVUKH3JD7IFTGR46DXWQ,2910238
amzn1.account.AHHBHHPXV74BEN5ET7QE6MXMWJ7A,7755782
amzn1.account.AGHKN6ESOBNIR5AJH42PMKYIWNZQ,6232489
amzn1.account.AGC6SAMM4U4RXFDFIZOUPGKHAA6A,3393874
amzn1.account.AGJETHQ25KNZJRKMLISF64AMRUKQ,2171511
amzn1.account.AFC27MA3IX3LOZP3PIE2JJZCAAJA,75930
amzn1.account.AGGTD7PZV3Z66OTSS5PDZPESM75Q,1212070
amzn1.account.AG2FCT6JUNCBHJ3FO2BQIJVEDM7A,6057804
amzn1.account.AESW3BGBFMIKFVLEEMFBLPYXSMDA,5400671
amzn1.account.AGLYZYLPA2XRDX6C32NLRGDNHBYQ,308579
amzn1.account.AEA3VOJU6IJIFFZ4FIANF5IX333A,994502
amzn1.account.AEIC5OF5FG4A3PF25KTHU7EQYMIQ,630913
amzn1.account.AGWKE7QN5PH7FMJVULYE6YEQYSAA,924564
amzn1.account.AFUAYAFHIYQ3D4NXG2AH2QEFKAKA,691724
amzn1.account.AFGDSNRLFMFE3CH6S5SFVFBTVVIQ,1378487
amzn1.account.AFXKFLPPZZYYA3UFWVV3PRV4NVRQ,2702517
amzn1.account.AH7O6TJBQXUFBLZBNJET5KVGI3VQ,520937
amzn1.account.AGDITYN3CDFYILPNHBHDWZRGXSXA,3926543
amzn1.account.AGVWBXQIOE5Z45QBYA2C3425B66Q,127789
amzn1.account.AHWCBPYBBDHOSILGSHI7KPGTSLIA,8314984
amzn1.account.AGUW7QGQWN456VJCNJV4UBHBIWRA,707204
amzn1.account.AF35AQS6IFP5RDIAYWWVVMQCMKKA,2191283
amzn1.account.AGA37QAZSRSQZN26JXMHQMT5ASWA,913542
amzn1.account.AFRKMCLQRWTHS3HCS2UMCB3PLMTQ,5066002
amzn1.account.AEN5T6O6Z7SHDEUO7WSXH5PTTIYA,3050563
amzn1.account.AEIGNQIS3SZJA6FI6VYAAJC4IK4A,2499032
amzn1.account.AE4PA53KAPUXASCAPYS2K6IVIRFQ,6480
amzn1.account.AHA4TEA2YMWRLGUTVTTJ6XJCKUMQ,1573092
amzn1.account.AF3O7CYWLWIF5SIDGFJA3X4FVBXQ,224988
amzn1.account.AHTZDQ2W4NDG2WRDBNZDDPCPKRHQ,1266230
amzn1.account.AE63EOTWOZK7DC5RJL2SFFB4UDHA,840185
amzn1.account.AGCHFFST6Y32I7CSKXOMK5XZ2MLA,86628642
amzn1.account.AFEORHCKDD2R6DV4L6I3SQ2YZOLA,619937
amzn1.account.AEWTLMHEP424JPQP6MDBJ7RMDKZQ,14776845
amzn1.account.AGXHUP5LXUEGSFVEPTPRJSFUIJCQ,357650
amzn1.account.AFPG7EBW4K6TC255YJXFT4PDIR6A,36702821
amzn1.account.AEAZRSNDT5PLIKLMZTC65BUQB7RQ,10257372
amzn1.account.AGQW2MIK6OADILTRO7RFX4R6PWLA,2549116
amzn1.account.AE7ZPYOQKMIV4L4MMSYDM56I5C2A,124946
amzn1.account.AFHV3VJSX3Y3JVVAWT7OYWRNTSNA,2049147
amzn1.account.AGQDFCYESGMYVMXMN4L76X547XUQ,86758307
amzn1.account.AFLW5X3HU3PURYP6A3UFSKFU7F4A,5608816
amzn1.account.AHRX4PNVIKRO5IURDPZXGEDRNDHA,5683143
amzn1.account.AENQQCC7VF7AJEZOBCSNCVRHBKVA,1897843
amzn1.account.AGEB3VQDIKMHLB7YQDD7K5FGFVZQ,86768659
